Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWL_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWL_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWL_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWL_M_R,SIBERIA_2024_WorldCover_2021_45VWL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,Water,Non_Wetland,Bareland
22,NULL,Shrubland,Water,Non_Wetland,Water
23,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
28,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,Grassland,Non_Water,Non_Wetland,Wetland
31,NULL,Grassland,Non_Water,Non_Wetland,Forest
32,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,Grassland,Water,Non_Wetland,Wetland
34,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,Water,Non_Wetland,Bareland
36,NULL,Grassland,Water,Non_Wetland,Water
37,NULL,Grassland,Water,Non_Wetland,Forest
38,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,Wetland,NULL,Wetland,NULL
40,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,Wetland,NULL,Wetland,Wetland
42,NULL,Wetland,NULL,Wetland,Water
43,NULL,Wetland,NULL,Wetland,Forest
44,NULL,Wetland,Non_Water,Wetland,NULL
45,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,Wetland,Non_Water,Wetland,Wetland
47,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,Wetland,Water,Wetland,Grassland
50,NULL,Wetland,Water,Wetland,Wetland
51,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
52,NULL,Wetland,Water,Wetland,Bareland
53,NULL,Wetland,Water,Wetland,Water
54,NULL,Wetland,Water,Wetland,Forest
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
58,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
59,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
60,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
61,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
62,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
63,NULL,Bareland,NULL,Non_Wetland,NULL
64,NULL,Bareland,NULL,Non_Wetland,Grassland
65,NULL,Bareland,NULL,Non_Wetland,Wetland
66,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
67,NULL,Bareland,NULL,Non_Wetland,Bareland
68,NULL,Bareland,NULL,Non_Wetland,Forest
69,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,Bareland,Non_Water,Non_Wetland,Wetland
71,NULL,Bareland,Non_Water,Non_Wetland,Bareland
72,NULL,Bareland,Non_Water,Non_Wetland,Forest
73,NULL,Bareland,Water,Non_Wetland,Grassland
74,NULL,Bareland,Water,Non_Wetland,Wetland
75,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Bareland,Water,Non_Wetland,Bareland
77,NULL,Bareland,Water,Non_Wetland,Water
78,NULL,Bareland,Water,Non_Wetland,Forest
79,NULL,Built-up,NULL,Non_Wetland,Grassland
80,NULL,Built-up,NULL,Non_Wetland,Wetland
81,NULL,Built-up,NULL,Non_Wetland,Forest
82,NULL,Built-up,Non_Water,Non_Wetland,Wetland
83,NULL,Built-up,Water,Non_Wetland,Grassland
84,NULL,Built-up,Water,Non_Wetland,Wetland
85,NULL,Built-up,Water,Non_Wetland,Bareland
86,NULL,Built-up,Water,Non_Wetland,Water
87,NULL,Water,NULL,Water,Grassland
88,NULL,Water,NULL,Water,Wetland
89,NULL,Water,NULL,Water,Lichens_and_Mosses
90,NULL,Water,NULL,Water,Water
91,NULL,Water,NULL,Water,Forest
92,NULL,Water,Non_Water,Water,Wetland
93,NULL,Water,Water,Water,Grassland
94,NULL,Water,Water,Water,Wetland
95,NULL,Water,Water,Water,Lichens_and_Mosses
96,NULL,Water,Water,Water,Bareland
97,NULL,Water,Water,Water,Water
98,NULL,Water,Water,Water,Forest
99,NULL,Forest,NULL,Non_Wetland,NULL
100,NULL,Forest,NULL,Non_Wetland,Grassland
101,NULL,Forest,NULL,Non_Wetland,Wetland
102,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,Forest,NULL,Non_Wetland,Water
104,NULL,Forest,NULL,Non_Wetland,Forest
105,NULL,Forest,Non_Water,Non_Wetland,Grassland
106,NULL,Forest,Non_Water,Non_Wetland,Wetland
107,NULL,Forest,Non_Water,Non_Wetland,Water
108,NULL,Forest,Non_Water,Non_Wetland,Forest
109,NULL,Forest,Water,Non_Wetland,Grassland
110,NULL,Forest,Water,Non_Wetland,Wetland
111,NULL,Forest,Water,Non_Wetland,Water
112,NULL,Forest,Water,Non_Wetland,Forest
113,Cropland,NULL,NULL,Non_Wetland,Grassland
114,Cropland,NULL,NULL,Non_Wetland,Forest
115,Cropland,NULL,Water,Non_Wetland,Grassland
116,Cropland,Shrubland,NULL,Non_Wetland,NULL
117,Cropland,Shrubland,NULL,Non_Wetland,Wetland
118,Cropland,Shrubland,NULL,Non_Wetland,Forest
119,Cropland,Shrubland,Water,Non_Wetland,Bareland
120,Cropland,Grassland,NULL,Non_Wetland,Grassland
121,Cropland,Grassland,NULL,Non_Wetland,Forest
122,Cropland,Grassland,Water,Non_Wetland,Grassland
123,Cropland,Grassland,Water,Non_Wetland,Wetland
124,Cropland,Grassland,Water,Non_Wetland,Forest
125,Cropland,Wetland,NULL,Wetland,NULL
126,Cropland,Wetland,NULL,Wetland,Grassland
127,Cropland,Wetland,NULL,Wetland,Wetland
128,Cropland,Wetland,NULL,Wetland,Forest
129,Cropland,Wetland,Non_Water,Wetland,Grassland
130,Cropland,Wetland,Non_Water,Wetland,Wetland
131,Cropland,Wetland,Water,Wetland,Grassland
132,Cropland,Wetland,Water,Wetland,Wetland
133,Cropland,Wetland,Water,Wetland,Forest
134,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Water
135,Cropland,Bareland,NULL,Non_Wetland,NULL
136,Cropland,Bareland,NULL,Non_Wetland,Grassland
137,Cropland,Bareland,NULL,Non_Wetland,Wetland
138,Cropland,Bareland,NULL,Non_Wetland,Forest
139,Cropland,Bareland,Water,Non_Wetland,Bareland
140,Cropland,Forest,NULL,Non_Wetland,NULL
141,Cropland,Forest,NULL,Non_Wetland,Grassland
142,Cropland,Forest,NULL,Non_Wetland,Wetland
143,Cropland,Forest,NULL,Non_Wetland,Forest
144,Cropland,Forest,Water,Non_Wetland,Grassland
145,Wetland,NULL,NULL,Non_Wetland,NULL
146,Wetland,NULL,NULL,Non_Wetland,Grassland
147,Wetland,NULL,NULL,Non_Wetland,Wetland
148,Wetland,NULL,NULL,Non_Wetland,Water
149,Wetland,NULL,NULL,Non_Wetland,Forest
150,Wetland,NULL,Non_Water,Non_Wetland,Wetland
151,Wetland,NULL,Non_Water,Non_Wetland,Water
152,Wetland,NULL,Non_Water,Non_Wetland,Forest
153,Wetland,NULL,Water,Non_Wetland,Grassland
154,Wetland,NULL,Water,Non_Wetland,Wetland
155,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
156,Wetland,NULL,Water,Non_Wetland,Bareland
157,Wetland,NULL,Water,Non_Wetland,Water
158,Wetland,NULL,Water,Non_Wetland,Forest
159,Wetland,Shrubland,NULL,Non_Wetland,NULL
160,Wetland,Shrubland,NULL,Non_Wetland,Grassland
161,Wetland,Shrubland,NULL,Non_Wetland,Wetland
162,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
163,Wetland,Shrubland,NULL,Non_Wetland,Water
164,Wetland,Shrubland,NULL,Non_Wetland,Forest
165,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
166,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
167,Wetland,Shrubland,Water,Non_Wetland,Grassland
168,Wetland,Shrubland,Water,Non_Wetland,Wetland
169,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
170,Wetland,Shrubland,Water,Non_Wetland,Bareland
171,Wetland,Shrubland,Water,Non_Wetland,Water
172,Wetland,Shrubland,Water,Non_Wetland,Forest
173,Wetland,Grassland,NULL,Non_Wetland,NULL
174,Wetland,Grassland,NULL,Non_Wetland,Grassland
175,Wetland,Grassland,NULL,Non_Wetland,Wetland
176,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
177,Wetland,Grassland,NULL,Non_Wetland,Water
178,Wetland,Grassland,NULL,Non_Wetland,Forest
179,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
180,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
181,Wetland,Grassland,Non_Water,Non_Wetland,Forest
182,Wetland,Grassland,Water,Non_Wetland,Grassland
183,Wetland,Grassland,Water,Non_Wetland,Wetland
184,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
185,Wetland,Grassland,Water,Non_Wetland,Bareland
186,Wetland,Grassland,Water,Non_Wetland,Water
187,Wetland,Grassland,Water,Non_Wetland,Forest
188,Wetland,Wetland,NULL,Wetland,NULL
189,Wetland,Wetland,NULL,Wetland,Grassland
190,Wetland,Wetland,NULL,Wetland,Wetland
191,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
192,Wetland,Wetland,NULL,Wetland,Bareland
193,Wetland,Wetland,NULL,Wetland,Water
194,Wetland,Wetland,NULL,Wetland,Forest
195,Wetland,Wetland,Non_Water,Wetland,NULL
196,Wetland,Wetland,Non_Water,Wetland,Grassland
197,Wetland,Wetland,Non_Water,Wetland,Wetland
198,Wetland,Wetland,Non_Water,Wetland,Water
199,Wetland,Wetland,Non_Water,Wetland,Forest
200,Wetland,Wetland,Water,Wetland,Grassland
201,Wetland,Wetland,Water,Wetland,Wetland
202,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
203,Wetland,Wetland,Water,Wetland,Bareland
204,Wetland,Wetland,Water,Wetland,Water
205,Wetland,Wetland,Water,Wetland,Forest
206,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
207,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
208,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
209,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
210,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
211,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
212,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
213,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
214,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
215,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
216,Wetland,Bareland,NULL,Non_Wetland,Grassland
217,Wetland,Bareland,NULL,Non_Wetland,Wetland
218,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
219,Wetland,Bareland,NULL,Non_Wetland,Bareland
220,Wetland,Bareland,NULL,Non_Wetland,Water
221,Wetland,Bareland,NULL,Non_Wetland,Forest
222,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
223,Wetland,Bareland,Non_Water,Non_Wetland,Forest
224,Wetland,Bareland,Water,Non_Wetland,Grassland
225,Wetland,Bareland,Water,Non_Wetland,Wetland
226,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
227,Wetland,Bareland,Water,Non_Wetland,Bareland
228,Wetland,Bareland,Water,Non_Wetland,Water
229,Wetland,Bareland,Water,Non_Wetland,Forest
230,Wetland,Built-up,NULL,Non_Wetland,Grassland
231,Wetland,Built-up,NULL,Non_Wetland,Wetland
232,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
233,Wetland,Built-up,NULL,Non_Wetland,Water
234,Wetland,Built-up,NULL,Non_Wetland,Forest
235,Wetland,Built-up,Water,Non_Wetland,Wetland
236,Wetland,Built-up,Water,Non_Wetland,Bareland
237,Wetland,Built-up,Water,Non_Wetland,Water
238,Wetland,Built-up,Water,Non_Wetland,Forest
239,Wetland,Water,NULL,Water,Grassland
240,Wetland,Water,NULL,Water,Wetland
241,Wetland,Water,NULL,Water,Lichens_and_Mosses
242,Wetland,Water,NULL,Water,Bareland
243,Wetland,Water,NULL,Water,Water
244,Wetland,Water,NULL,Water,Forest
245,Wetland,Water,Non_Water,Water,Wetland
246,Wetland,Water,Non_Water,Water,Water
247,Wetland,Water,Non_Water,Water,Forest
248,Wetland,Water,Water,Water,Grassland
249,Wetland,Water,Water,Water,Wetland
250,Wetland,Water,Water,Water,Lichens_and_Mosses
251,Wetland,Water,Water,Water,Bareland
252,Wetland,Water,Water,Water,Water
253,Wetland,Water,Water,Water,Forest
254,Wetland,Forest,NULL,Non_Wetland,NULL
255,Wetland,Forest,NULL,Non_Wetland,Grassland
256,Wetland,Forest,NULL,Non_Wetland,Wetland
257,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
258,Wetland,Forest,NULL,Non_Wetland,Water
259,Wetland,Forest,NULL,Non_Wetland,Forest
260,Wetland,Forest,Non_Water,Non_Wetland,Grassland
261,Wetland,Forest,Non_Water,Non_Wetland,Wetland
262,Wetland,Forest,Non_Water,Non_Wetland,Water
263,Wetland,Forest,Non_Water,Non_Wetland,Forest
264,Wetland,Forest,Water,Non_Wetland,Grassland
265,Wetland,Forest,Water,Non_Wetland,Wetland
