Value,SIBERIA_2024_ESA_CALU_2024_43WEP_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WEP_M_R,SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,SIBERIA_2024_WorldCover_2021_43WEP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
31,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Grassland,Water,Non_Wetland,Forest
33,NULL,NULL,Wetland,NULL,Wetland,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
36,NULL,NULL,Wetland,NULL,Wetland,Bareland
37,NULL,NULL,Wetland,NULL,Wetland,Water
38,NULL,NULL,Wetland,NULL,Wetland,Forest
39,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
40,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
41,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
42,NULL,NULL,Wetland,Non_Water,Wetland,Water
43,NULL,NULL,Wetland,Non_Water,Wetland,Forest
44,NULL,NULL,Wetland,Water,Wetland,Grassland
45,NULL,NULL,Wetland,Water,Wetland,Wetland
46,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
47,NULL,NULL,Wetland,Water,Wetland,Water
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
54,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
55,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
56,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
57,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
59,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
60,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
61,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
62,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
65,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
67,NULL,NULL,Bareland,NULL,Non_Wetland,Water
68,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
74,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
75,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
76,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Bareland,Water,Non_Wetland,Water
78,NULL,NULL,Bareland,Water,Non_Wetland,Forest
79,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
81,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
84,NULL,NULL,Built-up,NULL,Non_Wetland,Water
85,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
88,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
89,NULL,NULL,Built-up,Water,Non_Wetland,Water
90,NULL,NULL,Water,NULL,Water,Grassland
91,NULL,NULL,Water,NULL,Water,Wetland
92,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
93,NULL,NULL,Water,NULL,Water,Water
94,NULL,NULL,Water,NULL,Water,Forest
95,NULL,NULL,Water,Non_Water,Water,Grassland
96,NULL,NULL,Water,Non_Water,Water,Wetland
97,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
98,NULL,NULL,Water,Non_Water,Water,Bareland
99,NULL,NULL,Water,Non_Water,Water,Water
100,NULL,NULL,Water,Water,Water,Grassland
101,NULL,NULL,Water,Water,Water,Wetland
102,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
103,NULL,NULL,Water,Water,Water,Water
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
106,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
107,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,Water
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest
