Value,SIBERIA_2024_ESA_CALU_2024_43WDV_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDV_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDV_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,SIBERIA_2024_WorldCover_2021_43WDV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
1,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
2,NULL,NULL,NULL,Water,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
14,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
33,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Water,Non_Wetland,Water
35,NULL,NULL,Wetland,NULL,NULL,NULL
36,NULL,NULL,Wetland,NULL,NULL,Grassland
37,NULL,NULL,Wetland,NULL,NULL,Wetland
38,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
39,NULL,NULL,Wetland,NULL,NULL,Bareland
40,NULL,NULL,Wetland,NULL,NULL,Water
41,NULL,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Wetland
43,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
44,NULL,NULL,Wetland,NULL,Wetland,Bareland
45,NULL,NULL,Wetland,NULL,Wetland,Water
46,NULL,NULL,Wetland,Non_Water,NULL,Grassland
47,NULL,NULL,Wetland,Non_Water,NULL,Wetland
48,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
49,NULL,NULL,Wetland,Non_Water,NULL,Bareland
50,NULL,NULL,Wetland,Non_Water,NULL,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
54,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
55,NULL,NULL,Wetland,Non_Water,Wetland,Water
56,NULL,NULL,Wetland,Water,NULL,Grassland
57,NULL,NULL,Wetland,Water,NULL,Wetland
58,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
59,NULL,NULL,Wetland,Water,NULL,Bareland
60,NULL,NULL,Wetland,Water,NULL,Water
61,NULL,NULL,Wetland,Water,Wetland,Grassland
62,NULL,NULL,Wetland,Water,Wetland,Wetland
63,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
64,NULL,NULL,Wetland,Water,Wetland,Bareland
65,NULL,NULL,Wetland,Water,Wetland,Water
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
78,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
82,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
83,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
84,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
87,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
89,NULL,NULL,Bareland,NULL,Non_Wetland,Water
90,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
91,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
