Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFL_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFL_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFL_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFL_M_R,SIBERIA_2024_WorldCover_2021_43VFL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,Non_Water,Non_Wetland,Forest
6,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,Water,Non_Wetland,Forest
9,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
13,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
27,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Grassland,Non_Water,Non_Wetland,Forest
34,NULL,Grassland,Water,Non_Wetland,Forest
35,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,Wetland,NULL,Wetland,NULL
38,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,Wetland,NULL,Wetland,Wetland
40,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
41,NULL,Wetland,NULL,Wetland,Bareland
42,NULL,Wetland,NULL,Wetland,Water
43,NULL,Wetland,NULL,Wetland,Forest
44,NULL,Wetland,Non_Water,Wetland,NULL
45,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,Wetland,Non_Water,Wetland,Wetland
47,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
48,NULL,Wetland,Non_Water,Wetland,Water
49,NULL,Wetland,Non_Water,Wetland,Forest
50,NULL,Wetland,Water,Wetland,NULL
51,NULL,Wetland,Water,Wetland,Grassland
52,NULL,Wetland,Water,Wetland,Wetland
53,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
54,NULL,Wetland,Water,Wetland,Bareland
55,NULL,Wetland,Water,Wetland,Water
56,NULL,Wetland,Water,Wetland,Forest
57,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
58,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
61,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
62,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
63,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
64,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
65,NULL,Bareland,NULL,Non_Wetland,NULL
66,NULL,Bareland,NULL,Non_Wetland,Grassland
67,NULL,Bareland,NULL,Non_Wetland,Wetland
68,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Bareland,NULL,Non_Wetland,Bareland
70,NULL,Bareland,NULL,Non_Wetland,Built-up
71,NULL,Bareland,NULL,Non_Wetland,Water
72,NULL,Bareland,NULL,Non_Wetland,Forest
73,NULL,Bareland,Non_Water,Non_Wetland,Grassland
74,NULL,Bareland,Non_Water,Non_Wetland,Wetland
75,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Bareland,Non_Water,Non_Wetland,Bareland
77,NULL,Bareland,Non_Water,Non_Wetland,Built-up
78,NULL,Bareland,Non_Water,Non_Wetland,Water
79,NULL,Bareland,Non_Water,Non_Wetland,Forest
80,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,Bareland,Water,Non_Wetland,Wetland
82,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Bareland,Water,Non_Wetland,Bareland
84,NULL,Bareland,Water,Non_Wetland,Water
85,NULL,Bareland,Water,Non_Wetland,Forest
86,NULL,Built-up,NULL,Non_Wetland,Grassland
87,NULL,Built-up,NULL,Non_Wetland,Wetland
88,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,Built-up,NULL,Non_Wetland,Built-up
91,NULL,Built-up,NULL,Non_Wetland,Water
92,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,Built-up,Non_Water,Non_Wetland,Grassland
94,NULL,Built-up,Non_Water,Non_Wetland,Wetland
95,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
96,NULL,Built-up,Non_Water,Non_Wetland,Bareland
97,NULL,Built-up,Non_Water,Non_Wetland,Built-up
98,NULL,Built-up,Non_Water,Non_Wetland,Forest
99,NULL,Built-up,Water,Non_Wetland,Grassland
100,NULL,Built-up,Water,Non_Wetland,Wetland
101,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
102,NULL,Built-up,Water,Non_Wetland,Bareland
103,NULL,Built-up,Water,Non_Wetland,Water
104,NULL,Built-up,Water,Non_Wetland,Forest
105,NULL,Water,NULL,Water,Grassland
106,NULL,Water,NULL,Water,Wetland
107,NULL,Water,NULL,Water,Lichens_and_Mosses
108,NULL,Water,NULL,Water,Bareland
109,NULL,Water,NULL,Water,Water
110,NULL,Water,NULL,Water,Forest
111,NULL,Water,Non_Water,Water,Grassland
112,NULL,Water,Non_Water,Water,Wetland
113,NULL,Water,Non_Water,Water,Lichens_and_Mosses
114,NULL,Water,Non_Water,Water,Bareland
115,NULL,Water,Non_Water,Water,Water
116,NULL,Water,Non_Water,Water,Forest
117,NULL,Water,Water,Water,Grassland
118,NULL,Water,Water,Water,Wetland
119,NULL,Water,Water,Water,Lichens_and_Mosses
120,NULL,Water,Water,Water,Bareland
121,NULL,Water,Water,Water,Water
122,NULL,Water,Water,Water,Forest
123,NULL,Forest,NULL,Non_Wetland,NULL
124,NULL,Forest,NULL,Non_Wetland,Grassland
125,NULL,Forest,NULL,Non_Wetland,Wetland
126,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
127,NULL,Forest,NULL,Non_Wetland,Bareland
128,NULL,Forest,NULL,Non_Wetland,Built-up
129,NULL,Forest,NULL,Non_Wetland,Water
130,NULL,Forest,NULL,Non_Wetland,Forest
131,NULL,Forest,Non_Water,Non_Wetland,Grassland
132,NULL,Forest,Non_Water,Non_Wetland,Wetland
133,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
134,NULL,Forest,Non_Water,Non_Wetland,Water
135,NULL,Forest,Non_Water,Non_Wetland,Forest
136,NULL,Forest,Water,Non_Wetland,Grassland
137,NULL,Forest,Water,Non_Wetland,Wetland
138,NULL,Forest,Water,Non_Wetland,Water
139,NULL,Forest,Water,Non_Wetland,Forest
140,Cropland,NULL,NULL,Non_Wetland,Forest
141,Cropland,Shrubland,NULL,Non_Wetland,NULL
142,Cropland,Shrubland,NULL,Non_Wetland,Grassland
143,Cropland,Shrubland,NULL,Non_Wetland,Wetland
144,Cropland,Shrubland,NULL,Non_Wetland,Forest
145,Cropland,Grassland,NULL,Non_Wetland,Grassland
146,Cropland,Grassland,NULL,Non_Wetland,Wetland
147,Cropland,Wetland,NULL,Wetland,NULL
148,Cropland,Wetland,NULL,Wetland,Grassland
149,Cropland,Wetland,NULL,Wetland,Wetland
150,Cropland,Wetland,NULL,Wetland,Forest
151,Cropland,Wetland,Non_Water,Wetland,Grassland
152,Cropland,Wetland,Non_Water,Wetland,Wetland
153,Cropland,Wetland,Non_Water,Wetland,Forest
154,Cropland,Wetland,Water,Wetland,Grassland
155,Cropland,Wetland,Water,Wetland,Wetland
156,Cropland,Bareland,NULL,Non_Wetland,NULL
157,Cropland,Bareland,NULL,Non_Wetland,Grassland
158,Cropland,Bareland,NULL,Non_Wetland,Wetland
159,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
160,Cropland,Bareland,NULL,Non_Wetland,Forest
161,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
162,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
163,Cropland,Bareland,Non_Water,Non_Wetland,Forest
164,Cropland,Built-up,NULL,Non_Wetland,Built-up
165,Cropland,Water,Water,Water,Wetland
166,Cropland,Forest,NULL,Non_Wetland,NULL
167,Cropland,Forest,NULL,Non_Wetland,Grassland
168,Cropland,Forest,NULL,Non_Wetland,Wetland
169,Cropland,Forest,NULL,Non_Wetland,Forest
170,Cropland,Forest,Non_Water,Non_Wetland,Forest
171,Wetland,NULL,NULL,Non_Wetland,NULL
172,Wetland,NULL,NULL,Non_Wetland,Grassland
173,Wetland,NULL,NULL,Non_Wetland,Wetland
174,Wetland,NULL,NULL,Non_Wetland,Water
175,Wetland,NULL,NULL,Non_Wetland,Forest
176,Wetland,NULL,Non_Water,Non_Wetland,Grassland
177,Wetland,NULL,Non_Water,Non_Wetland,Wetland
178,Wetland,NULL,Non_Water,Non_Wetland,Water
179,Wetland,NULL,Non_Water,Non_Wetland,Forest
180,Wetland,NULL,Water,Non_Wetland,Grassland
181,Wetland,NULL,Water,Non_Wetland,Wetland
182,Wetland,NULL,Water,Non_Wetland,Water
183,Wetland,NULL,Water,Non_Wetland,Forest
184,Wetland,Shrubland,NULL,Non_Wetland,NULL
185,Wetland,Shrubland,NULL,Non_Wetland,Grassland
186,Wetland,Shrubland,NULL,Non_Wetland,Wetland
187,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
188,Wetland,Shrubland,NULL,Non_Wetland,Bareland
189,Wetland,Shrubland,NULL,Non_Wetland,Built-up
190,Wetland,Shrubland,NULL,Non_Wetland,Water
191,Wetland,Shrubland,NULL,Non_Wetland,Forest
192,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
193,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
194,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
195,Wetland,Shrubland,Non_Water,Non_Wetland,Water
196,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
197,Wetland,Shrubland,Water,Non_Wetland,NULL
198,Wetland,Shrubland,Water,Non_Wetland,Grassland
199,Wetland,Shrubland,Water,Non_Wetland,Wetland
200,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,Shrubland,Water,Non_Wetland,Water
202,Wetland,Shrubland,Water,Non_Wetland,Forest
203,Wetland,Grassland,NULL,Non_Wetland,NULL
204,Wetland,Grassland,NULL,Non_Wetland,Grassland
205,Wetland,Grassland,NULL,Non_Wetland,Wetland
206,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
207,Wetland,Grassland,NULL,Non_Wetland,Bareland
208,Wetland,Grassland,NULL,Non_Wetland,Water
209,Wetland,Grassland,NULL,Non_Wetland,Forest
210,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
211,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
212,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
213,Wetland,Grassland,Non_Water,Non_Wetland,Water
214,Wetland,Grassland,Non_Water,Non_Wetland,Forest
215,Wetland,Grassland,Water,Non_Wetland,Grassland
216,Wetland,Grassland,Water,Non_Wetland,Wetland
217,Wetland,Grassland,Water,Non_Wetland,Water
218,Wetland,Grassland,Water,Non_Wetland,Forest
219,Wetland,Cropland,NULL,Non_Wetland,Forest
220,Wetland,Wetland,NULL,Wetland,NULL
221,Wetland,Wetland,NULL,Wetland,Grassland
222,Wetland,Wetland,NULL,Wetland,Wetland
223,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
224,Wetland,Wetland,NULL,Wetland,Bareland
225,Wetland,Wetland,NULL,Wetland,Water
226,Wetland,Wetland,NULL,Wetland,Permanent_ice_and_snow
227,Wetland,Wetland,NULL,Wetland,Forest
228,Wetland,Wetland,Non_Water,Wetland,NULL
229,Wetland,Wetland,Non_Water,Wetland,Grassland
230,Wetland,Wetland,Non_Water,Wetland,Wetland
231,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
232,Wetland,Wetland,Non_Water,Wetland,Bareland
233,Wetland,Wetland,Non_Water,Wetland,Water
234,Wetland,Wetland,Non_Water,Wetland,Forest
235,Wetland,Wetland,Water,Wetland,NULL
236,Wetland,Wetland,Water,Wetland,Grassland
237,Wetland,Wetland,Water,Wetland,Wetland
238,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
239,Wetland,Wetland,Water,Wetland,Bareland
240,Wetland,Wetland,Water,Wetland,Water
241,Wetland,Wetland,Water,Wetland,Permanent_ice_and_snow
242,Wetland,Wetland,Water,Wetland,Forest
243,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
244,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
245,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
246,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
247,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
248,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
249,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
250,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
251,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
252,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
253,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
254,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
255,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
256,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
257,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
258,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
