Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VCH_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VCH_M_R,SIBERIA_2024_GSW_Yearly_2021_43VCH_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VCH_M_R,SIBERIA_2024_WorldCover_2021_43VCH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,Shrubland,NULL,Non_Wetland,Cropland
21,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
29,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
30,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
31,NULL,Shrubland,Non_Water,Non_Wetland,Water
32,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,Shrubland,Water,Non_Wetland,Grassland
34,NULL,Shrubland,Water,Non_Wetland,Cropland
35,NULL,Shrubland,Water,Non_Wetland,Wetland
36,NULL,Shrubland,Water,Non_Wetland,Bareland
37,NULL,Shrubland,Water,Non_Wetland,Water
38,NULL,Shrubland,Water,Non_Wetland,Forest
39,NULL,Grassland,NULL,Non_Wetland,NULL
40,NULL,Grassland,NULL,Non_Wetland,Grassland
41,NULL,Grassland,NULL,Non_Wetland,Cropland
42,NULL,Grassland,NULL,Non_Wetland,Wetland
43,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,Grassland,NULL,Non_Wetland,Built-up
46,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,Grassland,Non_Water,Non_Wetland,Grassland
48,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,Grassland,Non_Water,Non_Wetland,Built-up
50,NULL,Grassland,Non_Water,Non_Wetland,Forest
51,NULL,Grassland,Water,Non_Wetland,Grassland
52,NULL,Grassland,Water,Non_Wetland,Wetland
53,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,Cropland,NULL,Non_Wetland,NULL
55,NULL,Cropland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,NULL,Non_Wetland,Cropland
57,NULL,Cropland,NULL,Non_Wetland,Wetland
58,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
59,NULL,Cropland,NULL,Non_Wetland,Bareland
60,NULL,Cropland,NULL,Non_Wetland,Built-up
61,NULL,Cropland,NULL,Non_Wetland,Forest
62,NULL,Cropland,Non_Water,Non_Wetland,Grassland
63,NULL,Cropland,Non_Water,Non_Wetland,Bareland
64,NULL,Cropland,Non_Water,Non_Wetland,Built-up
65,NULL,Cropland,Water,Non_Wetland,Grassland
66,NULL,Cropland,Water,Non_Wetland,Water
67,NULL,Wetland,NULL,Wetland,NULL
68,NULL,Wetland,NULL,Wetland,Grassland
69,NULL,Wetland,NULL,Wetland,Cropland
70,NULL,Wetland,NULL,Wetland,Wetland
71,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
72,NULL,Wetland,NULL,Wetland,Bareland
73,NULL,Wetland,NULL,Wetland,Built-up
74,NULL,Wetland,NULL,Wetland,Water
75,NULL,Wetland,NULL,Wetland,Forest
76,NULL,Wetland,Non_Water,Wetland,NULL
77,NULL,Wetland,Non_Water,Wetland,Grassland
78,NULL,Wetland,Non_Water,Wetland,Cropland
79,NULL,Wetland,Non_Water,Wetland,Wetland
80,NULL,Wetland,Non_Water,Wetland,Bareland
81,NULL,Wetland,Non_Water,Wetland,Water
82,NULL,Wetland,Non_Water,Wetland,Forest
83,NULL,Wetland,Water,Wetland,NULL
84,NULL,Wetland,Water,Wetland,Grassland
85,NULL,Wetland,Water,Wetland,Cropland
86,NULL,Wetland,Water,Wetland,Wetland
87,NULL,Wetland,Water,Wetland,Built-up
88,NULL,Wetland,Water,Wetland,Water
89,NULL,Wetland,Water,Wetland,Forest
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
95,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
96,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
97,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
98,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
99,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
100,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
102,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
103,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
104,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
105,NULL,Bareland,NULL,Non_Wetland,NULL
106,NULL,Bareland,NULL,Non_Wetland,Grassland
107,NULL,Bareland,NULL,Non_Wetland,Cropland
108,NULL,Bareland,NULL,Non_Wetland,Wetland
109,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Bareland,NULL,Non_Wetland,Built-up
112,NULL,Bareland,NULL,Non_Wetland,Water
113,NULL,Bareland,NULL,Non_Wetland,Forest
114,NULL,Bareland,Non_Water,Non_Wetland,Grassland
115,NULL,Bareland,Non_Water,Non_Wetland,Wetland
116,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
117,NULL,Bareland,Non_Water,Non_Wetland,Bareland
118,NULL,Bareland,Non_Water,Non_Wetland,Built-up
119,NULL,Bareland,Non_Water,Non_Wetland,Water
120,NULL,Bareland,Non_Water,Non_Wetland,Forest
121,NULL,Bareland,Water,Non_Wetland,Grassland
122,NULL,Bareland,Water,Non_Wetland,Cropland
123,NULL,Bareland,Water,Non_Wetland,Wetland
124,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
125,NULL,Bareland,Water,Non_Wetland,Bareland
126,NULL,Bareland,Water,Non_Wetland,Built-up
127,NULL,Bareland,Water,Non_Wetland,Water
128,NULL,Bareland,Water,Non_Wetland,Forest
129,NULL,Built-up,NULL,Non_Wetland,NULL
130,NULL,Built-up,NULL,Non_Wetland,Grassland
131,NULL,Built-up,NULL,Non_Wetland,Cropland
132,NULL,Built-up,NULL,Non_Wetland,Wetland
133,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
134,NULL,Built-up,NULL,Non_Wetland,Bareland
135,NULL,Built-up,NULL,Non_Wetland,Built-up
136,NULL,Built-up,NULL,Non_Wetland,Water
137,NULL,Built-up,NULL,Non_Wetland,Forest
138,NULL,Built-up,Non_Water,Non_Wetland,Grassland
139,NULL,Built-up,Non_Water,Non_Wetland,Cropland
140,NULL,Built-up,Non_Water,Non_Wetland,Wetland
141,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
142,NULL,Built-up,Non_Water,Non_Wetland,Bareland
143,NULL,Built-up,Non_Water,Non_Wetland,Built-up
144,NULL,Built-up,Non_Water,Non_Wetland,Water
145,NULL,Built-up,Non_Water,Non_Wetland,Forest
146,NULL,Built-up,Water,Non_Wetland,Grassland
147,NULL,Built-up,Water,Non_Wetland,Wetland
148,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
149,NULL,Built-up,Water,Non_Wetland,Bareland
150,NULL,Built-up,Water,Non_Wetland,Built-up
151,NULL,Built-up,Water,Non_Wetland,Water
152,NULL,Built-up,Water,Non_Wetland,Forest
153,NULL,Water,NULL,Water,NULL
154,NULL,Water,NULL,Water,Grassland
155,NULL,Water,NULL,Water,Wetland
156,NULL,Water,NULL,Water,Lichens_and_Mosses
157,NULL,Water,NULL,Water,Bareland
158,NULL,Water,NULL,Water,Built-up
159,NULL,Water,NULL,Water,Water
160,NULL,Water,NULL,Water,Forest
161,NULL,Water,Non_Water,Water,Grassland
162,NULL,Water,Non_Water,Water,Wetland
163,NULL,Water,Non_Water,Water,Water
164,NULL,Water,Non_Water,Water,Forest
165,NULL,Water,Water,Water,NULL
166,NULL,Water,Water,Water,Grassland
167,NULL,Water,Water,Water,Wetland
168,NULL,Water,Water,Water,Bareland
169,NULL,Water,Water,Water,Water
170,NULL,Water,Water,Water,Forest
171,NULL,Forest,NULL,Non_Wetland,NULL
172,NULL,Forest,NULL,Non_Wetland,Grassland
173,NULL,Forest,NULL,Non_Wetland,Cropland
174,NULL,Forest,NULL,Non_Wetland,Wetland
175,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
176,NULL,Forest,NULL,Non_Wetland,Bareland
177,NULL,Forest,NULL,Non_Wetland,Built-up
178,NULL,Forest,NULL,Non_Wetland,Water
179,NULL,Forest,NULL,Non_Wetland,Forest
180,NULL,Forest,Non_Water,Non_Wetland,NULL
181,NULL,Forest,Non_Water,Non_Wetland,Grassland
182,NULL,Forest,Non_Water,Non_Wetland,Cropland
183,NULL,Forest,Non_Water,Non_Wetland,Wetland
184,NULL,Forest,Non_Water,Non_Wetland,Bareland
185,NULL,Forest,Non_Water,Non_Wetland,Built-up
186,NULL,Forest,Non_Water,Non_Wetland,Water
187,NULL,Forest,Non_Water,Non_Wetland,Forest
188,NULL,Forest,Water,Non_Wetland,NULL
189,NULL,Forest,Water,Non_Wetland,Grassland
190,NULL,Forest,Water,Non_Wetland,Cropland
191,NULL,Forest,Water,Non_Wetland,Wetland
192,NULL,Forest,Water,Non_Wetland,Bareland
193,NULL,Forest,Water,Non_Wetland,Built-up
194,NULL,Forest,Water,Non_Wetland,Water
195,NULL,Forest,Water,Non_Wetland,Forest
196,Cropland,NULL,NULL,Non_Wetland,NULL
197,Cropland,NULL,NULL,Non_Wetland,Grassland
198,Cropland,NULL,NULL,Non_Wetland,Wetland
199,Cropland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
200,Cropland,NULL,NULL,Non_Wetland,Bareland
201,Cropland,NULL,NULL,Non_Wetland,Forest
202,Cropland,NULL,Non_Water,Non_Wetland,Wetland
203,Cropland,NULL,Non_Water,Non_Wetland,Forest
204,Cropland,NULL,Water,Non_Wetland,Water
205,Cropland,Shrubland,NULL,Non_Wetland,NULL
206,Cropland,Shrubland,NULL,Non_Wetland,Grassland
207,Cropland,Shrubland,NULL,Non_Wetland,Cropland
208,Cropland,Shrubland,NULL,Non_Wetland,Wetland
209,Cropland,Shrubland,NULL,Non_Wetland,Built-up
210,Cropland,Shrubland,NULL,Non_Wetland,Forest
211,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
212,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
213,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
214,Cropland,Shrubland,Water,Non_Wetland,Wetland
215,Cropland,Grassland,NULL,Non_Wetland,NULL
216,Cropland,Grassland,NULL,Non_Wetland,Grassland
217,Cropland,Grassland,NULL,Non_Wetland,Cropland
218,Cropland,Grassland,NULL,Non_Wetland,Wetland
219,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
220,Cropland,Grassland,NULL,Non_Wetland,Built-up
221,Cropland,Grassland,NULL,Non_Wetland,Forest
222,Cropland,Cropland,NULL,Non_Wetland,Grassland
223,Cropland,Cropland,NULL,Non_Wetland,Cropland
224,Cropland,Cropland,NULL,Non_Wetland,Wetland
225,Cropland,Cropland,NULL,Non_Wetland,Bareland
226,Cropland,Cropland,NULL,Non_Wetland,Forest
227,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
228,Cropland,Wetland,NULL,Wetland,NULL
229,Cropland,Wetland,NULL,Wetland,Grassland
230,Cropland,Wetland,NULL,Wetland,Wetland
231,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
232,Cropland,Wetland,NULL,Wetland,Built-up
233,Cropland,Wetland,NULL,Wetland,Water
234,Cropland,Wetland,NULL,Wetland,Forest
235,Cropland,Wetland,Non_Water,Wetland,Grassland
236,Cropland,Wetland,Non_Water,Wetland,Wetland
237,Cropland,Wetland,Non_Water,Wetland,Bareland
238,Cropland,Wetland,Non_Water,Wetland,Water
239,Cropland,Wetland,Non_Water,Wetland,Forest
240,Cropland,Wetland,Water,Wetland,Grassland
241,Cropland,Wetland,Water,Wetland,Wetland
242,Cropland,Wetland,Water,Wetland,Water
243,Cropland,Wetland,Water,Wetland,Forest
244,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
245,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
246,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
247,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
248,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
249,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
250,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
251,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
252,Cropland,Bareland,NULL,Non_Wetland,NULL
253,Cropland,Bareland,NULL,Non_Wetland,Grassland
254,Cropland,Bareland,NULL,Non_Wetland,Wetland
255,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
256,Cropland,Bareland,NULL,Non_Wetland,Bareland
257,Cropland,Bareland,NULL,Non_Wetland,Built-up
258,Cropland,Bareland,NULL,Non_Wetland,Water
259,Cropland,Bareland,NULL,Non_Wetland,Forest
260,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
261,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
