Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNP_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNP_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNP_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNP_M_R,SIBERIA_2024_WorldCover_2021_41WNP_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,Shrubland,NULL,Non_Wetland,NULL
21,NULL,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,NULL,Non_Wetland,Bareland
25,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
27,NULL,Shrubland,NULL,Non_Wetland,Forest
28,NULL,Shrubland,Non_Water,Non_Wetland,NULL
29,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
30,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
33,NULL,Shrubland,Non_Water,Non_Wetland,Water
34,NULL,Shrubland,Non_Water,Non_Wetland,Forest
35,NULL,Shrubland,Water,Non_Wetland,Grassland
36,NULL,Shrubland,Water,Non_Wetland,Wetland
37,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
38,NULL,Shrubland,Water,Non_Wetland,Bareland
39,NULL,Shrubland,Water,Non_Wetland,Water
40,NULL,Shrubland,Water,Non_Wetland,Forest
41,NULL,Grassland,NULL,Non_Wetland,NULL
42,NULL,Grassland,NULL,Non_Wetland,Grassland
43,NULL,Grassland,NULL,Non_Wetland,Wetland
44,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
45,NULL,Grassland,NULL,Non_Wetland,Bareland
46,NULL,Grassland,NULL,Non_Wetland,Water
47,NULL,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
48,NULL,Grassland,NULL,Non_Wetland,Forest
49,NULL,Grassland,Non_Water,Non_Wetland,Grassland
50,NULL,Grassland,Non_Water,Non_Wetland,Wetland
51,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
52,NULL,Grassland,Non_Water,Non_Wetland,Bareland
53,NULL,Grassland,Water,Non_Wetland,Grassland
54,NULL,Grassland,Water,Non_Wetland,Wetland
55,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
56,NULL,Grassland,Water,Non_Wetland,Bareland
57,NULL,Wetland,NULL,Wetland,NULL
58,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,Wetland,NULL,Wetland,Wetland
60,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
61,NULL,Wetland,NULL,Wetland,Bareland
62,NULL,Wetland,NULL,Wetland,Water
63,NULL,Wetland,NULL,Wetland,Forest
64,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
67,NULL,Wetland,Non_Water,Wetland,Bareland
68,NULL,Wetland,Non_Water,Wetland,Water
69,NULL,Wetland,Non_Water,Wetland,Forest
70,NULL,Wetland,Water,Wetland,Grassland
71,NULL,Wetland,Water,Wetland,Wetland
72,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
73,NULL,Wetland,Water,Wetland,Bareland
74,NULL,Wetland,Water,Wetland,Water
75,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
76,NULL,Wetland,Water,Wetland,Forest
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
85,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
89,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
92,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
93,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
95,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
96,NULL,Lichens_and_Mosses,Water,Non_Wetland,Permanent_ice_and_snow
97,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
98,NULL,Bareland,NULL,Non_Wetland,NULL
99,NULL,Bareland,NULL,Non_Wetland,Grassland
100,NULL,Bareland,NULL,Non_Wetland,Wetland
101,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,Bareland,NULL,Non_Wetland,Bareland
103,NULL,Bareland,NULL,Non_Wetland,Water
104,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
105,NULL,Bareland,NULL,Non_Wetland,Forest
106,NULL,Bareland,Non_Water,Non_Wetland,NULL
107,NULL,Bareland,Non_Water,Non_Wetland,Grassland
108,NULL,Bareland,Non_Water,Non_Wetland,Wetland
109,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,Non_Water,Non_Wetland,Bareland
111,NULL,Bareland,Non_Water,Non_Wetland,Water
112,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
113,NULL,Bareland,Non_Water,Non_Wetland,Forest
114,NULL,Bareland,Water,Non_Wetland,NULL
115,NULL,Bareland,Water,Non_Wetland,Grassland
116,NULL,Bareland,Water,Non_Wetland,Wetland
117,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Bareland,Water,Non_Wetland,Bareland
119,NULL,Bareland,Water,Non_Wetland,Water
120,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
121,NULL,Bareland,Water,Non_Wetland,Forest
122,NULL,Built-up,NULL,Non_Wetland,NULL
123,NULL,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Built-up,NULL,Non_Wetland,Wetland
125,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
126,NULL,Built-up,NULL,Non_Wetland,Bareland
127,NULL,Built-up,NULL,Non_Wetland,Water
128,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
129,NULL,Built-up,NULL,Non_Wetland,Forest
130,NULL,Built-up,Non_Water,Non_Wetland,Grassland
131,NULL,Built-up,Non_Water,Non_Wetland,Wetland
132,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
133,NULL,Built-up,Non_Water,Non_Wetland,Bareland
134,NULL,Built-up,Non_Water,Non_Wetland,Water
135,NULL,Built-up,Non_Water,Non_Wetland,Forest
136,NULL,Built-up,Water,Non_Wetland,Grassland
137,NULL,Built-up,Water,Non_Wetland,Wetland
138,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
139,NULL,Built-up,Water,Non_Wetland,Bareland
140,NULL,Built-up,Water,Non_Wetland,Water
141,NULL,Built-up,Water,Non_Wetland,Forest
142,NULL,Water,NULL,NULL,Grassland
143,NULL,Water,NULL,NULL,Lichens_and_Mosses
144,NULL,Water,NULL,NULL,Bareland
145,NULL,Water,NULL,NULL,Water
146,NULL,Water,NULL,NULL,Permanent_ice_and_snow
147,NULL,Water,NULL,Water,NULL
148,NULL,Water,NULL,Water,Grassland
149,NULL,Water,NULL,Water,Wetland
150,NULL,Water,NULL,Water,Lichens_and_Mosses
151,NULL,Water,NULL,Water,Bareland
152,NULL,Water,NULL,Water,Water
153,NULL,Water,NULL,Water,Permanent_ice_and_snow
154,NULL,Water,NULL,Water,Forest
155,NULL,Water,Non_Water,NULL,Bareland
156,NULL,Water,Non_Water,NULL,Permanent_ice_and_snow
157,NULL,Water,Non_Water,Water,Grassland
158,NULL,Water,Non_Water,Water,Wetland
159,NULL,Water,Non_Water,Water,Lichens_and_Mosses
160,NULL,Water,Non_Water,Water,Bareland
161,NULL,Water,Non_Water,Water,Water
162,NULL,Water,Non_Water,Water,Forest
163,NULL,Water,Water,NULL,Lichens_and_Mosses
164,NULL,Water,Water,NULL,Bareland
165,NULL,Water,Water,NULL,Water
166,NULL,Water,Water,NULL,Permanent_ice_and_snow
167,NULL,Water,Water,Water,Grassland
168,NULL,Water,Water,Water,Wetland
169,NULL,Water,Water,Water,Lichens_and_Mosses
170,NULL,Water,Water,Water,Bareland
171,NULL,Water,Water,Water,Water
172,NULL,Water,Water,Water,Permanent_ice_and_snow
173,NULL,Water,Water,Water,Forest
174,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
175,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
176,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
177,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
178,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
179,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
180,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
181,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Permanent_ice_and_snow
182,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Grassland
183,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Lichens_and_Mosses
184,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Bareland
185,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Permanent_ice_and_snow
186,NULL,Forest,NULL,Non_Wetland,NULL
187,NULL,Forest,NULL,Non_Wetland,Grassland
188,NULL,Forest,NULL,Non_Wetland,Wetland
189,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
190,NULL,Forest,NULL,Non_Wetland,Bareland
191,NULL,Forest,NULL,Non_Wetland,Water
192,NULL,Forest,NULL,Non_Wetland,Forest
193,NULL,Forest,Non_Water,Non_Wetland,Grassland
194,NULL,Forest,Non_Water,Non_Wetland,Wetland
195,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
196,NULL,Forest,Non_Water,Non_Wetland,Bareland
197,NULL,Forest,Non_Water,Non_Wetland,Water
198,NULL,Forest,Non_Water,Non_Wetland,Forest
199,NULL,Forest,Water,Non_Wetland,Grassland
200,NULL,Forest,Water,Non_Wetland,Wetland
201,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
202,NULL,Forest,Water,Non_Wetland,Bareland
203,NULL,Forest,Water,Non_Wetland,Water
204,NULL,Forest,Water,Non_Wetland,Forest
205,Wetland,NULL,NULL,Non_Wetland,Grassland
206,Wetland,NULL,NULL,Non_Wetland,Wetland
207,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
208,Wetland,NULL,NULL,Non_Wetland,Bareland
209,Wetland,NULL,NULL,Non_Wetland,Water
210,Wetland,NULL,NULL,Non_Wetland,Forest
211,Wetland,NULL,Non_Water,Non_Wetland,Grassland
212,Wetland,NULL,Non_Water,Non_Wetland,Wetland
213,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
214,Wetland,NULL,Non_Water,Non_Wetland,Water
215,Wetland,NULL,Non_Water,Non_Wetland,Forest
216,Wetland,NULL,Water,Non_Wetland,Grassland
217,Wetland,NULL,Water,Non_Wetland,Wetland
218,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
219,Wetland,NULL,Water,Non_Wetland,Bareland
220,Wetland,NULL,Water,Non_Wetland,Water
221,Wetland,NULL,Water,Non_Wetland,Forest
222,Wetland,Shrubland,NULL,Non_Wetland,NULL
223,Wetland,Shrubland,NULL,Non_Wetland,Grassland
224,Wetland,Shrubland,NULL,Non_Wetland,Wetland
225,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
226,Wetland,Shrubland,NULL,Non_Wetland,Bareland
227,Wetland,Shrubland,NULL,Non_Wetland,Water
228,Wetland,Shrubland,NULL,Non_Wetland,Forest
229,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
230,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
231,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
232,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
233,Wetland,Shrubland,Non_Water,Non_Wetland,Water
234,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
235,Wetland,Shrubland,Water,Non_Wetland,Grassland
236,Wetland,Shrubland,Water,Non_Wetland,Wetland
237,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
238,Wetland,Shrubland,Water,Non_Wetland,Bareland
239,Wetland,Shrubland,Water,Non_Wetland,Water
240,Wetland,Shrubland,Water,Non_Wetland,Forest
241,Wetland,Grassland,NULL,Non_Wetland,Grassland
242,Wetland,Grassland,NULL,Non_Wetland,Wetland
243,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
244,Wetland,Grassland,NULL,Non_Wetland,Water
245,Wetland,Grassland,NULL,Non_Wetland,Forest
246,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
247,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
248,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
249,Wetland,Grassland,Non_Water,Non_Wetland,Water
250,Wetland,Grassland,Non_Water,Non_Wetland,Forest
