Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VXL_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VXL_M_R,SIBERIA_2024_GSW_Yearly_2021_42VXL_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,SIBERIA_2024_WorldCover_2021_42VXL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Water
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,Grassland,NULL,Non_Wetland,Wetland
17,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,Grassland,NULL,Non_Wetland,Built-up
19,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,Grassland,Non_Water,Non_Wetland,Wetland
21,NULL,Grassland,Non_Water,Non_Wetland,Bareland
22,NULL,Grassland,Non_Water,Non_Wetland,Forest
23,NULL,Grassland,Water,Non_Wetland,Bareland
24,NULL,Grassland,Water,Non_Wetland,Water
25,NULL,Cropland,NULL,Non_Wetland,NULL
26,NULL,Cropland,NULL,Non_Wetland,Grassland
27,NULL,Cropland,NULL,Non_Wetland,Cropland
28,NULL,Cropland,NULL,Non_Wetland,Wetland
29,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
30,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,Cropland,NULL,Non_Wetland,Water
33,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,Cropland,Non_Water,Non_Wetland,Grassland
35,NULL,Cropland,Non_Water,Non_Wetland,Forest
36,NULL,Cropland,Water,Non_Wetland,Grassland
37,NULL,Cropland,Water,Non_Wetland,Bareland
38,NULL,Cropland,Water,Non_Wetland,Water
39,NULL,Cropland,Water,Non_Wetland,Forest
40,NULL,Wetland,NULL,Wetland,NULL
41,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,Wetland,NULL,Wetland,Cropland
43,NULL,Wetland,NULL,Wetland,Wetland
44,NULL,Wetland,NULL,Wetland,Water
45,NULL,Wetland,NULL,Wetland,Forest
46,NULL,Wetland,Non_Water,Wetland,NULL
47,NULL,Wetland,Non_Water,Wetland,Grassland
48,NULL,Wetland,Non_Water,Wetland,Wetland
49,NULL,Wetland,Non_Water,Wetland,Forest
50,NULL,Wetland,Water,Wetland,NULL
51,NULL,Wetland,Water,Wetland,Grassland
52,NULL,Wetland,Water,Wetland,Wetland
53,NULL,Wetland,Water,Wetland,Water
54,NULL,Wetland,Water,Wetland,Forest
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
56,NULL,Bareland,NULL,Non_Wetland,NULL
57,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,Bareland,NULL,Non_Wetland,Wetland
59,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
60,NULL,Bareland,NULL,Non_Wetland,Bareland
61,NULL,Bareland,NULL,Non_Wetland,Built-up
62,NULL,Bareland,NULL,Non_Wetland,Water
63,NULL,Bareland,NULL,Non_Wetland,Forest
64,NULL,Bareland,Non_Water,Non_Wetland,Grassland
65,NULL,Bareland,Non_Water,Non_Wetland,Wetland
66,NULL,Bareland,Non_Water,Non_Wetland,Bareland
67,NULL,Bareland,Non_Water,Non_Wetland,Water
68,NULL,Bareland,Non_Water,Non_Wetland,Forest
69,NULL,Bareland,Water,Non_Wetland,Grassland
70,NULL,Bareland,Water,Non_Wetland,Wetland
71,NULL,Bareland,Water,Non_Wetland,Bareland
72,NULL,Bareland,Water,Non_Wetland,Water
73,NULL,Bareland,Water,Non_Wetland,Forest
74,NULL,Built-up,NULL,Non_Wetland,Grassland
75,NULL,Built-up,NULL,Non_Wetland,Wetland
76,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,Built-up,NULL,Non_Wetland,Water
80,NULL,Built-up,NULL,Non_Wetland,Forest
81,NULL,Built-up,Non_Water,Non_Wetland,Grassland
82,NULL,Built-up,Non_Water,Non_Wetland,Bareland
83,NULL,Built-up,Non_Water,Non_Wetland,Built-up
84,NULL,Built-up,Non_Water,Non_Wetland,Forest
85,NULL,Built-up,Water,Non_Wetland,Grassland
86,NULL,Built-up,Water,Non_Wetland,Bareland
87,NULL,Built-up,Water,Non_Wetland,Water
88,NULL,Built-up,Water,Non_Wetland,Forest
89,NULL,Water,NULL,Water,Grassland
90,NULL,Water,NULL,Water,Wetland
91,NULL,Water,NULL,Water,Bareland
92,NULL,Water,NULL,Water,Water
93,NULL,Water,NULL,Water,Forest
94,NULL,Water,Water,Water,Grassland
95,NULL,Water,Water,Water,Wetland
96,NULL,Water,Water,Water,Water
97,NULL,Water,Water,Water,Forest
98,NULL,Forest,NULL,Non_Wetland,NULL
99,NULL,Forest,NULL,Non_Wetland,Grassland
100,NULL,Forest,NULL,Non_Wetland,Cropland
101,NULL,Forest,NULL,Non_Wetland,Wetland
102,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,Forest,NULL,Non_Wetland,Bareland
104,NULL,Forest,NULL,Non_Wetland,Built-up
105,NULL,Forest,NULL,Non_Wetland,Water
106,NULL,Forest,NULL,Non_Wetland,Forest
107,NULL,Forest,Non_Water,Non_Wetland,NULL
108,NULL,Forest,Non_Water,Non_Wetland,Grassland
109,NULL,Forest,Non_Water,Non_Wetland,Wetland
110,NULL,Forest,Non_Water,Non_Wetland,Water
111,NULL,Forest,Non_Water,Non_Wetland,Forest
112,NULL,Forest,Water,Non_Wetland,Grassland
113,NULL,Forest,Water,Non_Wetland,Wetland
114,NULL,Forest,Water,Non_Wetland,Water
115,NULL,Forest,Water,Non_Wetland,Forest
116,Cropland,NULL,NULL,Non_Wetland,Wetland
117,Cropland,Grassland,NULL,Non_Wetland,Grassland
118,Cropland,Wetland,NULL,Wetland,NULL
119,Cropland,Wetland,NULL,Wetland,Grassland
120,Cropland,Wetland,NULL,Wetland,Wetland
121,Cropland,Wetland,NULL,Wetland,Forest
122,Cropland,Bareland,NULL,Non_Wetland,Grassland
123,Cropland,Bareland,NULL,Non_Wetland,Wetland
124,Cropland,Forest,NULL,Non_Wetland,NULL
125,Cropland,Forest,NULL,Non_Wetland,Grassland
126,Cropland,Forest,NULL,Non_Wetland,Wetland
127,Cropland,Forest,NULL,Non_Wetland,Forest
128,Wetland,NULL,NULL,Non_Wetland,NULL
129,Wetland,NULL,NULL,Non_Wetland,Grassland
130,Wetland,NULL,NULL,Non_Wetland,Wetland
131,Wetland,NULL,NULL,Non_Wetland,Water
132,Wetland,NULL,NULL,Non_Wetland,Forest
133,Wetland,NULL,Non_Water,Non_Wetland,Grassland
134,Wetland,NULL,Non_Water,Non_Wetland,Forest
135,Wetland,NULL,Water,Non_Wetland,Forest
136,Wetland,Shrubland,NULL,Non_Wetland,Grassland
137,Wetland,Shrubland,NULL,Non_Wetland,Wetland
138,Wetland,Grassland,NULL,Non_Wetland,Grassland
139,Wetland,Grassland,NULL,Non_Wetland,Wetland
140,Wetland,Grassland,NULL,Non_Wetland,Bareland
141,Wetland,Grassland,NULL,Non_Wetland,Forest
142,Wetland,Cropland,NULL,Non_Wetland,Grassland
143,Wetland,Cropland,NULL,Non_Wetland,Wetland
144,Wetland,Cropland,NULL,Non_Wetland,Bareland
145,Wetland,Cropland,NULL,Non_Wetland,Forest
146,Wetland,Cropland,Non_Water,Non_Wetland,Forest
147,Wetland,Wetland,NULL,Wetland,NULL
148,Wetland,Wetland,NULL,Wetland,Grassland
149,Wetland,Wetland,NULL,Wetland,Wetland
150,Wetland,Wetland,NULL,Wetland,Water
151,Wetland,Wetland,NULL,Wetland,Forest
152,Wetland,Wetland,Non_Water,Wetland,Wetland
153,Wetland,Wetland,Non_Water,Wetland,Water
154,Wetland,Wetland,Non_Water,Wetland,Forest
155,Wetland,Wetland,Water,Wetland,NULL
156,Wetland,Wetland,Water,Wetland,Grassland
157,Wetland,Wetland,Water,Wetland,Wetland
158,Wetland,Wetland,Water,Wetland,Water
159,Wetland,Wetland,Water,Wetland,Forest
160,Wetland,Bareland,NULL,Non_Wetland,NULL
161,Wetland,Bareland,NULL,Non_Wetland,Grassland
162,Wetland,Bareland,NULL,Non_Wetland,Wetland
163,Wetland,Bareland,NULL,Non_Wetland,Bareland
164,Wetland,Bareland,NULL,Non_Wetland,Built-up
165,Wetland,Bareland,NULL,Non_Wetland,Water
166,Wetland,Bareland,NULL,Non_Wetland,Forest
167,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
168,Wetland,Bareland,Non_Water,Non_Wetland,Water
169,Wetland,Bareland,Non_Water,Non_Wetland,Forest
170,Wetland,Bareland,Water,Non_Wetland,Wetland
171,Wetland,Bareland,Water,Non_Wetland,Water
172,Wetland,Built-up,NULL,Non_Wetland,Grassland
173,Wetland,Built-up,NULL,Non_Wetland,Wetland
174,Wetland,Built-up,NULL,Non_Wetland,Bareland
175,Wetland,Built-up,NULL,Non_Wetland,Built-up
176,Wetland,Built-up,NULL,Non_Wetland,Forest
177,Wetland,Water,NULL,Water,Grassland
178,Wetland,Water,NULL,Water,Wetland
179,Wetland,Water,NULL,Water,Water
180,Wetland,Water,NULL,Water,Forest
181,Wetland,Water,Non_Water,Water,Wetland
182,Wetland,Water,Non_Water,Water,Water
183,Wetland,Water,Non_Water,Water,Forest
184,Wetland,Water,Water,Water,NULL
185,Wetland,Water,Water,Water,Grassland
186,Wetland,Water,Water,Water,Wetland
187,Wetland,Water,Water,Water,Water
188,Wetland,Water,Water,Water,Forest
189,Wetland,Forest,NULL,Non_Wetland,NULL
190,Wetland,Forest,NULL,Non_Wetland,Grassland
191,Wetland,Forest,NULL,Non_Wetland,Wetland
192,Wetland,Forest,NULL,Non_Wetland,Built-up
193,Wetland,Forest,NULL,Non_Wetland,Water
194,Wetland,Forest,NULL,Non_Wetland,Forest
195,Wetland,Forest,Non_Water,Non_Wetland,Grassland
196,Wetland,Forest,Non_Water,Non_Wetland,Wetland
197,Wetland,Forest,Non_Water,Non_Wetland,Water
198,Wetland,Forest,Non_Water,Non_Wetland,Forest
199,Wetland,Forest,Water,Non_Wetland,Grassland
200,Wetland,Forest,Water,Non_Wetland,Wetland
201,Wetland,Forest,Water,Non_Wetland,Water
202,Wetland,Forest,Water,Non_Wetland,Forest
203,Bareland,NULL,NULL,Non_Wetland,Bareland
204,Bareland,NULL,NULL,Non_Wetland,Water
205,Bareland,NULL,NULL,Non_Wetland,Forest
206,Bareland,Grassland,NULL,Non_Wetland,Grassland
207,Bareland,Grassland,NULL,Non_Wetland,Bareland
208,Bareland,Grassland,NULL,Non_Wetland,Forest
209,Bareland,Cropland,NULL,Non_Wetland,Grassland
210,Bareland,Cropland,NULL,Non_Wetland,Cropland
211,Bareland,Cropland,NULL,Non_Wetland,Wetland
212,Bareland,Cropland,NULL,Non_Wetland,Bareland
213,Bareland,Cropland,NULL,Non_Wetland,Built-up
214,Bareland,Cropland,NULL,Non_Wetland,Forest
215,Bareland,Wetland,NULL,Wetland,Grassland
216,Bareland,Wetland,NULL,Wetland,Wetland
217,Bareland,Wetland,NULL,Wetland,Water
218,Bareland,Wetland,NULL,Wetland,Forest
219,Bareland,Bareland,NULL,Non_Wetland,Grassland
220,Bareland,Bareland,NULL,Non_Wetland,Bareland
221,Bareland,Bareland,NULL,Non_Wetland,Forest
222,Bareland,Built-up,NULL,Non_Wetland,Grassland
223,Bareland,Built-up,NULL,Non_Wetland,Bareland
224,Bareland,Built-up,NULL,Non_Wetland,Built-up
225,Bareland,Built-up,NULL,Non_Wetland,Water
226,Bareland,Built-up,NULL,Non_Wetland,Forest
227,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
228,Bareland,Built-up,Water,Non_Wetland,Bareland
229,Bareland,Water,NULL,Water,Bareland
230,Bareland,Water,Water,Water,Water
231,Bareland,Forest,NULL,Non_Wetland,Grassland
232,Bareland,Forest,NULL,Non_Wetland,Cropland
233,Bareland,Forest,NULL,Non_Wetland,Wetland
234,Bareland,Forest,NULL,Non_Wetland,Bareland
235,Bareland,Forest,NULL,Non_Wetland,Built-up
236,Bareland,Forest,NULL,Non_Wetland,Water
237,Bareland,Forest,NULL,Non_Wetland,Forest
238,Bareland,Forest,Water,Non_Wetland,Forest
239,Built-up,NULL,NULL,Non_Wetland,Grassland
240,Built-up,NULL,NULL,Non_Wetland,Forest
241,Built-up,Shrubland,NULL,Non_Wetland,Wetland
242,Built-up,Grassland,NULL,Non_Wetland,Grassland
243,Built-up,Grassland,NULL,Non_Wetland,Wetland
244,Built-up,Grassland,NULL,Non_Wetland,Bareland
245,Built-up,Grassland,NULL,Non_Wetland,Built-up
246,Built-up,Grassland,NULL,Non_Wetland,Water
247,Built-up,Grassland,NULL,Non_Wetland,Forest
248,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
249,Built-up,Grassland,Water,Non_Wetland,Bareland
250,Built-up,Grassland,Water,Non_Wetland,Built-up
251,Built-up,Grassland,Water,Non_Wetland,Forest
252,Built-up,Cropland,NULL,Non_Wetland,Grassland
253,Built-up,Cropland,NULL,Non_Wetland,Cropland
254,Built-up,Cropland,NULL,Non_Wetland,Wetland
255,Built-up,Cropland,NULL,Non_Wetland,Bareland
256,Built-up,Cropland,NULL,Non_Wetland,Built-up
257,Built-up,Cropland,NULL,Non_Wetland,Water
258,Built-up,Cropland,NULL,Non_Wetland,Forest
259,Built-up,Cropland,Non_Water,Non_Wetland,Water
260,Built-up,Cropland,Water,Non_Wetland,Grassland
261,Built-up,Cropland,Water,Non_Wetland,Bareland
262,Built-up,Cropland,Water,Non_Wetland,Water
263,Built-up,Cropland,Water,Non_Wetland,Forest
264,Built-up,Wetland,NULL,Wetland,NULL
265,Built-up,Wetland,NULL,Wetland,Grassland
266,Built-up,Wetland,NULL,Wetland,Wetland
267,Built-up,Wetland,NULL,Wetland,Water
268,Built-up,Wetland,NULL,Wetland,Forest
269,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
270,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
271,Built-up,Bareland,NULL,Non_Wetland,Grassland
272,Built-up,Bareland,NULL,Non_Wetland,Cropland
273,Built-up,Bareland,NULL,Non_Wetland,Wetland
