Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,SIBERIA_2024_WorldCover_2021_43VEF_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,Grassland,NULL,Non_Wetland,Wetland
19,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,Grassland,NULL,Non_Wetland,Water
22,NULL,Grassland,NULL,Non_Wetland,Forest
23,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
25,NULL,Grassland,Non_Water,Non_Wetland,Water
26,NULL,Grassland,Non_Water,Non_Wetland,Forest
27,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,Grassland,Water,Non_Wetland,Bareland
29,NULL,Grassland,Water,Non_Wetland,Forest
30,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,Cropland,NULL,Non_Wetland,Wetland
34,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,Cropland,NULL,Non_Wetland,Built-up
37,NULL,Cropland,NULL,Non_Wetland,Water
38,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,Cropland,Non_Water,Non_Wetland,Grassland
40,NULL,Cropland,Non_Water,Non_Wetland,Wetland
41,NULL,Cropland,Non_Water,Non_Wetland,Bareland
42,NULL,Cropland,Non_Water,Non_Wetland,Built-up
43,NULL,Cropland,Non_Water,Non_Wetland,Forest
44,NULL,Cropland,Water,Non_Wetland,Grassland
45,NULL,Cropland,Water,Non_Wetland,Cropland
46,NULL,Cropland,Water,Non_Wetland,Wetland
47,NULL,Cropland,Water,Non_Wetland,Forest
48,NULL,Wetland,NULL,Wetland,NULL
49,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,Wetland,NULL,Wetland,Built-up
53,NULL,Wetland,NULL,Wetland,Water
54,NULL,Wetland,NULL,Wetland,Forest
55,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,Wetland,Non_Water,Wetland,Water
59,NULL,Wetland,Non_Water,Wetland,Forest
60,NULL,Wetland,Water,Wetland,NULL
61,NULL,Wetland,Water,Wetland,Grassland
62,NULL,Wetland,Water,Wetland,Wetland
63,NULL,Wetland,Water,Wetland,Water
64,NULL,Wetland,Water,Wetland,Forest
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
69,NULL,Bareland,NULL,Non_Wetland,NULL
70,NULL,Bareland,NULL,Non_Wetland,Grassland
71,NULL,Bareland,NULL,Non_Wetland,Cropland
72,NULL,Bareland,NULL,Non_Wetland,Wetland
73,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,Bareland,NULL,Non_Wetland,Bareland
75,NULL,Bareland,NULL,Non_Wetland,Built-up
76,NULL,Bareland,NULL,Non_Wetland,Water
77,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,Bareland,Non_Water,Non_Wetland,Wetland
80,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,Bareland,Non_Water,Non_Wetland,Built-up
82,NULL,Bareland,Non_Water,Non_Wetland,Water
83,NULL,Bareland,Non_Water,Non_Wetland,Forest
84,NULL,Bareland,Water,Non_Wetland,Grassland
85,NULL,Bareland,Water,Non_Wetland,Wetland
86,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,Bareland,Water,Non_Wetland,Forest
89,NULL,Built-up,NULL,Non_Wetland,Grassland
90,NULL,Built-up,NULL,Non_Wetland,Wetland
91,NULL,Built-up,NULL,Non_Wetland,Bareland
92,NULL,Built-up,NULL,Non_Wetland,Built-up
93,NULL,Built-up,NULL,Non_Wetland,Forest
94,NULL,Built-up,Non_Water,Non_Wetland,Grassland
95,NULL,Built-up,Non_Water,Non_Wetland,Bareland
96,NULL,Built-up,Non_Water,Non_Wetland,Built-up
97,NULL,Built-up,Non_Water,Non_Wetland,Forest
98,NULL,Built-up,Water,Non_Wetland,Bareland
99,NULL,Built-up,Water,Non_Wetland,Built-up
100,NULL,Water,NULL,Water,Grassland
101,NULL,Water,NULL,Water,Wetland
102,NULL,Water,NULL,Water,Water
103,NULL,Water,NULL,Water,Forest
104,NULL,Water,Non_Water,Water,Grassland
105,NULL,Water,Non_Water,Water,Wetland
106,NULL,Water,Non_Water,Water,Water
107,NULL,Water,Non_Water,Water,Forest
108,NULL,Water,Water,Water,Grassland
109,NULL,Water,Water,Water,Wetland
110,NULL,Water,Water,Water,Bareland
111,NULL,Water,Water,Water,Water
112,NULL,Water,Water,Water,Forest
113,NULL,Forest,NULL,Non_Wetland,NULL
114,NULL,Forest,NULL,Non_Wetland,Grassland
115,NULL,Forest,NULL,Non_Wetland,Cropland
116,NULL,Forest,NULL,Non_Wetland,Wetland
117,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
118,NULL,Forest,NULL,Non_Wetland,Bareland
119,NULL,Forest,NULL,Non_Wetland,Built-up
120,NULL,Forest,NULL,Non_Wetland,Water
121,NULL,Forest,NULL,Non_Wetland,Forest
122,NULL,Forest,Non_Water,Non_Wetland,NULL
123,NULL,Forest,Non_Water,Non_Wetland,Grassland
124,NULL,Forest,Non_Water,Non_Wetland,Wetland
125,NULL,Forest,Non_Water,Non_Wetland,Water
126,NULL,Forest,Non_Water,Non_Wetland,Forest
127,NULL,Forest,Water,Non_Wetland,NULL
128,NULL,Forest,Water,Non_Wetland,Grassland
129,NULL,Forest,Water,Non_Wetland,Wetland
130,NULL,Forest,Water,Non_Wetland,Bareland
131,NULL,Forest,Water,Non_Wetland,Water
132,NULL,Forest,Water,Non_Wetland,Forest
133,Cropland,NULL,NULL,Non_Wetland,Forest
134,Cropland,Wetland,NULL,Wetland,NULL
135,Cropland,Wetland,NULL,Wetland,Grassland
136,Cropland,Wetland,NULL,Wetland,Wetland
137,Cropland,Wetland,NULL,Wetland,Forest
138,Cropland,Bareland,NULL,Non_Wetland,Wetland
139,Cropland,Forest,NULL,Non_Wetland,Grassland
140,Cropland,Forest,NULL,Non_Wetland,Wetland
141,Cropland,Forest,NULL,Non_Wetland,Forest
142,Wetland,NULL,NULL,Non_Wetland,NULL
143,Wetland,NULL,NULL,Non_Wetland,Grassland
144,Wetland,NULL,NULL,Non_Wetland,Wetland
145,Wetland,NULL,NULL,Non_Wetland,Water
146,Wetland,NULL,NULL,Non_Wetland,Forest
147,Wetland,NULL,Non_Water,Non_Wetland,Grassland
148,Wetland,NULL,Non_Water,Non_Wetland,Wetland
149,Wetland,NULL,Non_Water,Non_Wetland,Water
150,Wetland,NULL,Non_Water,Non_Wetland,Forest
151,Wetland,NULL,Water,Non_Wetland,Grassland
152,Wetland,NULL,Water,Non_Wetland,Wetland
153,Wetland,NULL,Water,Non_Wetland,Water
154,Wetland,NULL,Water,Non_Wetland,Forest
155,Wetland,Shrubland,NULL,Non_Wetland,Grassland
156,Wetland,Shrubland,NULL,Non_Wetland,Forest
157,Wetland,Grassland,NULL,Non_Wetland,Grassland
158,Wetland,Grassland,NULL,Non_Wetland,Wetland
159,Wetland,Grassland,NULL,Non_Wetland,Bareland
160,Wetland,Grassland,NULL,Non_Wetland,Built-up
161,Wetland,Grassland,NULL,Non_Wetland,Water
162,Wetland,Grassland,NULL,Non_Wetland,Forest
163,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
164,Wetland,Grassland,Non_Water,Non_Wetland,Forest
165,Wetland,Grassland,Water,Non_Wetland,Bareland
166,Wetland,Grassland,Water,Non_Wetland,Water
167,Wetland,Cropland,NULL,Non_Wetland,NULL
168,Wetland,Cropland,NULL,Non_Wetland,Grassland
169,Wetland,Cropland,NULL,Non_Wetland,Wetland
170,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
171,Wetland,Cropland,NULL,Non_Wetland,Bareland
172,Wetland,Cropland,NULL,Non_Wetland,Built-up
173,Wetland,Cropland,NULL,Non_Wetland,Forest
174,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
175,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
176,Wetland,Cropland,Non_Water,Non_Wetland,Water
177,Wetland,Cropland,Non_Water,Non_Wetland,Forest
178,Wetland,Cropland,Water,Non_Wetland,Grassland
179,Wetland,Cropland,Water,Non_Wetland,Wetland
180,Wetland,Cropland,Water,Non_Wetland,Forest
181,Wetland,Wetland,NULL,Wetland,NULL
182,Wetland,Wetland,NULL,Wetland,Grassland
183,Wetland,Wetland,NULL,Wetland,Wetland
184,Wetland,Wetland,NULL,Wetland,Bareland
185,Wetland,Wetland,NULL,Wetland,Built-up
186,Wetland,Wetland,NULL,Wetland,Water
187,Wetland,Wetland,NULL,Wetland,Forest
188,Wetland,Wetland,Non_Water,Wetland,NULL
189,Wetland,Wetland,Non_Water,Wetland,Grassland
190,Wetland,Wetland,Non_Water,Wetland,Wetland
191,Wetland,Wetland,Non_Water,Wetland,Water
192,Wetland,Wetland,Non_Water,Wetland,Forest
193,Wetland,Wetland,Water,Wetland,NULL
194,Wetland,Wetland,Water,Wetland,Grassland
195,Wetland,Wetland,Water,Wetland,Wetland
196,Wetland,Wetland,Water,Wetland,Water
197,Wetland,Wetland,Water,Wetland,Forest
198,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
199,Wetland,Bareland,NULL,Non_Wetland,NULL
200,Wetland,Bareland,NULL,Non_Wetland,Grassland
201,Wetland,Bareland,NULL,Non_Wetland,Wetland
202,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
203,Wetland,Bareland,NULL,Non_Wetland,Bareland
204,Wetland,Bareland,NULL,Non_Wetland,Built-up
205,Wetland,Bareland,NULL,Non_Wetland,Water
206,Wetland,Bareland,NULL,Non_Wetland,Forest
207,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
208,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
209,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
210,Wetland,Bareland,Non_Water,Non_Wetland,Water
211,Wetland,Bareland,Non_Water,Non_Wetland,Forest
212,Wetland,Bareland,Water,Non_Wetland,Grassland
213,Wetland,Bareland,Water,Non_Wetland,Wetland
214,Wetland,Bareland,Water,Non_Wetland,Bareland
215,Wetland,Bareland,Water,Non_Wetland,Water
216,Wetland,Bareland,Water,Non_Wetland,Forest
217,Wetland,Built-up,NULL,Non_Wetland,Grassland
218,Wetland,Built-up,NULL,Non_Wetland,Wetland
219,Wetland,Built-up,NULL,Non_Wetland,Bareland
220,Wetland,Built-up,NULL,Non_Wetland,Built-up
221,Wetland,Built-up,NULL,Non_Wetland,Forest
222,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
223,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
224,Wetland,Built-up,Non_Water,Non_Wetland,Forest
225,Wetland,Built-up,Water,Non_Wetland,Built-up
226,Wetland,Water,NULL,Water,Grassland
227,Wetland,Water,NULL,Water,Wetland
228,Wetland,Water,NULL,Water,Bareland
229,Wetland,Water,NULL,Water,Water
230,Wetland,Water,NULL,Water,Forest
231,Wetland,Water,Non_Water,Water,Wetland
232,Wetland,Water,Non_Water,Water,Water
233,Wetland,Water,Non_Water,Water,Forest
234,Wetland,Water,Water,Water,Grassland
235,Wetland,Water,Water,Water,Wetland
236,Wetland,Water,Water,Water,Water
237,Wetland,Water,Water,Water,Forest
238,Wetland,Forest,NULL,Non_Wetland,NULL
239,Wetland,Forest,NULL,Non_Wetland,Grassland
240,Wetland,Forest,NULL,Non_Wetland,Wetland
241,Wetland,Forest,NULL,Non_Wetland,Bareland
242,Wetland,Forest,NULL,Non_Wetland,Built-up
243,Wetland,Forest,NULL,Non_Wetland,Water
244,Wetland,Forest,NULL,Non_Wetland,Forest
245,Wetland,Forest,Non_Water,Non_Wetland,Grassland
246,Wetland,Forest,Non_Water,Non_Wetland,Wetland
247,Wetland,Forest,Non_Water,Non_Wetland,Water
248,Wetland,Forest,Non_Water,Non_Wetland,Forest
249,Wetland,Forest,Water,Non_Wetland,Grassland
250,Wetland,Forest,Water,Non_Wetland,Wetland
251,Wetland,Forest,Water,Non_Wetland,Water
252,Wetland,Forest,Water,Non_Wetland,Forest
253,Bareland,NULL,NULL,Non_Wetland,Forest
254,Bareland,Grassland,NULL,Non_Wetland,Grassland
255,Bareland,Grassland,Water,Non_Wetland,Wetland
256,Bareland,Cropland,NULL,Non_Wetland,Grassland
257,Bareland,Cropland,NULL,Non_Wetland,Bareland
258,Bareland,Cropland,NULL,Non_Wetland,Built-up
259,Bareland,Cropland,NULL,Non_Wetland,Forest
260,Bareland,Wetland,NULL,Wetland,Wetland
261,Bareland,Wetland,NULL,Wetland,Bareland
262,Bareland,Wetland,NULL,Wetland,Forest
263,Bareland,Wetland,Non_Water,Wetland,Forest
264,Bareland,Wetland,Water,Wetland,Wetland
265,Bareland,Bareland,NULL,Non_Wetland,Grassland
266,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
267,Bareland,Bareland,NULL,Non_Wetland,Bareland
268,Bareland,Bareland,NULL,Non_Wetland,Built-up
269,Bareland,Bareland,NULL,Non_Wetland,Forest
270,Bareland,Built-up,NULL,Non_Wetland,Grassland
271,Bareland,Built-up,NULL,Non_Wetland,Bareland
