Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VWM_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VWM_M_R,SIBERIA_2024_GSW_Yearly_2021_42VWM_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VWM_M_R,SIBERIA_2024_WorldCover_2021_42VWM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Cropland
11,NULL,NULL,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,Shrubland,NULL,Non_Wetland,Cropland
21,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
29,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
31,NULL,Shrubland,Non_Water,Non_Wetland,Forest
32,NULL,Shrubland,Water,Non_Wetland,Grassland
33,NULL,Shrubland,Water,Non_Wetland,Wetland
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
40,NULL,Grassland,NULL,Non_Wetland,Bareland
41,NULL,Grassland,NULL,Non_Wetland,Built-up
42,NULL,Grassland,NULL,Non_Wetland,Water
43,NULL,Grassland,NULL,Non_Wetland,Forest
44,NULL,Grassland,Non_Water,Non_Wetland,Grassland
45,NULL,Grassland,Non_Water,Non_Wetland,Wetland
46,NULL,Grassland,Non_Water,Non_Wetland,Bareland
47,NULL,Grassland,Non_Water,Non_Wetland,Water
48,NULL,Grassland,Non_Water,Non_Wetland,Forest
49,NULL,Grassland,Water,Non_Wetland,Grassland
50,NULL,Grassland,Water,Non_Wetland,Wetland
51,NULL,Grassland,Water,Non_Wetland,Bareland
52,NULL,Grassland,Water,Non_Wetland,Water
53,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,Cropland,NULL,Non_Wetland,NULL
55,NULL,Cropland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,NULL,Non_Wetland,Cropland
57,NULL,Cropland,NULL,Non_Wetland,Wetland
58,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
59,NULL,Cropland,NULL,Non_Wetland,Bareland
60,NULL,Cropland,NULL,Non_Wetland,Built-up
61,NULL,Cropland,NULL,Non_Wetland,Water
62,NULL,Cropland,NULL,Non_Wetland,Forest
63,NULL,Cropland,Non_Water,Non_Wetland,Grassland
64,NULL,Cropland,Non_Water,Non_Wetland,Cropland
65,NULL,Cropland,Non_Water,Non_Wetland,Wetland
66,NULL,Cropland,Non_Water,Non_Wetland,Bareland
67,NULL,Cropland,Non_Water,Non_Wetland,Water
68,NULL,Cropland,Non_Water,Non_Wetland,Forest
69,NULL,Cropland,Water,Non_Wetland,Grassland
70,NULL,Cropland,Water,Non_Wetland,Cropland
71,NULL,Cropland,Water,Non_Wetland,Wetland
72,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
73,NULL,Cropland,Water,Non_Wetland,Bareland
74,NULL,Cropland,Water,Non_Wetland,Water
75,NULL,Cropland,Water,Non_Wetland,Forest
76,NULL,Wetland,NULL,Wetland,NULL
77,NULL,Wetland,NULL,Wetland,Grassland
78,NULL,Wetland,NULL,Wetland,Cropland
79,NULL,Wetland,NULL,Wetland,Wetland
80,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
81,NULL,Wetland,NULL,Wetland,Bareland
82,NULL,Wetland,NULL,Wetland,Built-up
83,NULL,Wetland,NULL,Wetland,Water
84,NULL,Wetland,NULL,Wetland,Forest
85,NULL,Wetland,Non_Water,Wetland,NULL
86,NULL,Wetland,Non_Water,Wetland,Grassland
87,NULL,Wetland,Non_Water,Wetland,Cropland
88,NULL,Wetland,Non_Water,Wetland,Wetland
89,NULL,Wetland,Non_Water,Wetland,Bareland
90,NULL,Wetland,Non_Water,Wetland,Built-up
91,NULL,Wetland,Non_Water,Wetland,Water
92,NULL,Wetland,Non_Water,Wetland,Forest
93,NULL,Wetland,Water,Wetland,NULL
94,NULL,Wetland,Water,Wetland,Grassland
95,NULL,Wetland,Water,Wetland,Cropland
96,NULL,Wetland,Water,Wetland,Wetland
97,NULL,Wetland,Water,Wetland,Bareland
98,NULL,Wetland,Water,Wetland,Water
99,NULL,Wetland,Water,Wetland,Forest
100,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
101,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
102,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
103,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
104,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
106,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
107,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
108,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
109,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
110,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
111,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
112,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
113,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
114,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
115,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
116,NULL,Bareland,NULL,Non_Wetland,NULL
117,NULL,Bareland,NULL,Non_Wetland,Grassland
118,NULL,Bareland,NULL,Non_Wetland,Cropland
119,NULL,Bareland,NULL,Non_Wetland,Wetland
120,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
121,NULL,Bareland,NULL,Non_Wetland,Bareland
122,NULL,Bareland,NULL,Non_Wetland,Built-up
123,NULL,Bareland,NULL,Non_Wetland,Water
124,NULL,Bareland,NULL,Non_Wetland,Forest
125,NULL,Bareland,Non_Water,Non_Wetland,Grassland
126,NULL,Bareland,Non_Water,Non_Wetland,Cropland
127,NULL,Bareland,Non_Water,Non_Wetland,Wetland
128,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
129,NULL,Bareland,Non_Water,Non_Wetland,Bareland
130,NULL,Bareland,Non_Water,Non_Wetland,Built-up
131,NULL,Bareland,Non_Water,Non_Wetland,Water
132,NULL,Bareland,Non_Water,Non_Wetland,Forest
133,NULL,Bareland,Water,Non_Wetland,NULL
134,NULL,Bareland,Water,Non_Wetland,Grassland
135,NULL,Bareland,Water,Non_Wetland,Wetland
136,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
137,NULL,Bareland,Water,Non_Wetland,Bareland
138,NULL,Bareland,Water,Non_Wetland,Water
139,NULL,Bareland,Water,Non_Wetland,Forest
140,NULL,Built-up,NULL,Non_Wetland,NULL
141,NULL,Built-up,NULL,Non_Wetland,Grassland
142,NULL,Built-up,NULL,Non_Wetland,Cropland
143,NULL,Built-up,NULL,Non_Wetland,Wetland
144,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
145,NULL,Built-up,NULL,Non_Wetland,Bareland
146,NULL,Built-up,NULL,Non_Wetland,Built-up
147,NULL,Built-up,NULL,Non_Wetland,Water
148,NULL,Built-up,NULL,Non_Wetland,Forest
149,NULL,Built-up,Non_Water,Non_Wetland,Grassland
150,NULL,Built-up,Non_Water,Non_Wetland,Wetland
151,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Built-up,Non_Water,Non_Wetland,Bareland
153,NULL,Built-up,Non_Water,Non_Wetland,Built-up
154,NULL,Built-up,Non_Water,Non_Wetland,Water
155,NULL,Built-up,Non_Water,Non_Wetland,Forest
156,NULL,Built-up,Water,Non_Wetland,Grassland
157,NULL,Built-up,Water,Non_Wetland,Wetland
158,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
159,NULL,Built-up,Water,Non_Wetland,Bareland
160,NULL,Built-up,Water,Non_Wetland,Built-up
161,NULL,Built-up,Water,Non_Wetland,Water
162,NULL,Built-up,Water,Non_Wetland,Forest
163,NULL,Water,NULL,Water,NULL
164,NULL,Water,NULL,Water,Grassland
165,NULL,Water,NULL,Water,Wetland
166,NULL,Water,NULL,Water,Bareland
167,NULL,Water,NULL,Water,Water
168,NULL,Water,NULL,Water,Forest
169,NULL,Water,Non_Water,Water,Grassland
170,NULL,Water,Non_Water,Water,Wetland
171,NULL,Water,Non_Water,Water,Bareland
172,NULL,Water,Non_Water,Water,Water
173,NULL,Water,Non_Water,Water,Forest
174,NULL,Water,Water,Water,NULL
175,NULL,Water,Water,Water,Grassland
176,NULL,Water,Water,Water,Wetland
177,NULL,Water,Water,Water,Bareland
178,NULL,Water,Water,Water,Water
179,NULL,Water,Water,Water,Forest
180,NULL,Forest,NULL,Non_Wetland,NULL
181,NULL,Forest,NULL,Non_Wetland,Grassland
182,NULL,Forest,NULL,Non_Wetland,Cropland
183,NULL,Forest,NULL,Non_Wetland,Wetland
184,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
185,NULL,Forest,NULL,Non_Wetland,Bareland
186,NULL,Forest,NULL,Non_Wetland,Built-up
187,NULL,Forest,NULL,Non_Wetland,Water
188,NULL,Forest,NULL,Non_Wetland,Forest
189,NULL,Forest,Non_Water,Non_Wetland,NULL
190,NULL,Forest,Non_Water,Non_Wetland,Grassland
191,NULL,Forest,Non_Water,Non_Wetland,Cropland
192,NULL,Forest,Non_Water,Non_Wetland,Wetland
193,NULL,Forest,Non_Water,Non_Wetland,Bareland
194,NULL,Forest,Non_Water,Non_Wetland,Water
195,NULL,Forest,Non_Water,Non_Wetland,Forest
196,NULL,Forest,Water,Non_Wetland,NULL
197,NULL,Forest,Water,Non_Wetland,Grassland
198,NULL,Forest,Water,Non_Wetland,Cropland
199,NULL,Forest,Water,Non_Wetland,Wetland
200,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
201,NULL,Forest,Water,Non_Wetland,Bareland
202,NULL,Forest,Water,Non_Wetland,Water
203,NULL,Forest,Water,Non_Wetland,Forest
204,Cropland,NULL,NULL,Non_Wetland,NULL
205,Cropland,NULL,NULL,Non_Wetland,Grassland
206,Cropland,NULL,NULL,Non_Wetland,Cropland
207,Cropland,NULL,NULL,Non_Wetland,Wetland
208,Cropland,NULL,NULL,Non_Wetland,Forest
209,Cropland,Shrubland,NULL,Non_Wetland,NULL
210,Cropland,Shrubland,NULL,Non_Wetland,Grassland
211,Cropland,Shrubland,NULL,Non_Wetland,Cropland
212,Cropland,Shrubland,NULL,Non_Wetland,Wetland
213,Cropland,Shrubland,NULL,Non_Wetland,Bareland
214,Cropland,Shrubland,NULL,Non_Wetland,Forest
215,Cropland,Grassland,NULL,Non_Wetland,Grassland
216,Cropland,Grassland,NULL,Non_Wetland,Bareland
217,Cropland,Grassland,NULL,Non_Wetland,Forest
218,Cropland,Cropland,NULL,Non_Wetland,NULL
219,Cropland,Cropland,NULL,Non_Wetland,Grassland
220,Cropland,Cropland,NULL,Non_Wetland,Cropland
221,Cropland,Cropland,NULL,Non_Wetland,Wetland
222,Cropland,Cropland,NULL,Non_Wetland,Bareland
223,Cropland,Cropland,NULL,Non_Wetland,Built-up
224,Cropland,Cropland,NULL,Non_Wetland,Forest
225,Cropland,Wetland,NULL,Wetland,NULL
226,Cropland,Wetland,NULL,Wetland,Grassland
227,Cropland,Wetland,NULL,Wetland,Wetland
228,Cropland,Wetland,NULL,Wetland,Built-up
229,Cropland,Wetland,NULL,Wetland,Water
230,Cropland,Wetland,NULL,Wetland,Forest
231,Cropland,Wetland,Non_Water,Wetland,Grassland
232,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
233,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
234,Cropland,Bareland,NULL,Non_Wetland,NULL
235,Cropland,Bareland,NULL,Non_Wetland,Grassland
236,Cropland,Bareland,NULL,Non_Wetland,Cropland
237,Cropland,Bareland,NULL,Non_Wetland,Wetland
238,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
239,Cropland,Bareland,NULL,Non_Wetland,Bareland
240,Cropland,Bareland,NULL,Non_Wetland,Built-up
241,Cropland,Bareland,NULL,Non_Wetland,Forest
242,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
243,Cropland,Built-up,NULL,Non_Wetland,NULL
244,Cropland,Built-up,NULL,Non_Wetland,Grassland
245,Cropland,Built-up,NULL,Non_Wetland,Cropland
246,Cropland,Built-up,NULL,Non_Wetland,Wetland
247,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
248,Cropland,Built-up,NULL,Non_Wetland,Bareland
249,Cropland,Built-up,NULL,Non_Wetland,Built-up
250,Cropland,Built-up,NULL,Non_Wetland,Forest
251,Cropland,Water,NULL,Water,Grassland
252,Cropland,Forest,NULL,Non_Wetland,NULL
253,Cropland,Forest,NULL,Non_Wetland,Grassland
254,Cropland,Forest,NULL,Non_Wetland,Cropland
255,Cropland,Forest,NULL,Non_Wetland,Wetland
256,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
257,Cropland,Forest,NULL,Non_Wetland,Bareland
258,Cropland,Forest,NULL,Non_Wetland,Built-up
259,Cropland,Forest,NULL,Non_Wetland,Forest
260,Cropland,Forest,Non_Water,Non_Wetland,Grassland
261,Wetland,NULL,NULL,Non_Wetland,NULL
262,Wetland,NULL,NULL,Non_Wetland,Grassland
263,Wetland,NULL,NULL,Non_Wetland,Wetland
