Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VNG_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VNG_M_R,SIBERIA_2024_GSW_Yearly_2021_41VNG_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VNG_M_R,SIBERIA_2024_WorldCover_2021_41VNG_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,NULL
10,NULL,NULL,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Non_Water,Non_Wetland,Cropland
12,NULL,NULL,Non_Water,Non_Wetland,Wetland
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,NULL
15,NULL,NULL,Water,Non_Wetland,Grassland
16,NULL,NULL,Water,Non_Wetland,Cropland
17,NULL,NULL,Water,Non_Wetland,Wetland
18,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,Shrubland,NULL,Non_Wetland,NULL
21,NULL,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,Shrubland,NULL,Non_Wetland,Cropland
23,NULL,Shrubland,NULL,Non_Wetland,Wetland
24,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
25,NULL,Shrubland,NULL,Non_Wetland,Bareland
26,NULL,Shrubland,NULL,Non_Wetland,Built-up
27,NULL,Shrubland,NULL,Non_Wetland,Water
28,NULL,Shrubland,NULL,Non_Wetland,Forest
29,NULL,Shrubland,Non_Water,Non_Wetland,NULL
30,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
31,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
32,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
33,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
34,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
35,NULL,Shrubland,Non_Water,Non_Wetland,Forest
36,NULL,Shrubland,Water,Non_Wetland,Grassland
37,NULL,Shrubland,Water,Non_Wetland,Cropland
38,NULL,Shrubland,Water,Non_Wetland,Wetland
39,NULL,Shrubland,Water,Non_Wetland,Built-up
40,NULL,Shrubland,Water,Non_Wetland,Water
41,NULL,Shrubland,Water,Non_Wetland,Forest
42,NULL,Grassland,NULL,Non_Wetland,NULL
43,NULL,Grassland,NULL,Non_Wetland,Grassland
44,NULL,Grassland,NULL,Non_Wetland,Cropland
45,NULL,Grassland,NULL,Non_Wetland,Wetland
46,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Grassland,NULL,Non_Wetland,Bareland
48,NULL,Grassland,NULL,Non_Wetland,Built-up
49,NULL,Grassland,NULL,Non_Wetland,Forest
50,NULL,Grassland,Non_Water,Non_Wetland,Grassland
51,NULL,Grassland,Non_Water,Non_Wetland,Wetland
52,NULL,Grassland,Non_Water,Non_Wetland,Forest
53,NULL,Grassland,Water,Non_Wetland,Grassland
54,NULL,Cropland,NULL,Non_Wetland,NULL
55,NULL,Cropland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,NULL,Non_Wetland,Cropland
57,NULL,Cropland,NULL,Non_Wetland,Wetland
58,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
59,NULL,Cropland,NULL,Non_Wetland,Bareland
60,NULL,Cropland,NULL,Non_Wetland,Built-up
61,NULL,Cropland,NULL,Non_Wetland,Water
62,NULL,Cropland,NULL,Non_Wetland,Forest
63,NULL,Cropland,Non_Water,Non_Wetland,NULL
64,NULL,Cropland,Non_Water,Non_Wetland,Grassland
65,NULL,Cropland,Non_Water,Non_Wetland,Cropland
66,NULL,Cropland,Non_Water,Non_Wetland,Wetland
67,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
68,NULL,Cropland,Non_Water,Non_Wetland,Bareland
69,NULL,Cropland,Non_Water,Non_Wetland,Forest
70,NULL,Cropland,Water,Non_Wetland,Grassland
71,NULL,Cropland,Water,Non_Wetland,Cropland
72,NULL,Cropland,Water,Non_Wetland,Wetland
73,NULL,Cropland,Water,Non_Wetland,Forest
74,NULL,Wetland,NULL,Wetland,NULL
75,NULL,Wetland,NULL,Wetland,Grassland
76,NULL,Wetland,NULL,Wetland,Cropland
77,NULL,Wetland,NULL,Wetland,Wetland
78,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
79,NULL,Wetland,NULL,Wetland,Bareland
80,NULL,Wetland,NULL,Wetland,Built-up
81,NULL,Wetland,NULL,Wetland,Water
82,NULL,Wetland,NULL,Wetland,Forest
83,NULL,Wetland,Non_Water,Wetland,NULL
84,NULL,Wetland,Non_Water,Wetland,Grassland
85,NULL,Wetland,Non_Water,Wetland,Cropland
86,NULL,Wetland,Non_Water,Wetland,Wetland
87,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
88,NULL,Wetland,Non_Water,Wetland,Bareland
89,NULL,Wetland,Non_Water,Wetland,Water
90,NULL,Wetland,Non_Water,Wetland,Forest
91,NULL,Wetland,Water,Wetland,NULL
92,NULL,Wetland,Water,Wetland,Grassland
93,NULL,Wetland,Water,Wetland,Cropland
94,NULL,Wetland,Water,Wetland,Wetland
95,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
96,NULL,Wetland,Water,Wetland,Bareland
97,NULL,Wetland,Water,Wetland,Water
98,NULL,Wetland,Water,Wetland,Forest
99,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
100,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
101,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
102,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
103,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
105,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
106,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
107,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
108,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
109,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
111,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
112,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
113,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
114,NULL,Bareland,NULL,Non_Wetland,NULL
115,NULL,Bareland,NULL,Non_Wetland,Grassland
116,NULL,Bareland,NULL,Non_Wetland,Cropland
117,NULL,Bareland,NULL,Non_Wetland,Wetland
118,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
119,NULL,Bareland,NULL,Non_Wetland,Bareland
120,NULL,Bareland,NULL,Non_Wetland,Built-up
121,NULL,Bareland,NULL,Non_Wetland,Water
122,NULL,Bareland,NULL,Non_Wetland,Forest
123,NULL,Bareland,Non_Water,Non_Wetland,NULL
124,NULL,Bareland,Non_Water,Non_Wetland,Grassland
125,NULL,Bareland,Non_Water,Non_Wetland,Cropland
126,NULL,Bareland,Non_Water,Non_Wetland,Wetland
127,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
128,NULL,Bareland,Non_Water,Non_Wetland,Bareland
129,NULL,Bareland,Non_Water,Non_Wetland,Water
130,NULL,Bareland,Non_Water,Non_Wetland,Forest
131,NULL,Bareland,Water,Non_Wetland,NULL
132,NULL,Bareland,Water,Non_Wetland,Grassland
133,NULL,Bareland,Water,Non_Wetland,Cropland
134,NULL,Bareland,Water,Non_Wetland,Wetland
135,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
136,NULL,Bareland,Water,Non_Wetland,Bareland
137,NULL,Bareland,Water,Non_Wetland,Water
138,NULL,Bareland,Water,Non_Wetland,Forest
139,NULL,Built-up,NULL,Non_Wetland,NULL
140,NULL,Built-up,NULL,Non_Wetland,Grassland
141,NULL,Built-up,NULL,Non_Wetland,Cropland
142,NULL,Built-up,NULL,Non_Wetland,Wetland
143,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
144,NULL,Built-up,NULL,Non_Wetland,Bareland
145,NULL,Built-up,NULL,Non_Wetland,Built-up
146,NULL,Built-up,NULL,Non_Wetland,Water
147,NULL,Built-up,NULL,Non_Wetland,Forest
148,NULL,Built-up,Non_Water,Non_Wetland,Grassland
149,NULL,Built-up,Non_Water,Non_Wetland,Cropland
150,NULL,Built-up,Non_Water,Non_Wetland,Wetland
151,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Built-up,Non_Water,Non_Wetland,Bareland
153,NULL,Built-up,Non_Water,Non_Wetland,Built-up
154,NULL,Built-up,Non_Water,Non_Wetland,Water
155,NULL,Built-up,Non_Water,Non_Wetland,Forest
156,NULL,Built-up,Water,Non_Wetland,Grassland
157,NULL,Built-up,Water,Non_Wetland,Cropland
158,NULL,Built-up,Water,Non_Wetland,Wetland
159,NULL,Built-up,Water,Non_Wetland,Bareland
160,NULL,Built-up,Water,Non_Wetland,Built-up
161,NULL,Built-up,Water,Non_Wetland,Water
162,NULL,Built-up,Water,Non_Wetland,Forest
163,NULL,Water,NULL,Water,NULL
164,NULL,Water,NULL,Water,Grassland
165,NULL,Water,NULL,Water,Cropland
166,NULL,Water,NULL,Water,Wetland
167,NULL,Water,NULL,Water,Lichens_and_Mosses
168,NULL,Water,NULL,Water,Bareland
169,NULL,Water,NULL,Water,Water
170,NULL,Water,NULL,Water,Forest
171,NULL,Water,Non_Water,Water,Grassland
172,NULL,Water,Non_Water,Water,Cropland
173,NULL,Water,Non_Water,Water,Wetland
174,NULL,Water,Non_Water,Water,Lichens_and_Mosses
175,NULL,Water,Non_Water,Water,Water
176,NULL,Water,Non_Water,Water,Forest
177,NULL,Water,Water,Water,NULL
178,NULL,Water,Water,Water,Grassland
179,NULL,Water,Water,Water,Cropland
180,NULL,Water,Water,Water,Wetland
181,NULL,Water,Water,Water,Bareland
182,NULL,Water,Water,Water,Water
183,NULL,Water,Water,Water,Forest
184,NULL,Forest,NULL,Non_Wetland,NULL
185,NULL,Forest,NULL,Non_Wetland,Grassland
186,NULL,Forest,NULL,Non_Wetland,Cropland
187,NULL,Forest,NULL,Non_Wetland,Wetland
188,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
189,NULL,Forest,NULL,Non_Wetland,Bareland
190,NULL,Forest,NULL,Non_Wetland,Built-up
191,NULL,Forest,NULL,Non_Wetland,Water
192,NULL,Forest,NULL,Non_Wetland,Forest
193,NULL,Forest,Non_Water,Non_Wetland,NULL
194,NULL,Forest,Non_Water,Non_Wetland,Grassland
195,NULL,Forest,Non_Water,Non_Wetland,Cropland
196,NULL,Forest,Non_Water,Non_Wetland,Wetland
197,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
198,NULL,Forest,Non_Water,Non_Wetland,Water
199,NULL,Forest,Non_Water,Non_Wetland,Forest
200,NULL,Forest,Water,Non_Wetland,NULL
201,NULL,Forest,Water,Non_Wetland,Grassland
202,NULL,Forest,Water,Non_Wetland,Cropland
203,NULL,Forest,Water,Non_Wetland,Wetland
204,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
205,NULL,Forest,Water,Non_Wetland,Water
206,NULL,Forest,Water,Non_Wetland,Forest
207,Cropland,NULL,NULL,Non_Wetland,Grassland
208,Cropland,NULL,NULL,Non_Wetland,Cropland
209,Cropland,NULL,NULL,Non_Wetland,Wetland
210,Cropland,NULL,NULL,Non_Wetland,Built-up
211,Cropland,NULL,NULL,Non_Wetland,Forest
212,Cropland,Shrubland,NULL,Non_Wetland,NULL
213,Cropland,Shrubland,NULL,Non_Wetland,Grassland
214,Cropland,Shrubland,NULL,Non_Wetland,Cropland
215,Cropland,Shrubland,NULL,Non_Wetland,Wetland
216,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
217,Cropland,Shrubland,NULL,Non_Wetland,Bareland
218,Cropland,Shrubland,NULL,Non_Wetland,Built-up
219,Cropland,Shrubland,NULL,Non_Wetland,Forest
220,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
221,Cropland,Grassland,NULL,Non_Wetland,Grassland
222,Cropland,Grassland,NULL,Non_Wetland,Cropland
223,Cropland,Grassland,NULL,Non_Wetland,Forest
224,Cropland,Cropland,NULL,Non_Wetland,Grassland
225,Cropland,Cropland,NULL,Non_Wetland,Cropland
226,Cropland,Cropland,NULL,Non_Wetland,Wetland
227,Cropland,Cropland,NULL,Non_Wetland,Built-up
228,Cropland,Cropland,NULL,Non_Wetland,Forest
229,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
230,Cropland,Wetland,NULL,Wetland,NULL
231,Cropland,Wetland,NULL,Wetland,Grassland
232,Cropland,Wetland,NULL,Wetland,Cropland
233,Cropland,Wetland,NULL,Wetland,Wetland
234,Cropland,Wetland,NULL,Wetland,Forest
235,Cropland,Wetland,Non_Water,Wetland,Grassland
236,Cropland,Wetland,Non_Water,Wetland,Cropland
237,Cropland,Wetland,Water,Wetland,Grassland
238,Cropland,Wetland,Water,Wetland,Wetland
239,Cropland,Wetland,Water,Wetland,Forest
240,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
241,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
242,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
243,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
244,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
245,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
246,Cropland,Bareland,NULL,Non_Wetland,NULL
247,Cropland,Bareland,NULL,Non_Wetland,Grassland
248,Cropland,Bareland,NULL,Non_Wetland,Cropland
249,Cropland,Bareland,NULL,Non_Wetland,Wetland
250,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
251,Cropland,Bareland,NULL,Non_Wetland,Bareland
252,Cropland,Bareland,NULL,Non_Wetland,Built-up
253,Cropland,Bareland,NULL,Non_Wetland,Water
254,Cropland,Bareland,NULL,Non_Wetland,Forest
255,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
256,Cropland,Bareland,Non_Water,Non_Wetland,Forest
257,Cropland,Built-up,NULL,Non_Wetland,NULL
258,Cropland,Built-up,NULL,Non_Wetland,Grassland
259,Cropland,Built-up,NULL,Non_Wetland,Cropland
260,Cropland,Built-up,NULL,Non_Wetland,Wetland
261,Cropland,Built-up,NULL,Non_Wetland,Bareland
