Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEG_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,SIBERIA_2024_WorldCover_2021_43VEG_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,Grassland,NULL,Non_Wetland,Wetland
25,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
26,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Non_Water,Non_Wetland,Built-up
31,NULL,Grassland,Non_Water,Non_Wetland,Forest
32,NULL,Grassland,Water,Non_Wetland,Water
33,NULL,Grassland,Water,Non_Wetland,Forest
34,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,Cropland,NULL,Non_Wetland,Water
41,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,Cropland,Non_Water,Non_Wetland,Grassland
43,NULL,Cropland,Non_Water,Non_Wetland,Forest
44,NULL,Cropland,Water,Non_Wetland,Grassland
45,NULL,Cropland,Water,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,NULL
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Cropland
49,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,Wetland,NULL,Wetland,Built-up
51,NULL,Wetland,NULL,Wetland,Water
52,NULL,Wetland,NULL,Wetland,Forest
53,NULL,Wetland,Non_Water,Wetland,NULL
54,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,Wetland,Non_Water,Wetland,Wetland
56,NULL,Wetland,Non_Water,Wetland,Water
57,NULL,Wetland,Non_Water,Wetland,Forest
58,NULL,Wetland,Water,Wetland,NULL
59,NULL,Wetland,Water,Wetland,Grassland
60,NULL,Wetland,Water,Wetland,Wetland
61,NULL,Wetland,Water,Wetland,Water
62,NULL,Wetland,Water,Wetland,Forest
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
66,NULL,Bareland,NULL,Non_Wetland,NULL
67,NULL,Bareland,NULL,Non_Wetland,Grassland
68,NULL,Bareland,NULL,Non_Wetland,Wetland
69,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
70,NULL,Bareland,NULL,Non_Wetland,Bareland
71,NULL,Bareland,NULL,Non_Wetland,Built-up
72,NULL,Bareland,NULL,Non_Wetland,Water
73,NULL,Bareland,NULL,Non_Wetland,Forest
74,NULL,Bareland,Non_Water,Non_Wetland,Grassland
75,NULL,Bareland,Non_Water,Non_Wetland,Wetland
76,NULL,Bareland,Non_Water,Non_Wetland,Bareland
77,NULL,Bareland,Non_Water,Non_Wetland,Built-up
78,NULL,Bareland,Non_Water,Non_Wetland,Water
79,NULL,Bareland,Non_Water,Non_Wetland,Forest
80,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,Bareland,Water,Non_Wetland,Wetland
82,NULL,Bareland,Water,Non_Wetland,Bareland
83,NULL,Bareland,Water,Non_Wetland,Built-up
84,NULL,Bareland,Water,Non_Wetland,Water
85,NULL,Bareland,Water,Non_Wetland,Forest
86,NULL,Built-up,NULL,Non_Wetland,NULL
87,NULL,Built-up,NULL,Non_Wetland,Grassland
88,NULL,Built-up,NULL,Non_Wetland,Wetland
89,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Built-up,NULL,Non_Wetland,Bareland
91,NULL,Built-up,NULL,Non_Wetland,Built-up
92,NULL,Built-up,NULL,Non_Wetland,Water
93,NULL,Built-up,NULL,Non_Wetland,Forest
94,NULL,Built-up,Non_Water,Non_Wetland,Grassland
95,NULL,Built-up,Non_Water,Non_Wetland,Bareland
96,NULL,Built-up,Non_Water,Non_Wetland,Built-up
97,NULL,Built-up,Non_Water,Non_Wetland,Water
98,NULL,Built-up,Non_Water,Non_Wetland,Forest
99,NULL,Built-up,Water,Non_Wetland,Grassland
100,NULL,Built-up,Water,Non_Wetland,Built-up
101,NULL,Built-up,Water,Non_Wetland,Water
102,NULL,Built-up,Water,Non_Wetland,Forest
103,NULL,Water,NULL,Water,NULL
104,NULL,Water,NULL,Water,Wetland
105,NULL,Water,NULL,Water,Bareland
106,NULL,Water,NULL,Water,Water
107,NULL,Water,NULL,Water,Forest
108,NULL,Water,Non_Water,Water,Wetland
109,NULL,Water,Non_Water,Water,Water
110,NULL,Water,Non_Water,Water,Forest
111,NULL,Water,Water,Water,Grassland
112,NULL,Water,Water,Water,Wetland
113,NULL,Water,Water,Water,Water
114,NULL,Water,Water,Water,Forest
115,NULL,Forest,NULL,Non_Wetland,NULL
116,NULL,Forest,NULL,Non_Wetland,Grassland
117,NULL,Forest,NULL,Non_Wetland,Cropland
118,NULL,Forest,NULL,Non_Wetland,Wetland
119,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
120,NULL,Forest,NULL,Non_Wetland,Bareland
121,NULL,Forest,NULL,Non_Wetland,Built-up
122,NULL,Forest,NULL,Non_Wetland,Water
123,NULL,Forest,NULL,Non_Wetland,Forest
124,NULL,Forest,Non_Water,Non_Wetland,NULL
125,NULL,Forest,Non_Water,Non_Wetland,Grassland
126,NULL,Forest,Non_Water,Non_Wetland,Wetland
127,NULL,Forest,Non_Water,Non_Wetland,Water
128,NULL,Forest,Non_Water,Non_Wetland,Forest
129,NULL,Forest,Water,Non_Wetland,NULL
130,NULL,Forest,Water,Non_Wetland,Grassland
131,NULL,Forest,Water,Non_Wetland,Wetland
132,NULL,Forest,Water,Non_Wetland,Water
133,NULL,Forest,Water,Non_Wetland,Forest
134,Cropland,NULL,NULL,Non_Wetland,NULL
135,Cropland,NULL,NULL,Non_Wetland,Forest
136,Cropland,NULL,Non_Water,Non_Wetland,Wetland
137,Cropland,NULL,Non_Water,Non_Wetland,Forest
138,Cropland,Shrubland,NULL,Non_Wetland,NULL
139,Cropland,Shrubland,NULL,Non_Wetland,Grassland
140,Cropland,Shrubland,NULL,Non_Wetland,Wetland
141,Cropland,Shrubland,NULL,Non_Wetland,Built-up
142,Cropland,Shrubland,NULL,Non_Wetland,Forest
143,Cropland,Grassland,NULL,Non_Wetland,NULL
144,Cropland,Grassland,NULL,Non_Wetland,Forest
145,Cropland,Wetland,NULL,Wetland,NULL
146,Cropland,Wetland,NULL,Wetland,Grassland
147,Cropland,Wetland,NULL,Wetland,Wetland
148,Cropland,Wetland,NULL,Wetland,Built-up
149,Cropland,Wetland,NULL,Wetland,Forest
150,Cropland,Wetland,Non_Water,Wetland,Wetland
151,Cropland,Wetland,Water,Wetland,Wetland
152,Cropland,Bareland,NULL,Non_Wetland,NULL
153,Cropland,Bareland,NULL,Non_Wetland,Grassland
154,Cropland,Bareland,NULL,Non_Wetland,Wetland
155,Cropland,Bareland,NULL,Non_Wetland,Bareland
156,Cropland,Bareland,NULL,Non_Wetland,Built-up
157,Cropland,Bareland,NULL,Non_Wetland,Forest
158,Cropland,Bareland,Non_Water,Non_Wetland,Forest
159,Cropland,Built-up,NULL,Non_Wetland,Grassland
160,Cropland,Built-up,NULL,Non_Wetland,Wetland
161,Cropland,Built-up,NULL,Non_Wetland,Built-up
162,Cropland,Built-up,NULL,Non_Wetland,Forest
163,Cropland,Forest,NULL,Non_Wetland,NULL
164,Cropland,Forest,NULL,Non_Wetland,Grassland
165,Cropland,Forest,NULL,Non_Wetland,Wetland
166,Cropland,Forest,NULL,Non_Wetland,Bareland
167,Cropland,Forest,NULL,Non_Wetland,Built-up
168,Cropland,Forest,NULL,Non_Wetland,Forest
169,Cropland,Forest,Non_Water,Non_Wetland,Wetland
170,Cropland,Forest,Non_Water,Non_Wetland,Forest
171,Cropland,Forest,Water,Non_Wetland,Wetland
172,Wetland,NULL,NULL,Non_Wetland,NULL
173,Wetland,NULL,NULL,Non_Wetland,Grassland
174,Wetland,NULL,NULL,Non_Wetland,Wetland
175,Wetland,NULL,NULL,Non_Wetland,Water
176,Wetland,NULL,NULL,Non_Wetland,Forest
177,Wetland,NULL,Non_Water,Non_Wetland,Wetland
178,Wetland,NULL,Non_Water,Non_Wetland,Forest
179,Wetland,NULL,Water,Non_Wetland,Grassland
180,Wetland,NULL,Water,Non_Wetland,Water
181,Wetland,NULL,Water,Non_Wetland,Forest
182,Wetland,Shrubland,NULL,Non_Wetland,NULL
183,Wetland,Shrubland,NULL,Non_Wetland,Grassland
184,Wetland,Shrubland,NULL,Non_Wetland,Wetland
185,Wetland,Shrubland,NULL,Non_Wetland,Water
186,Wetland,Shrubland,NULL,Non_Wetland,Forest
187,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
188,Wetland,Shrubland,Water,Non_Wetland,Grassland
189,Wetland,Shrubland,Water,Non_Wetland,Forest
190,Wetland,Grassland,NULL,Non_Wetland,Grassland
191,Wetland,Grassland,NULL,Non_Wetland,Wetland
192,Wetland,Grassland,NULL,Non_Wetland,Bareland
193,Wetland,Grassland,NULL,Non_Wetland,Forest
194,Wetland,Cropland,NULL,Non_Wetland,Grassland
195,Wetland,Cropland,NULL,Non_Wetland,Wetland
196,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
197,Wetland,Cropland,NULL,Non_Wetland,Forest
198,Wetland,Wetland,NULL,Wetland,NULL
199,Wetland,Wetland,NULL,Wetland,Grassland
200,Wetland,Wetland,NULL,Wetland,Wetland
201,Wetland,Wetland,NULL,Wetland,Built-up
202,Wetland,Wetland,NULL,Wetland,Water
203,Wetland,Wetland,NULL,Wetland,Forest
204,Wetland,Wetland,Non_Water,Wetland,NULL
205,Wetland,Wetland,Non_Water,Wetland,Grassland
206,Wetland,Wetland,Non_Water,Wetland,Wetland
207,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
208,Wetland,Wetland,Non_Water,Wetland,Water
209,Wetland,Wetland,Non_Water,Wetland,Forest
210,Wetland,Wetland,Water,Wetland,NULL
211,Wetland,Wetland,Water,Wetland,Grassland
212,Wetland,Wetland,Water,Wetland,Wetland
213,Wetland,Wetland,Water,Wetland,Water
214,Wetland,Wetland,Water,Wetland,Forest
215,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
216,Wetland,Bareland,NULL,Non_Wetland,NULL
217,Wetland,Bareland,NULL,Non_Wetland,Grassland
218,Wetland,Bareland,NULL,Non_Wetland,Wetland
219,Wetland,Bareland,NULL,Non_Wetland,Bareland
220,Wetland,Bareland,NULL,Non_Wetland,Built-up
221,Wetland,Bareland,NULL,Non_Wetland,Water
222,Wetland,Bareland,NULL,Non_Wetland,Forest
223,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
224,Wetland,Bareland,Non_Water,Non_Wetland,Forest
225,Wetland,Bareland,Water,Non_Wetland,Bareland
226,Wetland,Bareland,Water,Non_Wetland,Water
227,Wetland,Bareland,Water,Non_Wetland,Forest
228,Wetland,Built-up,NULL,Non_Wetland,Grassland
229,Wetland,Built-up,NULL,Non_Wetland,Wetland
230,Wetland,Built-up,NULL,Non_Wetland,Bareland
231,Wetland,Built-up,NULL,Non_Wetland,Built-up
232,Wetland,Built-up,NULL,Non_Wetland,Forest
233,Wetland,Water,NULL,Water,NULL
234,Wetland,Water,NULL,Water,Grassland
235,Wetland,Water,NULL,Water,Wetland
236,Wetland,Water,NULL,Water,Bareland
237,Wetland,Water,NULL,Water,Water
238,Wetland,Water,NULL,Water,Forest
239,Wetland,Water,Non_Water,Water,Wetland
240,Wetland,Water,Non_Water,Water,Water
241,Wetland,Water,Non_Water,Water,Forest
242,Wetland,Water,Water,Water,NULL
243,Wetland,Water,Water,Water,Grassland
244,Wetland,Water,Water,Water,Wetland
245,Wetland,Water,Water,Water,Bareland
246,Wetland,Water,Water,Water,Water
247,Wetland,Water,Water,Water,Forest
248,Wetland,Forest,NULL,Non_Wetland,NULL
249,Wetland,Forest,NULL,Non_Wetland,Grassland
250,Wetland,Forest,NULL,Non_Wetland,Wetland
251,Wetland,Forest,NULL,Non_Wetland,Built-up
252,Wetland,Forest,NULL,Non_Wetland,Water
253,Wetland,Forest,NULL,Non_Wetland,Forest
254,Wetland,Forest,Non_Water,Non_Wetland,NULL
255,Wetland,Forest,Non_Water,Non_Wetland,Wetland
256,Wetland,Forest,Non_Water,Non_Wetland,Water
257,Wetland,Forest,Non_Water,Non_Wetland,Forest
258,Wetland,Forest,Water,Non_Wetland,NULL
259,Wetland,Forest,Water,Non_Wetland,Grassland
260,Wetland,Forest,Water,Non_Wetland,Wetland
261,Wetland,Forest,Water,Non_Wetland,Bareland
262,Wetland,Forest,Water,Non_Wetland,Water
263,Wetland,Forest,Water,Non_Wetland,Forest
264,Bareland,NULL,NULL,Non_Wetland,Water
265,Bareland,NULL,NULL,Non_Wetland,Forest
266,Bareland,NULL,Water,Non_Wetland,Water
267,Bareland,NULL,Water,Non_Wetland,Forest
268,Bareland,Shrubland,NULL,Non_Wetland,Grassland
269,Bareland,Shrubland,NULL,Non_Wetland,Forest
270,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
271,Bareland,Grassland,NULL,Non_Wetland,Grassland
272,Bareland,Grassland,NULL,Non_Wetland,Bareland
273,Bareland,Grassland,NULL,Non_Wetland,Water
