Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNR_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,SIBERIA_2024_WorldCover_2021_41WNR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,Shrubland,NULL,Non_Wetland,NULL
21,NULL,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,NULL,Non_Wetland,Bareland
25,NULL,Shrubland,NULL,Non_Wetland,Built-up
26,NULL,Shrubland,NULL,Non_Wetland,Water
27,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
28,NULL,Shrubland,NULL,Non_Wetland,Forest
29,NULL,Shrubland,Non_Water,Non_Wetland,NULL
30,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
31,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
32,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
34,NULL,Shrubland,Non_Water,Non_Wetland,Water
35,NULL,Shrubland,Non_Water,Non_Wetland,Forest
36,NULL,Shrubland,Water,Non_Wetland,NULL
37,NULL,Shrubland,Water,Non_Wetland,Grassland
38,NULL,Shrubland,Water,Non_Wetland,Wetland
39,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
40,NULL,Shrubland,Water,Non_Wetland,Bareland
41,NULL,Shrubland,Water,Non_Wetland,Water
42,NULL,Shrubland,Water,Non_Wetland,Forest
43,NULL,Grassland,NULL,Non_Wetland,NULL
44,NULL,Grassland,NULL,Non_Wetland,Grassland
45,NULL,Grassland,NULL,Non_Wetland,Wetland
46,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Grassland,NULL,Non_Wetland,Bareland
48,NULL,Grassland,NULL,Non_Wetland,Built-up
49,NULL,Grassland,NULL,Non_Wetland,Water
50,NULL,Grassland,NULL,Non_Wetland,Forest
51,NULL,Grassland,Non_Water,Non_Wetland,Grassland
52,NULL,Grassland,Non_Water,Non_Wetland,Wetland
53,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
54,NULL,Grassland,Non_Water,Non_Wetland,Bareland
55,NULL,Grassland,Non_Water,Non_Wetland,Water
56,NULL,Grassland,Non_Water,Non_Wetland,Forest
57,NULL,Grassland,Water,Non_Wetland,NULL
58,NULL,Grassland,Water,Non_Wetland,Grassland
59,NULL,Grassland,Water,Non_Wetland,Wetland
60,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
61,NULL,Grassland,Water,Non_Wetland,Bareland
62,NULL,Grassland,Water,Non_Wetland,Water
63,NULL,Grassland,Water,Non_Wetland,Forest
64,NULL,Wetland,NULL,Wetland,NULL
65,NULL,Wetland,NULL,Wetland,Grassland
66,NULL,Wetland,NULL,Wetland,Wetland
67,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
68,NULL,Wetland,NULL,Wetland,Bareland
69,NULL,Wetland,NULL,Wetland,Water
70,NULL,Wetland,NULL,Wetland,Forest
71,NULL,Wetland,Non_Water,Wetland,Grassland
72,NULL,Wetland,Non_Water,Wetland,Wetland
73,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
74,NULL,Wetland,Non_Water,Wetland,Bareland
75,NULL,Wetland,Non_Water,Wetland,Water
76,NULL,Wetland,Non_Water,Wetland,Forest
77,NULL,Wetland,Water,Wetland,NULL
78,NULL,Wetland,Water,Wetland,Grassland
79,NULL,Wetland,Water,Wetland,Wetland
80,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
81,NULL,Wetland,Water,Wetland,Bareland
82,NULL,Wetland,Water,Wetland,Water
83,NULL,Wetland,Water,Wetland,Forest
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
94,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
95,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
96,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
97,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
98,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
99,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
100,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
101,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
102,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
104,NULL,Lichens_and_Mosses,Water,Non_Wetland,Built-up
105,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
106,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
107,NULL,Bareland,NULL,Non_Wetland,NULL
108,NULL,Bareland,NULL,Non_Wetland,Grassland
109,NULL,Bareland,NULL,Non_Wetland,Wetland
110,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
111,NULL,Bareland,NULL,Non_Wetland,Bareland
112,NULL,Bareland,NULL,Non_Wetland,Built-up
113,NULL,Bareland,NULL,Non_Wetland,Water
114,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
115,NULL,Bareland,NULL,Non_Wetland,Forest
116,NULL,Bareland,Non_Water,Non_Wetland,NULL
117,NULL,Bareland,Non_Water,Non_Wetland,Grassland
118,NULL,Bareland,Non_Water,Non_Wetland,Wetland
119,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Bareland,Non_Water,Non_Wetland,Bareland
121,NULL,Bareland,Non_Water,Non_Wetland,Built-up
122,NULL,Bareland,Non_Water,Non_Wetland,Water
123,NULL,Bareland,Non_Water,Non_Wetland,Forest
124,NULL,Bareland,Water,Non_Wetland,Grassland
125,NULL,Bareland,Water,Non_Wetland,Wetland
126,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
127,NULL,Bareland,Water,Non_Wetland,Bareland
128,NULL,Bareland,Water,Non_Wetland,Built-up
129,NULL,Bareland,Water,Non_Wetland,Water
130,NULL,Bareland,Water,Non_Wetland,Forest
131,NULL,Built-up,NULL,Non_Wetland,Grassland
132,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
133,NULL,Built-up,NULL,Non_Wetland,Bareland
134,NULL,Built-up,NULL,Non_Wetland,Built-up
135,NULL,Built-up,NULL,Non_Wetland,Water
136,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
137,NULL,Built-up,NULL,Non_Wetland,Forest
138,NULL,Built-up,Non_Water,Non_Wetland,Grassland
139,NULL,Built-up,Non_Water,Non_Wetland,Wetland
140,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
141,NULL,Built-up,Non_Water,Non_Wetland,Bareland
142,NULL,Built-up,Non_Water,Non_Wetland,Built-up
143,NULL,Built-up,Non_Water,Non_Wetland,Forest
144,NULL,Built-up,Water,Non_Wetland,Grassland
145,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
146,NULL,Built-up,Water,Non_Wetland,Bareland
147,NULL,Built-up,Water,Non_Wetland,Water
148,NULL,Built-up,Water,Non_Wetland,Forest
149,NULL,Water,NULL,Water,NULL
150,NULL,Water,NULL,Water,Grassland
151,NULL,Water,NULL,Water,Wetland
152,NULL,Water,NULL,Water,Lichens_and_Mosses
153,NULL,Water,NULL,Water,Bareland
154,NULL,Water,NULL,Water,Built-up
155,NULL,Water,NULL,Water,Water
156,NULL,Water,NULL,Water,Permanent_ice_and_snow
157,NULL,Water,NULL,Water,Forest
158,NULL,Water,Non_Water,Water,Grassland
159,NULL,Water,Non_Water,Water,Wetland
160,NULL,Water,Non_Water,Water,Lichens_and_Mosses
161,NULL,Water,Non_Water,Water,Bareland
162,NULL,Water,Non_Water,Water,Water
163,NULL,Water,Non_Water,Water,Forest
164,NULL,Water,Water,Water,Grassland
165,NULL,Water,Water,Water,Wetland
166,NULL,Water,Water,Water,Lichens_and_Mosses
167,NULL,Water,Water,Water,Bareland
168,NULL,Water,Water,Water,Water
169,NULL,Water,Water,Water,Forest
170,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
171,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
172,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
173,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
174,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
175,NULL,Forest,NULL,Non_Wetland,NULL
176,NULL,Forest,NULL,Non_Wetland,Grassland
177,NULL,Forest,NULL,Non_Wetland,Wetland
178,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
179,NULL,Forest,NULL,Non_Wetland,Bareland
180,NULL,Forest,NULL,Non_Wetland,Built-up
181,NULL,Forest,NULL,Non_Wetland,Water
182,NULL,Forest,NULL,Non_Wetland,Forest
183,NULL,Forest,Non_Water,Non_Wetland,NULL
184,NULL,Forest,Non_Water,Non_Wetland,Grassland
185,NULL,Forest,Non_Water,Non_Wetland,Wetland
186,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
187,NULL,Forest,Non_Water,Non_Wetland,Bareland
188,NULL,Forest,Non_Water,Non_Wetland,Built-up
189,NULL,Forest,Non_Water,Non_Wetland,Water
190,NULL,Forest,Non_Water,Non_Wetland,Forest
191,NULL,Forest,Water,Non_Wetland,NULL
192,NULL,Forest,Water,Non_Wetland,Grassland
193,NULL,Forest,Water,Non_Wetland,Wetland
194,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
195,NULL,Forest,Water,Non_Wetland,Bareland
196,NULL,Forest,Water,Non_Wetland,Built-up
197,NULL,Forest,Water,Non_Wetland,Water
198,NULL,Forest,Water,Non_Wetland,Forest
199,Wetland,NULL,NULL,Non_Wetland,NULL
200,Wetland,NULL,NULL,Non_Wetland,Grassland
201,Wetland,NULL,NULL,Non_Wetland,Wetland
202,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
203,Wetland,NULL,NULL,Non_Wetland,Bareland
204,Wetland,NULL,NULL,Non_Wetland,Water
205,Wetland,NULL,NULL,Non_Wetland,Forest
206,Wetland,NULL,Non_Water,Non_Wetland,NULL
207,Wetland,NULL,Non_Water,Non_Wetland,Grassland
208,Wetland,NULL,Non_Water,Non_Wetland,Wetland
209,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
210,Wetland,NULL,Non_Water,Non_Wetland,Water
211,Wetland,NULL,Non_Water,Non_Wetland,Forest
212,Wetland,NULL,Water,Non_Wetland,NULL
213,Wetland,NULL,Water,Non_Wetland,Grassland
214,Wetland,NULL,Water,Non_Wetland,Wetland
215,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
216,Wetland,NULL,Water,Non_Wetland,Bareland
217,Wetland,NULL,Water,Non_Wetland,Water
218,Wetland,NULL,Water,Non_Wetland,Forest
219,Wetland,Shrubland,NULL,Non_Wetland,NULL
220,Wetland,Shrubland,NULL,Non_Wetland,Grassland
221,Wetland,Shrubland,NULL,Non_Wetland,Wetland
222,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
223,Wetland,Shrubland,NULL,Non_Wetland,Bareland
224,Wetland,Shrubland,NULL,Non_Wetland,Built-up
225,Wetland,Shrubland,NULL,Non_Wetland,Water
226,Wetland,Shrubland,NULL,Non_Wetland,Forest
227,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
228,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
229,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
230,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
231,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
232,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
233,Wetland,Shrubland,Non_Water,Non_Wetland,Water
234,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
235,Wetland,Shrubland,Water,Non_Wetland,NULL
236,Wetland,Shrubland,Water,Non_Wetland,Grassland
237,Wetland,Shrubland,Water,Non_Wetland,Wetland
238,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
239,Wetland,Shrubland,Water,Non_Wetland,Bareland
240,Wetland,Shrubland,Water,Non_Wetland,Water
241,Wetland,Shrubland,Water,Non_Wetland,Forest
242,Wetland,Grassland,NULL,Non_Wetland,NULL
243,Wetland,Grassland,NULL,Non_Wetland,Grassland
244,Wetland,Grassland,NULL,Non_Wetland,Wetland
245,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
246,Wetland,Grassland,NULL,Non_Wetland,Bareland
247,Wetland,Grassland,NULL,Non_Wetland,Built-up
248,Wetland,Grassland,NULL,Non_Wetland,Water
249,Wetland,Grassland,NULL,Non_Wetland,Forest
250,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
251,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
252,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
253,Wetland,Grassland,Non_Water,Non_Wetland,Water
