Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPC_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPC_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPC_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPC_M_R,SIBERIA_2024_WorldCover_2021_44WPC_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
29,NULL,Shrubland,Non_Water,Non_Wetland,Water
30,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,Shrubland,Water,Non_Wetland,Grassland
32,NULL,Shrubland,Water,Non_Wetland,Wetland
33,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
34,NULL,Shrubland,Water,Non_Wetland,Bareland
35,NULL,Shrubland,Water,Non_Wetland,Water
36,NULL,Shrubland,Water,Non_Wetland,Forest
37,NULL,Grassland,NULL,Non_Wetland,Grassland
38,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
40,NULL,Grassland,NULL,Non_Wetland,Bareland
41,NULL,Grassland,NULL,Non_Wetland,Water
42,NULL,Grassland,NULL,Non_Wetland,Forest
43,NULL,Grassland,Non_Water,Non_Wetland,Grassland
44,NULL,Grassland,Non_Water,Non_Wetland,Wetland
45,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
46,NULL,Grassland,Non_Water,Non_Wetland,Bareland
47,NULL,Grassland,Non_Water,Non_Wetland,Water
48,NULL,Grassland,Non_Water,Non_Wetland,Forest
49,NULL,Grassland,Water,Non_Wetland,Grassland
50,NULL,Grassland,Water,Non_Wetland,Wetland
51,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
52,NULL,Grassland,Water,Non_Wetland,Bareland
53,NULL,Grassland,Water,Non_Wetland,Water
54,NULL,Grassland,Water,Non_Wetland,Forest
55,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
58,NULL,Wetland,NULL,Wetland,Bareland
59,NULL,Wetland,NULL,Wetland,Water
60,NULL,Wetland,NULL,Wetland,Forest
61,NULL,Wetland,Non_Water,Wetland,Grassland
62,NULL,Wetland,Non_Water,Wetland,Wetland
63,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
64,NULL,Wetland,Non_Water,Wetland,Bareland
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,Grassland
68,NULL,Wetland,Water,Wetland,Wetland
69,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Water,Wetland,Bareland
71,NULL,Wetland,Water,Wetland,Water
72,NULL,Wetland,Water,Wetland,Forest
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
89,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
90,NULL,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Bareland,NULL,Non_Wetland,Wetland
92,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,NULL,Non_Wetland,Bareland
94,NULL,Bareland,NULL,Non_Wetland,Water
95,NULL,Bareland,NULL,Non_Wetland,Forest
96,NULL,Bareland,Non_Water,Non_Wetland,Grassland
97,NULL,Bareland,Non_Water,Non_Wetland,Wetland
98,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Non_Water,Non_Wetland,Bareland
100,NULL,Bareland,Non_Water,Non_Wetland,Water
101,NULL,Bareland,Non_Water,Non_Wetland,Forest
102,NULL,Bareland,Water,Non_Wetland,Grassland
103,NULL,Bareland,Water,Non_Wetland,Wetland
104,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
105,NULL,Bareland,Water,Non_Wetland,Bareland
106,NULL,Bareland,Water,Non_Wetland,Water
107,NULL,Bareland,Water,Non_Wetland,Forest
108,NULL,Built-up,NULL,Non_Wetland,Grassland
109,NULL,Built-up,NULL,Non_Wetland,Wetland
110,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
111,NULL,Built-up,NULL,Non_Wetland,Bareland
112,NULL,Built-up,NULL,Non_Wetland,Built-up
113,NULL,Built-up,NULL,Non_Wetland,Water
114,NULL,Built-up,NULL,Non_Wetland,Forest
115,NULL,Built-up,Non_Water,Non_Wetland,Grassland
116,NULL,Built-up,Non_Water,Non_Wetland,Wetland
117,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Built-up,Non_Water,Non_Wetland,Bareland
119,NULL,Built-up,Non_Water,Non_Wetland,Water
120,NULL,Built-up,Non_Water,Non_Wetland,Forest
121,NULL,Built-up,Water,Non_Wetland,Grassland
122,NULL,Built-up,Water,Non_Wetland,Wetland
123,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
124,NULL,Built-up,Water,Non_Wetland,Bareland
125,NULL,Built-up,Water,Non_Wetland,Built-up
126,NULL,Built-up,Water,Non_Wetland,Water
127,NULL,Built-up,Water,Non_Wetland,Forest
128,NULL,Water,NULL,Water,Grassland
129,NULL,Water,NULL,Water,Wetland
130,NULL,Water,NULL,Water,Lichens_and_Mosses
131,NULL,Water,NULL,Water,Bareland
132,NULL,Water,NULL,Water,Water
133,NULL,Water,NULL,Water,Forest
134,NULL,Water,Non_Water,Water,Grassland
135,NULL,Water,Non_Water,Water,Wetland
136,NULL,Water,Non_Water,Water,Lichens_and_Mosses
137,NULL,Water,Non_Water,Water,Bareland
138,NULL,Water,Non_Water,Water,Water
139,NULL,Water,Non_Water,Water,Forest
140,NULL,Water,Water,Water,Grassland
141,NULL,Water,Water,Water,Wetland
142,NULL,Water,Water,Water,Lichens_and_Mosses
143,NULL,Water,Water,Water,Bareland
144,NULL,Water,Water,Water,Water
145,NULL,Water,Water,Water,Forest
146,NULL,Forest,NULL,Non_Wetland,Grassland
147,NULL,Forest,NULL,Non_Wetland,Wetland
148,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
149,NULL,Forest,NULL,Non_Wetland,Bareland
150,NULL,Forest,NULL,Non_Wetland,Built-up
151,NULL,Forest,NULL,Non_Wetland,Water
152,NULL,Forest,NULL,Non_Wetland,Forest
153,NULL,Forest,Non_Water,Non_Wetland,Grassland
154,NULL,Forest,Non_Water,Non_Wetland,Wetland
155,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,Forest,Non_Water,Non_Wetland,Bareland
157,NULL,Forest,Non_Water,Non_Wetland,Water
158,NULL,Forest,Non_Water,Non_Wetland,Forest
159,NULL,Forest,Water,Non_Wetland,Grassland
160,NULL,Forest,Water,Non_Wetland,Wetland
161,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
162,NULL,Forest,Water,Non_Wetland,Bareland
163,NULL,Forest,Water,Non_Wetland,Water
164,NULL,Forest,Water,Non_Wetland,Forest
165,Cropland,NULL,NULL,Non_Wetland,Wetland
166,Cropland,NULL,Non_Water,Non_Wetland,Wetland
167,Cropland,Shrubland,NULL,Non_Wetland,Wetland
168,Cropland,Shrubland,NULL,Non_Wetland,Forest
169,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
