Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNC_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNC_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNC_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNC_M_R,SIBERIA_2024_WorldCover_2021_44WNC_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
28,NULL,Shrubland,Non_Water,Non_Wetland,Water
29,NULL,Shrubland,Non_Water,Non_Wetland,Forest
30,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Shrubland,Water,Non_Wetland,Bareland
34,NULL,Shrubland,Water,Non_Wetland,Water
35,NULL,Shrubland,Water,Non_Wetland,Forest
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
45,NULL,Grassland,Non_Water,Non_Wetland,Bareland
46,NULL,Grassland,Non_Water,Non_Wetland,Water
47,NULL,Grassland,Non_Water,Non_Wetland,Forest
48,NULL,Grassland,Water,Non_Wetland,Grassland
49,NULL,Grassland,Water,Non_Wetland,Wetland
50,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
51,NULL,Grassland,Water,Non_Wetland,Bareland
52,NULL,Grassland,Water,Non_Wetland,Water
53,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,Wetland,NULL,NULL,Grassland
55,NULL,Wetland,NULL,NULL,Wetland
56,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
57,NULL,Wetland,NULL,NULL,Bareland
58,NULL,Wetland,NULL,NULL,Water
59,NULL,Wetland,NULL,NULL,Forest
60,NULL,Wetland,NULL,Wetland,Grassland
61,NULL,Wetland,NULL,Wetland,Wetland
62,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
63,NULL,Wetland,NULL,Wetland,Bareland
64,NULL,Wetland,NULL,Wetland,Water
65,NULL,Wetland,NULL,Wetland,Forest
66,NULL,Wetland,Non_Water,NULL,Grassland
67,NULL,Wetland,Non_Water,NULL,Wetland
68,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
69,NULL,Wetland,Non_Water,NULL,Bareland
70,NULL,Wetland,Non_Water,NULL,Water
71,NULL,Wetland,Non_Water,Wetland,Grassland
72,NULL,Wetland,Non_Water,Wetland,Wetland
73,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
74,NULL,Wetland,Non_Water,Wetland,Bareland
75,NULL,Wetland,Non_Water,Wetland,Water
76,NULL,Wetland,Non_Water,Wetland,Forest
77,NULL,Wetland,Water,NULL,Grassland
78,NULL,Wetland,Water,NULL,Wetland
79,NULL,Wetland,Water,NULL,Lichens_and_Mosses
80,NULL,Wetland,Water,NULL,Bareland
81,NULL,Wetland,Water,NULL,Water
82,NULL,Wetland,Water,NULL,Forest
83,NULL,Wetland,Water,Wetland,Grassland
84,NULL,Wetland,Water,Wetland,Wetland
85,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
86,NULL,Wetland,Water,Wetland,Bareland
87,NULL,Wetland,Water,Wetland,Water
88,NULL,Wetland,Water,Wetland,Forest
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
95,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
96,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
97,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
99,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
100,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
101,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
102,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
104,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
105,NULL,Bareland,NULL,Non_Wetland,Grassland
106,NULL,Bareland,NULL,Non_Wetland,Wetland
107,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
108,NULL,Bareland,NULL,Non_Wetland,Bareland
109,NULL,Bareland,NULL,Non_Wetland,Built-up
110,NULL,Bareland,NULL,Non_Wetland,Water
111,NULL,Bareland,NULL,Non_Wetland,Forest
112,NULL,Bareland,Non_Water,Non_Wetland,Grassland
113,NULL,Bareland,Non_Water,Non_Wetland,Wetland
114,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
115,NULL,Bareland,Non_Water,Non_Wetland,Bareland
116,NULL,Bareland,Non_Water,Non_Wetland,Water
117,NULL,Bareland,Non_Water,Non_Wetland,Forest
118,NULL,Bareland,Water,Non_Wetland,Grassland
119,NULL,Bareland,Water,Non_Wetland,Wetland
120,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
121,NULL,Bareland,Water,Non_Wetland,Bareland
122,NULL,Bareland,Water,Non_Wetland,Water
123,NULL,Bareland,Water,Non_Wetland,Forest
124,NULL,Built-up,NULL,Non_Wetland,Grassland
125,NULL,Built-up,NULL,Non_Wetland,Wetland
126,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
127,NULL,Built-up,NULL,Non_Wetland,Bareland
128,NULL,Built-up,NULL,Non_Wetland,Water
129,NULL,Built-up,NULL,Non_Wetland,Forest
130,NULL,Built-up,Non_Water,Non_Wetland,Grassland
131,NULL,Built-up,Non_Water,Non_Wetland,Wetland
132,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
133,NULL,Built-up,Non_Water,Non_Wetland,Bareland
134,NULL,Built-up,Non_Water,Non_Wetland,Water
135,NULL,Built-up,Water,Non_Wetland,Grassland
136,NULL,Built-up,Water,Non_Wetland,Wetland
137,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
138,NULL,Built-up,Water,Non_Wetland,Bareland
139,NULL,Built-up,Water,Non_Wetland,Water
140,NULL,Built-up,Water,Non_Wetland,Forest
141,NULL,Water,NULL,NULL,Grassland
142,NULL,Water,NULL,Water,Grassland
143,NULL,Water,NULL,Water,Wetland
144,NULL,Water,NULL,Water,Lichens_and_Mosses
145,NULL,Water,NULL,Water,Bareland
146,NULL,Water,NULL,Water,Water
147,NULL,Water,NULL,Water,Forest
148,NULL,Water,Non_Water,Water,Grassland
149,NULL,Water,Non_Water,Water,Wetland
150,NULL,Water,Non_Water,Water,Lichens_and_Mosses
151,NULL,Water,Non_Water,Water,Bareland
152,NULL,Water,Non_Water,Water,Water
153,NULL,Water,Non_Water,Water,Forest
154,NULL,Water,Water,NULL,Wetland
155,NULL,Water,Water,Water,Grassland
156,NULL,Water,Water,Water,Wetland
157,NULL,Water,Water,Water,Lichens_and_Mosses
158,NULL,Water,Water,Water,Bareland
159,NULL,Water,Water,Water,Water
160,NULL,Water,Water,Water,Forest
161,NULL,Forest,NULL,Non_Wetland,Grassland
162,NULL,Forest,NULL,Non_Wetland,Wetland
163,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
164,NULL,Forest,NULL,Non_Wetland,Bareland
165,NULL,Forest,NULL,Non_Wetland,Water
166,NULL,Forest,NULL,Non_Wetland,Forest
167,NULL,Forest,Non_Water,Non_Wetland,Grassland
168,NULL,Forest,Non_Water,Non_Wetland,Wetland
169,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
170,NULL,Forest,Non_Water,Non_Wetland,Bareland
171,NULL,Forest,Non_Water,Non_Wetland,Water
