Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VPP_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VPP_M_R,SIBERIA_2024_GSW_Yearly_2021_44VPP_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VPP_M_R,SIBERIA_2024_WorldCover_2021_44VPP_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Water
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Water,Non_Wetland,Forest
31,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,Cropland,NULL,Non_Wetland,Wetland
34,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,Cropland,Non_Water,Non_Wetland,Forest
37,NULL,Cropland,Water,Non_Wetland,Wetland
38,NULL,Cropland,Water,Non_Wetland,Forest
39,NULL,Wetland,NULL,Wetland,NULL
40,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,Wetland,NULL,Wetland,Wetland
42,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
43,NULL,Wetland,NULL,Wetland,Bareland
44,NULL,Wetland,NULL,Wetland,Water
45,NULL,Wetland,NULL,Wetland,Forest
46,NULL,Wetland,Non_Water,Wetland,NULL
47,NULL,Wetland,Non_Water,Wetland,Grassland
48,NULL,Wetland,Non_Water,Wetland,Wetland
49,NULL,Wetland,Non_Water,Wetland,Water
50,NULL,Wetland,Non_Water,Wetland,Forest
51,NULL,Wetland,Water,Wetland,NULL
52,NULL,Wetland,Water,Wetland,Grassland
53,NULL,Wetland,Water,Wetland,Wetland
54,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
55,NULL,Wetland,Water,Wetland,Bareland
56,NULL,Wetland,Water,Wetland,Water
57,NULL,Wetland,Water,Wetland,Forest
58,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
61,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
62,NULL,Bareland,NULL,Non_Wetland,NULL
63,NULL,Bareland,NULL,Non_Wetland,Grassland
64,NULL,Bareland,NULL,Non_Wetland,Wetland
65,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
66,NULL,Bareland,NULL,Non_Wetland,Bareland
67,NULL,Bareland,NULL,Non_Wetland,Built-up
68,NULL,Bareland,NULL,Non_Wetland,Water
69,NULL,Bareland,NULL,Non_Wetland,Forest
70,NULL,Bareland,Non_Water,Non_Wetland,Grassland
71,NULL,Bareland,Non_Water,Non_Wetland,Wetland
72,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
73,NULL,Bareland,Non_Water,Non_Wetland,Bareland
74,NULL,Bareland,Non_Water,Non_Wetland,Water
75,NULL,Bareland,Non_Water,Non_Wetland,Forest
76,NULL,Bareland,Water,Non_Wetland,Grassland
77,NULL,Bareland,Water,Non_Wetland,Wetland
78,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
79,NULL,Bareland,Water,Non_Wetland,Bareland
80,NULL,Bareland,Water,Non_Wetland,Water
81,NULL,Bareland,Water,Non_Wetland,Forest
82,NULL,Built-up,NULL,Non_Wetland,NULL
83,NULL,Built-up,NULL,Non_Wetland,Grassland
84,NULL,Built-up,NULL,Non_Wetland,Wetland
85,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,Built-up,NULL,Non_Wetland,Forest
89,NULL,Built-up,Non_Water,Non_Wetland,Wetland
90,NULL,Built-up,Non_Water,Non_Wetland,Water
91,NULL,Built-up,Non_Water,Non_Wetland,Forest
92,NULL,Built-up,Water,Non_Wetland,Grassland
93,NULL,Built-up,Water,Non_Wetland,Wetland
94,NULL,Built-up,Water,Non_Wetland,Bareland
95,NULL,Built-up,Water,Non_Wetland,Water
96,NULL,Built-up,Water,Non_Wetland,Forest
97,NULL,Water,NULL,Water,NULL
98,NULL,Water,NULL,Water,Grassland
99,NULL,Water,NULL,Water,Wetland
100,NULL,Water,NULL,Water,Lichens_and_Mosses
101,NULL,Water,NULL,Water,Bareland
102,NULL,Water,NULL,Water,Water
103,NULL,Water,NULL,Water,Forest
104,NULL,Water,Non_Water,Water,Wetland
105,NULL,Water,Non_Water,Water,Water
106,NULL,Water,Non_Water,Water,Forest
107,NULL,Water,Water,Water,NULL
108,NULL,Water,Water,Water,Grassland
109,NULL,Water,Water,Water,Wetland
110,NULL,Water,Water,Water,Lichens_and_Mosses
111,NULL,Water,Water,Water,Bareland
112,NULL,Water,Water,Water,Water
113,NULL,Water,Water,Water,Forest
114,NULL,Forest,NULL,Non_Wetland,NULL
115,NULL,Forest,NULL,Non_Wetland,Grassland
116,NULL,Forest,NULL,Non_Wetland,Wetland
117,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
118,NULL,Forest,NULL,Non_Wetland,Bareland
119,NULL,Forest,NULL,Non_Wetland,Water
120,NULL,Forest,NULL,Non_Wetland,Forest
121,NULL,Forest,Non_Water,Non_Wetland,NULL
122,NULL,Forest,Non_Water,Non_Wetland,Grassland
123,NULL,Forest,Non_Water,Non_Wetland,Wetland
124,NULL,Forest,Non_Water,Non_Wetland,Forest
125,NULL,Forest,Water,Non_Wetland,NULL
126,NULL,Forest,Water,Non_Wetland,Grassland
127,NULL,Forest,Water,Non_Wetland,Wetland
128,NULL,Forest,Water,Non_Wetland,Water
129,NULL,Forest,Water,Non_Wetland,Forest
130,Cropland,NULL,NULL,Non_Wetland,NULL
131,Cropland,NULL,NULL,Non_Wetland,Wetland
132,Cropland,NULL,NULL,Non_Wetland,Forest
133,Cropland,Shrubland,NULL,Non_Wetland,NULL
134,Cropland,Shrubland,NULL,Non_Wetland,Wetland
135,Cropland,Shrubland,NULL,Non_Wetland,Forest
136,Cropland,Grassland,NULL,Non_Wetland,Forest
137,Cropland,Wetland,NULL,Wetland,NULL
138,Cropland,Wetland,NULL,Wetland,Grassland
139,Cropland,Wetland,NULL,Wetland,Wetland
140,Cropland,Wetland,NULL,Wetland,Forest
141,Cropland,Wetland,Non_Water,Wetland,Wetland
142,Cropland,Bareland,NULL,Non_Wetland,NULL
143,Cropland,Bareland,NULL,Non_Wetland,Grassland
144,Cropland,Bareland,NULL,Non_Wetland,Wetland
145,Cropland,Bareland,NULL,Non_Wetland,Forest
146,Cropland,Built-up,NULL,Non_Wetland,Forest
147,Cropland,Forest,NULL,Non_Wetland,NULL
148,Cropland,Forest,NULL,Non_Wetland,Grassland
149,Cropland,Forest,NULL,Non_Wetland,Wetland
150,Cropland,Forest,NULL,Non_Wetland,Forest
151,Wetland,NULL,NULL,Non_Wetland,NULL
152,Wetland,NULL,NULL,Non_Wetland,Grassland
153,Wetland,NULL,NULL,Non_Wetland,Wetland
154,Wetland,NULL,NULL,Non_Wetland,Bareland
155,Wetland,NULL,NULL,Non_Wetland,Water
156,Wetland,NULL,NULL,Non_Wetland,Forest
157,Wetland,NULL,Non_Water,Non_Wetland,Grassland
158,Wetland,NULL,Non_Water,Non_Wetland,Wetland
159,Wetland,NULL,Non_Water,Non_Wetland,Water
160,Wetland,NULL,Non_Water,Non_Wetland,Forest
161,Wetland,NULL,Water,Non_Wetland,NULL
162,Wetland,NULL,Water,Non_Wetland,Grassland
163,Wetland,NULL,Water,Non_Wetland,Wetland
164,Wetland,NULL,Water,Non_Wetland,Bareland
165,Wetland,NULL,Water,Non_Wetland,Water
166,Wetland,NULL,Water,Non_Wetland,Forest
167,Wetland,Shrubland,NULL,Non_Wetland,NULL
168,Wetland,Shrubland,NULL,Non_Wetland,Grassland
169,Wetland,Shrubland,NULL,Non_Wetland,Wetland
170,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
171,Wetland,Shrubland,NULL,Non_Wetland,Water
172,Wetland,Shrubland,NULL,Non_Wetland,Forest
173,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
174,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
175,Wetland,Shrubland,Non_Water,Non_Wetland,Water
176,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
177,Wetland,Shrubland,Water,Non_Wetland,Grassland
178,Wetland,Shrubland,Water,Non_Wetland,Wetland
179,Wetland,Shrubland,Water,Non_Wetland,Water
180,Wetland,Shrubland,Water,Non_Wetland,Forest
181,Wetland,Grassland,NULL,Non_Wetland,NULL
182,Wetland,Grassland,NULL,Non_Wetland,Grassland
183,Wetland,Grassland,NULL,Non_Wetland,Wetland
184,Wetland,Grassland,NULL,Non_Wetland,Forest
185,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
186,Wetland,Grassland,Water,Non_Wetland,Forest
187,Wetland,Cropland,NULL,Non_Wetland,Grassland
188,Wetland,Cropland,NULL,Non_Wetland,Wetland
189,Wetland,Cropland,NULL,Non_Wetland,Forest
190,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
191,Wetland,Cropland,Water,Non_Wetland,Wetland
192,Wetland,Cropland,Water,Non_Wetland,Forest
193,Wetland,Wetland,NULL,Wetland,NULL
194,Wetland,Wetland,NULL,Wetland,Grassland
195,Wetland,Wetland,NULL,Wetland,Wetland
196,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
197,Wetland,Wetland,NULL,Wetland,Bareland
198,Wetland,Wetland,NULL,Wetland,Water
199,Wetland,Wetland,NULL,Wetland,Forest
200,Wetland,Wetland,Non_Water,Wetland,NULL
201,Wetland,Wetland,Non_Water,Wetland,Grassland
202,Wetland,Wetland,Non_Water,Wetland,Wetland
203,Wetland,Wetland,Non_Water,Wetland,Bareland
204,Wetland,Wetland,Non_Water,Wetland,Water
205,Wetland,Wetland,Non_Water,Wetland,Forest
206,Wetland,Wetland,Water,Wetland,NULL
207,Wetland,Wetland,Water,Wetland,Grassland
208,Wetland,Wetland,Water,Wetland,Wetland
209,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
210,Wetland,Wetland,Water,Wetland,Bareland
211,Wetland,Wetland,Water,Wetland,Water
212,Wetland,Wetland,Water,Wetland,Forest
213,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
214,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
215,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
216,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
217,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
218,Wetland,Bareland,NULL,Non_Wetland,NULL
219,Wetland,Bareland,NULL,Non_Wetland,Grassland
220,Wetland,Bareland,NULL,Non_Wetland,Wetland
221,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
222,Wetland,Bareland,NULL,Non_Wetland,Bareland
223,Wetland,Bareland,NULL,Non_Wetland,Water
224,Wetland,Bareland,NULL,Non_Wetland,Forest
225,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
226,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
227,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
228,Wetland,Bareland,Non_Water,Non_Wetland,Water
229,Wetland,Bareland,Non_Water,Non_Wetland,Forest
230,Wetland,Bareland,Water,Non_Wetland,NULL
231,Wetland,Bareland,Water,Non_Wetland,Grassland
232,Wetland,Bareland,Water,Non_Wetland,Wetland
233,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
234,Wetland,Bareland,Water,Non_Wetland,Bareland
235,Wetland,Bareland,Water,Non_Wetland,Built-up
236,Wetland,Bareland,Water,Non_Wetland,Water
237,Wetland,Bareland,Water,Non_Wetland,Forest
238,Wetland,Built-up,NULL,Non_Wetland,NULL
239,Wetland,Built-up,NULL,Non_Wetland,Grassland
240,Wetland,Built-up,NULL,Non_Wetland,Wetland
241,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
242,Wetland,Built-up,NULL,Non_Wetland,Bareland
243,Wetland,Built-up,NULL,Non_Wetland,Water
244,Wetland,Built-up,NULL,Non_Wetland,Forest
245,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
246,Wetland,Built-up,Non_Water,Non_Wetland,Water
247,Wetland,Built-up,Non_Water,Non_Wetland,Forest
248,Wetland,Built-up,Water,Non_Wetland,Grassland
249,Wetland,Built-up,Water,Non_Wetland,Wetland
250,Wetland,Built-up,Water,Non_Wetland,Bareland
251,Wetland,Built-up,Water,Non_Wetland,Water
252,Wetland,Built-up,Water,Non_Wetland,Forest
253,Wetland,Water,NULL,Water,NULL
254,Wetland,Water,NULL,Water,Grassland
255,Wetland,Water,NULL,Water,Wetland
256,Wetland,Water,NULL,Water,Bareland
257,Wetland,Water,NULL,Water,Water
258,Wetland,Water,NULL,Water,Forest
259,Wetland,Water,Non_Water,Water,NULL
260,Wetland,Water,Non_Water,Water,Grassland
261,Wetland,Water,Non_Water,Water,Wetland
262,Wetland,Water,Non_Water,Water,Water
263,Wetland,Water,Non_Water,Water,Forest
264,Wetland,Water,Water,Water,NULL
265,Wetland,Water,Water,Water,Grassland
266,Wetland,Water,Water,Water,Wetland
267,Wetland,Water,Water,Water,Lichens_and_Mosses
268,Wetland,Water,Water,Water,Bareland
269,Wetland,Water,Water,Water,Water
270,Wetland,Water,Water,Water,Forest
271,Wetland,Forest,NULL,Non_Wetland,NULL
