Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFS_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFS_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFS_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFS_M_R,SIBERIA_2024_WorldCover_2021_43WFS_M_R
170,Wetland,NULL,Non_Water,Non_Wetland,Forest
171,Wetland,NULL,Water,Non_Wetland,Grassland
172,Wetland,NULL,Water,Non_Wetland,Wetland
173,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
174,Wetland,NULL,Water,Non_Wetland,Bareland
175,Wetland,NULL,Water,Non_Wetland,Water
176,Wetland,NULL,Water,Non_Wetland,Forest
177,Wetland,Shrubland,NULL,Non_Wetland,Grassland
178,Wetland,Shrubland,NULL,Non_Wetland,Wetland
179,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
180,Wetland,Shrubland,NULL,Non_Wetland,Bareland
181,Wetland,Shrubland,NULL,Non_Wetland,Built-up
182,Wetland,Shrubland,NULL,Non_Wetland,Water
183,Wetland,Shrubland,NULL,Non_Wetland,Forest
184,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
185,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
186,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
187,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
188,Wetland,Shrubland,Non_Water,Non_Wetland,Water
189,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
190,Wetland,Shrubland,Water,Non_Wetland,Grassland
191,Wetland,Shrubland,Water,Non_Wetland,Wetland
192,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
193,Wetland,Shrubland,Water,Non_Wetland,Bareland
194,Wetland,Shrubland,Water,Non_Wetland,Water
195,Wetland,Shrubland,Water,Non_Wetland,Forest
196,Wetland,Grassland,NULL,Non_Wetland,Grassland
197,Wetland,Grassland,NULL,Non_Wetland,Wetland
198,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
199,Wetland,Grassland,NULL,Non_Wetland,Bareland
200,Wetland,Grassland,NULL,Non_Wetland,Built-up
201,Wetland,Grassland,NULL,Non_Wetland,Water
202,Wetland,Grassland,NULL,Non_Wetland,Forest
203,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
204,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
205,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
206,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
207,Wetland,Grassland,Non_Water,Non_Wetland,Water
208,Wetland,Grassland,Non_Water,Non_Wetland,Forest
209,Wetland,Grassland,Water,Non_Wetland,Grassland
210,Wetland,Grassland,Water,Non_Wetland,Wetland
211,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
212,Wetland,Grassland,Water,Non_Wetland,Bareland
213,Wetland,Grassland,Water,Non_Wetland,Water
214,Wetland,Grassland,Water,Non_Wetland,Forest
215,Wetland,Wetland,NULL,NULL,Grassland
216,Wetland,Wetland,NULL,NULL,Wetland
217,Wetland,Wetland,NULL,NULL,Water
218,Wetland,Wetland,NULL,Wetland,Grassland
219,Wetland,Wetland,NULL,Wetland,Wetland
220,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
221,Wetland,Wetland,NULL,Wetland,Bareland
222,Wetland,Wetland,NULL,Wetland,Water
223,Wetland,Wetland,NULL,Wetland,Forest
224,Wetland,Wetland,Non_Water,NULL,Wetland
225,Wetland,Wetland,Non_Water,Wetland,Grassland
226,Wetland,Wetland,Non_Water,Wetland,Wetland
227,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
228,Wetland,Wetland,Non_Water,Wetland,Bareland
229,Wetland,Wetland,Non_Water,Wetland,Water
230,Wetland,Wetland,Non_Water,Wetland,Forest
231,Wetland,Wetland,Water,NULL,Wetland
232,Wetland,Wetland,Water,NULL,Water
233,Wetland,Wetland,Water,Wetland,Grassland
234,Wetland,Wetland,Water,Wetland,Wetland
235,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
236,Wetland,Wetland,Water,Wetland,Bareland
237,Wetland,Wetland,Water,Wetland,Water
238,Wetland,Wetland,Water,Wetland,Forest
239,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
240,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
241,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
242,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
243,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
244,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
245,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
246,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
247,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
248,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
249,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
250,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
251,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
252,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
253,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
254,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
255,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
256,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
257,Wetland,Bareland,NULL,Non_Wetland,Grassland
258,Wetland,Bareland,NULL,Non_Wetland,Wetland
259,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
260,Wetland,Bareland,NULL,Non_Wetland,Bareland
261,Wetland,Bareland,NULL,Non_Wetland,Built-up
262,Wetland,Bareland,NULL,Non_Wetland,Water
263,Wetland,Bareland,NULL,Non_Wetland,Forest
264,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
265,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
266,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
267,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
268,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
269,Wetland,Bareland,Non_Water,Non_Wetland,Water
270,Wetland,Bareland,Non_Water,Non_Wetland,Forest
271,Wetland,Bareland,Water,Non_Wetland,Grassland
272,Wetland,Bareland,Water,Non_Wetland,Wetland
273,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
274,Wetland,Bareland,Water,Non_Wetland,Bareland
275,Wetland,Bareland,Water,Non_Wetland,Water
276,Wetland,Bareland,Water,Non_Wetland,Forest
277,Wetland,Built-up,NULL,Non_Wetland,Grassland
278,Wetland,Built-up,NULL,Non_Wetland,Wetland
279,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
280,Wetland,Built-up,NULL,Non_Wetland,Bareland
281,Wetland,Built-up,NULL,Non_Wetland,Built-up
282,Wetland,Built-up,NULL,Non_Wetland,Water
283,Wetland,Built-up,NULL,Non_Wetland,Forest
284,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
285,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
286,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
287,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
288,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
289,Wetland,Built-up,Non_Water,Non_Wetland,Water
290,Wetland,Built-up,Water,Non_Wetland,Grassland
291,Wetland,Built-up,Water,Non_Wetland,Wetland
292,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
293,Wetland,Built-up,Water,Non_Wetland,Bareland
294,Wetland,Built-up,Water,Non_Wetland,Water
295,Wetland,Water,NULL,NULL,Wetland
296,Wetland,Water,NULL,NULL,Water
297,Wetland,Water,NULL,Water,Grassland
298,Wetland,Water,NULL,Water,Wetland
299,Wetland,Water,NULL,Water,Lichens_and_Mosses
300,Wetland,Water,NULL,Water,Bareland
301,Wetland,Water,NULL,Water,Built-up
302,Wetland,Water,NULL,Water,Water
303,Wetland,Water,NULL,Water,Forest
304,Wetland,Water,Non_Water,NULL,Wetland
305,Wetland,Water,Non_Water,NULL,Water
306,Wetland,Water,Non_Water,Water,Grassland
307,Wetland,Water,Non_Water,Water,Wetland
308,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
309,Wetland,Water,Non_Water,Water,Bareland
310,Wetland,Water,Non_Water,Water,Water
311,Wetland,Water,Non_Water,Water,Forest
312,Wetland,Water,Water,NULL,Wetland
313,Wetland,Water,Water,NULL,Water
314,Wetland,Water,Water,Water,Grassland
315,Wetland,Water,Water,Water,Wetland
316,Wetland,Water,Water,Water,Lichens_and_Mosses
317,Wetland,Water,Water,Water,Bareland
318,Wetland,Water,Water,Water,Water
319,Wetland,Water,Water,Water,Forest
320,Wetland,Forest,NULL,Non_Wetland,Grassland
321,Wetland,Forest,NULL,Non_Wetland,Wetland
322,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
323,Wetland,Forest,NULL,Non_Wetland,Bareland
324,Wetland,Forest,NULL,Non_Wetland,Built-up
325,Wetland,Forest,NULL,Non_Wetland,Water
326,Wetland,Forest,NULL,Non_Wetland,Forest
327,Wetland,Forest,Non_Water,Non_Wetland,Grassland
328,Wetland,Forest,Non_Water,Non_Wetland,Wetland
329,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
330,Wetland,Forest,Non_Water,Non_Wetland,Bareland
331,Wetland,Forest,Non_Water,Non_Wetland,Water
332,Wetland,Forest,Non_Water,Non_Wetland,Forest
333,Wetland,Forest,Water,Non_Wetland,Grassland
334,Wetland,Forest,Water,Non_Wetland,Wetland
335,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
336,Wetland,Forest,Water,Non_Wetland,Bareland
337,Wetland,Forest,Water,Non_Wetland,Water
338,Wetland,Forest,Water,Non_Wetland,Forest
339,Bareland,NULL,NULL,Non_Wetland,Grassland
340,Bareland,NULL,NULL,Non_Wetland,Wetland
341,Bareland,NULL,NULL,Non_Wetland,Bareland
342,Bareland,NULL,NULL,Non_Wetland,Water
343,Bareland,NULL,Non_Water,Non_Wetland,Wetland
344,Bareland,NULL,Water,Non_Wetland,Wetland
345,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
346,Bareland,NULL,Water,Non_Wetland,Bareland
347,Bareland,NULL,Water,Non_Wetland,Water
348,Bareland,Shrubland,NULL,Non_Wetland,Wetland
349,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
350,Bareland,Shrubland,NULL,Non_Wetland,Bareland
351,Bareland,Shrubland,NULL,Non_Wetland,Water
352,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
353,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
354,Bareland,Shrubland,Water,Non_Wetland,Grassland
355,Bareland,Shrubland,Water,Non_Wetland,Wetland
356,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
357,Bareland,Shrubland,Water,Non_Wetland,Bareland
358,Bareland,Shrubland,Water,Non_Wetland,Water
359,Bareland,Grassland,NULL,Non_Wetland,Grassland
360,Bareland,Grassland,NULL,Non_Wetland,Wetland
361,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
362,Bareland,Grassland,NULL,Non_Wetland,Bareland
363,Bareland,Grassland,NULL,Non_Wetland,Water
364,Bareland,Grassland,NULL,Non_Wetland,Forest
365,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
366,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
367,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
368,Bareland,Grassland,Water,Non_Wetland,Bareland
369,Bareland,Grassland,Water,Non_Wetland,Water
370,Bareland,Wetland,NULL,Wetland,Grassland
371,Bareland,Wetland,NULL,Wetland,Wetland
372,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
373,Bareland,Wetland,NULL,Wetland,Bareland
374,Bareland,Wetland,NULL,Wetland,Water
375,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
376,Bareland,Wetland,Non_Water,Wetland,Bareland
377,Bareland,Wetland,Non_Water,Wetland,Water
378,Bareland,Wetland,Water,Wetland,Wetland
379,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
380,Bareland,Wetland,Water,Wetland,Bareland
381,Bareland,Wetland,Water,Wetland,Water
382,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
383,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
384,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
385,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
386,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
387,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
388,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
389,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
390,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
391,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
392,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
393,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
394,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
395,Bareland,Bareland,NULL,Non_Wetland,Grassland
396,Bareland,Bareland,NULL,Non_Wetland,Wetland
397,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
398,Bareland,Bareland,NULL,Non_Wetland,Bareland
399,Bareland,Bareland,NULL,Non_Wetland,Water
400,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
401,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
402,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
403,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
404,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
405,Bareland,Bareland,Non_Water,Non_Wetland,Water
406,Bareland,Bareland,Water,Non_Wetland,Grassland
407,Bareland,Bareland,Water,Non_Wetland,Wetland
408,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
409,Bareland,Bareland,Water,Non_Wetland,Bareland
410,Bareland,Bareland,Water,Non_Wetland,Water
411,Bareland,Built-up,NULL,Non_Wetland,Grassland
412,Bareland,Built-up,NULL,Non_Wetland,Wetland
413,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
414,Bareland,Built-up,NULL,Non_Wetland,Bareland
415,Bareland,Built-up,NULL,Non_Wetland,Built-up
416,Bareland,Built-up,NULL,Non_Wetland,Water
417,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
418,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
419,Bareland,Built-up,Non_Water,Non_Wetland,Water
420,Bareland,Built-up,Water,Non_Wetland,Wetland
421,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
422,Bareland,Built-up,Water,Non_Wetland,Bareland
423,Bareland,Built-up,Water,Non_Wetland,Water
424,Bareland,Water,NULL,Water,Grassland
425,Bareland,Water,NULL,Water,Wetland
426,Bareland,Water,NULL,Water,Lichens_and_Mosses
427,Bareland,Water,NULL,Water,Bareland
428,Bareland,Water,NULL,Water,Water
429,Bareland,Water,NULL,Water,Forest
430,Bareland,Water,Non_Water,Water,Wetland
431,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
432,Bareland,Water,Non_Water,Water,Bareland
433,Bareland,Water,Non_Water,Water,Water
434,Bareland,Water,Water,Water,Grassland
435,Bareland,Water,Water,Water,Wetland
436,Bareland,Water,Water,Water,Lichens_and_Mosses
437,Bareland,Water,Water,Water,Bareland
438,Bareland,Water,Water,Water,Water
439,Bareland,Forest,NULL,Non_Wetland,Grassland
440,Bareland,Forest,NULL,Non_Wetland,Wetland
441,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
442,Bareland,Forest,NULL,Non_Wetland,Bareland
443,Bareland,Forest,NULL,Non_Wetland,Water
444,Bareland,Forest,NULL,Non_Wetland,Forest
445,Bareland,Forest,Non_Water,Non_Wetland,Grassland
446,Bareland,Forest,Non_Water,Non_Wetland,Wetland
447,Bareland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
448,Bareland,Forest,Non_Water,Non_Wetland,Bareland
449,Bareland,Forest,Water,Non_Wetland,Wetland
450,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
451,Bareland,Forest,Water,Non_Wetland,Bareland
452,Bareland,Forest,Water,Non_Wetland,Water
453,Built-up,NULL,NULL,Non_Wetland,Bareland
454,Built-up,Shrubland,NULL,Non_Wetland,Grassland
455,Built-up,Shrubland,NULL,Non_Wetland,Wetland
456,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
457,Built-up,Shrubland,NULL,Non_Wetland,Bareland
458,Built-up,Shrubland,NULL,Non_Wetland,Forest
459,Built-up,Grassland,NULL,Non_Wetland,Grassland
460,Built-up,Grassland,NULL,Non_Wetland,Wetland
461,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
462,Built-up,Grassland,NULL,Non_Wetland,Bareland
463,Built-up,Grassland,NULL,Non_Wetland,Built-up
464,Built-up,Grassland,NULL,Non_Wetland,Forest
465,Built-up,Grassland,Water,Non_Wetland,Bareland
466,Built-up,Wetland,Water,Wetland,Water
467,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
468,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
