Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNQ_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNQ_M_R,SIBERIA_2024_WorldCover_2021_41WNQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Permanent_ice_and_snow
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,NULL
10,NULL,NULL,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Non_Water,Non_Wetland,Water
15,NULL,NULL,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Water,Non_Wetland,Grassland
17,NULL,NULL,Water,Non_Wetland,Wetland
18,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Water,Non_Wetland,Bareland
20,NULL,NULL,Water,Non_Wetland,Water
21,NULL,NULL,Water,Non_Wetland,Forest
22,NULL,Shrubland,NULL,Non_Wetland,NULL
23,NULL,Shrubland,NULL,Non_Wetland,Grassland
24,NULL,Shrubland,NULL,Non_Wetland,Wetland
25,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,NULL,Non_Wetland,Bareland
27,NULL,Shrubland,NULL,Non_Wetland,Built-up
28,NULL,Shrubland,NULL,Non_Wetland,Water
29,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
30,NULL,Shrubland,NULL,Non_Wetland,Forest
31,NULL,Shrubland,Non_Water,Non_Wetland,NULL
32,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
33,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
34,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
35,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
36,NULL,Shrubland,Non_Water,Non_Wetland,Water
37,NULL,Shrubland,Non_Water,Non_Wetland,Forest
38,NULL,Shrubland,Water,Non_Wetland,NULL
39,NULL,Shrubland,Water,Non_Wetland,Grassland
40,NULL,Shrubland,Water,Non_Wetland,Wetland
41,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
42,NULL,Shrubland,Water,Non_Wetland,Bareland
43,NULL,Shrubland,Water,Non_Wetland,Built-up
44,NULL,Shrubland,Water,Non_Wetland,Water
45,NULL,Shrubland,Water,Non_Wetland,Forest
46,NULL,Grassland,NULL,Non_Wetland,NULL
47,NULL,Grassland,NULL,Non_Wetland,Grassland
48,NULL,Grassland,NULL,Non_Wetland,Wetland
49,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
50,NULL,Grassland,NULL,Non_Wetland,Bareland
51,NULL,Grassland,NULL,Non_Wetland,Built-up
52,NULL,Grassland,NULL,Non_Wetland,Water
53,NULL,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
54,NULL,Grassland,NULL,Non_Wetland,Forest
55,NULL,Grassland,Non_Water,Non_Wetland,NULL
56,NULL,Grassland,Non_Water,Non_Wetland,Grassland
57,NULL,Grassland,Non_Water,Non_Wetland,Wetland
58,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
59,NULL,Grassland,Non_Water,Non_Wetland,Bareland
60,NULL,Grassland,Non_Water,Non_Wetland,Water
61,NULL,Grassland,Non_Water,Non_Wetland,Forest
62,NULL,Grassland,Water,Non_Wetland,Grassland
63,NULL,Grassland,Water,Non_Wetland,Wetland
64,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
65,NULL,Grassland,Water,Non_Wetland,Bareland
66,NULL,Grassland,Water,Non_Wetland,Water
67,NULL,Grassland,Water,Non_Wetland,Forest
68,NULL,Wetland,NULL,Wetland,NULL
69,NULL,Wetland,NULL,Wetland,Grassland
70,NULL,Wetland,NULL,Wetland,Wetland
71,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
72,NULL,Wetland,NULL,Wetland,Bareland
73,NULL,Wetland,NULL,Wetland,Built-up
74,NULL,Wetland,NULL,Wetland,Water
75,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
76,NULL,Wetland,NULL,Wetland,Forest
77,NULL,Wetland,Non_Water,Wetland,Grassland
78,NULL,Wetland,Non_Water,Wetland,Wetland
79,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
80,NULL,Wetland,Non_Water,Wetland,Bareland
81,NULL,Wetland,Non_Water,Wetland,Water
82,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
83,NULL,Wetland,Non_Water,Wetland,Forest
84,NULL,Wetland,Water,Wetland,Grassland
85,NULL,Wetland,Water,Wetland,Wetland
86,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
87,NULL,Wetland,Water,Wetland,Bareland
88,NULL,Wetland,Water,Wetland,Built-up
89,NULL,Wetland,Water,Wetland,Water
90,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
91,NULL,Wetland,Water,Wetland,Forest
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
95,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
96,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
97,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
98,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
99,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
100,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
101,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
102,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
103,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
105,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
106,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
107,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
108,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
109,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
110,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
111,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
112,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
113,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
114,NULL,Bareland,NULL,Non_Wetland,NULL
115,NULL,Bareland,NULL,Non_Wetland,Grassland
116,NULL,Bareland,NULL,Non_Wetland,Wetland
117,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
118,NULL,Bareland,NULL,Non_Wetland,Bareland
119,NULL,Bareland,NULL,Non_Wetland,Built-up
120,NULL,Bareland,NULL,Non_Wetland,Water
121,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
122,NULL,Bareland,NULL,Non_Wetland,Forest
123,NULL,Bareland,Non_Water,Non_Wetland,NULL
124,NULL,Bareland,Non_Water,Non_Wetland,Grassland
125,NULL,Bareland,Non_Water,Non_Wetland,Wetland
126,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
127,NULL,Bareland,Non_Water,Non_Wetland,Bareland
128,NULL,Bareland,Non_Water,Non_Wetland,Built-up
129,NULL,Bareland,Non_Water,Non_Wetland,Water
130,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
131,NULL,Bareland,Non_Water,Non_Wetland,Forest
132,NULL,Bareland,Water,Non_Wetland,NULL
133,NULL,Bareland,Water,Non_Wetland,Grassland
134,NULL,Bareland,Water,Non_Wetland,Wetland
135,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
136,NULL,Bareland,Water,Non_Wetland,Bareland
137,NULL,Bareland,Water,Non_Wetland,Built-up
138,NULL,Bareland,Water,Non_Wetland,Water
139,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
140,NULL,Bareland,Water,Non_Wetland,Forest
141,NULL,Built-up,NULL,Non_Wetland,NULL
142,NULL,Built-up,NULL,Non_Wetland,Grassland
143,NULL,Built-up,NULL,Non_Wetland,Wetland
144,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
145,NULL,Built-up,NULL,Non_Wetland,Bareland
146,NULL,Built-up,NULL,Non_Wetland,Built-up
147,NULL,Built-up,NULL,Non_Wetland,Water
148,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
149,NULL,Built-up,NULL,Non_Wetland,Forest
150,NULL,Built-up,Non_Water,Non_Wetland,Grassland
151,NULL,Built-up,Non_Water,Non_Wetland,Wetland
152,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
153,NULL,Built-up,Non_Water,Non_Wetland,Bareland
154,NULL,Built-up,Non_Water,Non_Wetland,Built-up
155,NULL,Built-up,Non_Water,Non_Wetland,Water
156,NULL,Built-up,Non_Water,Non_Wetland,Permanent_ice_and_snow
157,NULL,Built-up,Non_Water,Non_Wetland,Forest
158,NULL,Built-up,Water,Non_Wetland,Grassland
159,NULL,Built-up,Water,Non_Wetland,Wetland
160,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
161,NULL,Built-up,Water,Non_Wetland,Bareland
162,NULL,Built-up,Water,Non_Wetland,Built-up
163,NULL,Built-up,Water,Non_Wetland,Water
164,NULL,Built-up,Water,Non_Wetland,Forest
165,NULL,Water,NULL,NULL,Lichens_and_Mosses
166,NULL,Water,NULL,NULL,Bareland
167,NULL,Water,NULL,NULL,Water
168,NULL,Water,NULL,NULL,Permanent_ice_and_snow
169,NULL,Water,NULL,Water,Grassland
170,NULL,Water,NULL,Water,Wetland
171,NULL,Water,NULL,Water,Lichens_and_Mosses
172,NULL,Water,NULL,Water,Bareland
173,NULL,Water,NULL,Water,Built-up
174,NULL,Water,NULL,Water,Water
175,NULL,Water,NULL,Water,Permanent_ice_and_snow
176,NULL,Water,NULL,Water,Forest
177,NULL,Water,Non_Water,NULL,Bareland
178,NULL,Water,Non_Water,NULL,Permanent_ice_and_snow
179,NULL,Water,Non_Water,Water,Grassland
180,NULL,Water,Non_Water,Water,Wetland
181,NULL,Water,Non_Water,Water,Lichens_and_Mosses
182,NULL,Water,Non_Water,Water,Bareland
183,NULL,Water,Non_Water,Water,Water
184,NULL,Water,Non_Water,Water,Forest
185,NULL,Water,Water,NULL,Lichens_and_Mosses
186,NULL,Water,Water,NULL,Bareland
187,NULL,Water,Water,NULL,Water
188,NULL,Water,Water,NULL,Permanent_ice_and_snow
189,NULL,Water,Water,Water,Grassland
190,NULL,Water,Water,Water,Wetland
191,NULL,Water,Water,Water,Lichens_and_Mosses
192,NULL,Water,Water,Water,Bareland
193,NULL,Water,Water,Water,Built-up
194,NULL,Water,Water,Water,Water
195,NULL,Water,Water,Water,Permanent_ice_and_snow
196,NULL,Water,Water,Water,Forest
197,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
198,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
199,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
200,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
201,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
202,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
203,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
204,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Water
205,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Permanent_ice_and_snow
206,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Bareland
207,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Water
208,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Permanent_ice_and_snow
209,NULL,Forest,NULL,Non_Wetland,NULL
210,NULL,Forest,NULL,Non_Wetland,Grassland
211,NULL,Forest,NULL,Non_Wetland,Wetland
212,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
213,NULL,Forest,NULL,Non_Wetland,Bareland
214,NULL,Forest,NULL,Non_Wetland,Built-up
215,NULL,Forest,NULL,Non_Wetland,Water
216,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
217,NULL,Forest,NULL,Non_Wetland,Forest
218,NULL,Forest,Non_Water,Non_Wetland,NULL
219,NULL,Forest,Non_Water,Non_Wetland,Grassland
220,NULL,Forest,Non_Water,Non_Wetland,Wetland
221,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
222,NULL,Forest,Non_Water,Non_Wetland,Bareland
223,NULL,Forest,Non_Water,Non_Wetland,Built-up
224,NULL,Forest,Non_Water,Non_Wetland,Water
225,NULL,Forest,Non_Water,Non_Wetland,Forest
226,NULL,Forest,Water,Non_Wetland,NULL
227,NULL,Forest,Water,Non_Wetland,Grassland
228,NULL,Forest,Water,Non_Wetland,Wetland
229,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
230,NULL,Forest,Water,Non_Wetland,Bareland
231,NULL,Forest,Water,Non_Wetland,Built-up
232,NULL,Forest,Water,Non_Wetland,Water
233,NULL,Forest,Water,Non_Wetland,Forest
234,Wetland,NULL,NULL,Non_Wetland,NULL
235,Wetland,NULL,NULL,Non_Wetland,Grassland
236,Wetland,NULL,NULL,Non_Wetland,Wetland
237,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
238,Wetland,NULL,NULL,Non_Wetland,Bareland
239,Wetland,NULL,NULL,Non_Wetland,Built-up
240,Wetland,NULL,NULL,Non_Wetland,Water
241,Wetland,NULL,NULL,Non_Wetland,Forest
242,Wetland,NULL,Non_Water,Non_Wetland,NULL
243,Wetland,NULL,Non_Water,Non_Wetland,Grassland
244,Wetland,NULL,Non_Water,Non_Wetland,Wetland
245,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
246,Wetland,NULL,Non_Water,Non_Wetland,Bareland
247,Wetland,NULL,Non_Water,Non_Wetland,Water
248,Wetland,NULL,Non_Water,Non_Wetland,Forest
249,Wetland,NULL,Water,Non_Wetland,Grassland
250,Wetland,NULL,Water,Non_Wetland,Wetland
251,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
252,Wetland,NULL,Water,Non_Wetland,Bareland
253,Wetland,NULL,Water,Non_Wetland,Water
