Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WMU_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WMU_M_R,SIBERIA_2024_GSW_Yearly_2021_44WMU_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WMU_M_R,SIBERIA_2024_WorldCover_2021_44WMU_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
45,NULL,Grassland,Non_Water,Non_Wetland,Water
46,NULL,Grassland,Non_Water,Non_Wetland,Forest
47,NULL,Grassland,Water,Non_Wetland,Grassland
48,NULL,Grassland,Water,Non_Wetland,Wetland
49,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
50,NULL,Grassland,Water,Non_Wetland,Bareland
51,NULL,Grassland,Water,Non_Wetland,Water
52,NULL,Grassland,Water,Non_Wetland,Forest
53,NULL,Wetland,NULL,Wetland,NULL
54,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
57,NULL,Wetland,NULL,Wetland,Bareland
58,NULL,Wetland,NULL,Wetland,Built-up
59,NULL,Wetland,NULL,Wetland,Water
60,NULL,Wetland,NULL,Wetland,Forest
61,NULL,Wetland,Non_Water,Wetland,Grassland
62,NULL,Wetland,Non_Water,Wetland,Wetland
63,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
64,NULL,Wetland,Non_Water,Wetland,Bareland
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,Grassland
68,NULL,Wetland,Water,Wetland,Wetland
69,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Water,Wetland,Bareland
71,NULL,Wetland,Water,Wetland,Water
72,NULL,Wetland,Water,Wetland,Forest
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
88,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Bareland,NULL,Non_Wetland,Built-up
93,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
95,NULL,Bareland,NULL,Non_Wetland,Forest
96,NULL,Bareland,Non_Water,Non_Wetland,Grassland
97,NULL,Bareland,Non_Water,Non_Wetland,Wetland
98,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Non_Water,Non_Wetland,Bareland
100,NULL,Bareland,Non_Water,Non_Wetland,Built-up
101,NULL,Bareland,Non_Water,Non_Wetland,Water
102,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,Water,Non_Wetland,Bareland
107,NULL,Bareland,Water,Non_Wetland,Water
108,NULL,Bareland,Water,Non_Wetland,Forest
109,NULL,Built-up,NULL,Non_Wetland,Grassland
110,NULL,Built-up,NULL,Non_Wetland,Wetland
111,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
112,NULL,Built-up,NULL,Non_Wetland,Bareland
113,NULL,Built-up,NULL,Non_Wetland,Built-up
114,NULL,Built-up,NULL,Non_Wetland,Water
115,NULL,Built-up,NULL,Non_Wetland,Forest
116,NULL,Built-up,Non_Water,Non_Wetland,Grassland
117,NULL,Built-up,Non_Water,Non_Wetland,Wetland
118,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
119,NULL,Built-up,Non_Water,Non_Wetland,Bareland
120,NULL,Built-up,Non_Water,Non_Wetland,Forest
121,NULL,Built-up,Water,Non_Wetland,Grassland
122,NULL,Built-up,Water,Non_Wetland,Wetland
123,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
124,NULL,Built-up,Water,Non_Wetland,Bareland
125,NULL,Built-up,Water,Non_Wetland,Water
126,NULL,Built-up,Water,Non_Wetland,Forest
127,NULL,Water,NULL,Water,Grassland
128,NULL,Water,NULL,Water,Wetland
129,NULL,Water,NULL,Water,Lichens_and_Mosses
130,NULL,Water,NULL,Water,Bareland
131,NULL,Water,NULL,Water,Water
132,NULL,Water,NULL,Water,Forest
133,NULL,Water,Non_Water,Water,Grassland
134,NULL,Water,Non_Water,Water,Wetland
135,NULL,Water,Non_Water,Water,Lichens_and_Mosses
136,NULL,Water,Non_Water,Water,Water
137,NULL,Water,Non_Water,Water,Forest
138,NULL,Water,Water,Water,Grassland
139,NULL,Water,Water,Water,Wetland
140,NULL,Water,Water,Water,Lichens_and_Mosses
141,NULL,Water,Water,Water,Bareland
142,NULL,Water,Water,Water,Water
143,NULL,Water,Water,Water,Forest
144,NULL,Forest,NULL,Non_Wetland,NULL
145,NULL,Forest,NULL,Non_Wetland,Grassland
146,NULL,Forest,NULL,Non_Wetland,Wetland
147,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Forest,NULL,Non_Wetland,Bareland
149,NULL,Forest,NULL,Non_Wetland,Built-up
150,NULL,Forest,NULL,Non_Wetland,Water
151,NULL,Forest,NULL,Non_Wetland,Forest
152,NULL,Forest,Non_Water,Non_Wetland,Grassland
153,NULL,Forest,Non_Water,Non_Wetland,Wetland
154,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
155,NULL,Forest,Non_Water,Non_Wetland,Bareland
156,NULL,Forest,Non_Water,Non_Wetland,Water
157,NULL,Forest,Non_Water,Non_Wetland,Forest
158,NULL,Forest,Water,Non_Wetland,Grassland
159,NULL,Forest,Water,Non_Wetland,Wetland
160,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
161,NULL,Forest,Water,Non_Wetland,Bareland
162,NULL,Forest,Water,Non_Wetland,Water
163,NULL,Forest,Water,Non_Wetland,Forest
164,Cropland,NULL,NULL,Non_Wetland,Grassland
165,Cropland,NULL,NULL,Non_Wetland,Wetland
166,Cropland,NULL,NULL,Non_Wetland,Forest
167,Cropland,Shrubland,NULL,Non_Wetland,Grassland
168,Cropland,Shrubland,NULL,Non_Wetland,Wetland
169,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
170,Cropland,Shrubland,NULL,Non_Wetland,Forest
