Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWS_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWS_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWS_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWS_M_R,SIBERIA_2024_WorldCover_2021_42WWS_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,Cropland,Non_Water,Non_Wetland,Wetland
52,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
53,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,Cropland,Water,Non_Wetland,Wetland
55,NULL,Wetland,NULL,Wetland,NULL
56,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
59,NULL,Wetland,NULL,Wetland,Bareland
60,NULL,Wetland,NULL,Wetland,Built-up
61,NULL,Wetland,NULL,Wetland,Water
62,NULL,Wetland,NULL,Wetland,Forest
63,NULL,Wetland,Non_Water,Wetland,NULL
64,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
67,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,Wetland,Water,Wetland,NULL
70,NULL,Wetland,Water,Wetland,Grassland
71,NULL,Wetland,Water,Wetland,Wetland
72,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
73,NULL,Wetland,Water,Wetland,Water
74,NULL,Wetland,Water,Wetland,Forest
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
89,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
90,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
92,NULL,Bareland,NULL,Non_Wetland,NULL
93,NULL,Bareland,NULL,Non_Wetland,Grassland
94,NULL,Bareland,NULL,Non_Wetland,Wetland
95,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
96,NULL,Bareland,NULL,Non_Wetland,Bareland
97,NULL,Bareland,NULL,Non_Wetland,Built-up
98,NULL,Bareland,NULL,Non_Wetland,Water
99,NULL,Bareland,NULL,Non_Wetland,Forest
100,NULL,Bareland,Non_Water,Non_Wetland,NULL
101,NULL,Bareland,Non_Water,Non_Wetland,Grassland
102,NULL,Bareland,Non_Water,Non_Wetland,Wetland
103,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Bareland,Non_Water,Non_Wetland,Bareland
105,NULL,Bareland,Non_Water,Non_Wetland,Built-up
106,NULL,Bareland,Non_Water,Non_Wetland,Water
107,NULL,Bareland,Non_Water,Non_Wetland,Forest
108,NULL,Bareland,Water,Non_Wetland,Grassland
109,NULL,Bareland,Water,Non_Wetland,Wetland
110,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
111,NULL,Bareland,Water,Non_Wetland,Bareland
112,NULL,Bareland,Water,Non_Wetland,Water
113,NULL,Bareland,Water,Non_Wetland,Forest
114,NULL,Built-up,NULL,Non_Wetland,NULL
115,NULL,Built-up,NULL,Non_Wetland,Grassland
116,NULL,Built-up,NULL,Non_Wetland,Wetland
117,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
118,NULL,Built-up,NULL,Non_Wetland,Bareland
119,NULL,Built-up,NULL,Non_Wetland,Built-up
120,NULL,Built-up,NULL,Non_Wetland,Forest
121,NULL,Built-up,Non_Water,Non_Wetland,Grassland
122,NULL,Built-up,Non_Water,Non_Wetland,Wetland
123,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
124,NULL,Built-up,Non_Water,Non_Wetland,Bareland
125,NULL,Built-up,Non_Water,Non_Wetland,Forest
126,NULL,Built-up,Water,Non_Wetland,Grassland
127,NULL,Built-up,Water,Non_Wetland,Wetland
128,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
129,NULL,Built-up,Water,Non_Wetland,Bareland
130,NULL,Built-up,Water,Non_Wetland,Water
131,NULL,Water,NULL,Water,Grassland
132,NULL,Water,NULL,Water,Wetland
133,NULL,Water,NULL,Water,Lichens_and_Mosses
134,NULL,Water,NULL,Water,Bareland
135,NULL,Water,NULL,Water,Water
136,NULL,Water,NULL,Water,Forest
137,NULL,Water,Non_Water,Water,Grassland
138,NULL,Water,Non_Water,Water,Wetland
139,NULL,Water,Non_Water,Water,Lichens_and_Mosses
140,NULL,Water,Non_Water,Water,Water
141,NULL,Water,Non_Water,Water,Forest
142,NULL,Water,Water,Water,Grassland
143,NULL,Water,Water,Water,Wetland
144,NULL,Water,Water,Water,Lichens_and_Mosses
145,NULL,Water,Water,Water,Water
146,NULL,Water,Water,Water,Forest
147,NULL,Forest,NULL,Non_Wetland,NULL
148,NULL,Forest,NULL,Non_Wetland,Grassland
149,NULL,Forest,NULL,Non_Wetland,Wetland
150,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,NULL,Non_Wetland,Bareland
152,NULL,Forest,NULL,Non_Wetland,Built-up
153,NULL,Forest,NULL,Non_Wetland,Water
154,NULL,Forest,NULL,Non_Wetland,Forest
155,NULL,Forest,Non_Water,Non_Wetland,NULL
156,NULL,Forest,Non_Water,Non_Wetland,Grassland
157,NULL,Forest,Non_Water,Non_Wetland,Wetland
158,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
159,NULL,Forest,Non_Water,Non_Wetland,Water
160,NULL,Forest,Non_Water,Non_Wetland,Forest
161,NULL,Forest,Water,Non_Wetland,NULL
162,NULL,Forest,Water,Non_Wetland,Grassland
163,NULL,Forest,Water,Non_Wetland,Wetland
164,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
165,NULL,Forest,Water,Non_Wetland,Bareland
166,NULL,Forest,Water,Non_Wetland,Water
167,NULL,Forest,Water,Non_Wetland,Forest
168,Cropland,NULL,NULL,Non_Wetland,Grassland
169,Cropland,NULL,NULL,Non_Wetland,Wetland
170,Cropland,NULL,NULL,Non_Wetland,Forest
171,Cropland,Shrubland,NULL,Non_Wetland,Grassland
172,Cropland,Shrubland,NULL,Non_Wetland,Wetland
173,Cropland,Shrubland,NULL,Non_Wetland,Forest
174,Cropland,Shrubland,Water,Non_Wetland,Wetland
175,Cropland,Grassland,NULL,Non_Wetland,Wetland
176,Cropland,Grassland,Water,Non_Wetland,Grassland
177,Cropland,Cropland,NULL,Non_Wetland,Forest
178,Cropland,Wetland,NULL,Wetland,NULL
179,Cropland,Wetland,NULL,Wetland,Grassland
180,Cropland,Wetland,NULL,Wetland,Wetland
181,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
182,Cropland,Wetland,NULL,Wetland,Forest
183,Cropland,Wetland,Water,Wetland,Wetland
184,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
185,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
186,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
187,Cropland,Bareland,NULL,Non_Wetland,Grassland
188,Cropland,Bareland,NULL,Non_Wetland,Wetland
189,Cropland,Bareland,NULL,Non_Wetland,Bareland
190,Cropland,Bareland,NULL,Non_Wetland,Forest
191,Cropland,Bareland,Water,Non_Wetland,Grassland
192,Cropland,Bareland,Water,Non_Wetland,Wetland
193,Cropland,Water,NULL,Water,Wetland
194,Cropland,Forest,NULL,Non_Wetland,Grassland
195,Cropland,Forest,NULL,Non_Wetland,Wetland
196,Cropland,Forest,NULL,Non_Wetland,Forest
197,Cropland,Forest,Water,Non_Wetland,Wetland
198,Wetland,NULL,NULL,Non_Wetland,NULL
199,Wetland,NULL,NULL,Non_Wetland,Grassland
200,Wetland,NULL,NULL,Non_Wetland,Wetland
201,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
202,Wetland,NULL,NULL,Non_Wetland,Bareland
203,Wetland,NULL,NULL,Non_Wetland,Water
204,Wetland,NULL,NULL,Non_Wetland,Forest
205,Wetland,NULL,Non_Water,Non_Wetland,Grassland
206,Wetland,NULL,Non_Water,Non_Wetland,Wetland
207,Wetland,NULL,Non_Water,Non_Wetland,Water
208,Wetland,NULL,Non_Water,Non_Wetland,Forest
209,Wetland,NULL,Water,Non_Wetland,Grassland
210,Wetland,NULL,Water,Non_Wetland,Wetland
211,Wetland,NULL,Water,Non_Wetland,Water
212,Wetland,NULL,Water,Non_Wetland,Forest
213,Wetland,Shrubland,NULL,Non_Wetland,NULL
214,Wetland,Shrubland,NULL,Non_Wetland,Grassland
215,Wetland,Shrubland,NULL,Non_Wetland,Wetland
216,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
217,Wetland,Shrubland,NULL,Non_Wetland,Bareland
218,Wetland,Shrubland,NULL,Non_Wetland,Water
219,Wetland,Shrubland,NULL,Non_Wetland,Forest
220,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
221,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
222,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
223,Wetland,Shrubland,Non_Water,Non_Wetland,Water
224,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
225,Wetland,Shrubland,Water,Non_Wetland,Grassland
226,Wetland,Shrubland,Water,Non_Wetland,Wetland
227,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
228,Wetland,Shrubland,Water,Non_Wetland,Water
229,Wetland,Shrubland,Water,Non_Wetland,Forest
230,Wetland,Grassland,NULL,Non_Wetland,NULL
231,Wetland,Grassland,NULL,Non_Wetland,Grassland
232,Wetland,Grassland,NULL,Non_Wetland,Wetland
233,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
234,Wetland,Grassland,NULL,Non_Wetland,Bareland
235,Wetland,Grassland,NULL,Non_Wetland,Water
236,Wetland,Grassland,NULL,Non_Wetland,Forest
237,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
238,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
239,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
240,Wetland,Grassland,Water,Non_Wetland,Grassland
241,Wetland,Grassland,Water,Non_Wetland,Wetland
242,Wetland,Grassland,Water,Non_Wetland,Forest
243,Wetland,Cropland,NULL,Non_Wetland,Grassland
244,Wetland,Cropland,NULL,Non_Wetland,Wetland
245,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
246,Wetland,Cropland,NULL,Non_Wetland,Forest
247,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
248,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
249,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
250,Wetland,Cropland,Water,Non_Wetland,Grassland
251,Wetland,Cropland,Water,Non_Wetland,Wetland
252,Wetland,Cropland,Water,Non_Wetland,Water
253,Wetland,Wetland,NULL,Wetland,NULL
254,Wetland,Wetland,NULL,Wetland,Grassland
255,Wetland,Wetland,NULL,Wetland,Wetland
256,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
257,Wetland,Wetland,NULL,Wetland,Bareland
