Value,SIBERIA_2024_ESA_CALU_2024_42WVE_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVE_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVE_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVE_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVE_M_R,SIBERIA_2024_WorldCover_2021_42WVE_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
8,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Water
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Water
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
23,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Grassland,Water,Non_Wetland,Water
25,NULL,NULL,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,NULL,NULL,Wetland
27,NULL,NULL,Wetland,NULL,NULL,Bareland
28,NULL,NULL,Wetland,NULL,NULL,Water
29,NULL,NULL,Wetland,NULL,Wetland,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Wetland
31,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
32,NULL,NULL,Wetland,NULL,Wetland,Bareland
33,NULL,NULL,Wetland,NULL,Wetland,Built-up
34,NULL,NULL,Wetland,NULL,Wetland,Water
35,NULL,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
36,NULL,NULL,Wetland,Non_Water,NULL,Wetland
37,NULL,NULL,Wetland,Non_Water,NULL,Bareland
38,NULL,NULL,Wetland,Non_Water,NULL,Water
39,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
40,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
41,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
42,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
43,NULL,NULL,Wetland,Non_Water,Wetland,Water
44,NULL,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
45,NULL,NULL,Wetland,Water,NULL,Wetland
46,NULL,NULL,Wetland,Water,NULL,Bareland
47,NULL,NULL,Wetland,Water,NULL,Water
48,NULL,NULL,Wetland,Water,Wetland,Grassland
49,NULL,NULL,Wetland,Water,Wetland,Wetland
50,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
51,NULL,NULL,Wetland,Water,Wetland,Bareland
52,NULL,NULL,Wetland,Water,Wetland,Water
53,NULL,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
60,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
62,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
63,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
64,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
65,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
66,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
67,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
68,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
69,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
70,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
73,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
75,NULL,NULL,Bareland,NULL,Non_Wetland,Water
76,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
82,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
83,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
84,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
85,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
86,NULL,NULL,Bareland,Water,Non_Wetland,Water
87,NULL,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
88,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
92,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
93,NULL,NULL,Built-up,NULL,Non_Wetland,Water
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
99,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
100,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
101,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
102,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
103,NULL,NULL,Built-up,Water,Non_Wetland,Water
104,NULL,NULL,Water,NULL,NULL,NULL
105,NULL,NULL,Water,NULL,NULL,Wetland
106,NULL,NULL,Water,NULL,NULL,Bareland
107,NULL,NULL,Water,NULL,NULL,Water
108,NULL,NULL,Water,NULL,Water,Grassland
109,NULL,NULL,Water,NULL,Water,Wetland
110,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
111,NULL,NULL,Water,NULL,Water,Bareland
112,NULL,NULL,Water,NULL,Water,Water
113,NULL,NULL,Water,Non_Water,NULL,Bareland
114,NULL,NULL,Water,Non_Water,NULL,Water
115,NULL,NULL,Water,Non_Water,Water,Grassland
116,NULL,NULL,Water,Non_Water,Water,Wetland
117,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
118,NULL,NULL,Water,Non_Water,Water,Bareland
119,NULL,NULL,Water,Non_Water,Water,Water
120,NULL,NULL,Water,Non_Water,Water,Permanent_ice_and_snow
121,NULL,NULL,Water,Water,NULL,Wetland
122,NULL,NULL,Water,Water,NULL,Bareland
123,NULL,NULL,Water,Water,NULL,Water
124,NULL,NULL,Water,Water,Water,Grassland
125,NULL,NULL,Water,Water,Water,Wetland
126,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
127,NULL,NULL,Water,Water,Water,Bareland
128,NULL,NULL,Water,Water,Water,Water
129,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
130,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
131,NULL,NULL,Forest,NULL,Non_Wetland,Water
132,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
133,NULL,NULL,Forest,Water,Non_Wetland,Wetland
134,NULL,NULL,Forest,Water,Non_Wetland,Water
135,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Grassland
136,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Wetland
137,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
138,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Bareland
139,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Water
140,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
141,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
142,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
143,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Water
144,Shrubland,NULL,Shrubland,Water,Non_Wetland,Grassland
145,Shrubland,NULL,Shrubland,Water,Non_Wetland,Wetland
146,Shrubland,NULL,Shrubland,Water,Non_Wetland,Water
147,Shrubland,NULL,Grassland,NULL,Non_Wetland,Grassland
148,Shrubland,NULL,Grassland,NULL,Non_Wetland,Wetland
149,Shrubland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
150,Shrubland,NULL,Grassland,NULL,Non_Wetland,Bareland
151,Shrubland,NULL,Grassland,NULL,Non_Wetland,Water
152,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
153,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
154,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
155,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Water
156,Shrubland,NULL,Grassland,Water,Non_Wetland,Grassland
157,Shrubland,NULL,Grassland,Water,Non_Wetland,Wetland
158,Shrubland,NULL,Grassland,Water,Non_Wetland,Water
159,Shrubland,NULL,Wetland,NULL,Wetland,Grassland
160,Shrubland,NULL,Wetland,NULL,Wetland,Wetland
161,Shrubland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
162,Shrubland,NULL,Wetland,NULL,Wetland,Bareland
163,Shrubland,NULL,Wetland,NULL,Wetland,Water
164,Shrubland,NULL,Wetland,Non_Water,Wetland,Wetland
165,Shrubland,NULL,Wetland,Non_Water,Wetland,Water
166,Shrubland,NULL,Wetland,Water,Wetland,Grassland
167,Shrubland,NULL,Wetland,Water,Wetland,Wetland
168,Shrubland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
169,Shrubland,NULL,Wetland,Water,Wetland,Bareland
170,Shrubland,NULL,Wetland,Water,Wetland,Water
171,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
172,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
173,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
174,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
175,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
176,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
177,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
178,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
179,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
180,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
181,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
182,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
183,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
184,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
185,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
