Value,SIBERIA_2024_ESA_CALU_2024_42WXB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXB_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXB_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXB_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXB_M_R,SIBERIA_2024_WorldCover_2021_42WXB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Water
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Water
16,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
25,NULL,NULL,Grassland,Water,Non_Wetland,Water
26,NULL,NULL,Grassland,Water,Non_Wetland,Forest
27,NULL,NULL,Wetland,NULL,NULL,NULL
28,NULL,NULL,Wetland,NULL,NULL,Wetland
29,NULL,NULL,Wetland,NULL,NULL,Bareland
30,NULL,NULL,Wetland,NULL,NULL,Water
31,NULL,NULL,Wetland,NULL,Wetland,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
34,NULL,NULL,Wetland,NULL,Wetland,Bareland
35,NULL,NULL,Wetland,NULL,Wetland,Water
36,NULL,NULL,Wetland,NULL,Wetland,Forest
37,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
38,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
39,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
