Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VXQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VXQ_M_R,SIBERIA_2024_GSW_Yearly_2021_42VXQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VXQ_M_R,SIBERIA_2024_WorldCover_2021_42VXQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,Non_Water,Non_Wetland,Water
24,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,Shrubland,Water,Non_Wetland,Permanent_ice_and_snow
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,Grassland,Non_Water,Non_Wetland,Forest
40,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,NULL
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
50,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,Wetland,NULL,Wetland,Water
52,NULL,Wetland,NULL,Wetland,Forest
53,NULL,Wetland,Non_Water,Wetland,NULL
54,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,Wetland,Non_Water,Wetland,Wetland
56,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
57,NULL,Wetland,Non_Water,Wetland,Water
58,NULL,Wetland,Non_Water,Wetland,Forest
59,NULL,Wetland,Water,Wetland,NULL
60,NULL,Wetland,Water,Wetland,Grassland
61,NULL,Wetland,Water,Wetland,Wetland
62,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
63,NULL,Wetland,Water,Wetland,Bareland
64,NULL,Wetland,Water,Wetland,Water
65,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
66,NULL,Wetland,Water,Wetland,Forest
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
73,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
82,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
87,NULL,Bareland,NULL,Non_Wetland,Bareland
88,NULL,Bareland,NULL,Non_Wetland,Built-up
89,NULL,Bareland,NULL,Non_Wetland,Water
90,NULL,Bareland,NULL,Non_Wetland,Forest
91,NULL,Bareland,Non_Water,Non_Wetland,Grassland
92,NULL,Bareland,Non_Water,Non_Wetland,Wetland
93,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Bareland,Non_Water,Non_Wetland,Bareland
95,NULL,Bareland,Non_Water,Non_Wetland,Built-up
96,NULL,Bareland,Non_Water,Non_Wetland,Water
97,NULL,Bareland,Non_Water,Non_Wetland,Forest
98,NULL,Bareland,Water,Non_Wetland,NULL
99,NULL,Bareland,Water,Non_Wetland,Grassland
100,NULL,Bareland,Water,Non_Wetland,Wetland
101,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
102,NULL,Bareland,Water,Non_Wetland,Bareland
103,NULL,Bareland,Water,Non_Wetland,Built-up
104,NULL,Bareland,Water,Non_Wetland,Water
105,NULL,Bareland,Water,Non_Wetland,Forest
106,NULL,Built-up,NULL,Non_Wetland,Grassland
107,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
109,NULL,Built-up,NULL,Non_Wetland,Bareland
110,NULL,Built-up,NULL,Non_Wetland,Built-up
111,NULL,Built-up,NULL,Non_Wetland,Water
112,NULL,Built-up,NULL,Non_Wetland,Forest
113,NULL,Built-up,Non_Water,Non_Wetland,Grassland
114,NULL,Built-up,Non_Water,Non_Wetland,Wetland
115,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Built-up,Non_Water,Non_Wetland,Bareland
117,NULL,Built-up,Non_Water,Non_Wetland,Built-up
118,NULL,Built-up,Non_Water,Non_Wetland,Forest
119,NULL,Built-up,Water,Non_Wetland,Grassland
120,NULL,Built-up,Water,Non_Wetland,Wetland
121,NULL,Built-up,Water,Non_Wetland,Bareland
122,NULL,Built-up,Water,Non_Wetland,Water
123,NULL,Built-up,Water,Non_Wetland,Forest
124,NULL,Water,NULL,Water,Grassland
125,NULL,Water,NULL,Water,Wetland
126,NULL,Water,NULL,Water,Lichens_and_Mosses
127,NULL,Water,NULL,Water,Water
128,NULL,Water,NULL,Water,Forest
129,NULL,Water,Non_Water,Water,Grassland
130,NULL,Water,Non_Water,Water,Wetland
131,NULL,Water,Non_Water,Water,Lichens_and_Mosses
132,NULL,Water,Non_Water,Water,Bareland
133,NULL,Water,Non_Water,Water,Water
134,NULL,Water,Non_Water,Water,Forest
135,NULL,Water,Water,Water,Grassland
136,NULL,Water,Water,Water,Wetland
137,NULL,Water,Water,Water,Lichens_and_Mosses
138,NULL,Water,Water,Water,Water
139,NULL,Water,Water,Water,Forest
140,NULL,Forest,NULL,Non_Wetland,NULL
141,NULL,Forest,NULL,Non_Wetland,Grassland
142,NULL,Forest,NULL,Non_Wetland,Wetland
143,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
144,NULL,Forest,NULL,Non_Wetland,Bareland
145,NULL,Forest,NULL,Non_Wetland,Built-up
146,NULL,Forest,NULL,Non_Wetland,Water
147,NULL,Forest,NULL,Non_Wetland,Forest
148,NULL,Forest,Non_Water,Non_Wetland,NULL
149,NULL,Forest,Non_Water,Non_Wetland,Grassland
150,NULL,Forest,Non_Water,Non_Wetland,Wetland
151,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Forest,Non_Water,Non_Wetland,Water
153,NULL,Forest,Non_Water,Non_Wetland,Forest
154,NULL,Forest,Water,Non_Wetland,NULL
155,NULL,Forest,Water,Non_Wetland,Grassland
156,NULL,Forest,Water,Non_Wetland,Wetland
157,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
158,NULL,Forest,Water,Non_Wetland,Water
159,NULL,Forest,Water,Non_Wetland,Forest
160,Cropland,NULL,NULL,Non_Wetland,Grassland
161,Cropland,NULL,NULL,Non_Wetland,Wetland
162,Cropland,NULL,NULL,Non_Wetland,Forest
163,Cropland,Shrubland,NULL,Non_Wetland,Grassland
164,Cropland,Shrubland,NULL,Non_Wetland,Wetland
165,Cropland,Shrubland,NULL,Non_Wetland,Forest
166,Cropland,Grassland,NULL,Non_Wetland,Grassland
167,Cropland,Grassland,NULL,Non_Wetland,Forest
168,Cropland,Cropland,NULL,Non_Wetland,Grassland
169,Cropland,Cropland,NULL,Non_Wetland,Forest
170,Cropland,Wetland,NULL,Wetland,NULL
171,Cropland,Wetland,NULL,Wetland,Grassland
172,Cropland,Wetland,NULL,Wetland,Wetland
173,Cropland,Wetland,NULL,Wetland,Forest
174,Cropland,Wetland,Non_Water,Wetland,Forest
175,Cropland,Wetland,Water,Wetland,Wetland
176,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
177,Cropland,Bareland,NULL,Non_Wetland,NULL
178,Cropland,Bareland,NULL,Non_Wetland,Grassland
179,Cropland,Bareland,NULL,Non_Wetland,Wetland
180,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
181,Cropland,Bareland,NULL,Non_Wetland,Bareland
182,Cropland,Bareland,NULL,Non_Wetland,Built-up
183,Cropland,Bareland,NULL,Non_Wetland,Forest
184,Cropland,Bareland,Water,Non_Wetland,Wetland
185,Cropland,Built-up,NULL,Non_Wetland,Grassland
186,Cropland,Built-up,NULL,Non_Wetland,Forest
187,Cropland,Forest,NULL,Non_Wetland,NULL
188,Cropland,Forest,NULL,Non_Wetland,Grassland
189,Cropland,Forest,NULL,Non_Wetland,Wetland
190,Cropland,Forest,NULL,Non_Wetland,Forest
191,Cropland,Forest,Water,Non_Wetland,Forest
192,Wetland,NULL,NULL,Non_Wetland,NULL
193,Wetland,NULL,NULL,Non_Wetland,Grassland
194,Wetland,NULL,NULL,Non_Wetland,Wetland
195,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
196,Wetland,NULL,NULL,Non_Wetland,Bareland
197,Wetland,NULL,NULL,Non_Wetland,Built-up
198,Wetland,NULL,NULL,Non_Wetland,Water
199,Wetland,NULL,NULL,Non_Wetland,Forest
200,Wetland,NULL,Non_Water,Non_Wetland,NULL
201,Wetland,NULL,Non_Water,Non_Wetland,Grassland
202,Wetland,NULL,Non_Water,Non_Wetland,Wetland
203,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
204,Wetland,NULL,Non_Water,Non_Wetland,Water
205,Wetland,NULL,Non_Water,Non_Wetland,Forest
206,Wetland,NULL,Water,Non_Wetland,NULL
207,Wetland,NULL,Water,Non_Wetland,Grassland
208,Wetland,NULL,Water,Non_Wetland,Wetland
209,Wetland,NULL,Water,Non_Wetland,Water
210,Wetland,NULL,Water,Non_Wetland,Forest
211,Wetland,Shrubland,NULL,Non_Wetland,NULL
212,Wetland,Shrubland,NULL,Non_Wetland,Grassland
213,Wetland,Shrubland,NULL,Non_Wetland,Wetland
214,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
215,Wetland,Shrubland,NULL,Non_Wetland,Bareland
216,Wetland,Shrubland,NULL,Non_Wetland,Built-up
217,Wetland,Shrubland,NULL,Non_Wetland,Water
218,Wetland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
219,Wetland,Shrubland,NULL,Non_Wetland,Forest
220,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
221,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
222,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
223,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
224,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
225,Wetland,Shrubland,Non_Water,Non_Wetland,Water
226,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
227,Wetland,Shrubland,Water,Non_Wetland,Grassland
228,Wetland,Shrubland,Water,Non_Wetland,Wetland
229,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
230,Wetland,Shrubland,Water,Non_Wetland,Bareland
231,Wetland,Shrubland,Water,Non_Wetland,Built-up
232,Wetland,Shrubland,Water,Non_Wetland,Water
233,Wetland,Shrubland,Water,Non_Wetland,Forest
234,Wetland,Grassland,NULL,Non_Wetland,NULL
235,Wetland,Grassland,NULL,Non_Wetland,Grassland
236,Wetland,Grassland,NULL,Non_Wetland,Wetland
237,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
238,Wetland,Grassland,NULL,Non_Wetland,Bareland
239,Wetland,Grassland,NULL,Non_Wetland,Built-up
240,Wetland,Grassland,NULL,Non_Wetland,Water
241,Wetland,Grassland,NULL,Non_Wetland,Forest
242,Wetland,Grassland,Non_Water,Non_Wetland,NULL
243,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
244,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
245,Wetland,Grassland,Non_Water,Non_Wetland,Forest
246,Wetland,Grassland,Water,Non_Wetland,Grassland
247,Wetland,Grassland,Water,Non_Wetland,Wetland
248,Wetland,Grassland,Water,Non_Wetland,Water
249,Wetland,Grassland,Water,Non_Wetland,Forest
250,Wetland,Cropland,NULL,Non_Wetland,NULL
251,Wetland,Cropland,NULL,Non_Wetland,Grassland
252,Wetland,Cropland,NULL,Non_Wetland,Wetland
253,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
254,Wetland,Cropland,NULL,Non_Wetland,Bareland
255,Wetland,Cropland,NULL,Non_Wetland,Built-up
256,Wetland,Cropland,NULL,Non_Wetland,Forest
257,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
