Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WER_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WER_M_R,SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,SIBERIA_2024_WorldCover_2021_43WER_M_R
170,Wetland,NULL,Water,Non_Wetland,Water
171,Wetland,NULL,Water,Non_Wetland,Forest
172,Wetland,Shrubland,NULL,Non_Wetland,Grassland
173,Wetland,Shrubland,NULL,Non_Wetland,Wetland
174,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
175,Wetland,Shrubland,NULL,Non_Wetland,Bareland
176,Wetland,Shrubland,NULL,Non_Wetland,Water
177,Wetland,Shrubland,NULL,Non_Wetland,Forest
178,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
179,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
180,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
181,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
182,Wetland,Shrubland,Non_Water,Non_Wetland,Water
183,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
184,Wetland,Shrubland,Water,Non_Wetland,Grassland
185,Wetland,Shrubland,Water,Non_Wetland,Wetland
186,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
187,Wetland,Shrubland,Water,Non_Wetland,Bareland
188,Wetland,Shrubland,Water,Non_Wetland,Water
189,Wetland,Shrubland,Water,Non_Wetland,Forest
190,Wetland,Grassland,NULL,Non_Wetland,Grassland
191,Wetland,Grassland,NULL,Non_Wetland,Wetland
192,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
193,Wetland,Grassland,NULL,Non_Wetland,Bareland
194,Wetland,Grassland,NULL,Non_Wetland,Built-up
195,Wetland,Grassland,NULL,Non_Wetland,Water
196,Wetland,Grassland,NULL,Non_Wetland,Forest
197,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
198,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
199,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
200,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
201,Wetland,Grassland,Non_Water,Non_Wetland,Water
202,Wetland,Grassland,Non_Water,Non_Wetland,Forest
203,Wetland,Grassland,Water,Non_Wetland,Grassland
204,Wetland,Grassland,Water,Non_Wetland,Wetland
205,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
206,Wetland,Grassland,Water,Non_Wetland,Bareland
207,Wetland,Grassland,Water,Non_Wetland,Water
208,Wetland,Grassland,Water,Non_Wetland,Forest
209,Wetland,Wetland,NULL,NULL,Grassland
210,Wetland,Wetland,NULL,NULL,Wetland
211,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
212,Wetland,Wetland,NULL,NULL,Water
213,Wetland,Wetland,NULL,Wetland,Grassland
214,Wetland,Wetland,NULL,Wetland,Wetland
215,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
216,Wetland,Wetland,NULL,Wetland,Bareland
217,Wetland,Wetland,NULL,Wetland,Built-up
218,Wetland,Wetland,NULL,Wetland,Water
219,Wetland,Wetland,NULL,Wetland,Permanent_ice_and_snow
220,Wetland,Wetland,NULL,Wetland,Forest
221,Wetland,Wetland,Non_Water,NULL,Wetland
222,Wetland,Wetland,Non_Water,NULL,Water
223,Wetland,Wetland,Non_Water,Wetland,Grassland
224,Wetland,Wetland,Non_Water,Wetland,Wetland
225,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
226,Wetland,Wetland,Non_Water,Wetland,Bareland
227,Wetland,Wetland,Non_Water,Wetland,Water
228,Wetland,Wetland,Non_Water,Wetland,Forest
229,Wetland,Wetland,Water,NULL,Wetland
230,Wetland,Wetland,Water,NULL,Water
231,Wetland,Wetland,Water,Wetland,Grassland
232,Wetland,Wetland,Water,Wetland,Wetland
233,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
234,Wetland,Wetland,Water,Wetland,Bareland
235,Wetland,Wetland,Water,Wetland,Water
236,Wetland,Wetland,Water,Wetland,Forest
237,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
238,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
239,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
240,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
241,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
242,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
243,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
244,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
245,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
246,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
247,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
248,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
249,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
250,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
251,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
252,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
253,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
254,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
255,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
256,Wetland,Bareland,NULL,Non_Wetland,Grassland
257,Wetland,Bareland,NULL,Non_Wetland,Wetland
258,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
259,Wetland,Bareland,NULL,Non_Wetland,Bareland
260,Wetland,Bareland,NULL,Non_Wetland,Built-up
261,Wetland,Bareland,NULL,Non_Wetland,Water
262,Wetland,Bareland,NULL,Non_Wetland,Forest
263,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
264,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
265,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
266,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
267,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
268,Wetland,Bareland,Non_Water,Non_Wetland,Water
269,Wetland,Bareland,Non_Water,Non_Wetland,Forest
270,Wetland,Bareland,Water,Non_Wetland,Grassland
271,Wetland,Bareland,Water,Non_Wetland,Wetland
272,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
273,Wetland,Bareland,Water,Non_Wetland,Bareland
274,Wetland,Bareland,Water,Non_Wetland,Built-up
275,Wetland,Bareland,Water,Non_Wetland,Water
276,Wetland,Bareland,Water,Non_Wetland,Forest
277,Wetland,Built-up,NULL,Non_Wetland,Grassland
278,Wetland,Built-up,NULL,Non_Wetland,Wetland
279,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
280,Wetland,Built-up,NULL,Non_Wetland,Bareland
281,Wetland,Built-up,NULL,Non_Wetland,Built-up
282,Wetland,Built-up,NULL,Non_Wetland,Water
283,Wetland,Built-up,NULL,Non_Wetland,Forest
284,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
285,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
286,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
287,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
288,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
289,Wetland,Built-up,Non_Water,Non_Wetland,Water
290,Wetland,Built-up,Non_Water,Non_Wetland,Forest
291,Wetland,Built-up,Water,Non_Wetland,Grassland
292,Wetland,Built-up,Water,Non_Wetland,Wetland
293,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
294,Wetland,Built-up,Water,Non_Wetland,Bareland
295,Wetland,Built-up,Water,Non_Wetland,Built-up
296,Wetland,Built-up,Water,Non_Wetland,Water
297,Wetland,Built-up,Water,Non_Wetland,Forest
298,Wetland,Water,NULL,NULL,Wetland
299,Wetland,Water,NULL,NULL,Water
300,Wetland,Water,NULL,Water,Grassland
301,Wetland,Water,NULL,Water,Wetland
302,Wetland,Water,NULL,Water,Lichens_and_Mosses
303,Wetland,Water,NULL,Water,Bareland
304,Wetland,Water,NULL,Water,Water
305,Wetland,Water,NULL,Water,Forest
306,Wetland,Water,Non_Water,NULL,Wetland
307,Wetland,Water,Non_Water,NULL,Water
308,Wetland,Water,Non_Water,Water,Grassland
309,Wetland,Water,Non_Water,Water,Wetland
310,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
311,Wetland,Water,Non_Water,Water,Bareland
312,Wetland,Water,Non_Water,Water,Water
313,Wetland,Water,Non_Water,Water,Forest
314,Wetland,Water,Water,NULL,Wetland
315,Wetland,Water,Water,NULL,Water
316,Wetland,Water,Water,Water,Grassland
317,Wetland,Water,Water,Water,Wetland
318,Wetland,Water,Water,Water,Lichens_and_Mosses
319,Wetland,Water,Water,Water,Bareland
320,Wetland,Water,Water,Water,Built-up
321,Wetland,Water,Water,Water,Water
322,Wetland,Water,Water,Water,Permanent_ice_and_snow
323,Wetland,Water,Water,Water,Forest
324,Wetland,Forest,NULL,Non_Wetland,Grassland
325,Wetland,Forest,NULL,Non_Wetland,Wetland
326,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
327,Wetland,Forest,NULL,Non_Wetland,Bareland
328,Wetland,Forest,NULL,Non_Wetland,Built-up
329,Wetland,Forest,NULL,Non_Wetland,Water
330,Wetland,Forest,NULL,Non_Wetland,Forest
331,Wetland,Forest,Non_Water,Non_Wetland,Grassland
332,Wetland,Forest,Non_Water,Non_Wetland,Wetland
333,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
334,Wetland,Forest,Non_Water,Non_Wetland,Bareland
335,Wetland,Forest,Non_Water,Non_Wetland,Water
336,Wetland,Forest,Non_Water,Non_Wetland,Forest
337,Wetland,Forest,Water,Non_Wetland,Grassland
338,Wetland,Forest,Water,Non_Wetland,Wetland
339,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
340,Wetland,Forest,Water,Non_Wetland,Bareland
341,Wetland,Forest,Water,Non_Wetland,Water
342,Wetland,Forest,Water,Non_Wetland,Forest
343,Bareland,NULL,NULL,Non_Wetland,Wetland
344,Bareland,Shrubland,NULL,Non_Wetland,Grassland
345,Bareland,Shrubland,NULL,Non_Wetland,Wetland
346,Bareland,Shrubland,NULL,Non_Wetland,Bareland
347,Bareland,Shrubland,NULL,Non_Wetland,Water
348,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
349,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
350,Bareland,Shrubland,Non_Water,Non_Wetland,Water
351,Bareland,Shrubland,Water,Non_Wetland,Wetland
352,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
353,Bareland,Shrubland,Water,Non_Wetland,Bareland
354,Bareland,Shrubland,Water,Non_Wetland,Water
355,Bareland,Grassland,NULL,Non_Wetland,Grassland
356,Bareland,Grassland,NULL,Non_Wetland,Wetland
357,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
358,Bareland,Grassland,NULL,Non_Wetland,Bareland
359,Bareland,Grassland,NULL,Non_Wetland,Built-up
360,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
361,Bareland,Grassland,Non_Water,Non_Wetland,Wetland
362,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
363,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
364,Bareland,Grassland,Non_Water,Non_Wetland,Water
365,Bareland,Grassland,Water,Non_Wetland,Water
366,Bareland,Wetland,NULL,Wetland,Grassland
367,Bareland,Wetland,NULL,Wetland,Wetland
368,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
369,Bareland,Wetland,NULL,Wetland,Bareland
370,Bareland,Wetland,NULL,Wetland,Water
371,Bareland,Wetland,NULL,Wetland,Forest
372,Bareland,Wetland,Non_Water,NULL,Water
373,Bareland,Wetland,Non_Water,Wetland,Grassland
374,Bareland,Wetland,Non_Water,Wetland,Wetland
375,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
376,Bareland,Wetland,Non_Water,Wetland,Bareland
377,Bareland,Wetland,Non_Water,Wetland,Water
378,Bareland,Wetland,Water,NULL,Water
379,Bareland,Wetland,Water,Wetland,Grassland
380,Bareland,Wetland,Water,Wetland,Wetland
381,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
382,Bareland,Wetland,Water,Wetland,Bareland
383,Bareland,Wetland,Water,Wetland,Water
384,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
385,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
386,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
387,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
388,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
389,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
390,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
391,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
392,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
393,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
394,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
395,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
396,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
397,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
398,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
399,Bareland,Bareland,NULL,Non_Wetland,Grassland
400,Bareland,Bareland,NULL,Non_Wetland,Wetland
401,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
402,Bareland,Bareland,NULL,Non_Wetland,Bareland
403,Bareland,Bareland,NULL,Non_Wetland,Built-up
404,Bareland,Bareland,NULL,Non_Wetland,Water
405,Bareland,Bareland,NULL,Non_Wetland,Forest
406,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
407,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
408,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
409,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
410,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
411,Bareland,Bareland,Non_Water,Non_Wetland,Water
412,Bareland,Bareland,Non_Water,Non_Wetland,Forest
413,Bareland,Bareland,Water,Non_Wetland,Grassland
414,Bareland,Bareland,Water,Non_Wetland,Wetland
415,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
416,Bareland,Bareland,Water,Non_Wetland,Bareland
417,Bareland,Bareland,Water,Non_Wetland,Water
418,Bareland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
419,Bareland,Built-up,NULL,Non_Wetland,Grassland
420,Bareland,Built-up,NULL,Non_Wetland,Wetland
421,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
422,Bareland,Built-up,NULL,Non_Wetland,Bareland
423,Bareland,Built-up,NULL,Non_Wetland,Built-up
424,Bareland,Built-up,NULL,Non_Wetland,Water
425,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
426,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
427,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
428,Bareland,Built-up,Non_Water,Non_Wetland,Water
429,Bareland,Built-up,Water,Non_Wetland,Grassland
430,Bareland,Built-up,Water,Non_Wetland,Wetland
431,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
432,Bareland,Built-up,Water,Non_Wetland,Bareland
433,Bareland,Built-up,Water,Non_Wetland,Built-up
434,Bareland,Built-up,Water,Non_Wetland,Water
435,Bareland,Water,NULL,Water,Grassland
436,Bareland,Water,NULL,Water,Wetland
437,Bareland,Water,NULL,Water,Lichens_and_Mosses
438,Bareland,Water,NULL,Water,Bareland
439,Bareland,Water,NULL,Water,Water
440,Bareland,Water,Non_Water,NULL,Water
441,Bareland,Water,Non_Water,Water,Grassland
442,Bareland,Water,Non_Water,Water,Wetland
443,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
444,Bareland,Water,Non_Water,Water,Bareland
445,Bareland,Water,Non_Water,Water,Water
446,Bareland,Water,Water,NULL,Wetland
447,Bareland,Water,Water,Water,Grassland
448,Bareland,Water,Water,Water,Wetland
449,Bareland,Water,Water,Water,Lichens_and_Mosses
450,Bareland,Water,Water,Water,Bareland
451,Bareland,Water,Water,Water,Water
452,Bareland,Forest,NULL,Non_Wetland,Grassland
453,Bareland,Forest,NULL,Non_Wetland,Wetland
454,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
455,Bareland,Forest,NULL,Non_Wetland,Bareland
456,Bareland,Forest,NULL,Non_Wetland,Water
457,Bareland,Forest,NULL,Non_Wetland,Forest
458,Bareland,Forest,Non_Water,Non_Wetland,Grassland
459,Bareland,Forest,Non_Water,Non_Wetland,Wetland
460,Bareland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
461,Bareland,Forest,Non_Water,Non_Wetland,Bareland
462,Bareland,Forest,Non_Water,Non_Wetland,Water
463,Bareland,Forest,Water,Non_Wetland,Grassland
464,Bareland,Forest,Water,Non_Wetland,Wetland
465,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
466,Bareland,Forest,Water,Non_Wetland,Bareland
467,Bareland,Forest,Water,Non_Wetland,Water
468,Built-up,Shrubland,NULL,Non_Wetland,Grassland
469,Built-up,Shrubland,NULL,Non_Wetland,Wetland
470,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
