Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWH_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWH_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,SIBERIA_2024_WorldCover_2021_45VWH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,Water,Non_Wetland,Bareland
45,NULL,Grassland,Water,Non_Wetland,Water
46,NULL,Grassland,Water,Non_Wetland,Forest
47,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
50,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,Wetland,NULL,Wetland,NULL
52,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,Wetland,NULL,Wetland,Wetland
54,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
55,NULL,Wetland,NULL,Wetland,Water
56,NULL,Wetland,NULL,Wetland,Forest
57,NULL,Wetland,Non_Water,Wetland,NULL
58,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,Wetland,Non_Water,Wetland,Wetland
60,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
61,NULL,Wetland,Non_Water,Wetland,Water
62,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,Wetland,Water,Wetland,NULL
64,NULL,Wetland,Water,Wetland,Grassland
65,NULL,Wetland,Water,Wetland,Wetland
66,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
67,NULL,Wetland,Water,Wetland,Bareland
68,NULL,Wetland,Water,Wetland,Water
69,NULL,Wetland,Water,Wetland,Forest
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
80,NULL,Bareland,NULL,Non_Wetland,NULL
81,NULL,Bareland,NULL,Non_Wetland,Grassland
82,NULL,Bareland,NULL,Non_Wetland,Cropland
83,NULL,Bareland,NULL,Non_Wetland,Wetland
84,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
85,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,Bareland,Non_Water,Non_Wetland,NULL
90,NULL,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,Non_Water,Non_Wetland,Forest
94,NULL,Bareland,Water,Non_Wetland,Grassland
95,NULL,Bareland,Water,Non_Wetland,Wetland
96,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,Bareland,Water,Non_Wetland,Forest
100,NULL,Built-up,NULL,Non_Wetland,NULL
101,NULL,Built-up,NULL,Non_Wetland,Grassland
102,NULL,Built-up,NULL,Non_Wetland,Cropland
103,NULL,Built-up,NULL,Non_Wetland,Wetland
104,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Built-up,NULL,Non_Wetland,Bareland
106,NULL,Built-up,NULL,Non_Wetland,Built-up
107,NULL,Built-up,NULL,Non_Wetland,Water
108,NULL,Built-up,NULL,Non_Wetland,Forest
109,NULL,Built-up,Non_Water,Non_Wetland,Grassland
110,NULL,Built-up,Non_Water,Non_Wetland,Wetland
111,NULL,Built-up,Non_Water,Non_Wetland,Forest
112,NULL,Built-up,Water,Non_Wetland,Grassland
113,NULL,Built-up,Water,Non_Wetland,Wetland
114,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
115,NULL,Built-up,Water,Non_Wetland,Water
116,NULL,Built-up,Water,Non_Wetland,Forest
117,NULL,Water,NULL,Water,NULL
118,NULL,Water,NULL,Water,Grassland
119,NULL,Water,NULL,Water,Wetland
120,NULL,Water,NULL,Water,Water
121,NULL,Water,NULL,Water,Forest
122,NULL,Water,Non_Water,Water,Grassland
123,NULL,Water,Non_Water,Water,Wetland
124,NULL,Water,Non_Water,Water,Lichens_and_Mosses
125,NULL,Water,Non_Water,Water,Forest
126,NULL,Water,Water,Water,NULL
127,NULL,Water,Water,Water,Grassland
128,NULL,Water,Water,Water,Wetland
129,NULL,Water,Water,Water,Water
130,NULL,Water,Water,Water,Forest
131,NULL,Forest,NULL,Non_Wetland,NULL
132,NULL,Forest,NULL,Non_Wetland,Grassland
133,NULL,Forest,NULL,Non_Wetland,Wetland
134,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
135,NULL,Forest,NULL,Non_Wetland,Bareland
136,NULL,Forest,NULL,Non_Wetland,Water
137,NULL,Forest,NULL,Non_Wetland,Forest
138,NULL,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,Forest,Non_Water,Non_Wetland,Wetland
140,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
141,NULL,Forest,Non_Water,Non_Wetland,Forest
142,NULL,Forest,Water,Non_Wetland,Grassland
143,NULL,Forest,Water,Non_Wetland,Wetland
144,NULL,Forest,Water,Non_Wetland,Water
145,NULL,Forest,Water,Non_Wetland,Forest
146,Cropland,NULL,NULL,Non_Wetland,NULL
147,Cropland,NULL,NULL,Non_Wetland,Wetland
148,Cropland,NULL,NULL,Non_Wetland,Forest
149,Cropland,Shrubland,NULL,Non_Wetland,NULL
150,Cropland,Shrubland,NULL,Non_Wetland,Grassland
151,Cropland,Shrubland,NULL,Non_Wetland,Wetland
152,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
153,Cropland,Shrubland,NULL,Non_Wetland,Bareland
154,Cropland,Shrubland,NULL,Non_Wetland,Forest
155,Cropland,Grassland,NULL,Non_Wetland,Grassland
156,Cropland,Grassland,NULL,Non_Wetland,Forest
157,Cropland,Cropland,NULL,Non_Wetland,Forest
158,Cropland,Wetland,NULL,Wetland,NULL
159,Cropland,Wetland,NULL,Wetland,Grassland
160,Cropland,Wetland,NULL,Wetland,Wetland
161,Cropland,Wetland,NULL,Wetland,Water
162,Cropland,Wetland,NULL,Wetland,Forest
163,Cropland,Wetland,Non_Water,Wetland,Wetland
164,Cropland,Wetland,Water,Wetland,Wetland
165,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
166,Cropland,Bareland,NULL,Non_Wetland,NULL
167,Cropland,Bareland,NULL,Non_Wetland,Grassland
168,Cropland,Bareland,NULL,Non_Wetland,Wetland
169,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
170,Cropland,Bareland,NULL,Non_Wetland,Bareland
171,Cropland,Bareland,NULL,Non_Wetland,Forest
172,Cropland,Bareland,Water,Non_Wetland,Forest
173,Cropland,Built-up,NULL,Non_Wetland,NULL
174,Cropland,Built-up,NULL,Non_Wetland,Grassland
175,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
176,Cropland,Built-up,NULL,Non_Wetland,Forest
177,Cropland,Water,NULL,Water,Forest
178,Cropland,Water,Water,Water,Wetland
179,Cropland,Forest,NULL,Non_Wetland,NULL
180,Cropland,Forest,NULL,Non_Wetland,Grassland
181,Cropland,Forest,NULL,Non_Wetland,Wetland
182,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
183,Cropland,Forest,NULL,Non_Wetland,Forest
184,Wetland,NULL,NULL,Non_Wetland,NULL
185,Wetland,NULL,NULL,Non_Wetland,Grassland
186,Wetland,NULL,NULL,Non_Wetland,Wetland
187,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
188,Wetland,NULL,NULL,Non_Wetland,Water
189,Wetland,NULL,NULL,Non_Wetland,Forest
190,Wetland,NULL,Non_Water,Non_Wetland,Grassland
191,Wetland,NULL,Non_Water,Non_Wetland,Wetland
192,Wetland,NULL,Non_Water,Non_Wetland,Water
193,Wetland,NULL,Non_Water,Non_Wetland,Forest
194,Wetland,NULL,Water,Non_Wetland,Grassland
195,Wetland,NULL,Water,Non_Wetland,Wetland
196,Wetland,NULL,Water,Non_Wetland,Water
197,Wetland,NULL,Water,Non_Wetland,Forest
198,Wetland,Shrubland,NULL,Non_Wetland,NULL
199,Wetland,Shrubland,NULL,Non_Wetland,Grassland
200,Wetland,Shrubland,NULL,Non_Wetland,Wetland
201,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
202,Wetland,Shrubland,NULL,Non_Wetland,Water
203,Wetland,Shrubland,NULL,Non_Wetland,Forest
204,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
205,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
206,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
207,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
208,Wetland,Shrubland,Water,Non_Wetland,Grassland
209,Wetland,Shrubland,Water,Non_Wetland,Wetland
210,Wetland,Shrubland,Water,Non_Wetland,Water
211,Wetland,Shrubland,Water,Non_Wetland,Forest
212,Wetland,Grassland,NULL,Non_Wetland,Grassland
213,Wetland,Grassland,NULL,Non_Wetland,Wetland
214,Wetland,Grassland,NULL,Non_Wetland,Forest
215,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
216,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
217,Wetland,Grassland,Non_Water,Non_Wetland,Forest
218,Wetland,Grassland,Water,Non_Wetland,Forest
219,Wetland,Cropland,NULL,Non_Wetland,Grassland
220,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
221,Wetland,Cropland,NULL,Non_Wetland,Forest
222,Wetland,Wetland,NULL,Wetland,NULL
223,Wetland,Wetland,NULL,Wetland,Grassland
224,Wetland,Wetland,NULL,Wetland,Wetland
225,Wetland,Wetland,NULL,Wetland,Bareland
226,Wetland,Wetland,NULL,Wetland,Water
227,Wetland,Wetland,NULL,Wetland,Forest
228,Wetland,Wetland,Non_Water,Wetland,NULL
229,Wetland,Wetland,Non_Water,Wetland,Grassland
230,Wetland,Wetland,Non_Water,Wetland,Wetland
231,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
232,Wetland,Wetland,Non_Water,Wetland,Water
233,Wetland,Wetland,Non_Water,Wetland,Forest
234,Wetland,Wetland,Water,Wetland,NULL
235,Wetland,Wetland,Water,Wetland,Grassland
236,Wetland,Wetland,Water,Wetland,Wetland
237,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
238,Wetland,Wetland,Water,Wetland,Water
239,Wetland,Wetland,Water,Wetland,Forest
240,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
241,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
242,Wetland,Bareland,NULL,Non_Wetland,NULL
243,Wetland,Bareland,NULL,Non_Wetland,Grassland
244,Wetland,Bareland,NULL,Non_Wetland,Wetland
245,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
246,Wetland,Bareland,NULL,Non_Wetland,Bareland
247,Wetland,Bareland,NULL,Non_Wetland,Built-up
248,Wetland,Bareland,NULL,Non_Wetland,Water
249,Wetland,Bareland,NULL,Non_Wetland,Forest
250,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
251,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
252,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
253,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
254,Wetland,Bareland,Non_Water,Non_Wetland,Water
255,Wetland,Bareland,Non_Water,Non_Wetland,Forest
256,Wetland,Bareland,Water,Non_Wetland,Grassland
257,Wetland,Bareland,Water,Non_Wetland,Wetland
258,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
259,Wetland,Bareland,Water,Non_Wetland,Bareland
260,Wetland,Bareland,Water,Non_Wetland,Water
261,Wetland,Bareland,Water,Non_Wetland,Forest
