Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNU_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNU_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNU_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNU_M_R,SIBERIA_2024_WorldCover_2021_44WNU_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
41,NULL,Grassland,Non_Water,Non_Wetland,Water
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
46,NULL,Grassland,Water,Non_Wetland,Water
47,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,Wetland,NULL,Wetland,NULL
49,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,Wetland,NULL,Wetland,Wetland
51,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
52,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,Wetland,NULL,Wetland,Built-up
54,NULL,Wetland,NULL,Wetland,Water
55,NULL,Wetland,NULL,Wetland,Forest
56,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
59,NULL,Wetland,Non_Water,Wetland,Water
60,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,Wetland,Water,Wetland,Grassland
62,NULL,Wetland,Water,Wetland,Wetland
63,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
64,NULL,Wetland,Water,Wetland,Bareland
65,NULL,Wetland,Water,Wetland,Water
66,NULL,Wetland,Water,Wetland,Forest
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
73,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
80,NULL,Bareland,NULL,Non_Wetland,NULL
81,NULL,Bareland,NULL,Non_Wetland,Grassland
82,NULL,Bareland,NULL,Non_Wetland,Wetland
83,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,Bareland,NULL,Non_Wetland,Bareland
85,NULL,Bareland,NULL,Non_Wetland,Built-up
86,NULL,Bareland,NULL,Non_Wetland,Water
87,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,Bareland,Non_Water,Non_Wetland,Grassland
89,NULL,Bareland,Non_Water,Non_Wetland,Wetland
90,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,Non_Water,Non_Wetland,Bareland
92,NULL,Bareland,Non_Water,Non_Wetland,Water
93,NULL,Bareland,Non_Water,Non_Wetland,Forest
94,NULL,Bareland,Water,Non_Wetland,Grassland
95,NULL,Bareland,Water,Non_Wetland,Wetland
96,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,Bareland,Water,Non_Wetland,Forest
100,NULL,Built-up,NULL,Non_Wetland,Grassland
101,NULL,Built-up,NULL,Non_Wetland,Wetland
102,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,Built-up,NULL,Non_Wetland,Bareland
104,NULL,Built-up,NULL,Non_Wetland,Built-up
105,NULL,Built-up,NULL,Non_Wetland,Water
106,NULL,Built-up,NULL,Non_Wetland,Forest
107,NULL,Built-up,Non_Water,Non_Wetland,Wetland
108,NULL,Built-up,Water,Non_Wetland,Wetland
109,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,Water,Non_Wetland,Water
111,NULL,Water,NULL,Water,Grassland
112,NULL,Water,NULL,Water,Wetland
113,NULL,Water,NULL,Water,Lichens_and_Mosses
114,NULL,Water,NULL,Water,Bareland
115,NULL,Water,NULL,Water,Water
116,NULL,Water,NULL,Water,Forest
117,NULL,Water,Non_Water,Water,Grassland
118,NULL,Water,Non_Water,Water,Wetland
119,NULL,Water,Non_Water,Water,Lichens_and_Mosses
120,NULL,Water,Non_Water,Water,Water
121,NULL,Water,Non_Water,Water,Forest
122,NULL,Water,Water,Water,Grassland
123,NULL,Water,Water,Water,Wetland
124,NULL,Water,Water,Water,Lichens_and_Mosses
125,NULL,Water,Water,Water,Water
126,NULL,Water,Water,Water,Forest
127,NULL,Forest,NULL,Non_Wetland,NULL
128,NULL,Forest,NULL,Non_Wetland,Grassland
129,NULL,Forest,NULL,Non_Wetland,Wetland
130,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
131,NULL,Forest,NULL,Non_Wetland,Bareland
132,NULL,Forest,NULL,Non_Wetland,Water
133,NULL,Forest,NULL,Non_Wetland,Forest
134,NULL,Forest,Non_Water,Non_Wetland,Grassland
135,NULL,Forest,Non_Water,Non_Wetland,Wetland
136,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
137,NULL,Forest,Non_Water,Non_Wetland,Water
138,NULL,Forest,Non_Water,Non_Wetland,Forest
139,NULL,Forest,Water,Non_Wetland,Grassland
140,NULL,Forest,Water,Non_Wetland,Wetland
141,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,Water,Non_Wetland,Water
143,NULL,Forest,Water,Non_Wetland,Forest
144,Cropland,NULL,NULL,Non_Wetland,Grassland
145,Cropland,NULL,NULL,Non_Wetland,Wetland
146,Cropland,NULL,NULL,Non_Wetland,Forest
147,Cropland,Shrubland,NULL,Non_Wetland,Grassland
148,Cropland,Shrubland,NULL,Non_Wetland,Wetland
149,Cropland,Shrubland,NULL,Non_Wetland,Forest
150,Cropland,Grassland,NULL,Non_Wetland,Grassland
151,Cropland,Grassland,NULL,Non_Wetland,Wetland
152,Cropland,Grassland,NULL,Non_Wetland,Forest
153,Cropland,Wetland,NULL,Wetland,Grassland
154,Cropland,Wetland,NULL,Wetland,Wetland
155,Cropland,Wetland,NULL,Wetland,Forest
156,Cropland,Wetland,Non_Water,Wetland,Grassland
157,Cropland,Wetland,Non_Water,Wetland,Wetland
158,Cropland,Wetland,Water,Wetland,Wetland
159,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
160,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
161,Cropland,Bareland,NULL,Non_Wetland,Grassland
162,Cropland,Bareland,NULL,Non_Wetland,Wetland
163,Cropland,Bareland,NULL,Non_Wetland,Bareland
164,Cropland,Bareland,NULL,Non_Wetland,Forest
165,Cropland,Forest,NULL,Non_Wetland,Grassland
166,Cropland,Forest,NULL,Non_Wetland,Wetland
167,Cropland,Forest,NULL,Non_Wetland,Forest
168,Cropland,Forest,Water,Non_Wetland,Wetland
169,Wetland,NULL,NULL,Non_Wetland,Grassland
170,Wetland,NULL,NULL,Non_Wetland,Wetland
