Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNL_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNL_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNL_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNL_M_R,SIBERIA_2024_WorldCover_2021_44VNL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
28,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,Grassland,Non_Water,Non_Wetland,Wetland
33,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
40,NULL,Cropland,NULL,Non_Wetland,Bareland
41,NULL,Cropland,NULL,Non_Wetland,Built-up
42,NULL,Cropland,NULL,Non_Wetland,Water
43,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,Cropland,Non_Water,Non_Wetland,Wetland
46,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,Non_Water,Non_Wetland,Forest
48,NULL,Cropland,Water,Non_Wetland,NULL
49,NULL,Cropland,Water,Non_Wetland,Grassland
50,NULL,Cropland,Water,Non_Wetland,Wetland
51,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
52,NULL,Cropland,Water,Non_Wetland,Built-up
53,NULL,Cropland,Water,Non_Wetland,Water
54,NULL,Cropland,Water,Non_Wetland,Forest
55,NULL,Wetland,NULL,Wetland,NULL
56,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,Wetland,NULL,Wetland,Cropland
58,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
60,NULL,Wetland,NULL,Wetland,Built-up
61,NULL,Wetland,NULL,Wetland,Water
62,NULL,Wetland,NULL,Wetland,Forest
63,NULL,Wetland,Non_Water,Wetland,NULL
64,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,Wetland,Non_Water,Wetland,Water
67,NULL,Wetland,Non_Water,Wetland,Forest
68,NULL,Wetland,Water,Wetland,NULL
69,NULL,Wetland,Water,Wetland,Grassland
70,NULL,Wetland,Water,Wetland,Wetland
71,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
72,NULL,Wetland,Water,Wetland,Bareland
73,NULL,Wetland,Water,Wetland,Built-up
74,NULL,Wetland,Water,Wetland,Water
75,NULL,Wetland,Water,Wetland,Forest
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
77,NULL,Bareland,NULL,Non_Wetland,NULL
78,NULL,Bareland,NULL,Non_Wetland,Grassland
79,NULL,Bareland,NULL,Non_Wetland,Cropland
80,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,Bareland,NULL,Non_Wetland,Water
85,NULL,Bareland,NULL,Non_Wetland,Forest
86,NULL,Bareland,Non_Water,Non_Wetland,Grassland
87,NULL,Bareland,Non_Water,Non_Wetland,Wetland
88,NULL,Bareland,Non_Water,Non_Wetland,Water
89,NULL,Bareland,Non_Water,Non_Wetland,Forest
90,NULL,Bareland,Water,Non_Wetland,Grassland
91,NULL,Bareland,Water,Non_Wetland,Wetland
92,NULL,Bareland,Water,Non_Wetland,Water
93,NULL,Bareland,Water,Non_Wetland,Forest
94,NULL,Built-up,NULL,Non_Wetland,NULL
95,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Built-up,NULL,Non_Wetland,Wetland
97,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
98,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,Built-up,NULL,Non_Wetland,Built-up
100,NULL,Built-up,NULL,Non_Wetland,Water
101,NULL,Built-up,NULL,Non_Wetland,Forest
102,NULL,Built-up,Non_Water,Non_Wetland,Wetland
103,NULL,Built-up,Non_Water,Non_Wetland,Forest
104,NULL,Built-up,Water,Non_Wetland,Grassland
105,NULL,Built-up,Water,Non_Wetland,Wetland
106,NULL,Built-up,Water,Non_Wetland,Built-up
107,NULL,Built-up,Water,Non_Wetland,Water
108,NULL,Built-up,Water,Non_Wetland,Forest
109,NULL,Water,NULL,Water,NULL
110,NULL,Water,NULL,Water,Grassland
111,NULL,Water,NULL,Water,Wetland
112,NULL,Water,NULL,Water,Lichens_and_Mosses
113,NULL,Water,NULL,Water,Water
114,NULL,Water,NULL,Water,Forest
115,NULL,Water,Non_Water,Water,Grassland
116,NULL,Water,Non_Water,Water,Wetland
117,NULL,Water,Non_Water,Water,Water
118,NULL,Water,Non_Water,Water,Forest
119,NULL,Water,Water,Water,Grassland
120,NULL,Water,Water,Water,Wetland
121,NULL,Water,Water,Water,Water
122,NULL,Water,Water,Water,Forest
123,NULL,Forest,NULL,Non_Wetland,NULL
124,NULL,Forest,NULL,Non_Wetland,Grassland
125,NULL,Forest,NULL,Non_Wetland,Wetland
126,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
127,NULL,Forest,NULL,Non_Wetland,Bareland
128,NULL,Forest,NULL,Non_Wetland,Built-up
129,NULL,Forest,NULL,Non_Wetland,Water
130,NULL,Forest,NULL,Non_Wetland,Forest
131,NULL,Forest,Non_Water,Non_Wetland,NULL
132,NULL,Forest,Non_Water,Non_Wetland,Grassland
133,NULL,Forest,Non_Water,Non_Wetland,Wetland
134,NULL,Forest,Non_Water,Non_Wetland,Water
135,NULL,Forest,Non_Water,Non_Wetland,Forest
136,NULL,Forest,Water,Non_Wetland,NULL
137,NULL,Forest,Water,Non_Wetland,Grassland
138,NULL,Forest,Water,Non_Wetland,Wetland
139,NULL,Forest,Water,Non_Wetland,Built-up
140,NULL,Forest,Water,Non_Wetland,Water
141,NULL,Forest,Water,Non_Wetland,Forest
142,Cropland,NULL,NULL,Non_Wetland,NULL
143,Cropland,NULL,NULL,Non_Wetland,Grassland
144,Cropland,NULL,NULL,Non_Wetland,Wetland
145,Cropland,NULL,NULL,Non_Wetland,Forest
146,Cropland,Shrubland,NULL,Non_Wetland,Grassland
147,Cropland,Shrubland,NULL,Non_Wetland,Forest
148,Cropland,Grassland,NULL,Non_Wetland,Grassland
149,Cropland,Grassland,NULL,Non_Wetland,Water
150,Cropland,Grassland,NULL,Non_Wetland,Forest
151,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
152,Cropland,Cropland,NULL,Non_Wetland,Grassland
153,Cropland,Cropland,NULL,Non_Wetland,Wetland
154,Cropland,Cropland,NULL,Non_Wetland,Built-up
155,Cropland,Cropland,NULL,Non_Wetland,Forest
156,Cropland,Cropland,Water,Non_Wetland,Grassland
157,Cropland,Cropland,Water,Non_Wetland,Wetland
158,Cropland,Wetland,NULL,Wetland,NULL
159,Cropland,Wetland,NULL,Wetland,Grassland
160,Cropland,Wetland,NULL,Wetland,Wetland
161,Cropland,Wetland,NULL,Wetland,Water
162,Cropland,Wetland,NULL,Wetland,Forest
163,Cropland,Wetland,Non_Water,Wetland,Wetland
164,Cropland,Wetland,Water,Wetland,Grassland
165,Cropland,Wetland,Water,Wetland,Wetland
166,Cropland,Wetland,Water,Wetland,Water
167,Cropland,Wetland,Water,Wetland,Forest
168,Cropland,Bareland,NULL,Non_Wetland,NULL
169,Cropland,Bareland,NULL,Non_Wetland,Grassland
170,Cropland,Bareland,NULL,Non_Wetland,Wetland
171,Cropland,Bareland,NULL,Non_Wetland,Water
172,Cropland,Bareland,NULL,Non_Wetland,Forest
173,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
174,Cropland,Bareland,Non_Water,Non_Wetland,Forest
175,Cropland,Bareland,Water,Non_Wetland,Grassland
176,Cropland,Built-up,NULL,Non_Wetland,Grassland
177,Cropland,Built-up,NULL,Non_Wetland,Built-up
178,Cropland,Built-up,NULL,Non_Wetland,Forest
179,Cropland,Water,NULL,Water,Wetland
180,Cropland,Water,Non_Water,Water,Wetland
181,Cropland,Water,Water,Water,Wetland
182,Cropland,Water,Water,Water,Forest
183,Cropland,Forest,NULL,Non_Wetland,NULL
184,Cropland,Forest,NULL,Non_Wetland,Grassland
185,Cropland,Forest,NULL,Non_Wetland,Wetland
186,Cropland,Forest,NULL,Non_Wetland,Built-up
187,Cropland,Forest,NULL,Non_Wetland,Forest
188,Cropland,Forest,Water,Non_Wetland,Grassland
189,Wetland,NULL,NULL,Non_Wetland,NULL
190,Wetland,NULL,NULL,Non_Wetland,Grassland
191,Wetland,NULL,NULL,Non_Wetland,Wetland
192,Wetland,NULL,NULL,Non_Wetland,Water
193,Wetland,NULL,NULL,Non_Wetland,Forest
194,Wetland,NULL,Non_Water,Non_Wetland,Grassland
195,Wetland,NULL,Non_Water,Non_Wetland,Wetland
196,Wetland,NULL,Non_Water,Non_Wetland,Water
197,Wetland,NULL,Non_Water,Non_Wetland,Forest
198,Wetland,NULL,Water,Non_Wetland,Grassland
199,Wetland,NULL,Water,Non_Wetland,Wetland
200,Wetland,NULL,Water,Non_Wetland,Water
201,Wetland,NULL,Water,Non_Wetland,Forest
202,Wetland,Shrubland,NULL,Non_Wetland,Grassland
203,Wetland,Shrubland,NULL,Non_Wetland,Wetland
204,Wetland,Shrubland,NULL,Non_Wetland,Water
205,Wetland,Shrubland,NULL,Non_Wetland,Forest
206,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
207,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
208,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
209,Wetland,Shrubland,Water,Non_Wetland,Grassland
210,Wetland,Shrubland,Water,Non_Wetland,Wetland
211,Wetland,Shrubland,Water,Non_Wetland,Water
212,Wetland,Shrubland,Water,Non_Wetland,Forest
213,Wetland,Grassland,NULL,Non_Wetland,Grassland
214,Wetland,Grassland,NULL,Non_Wetland,Wetland
215,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
216,Wetland,Grassland,NULL,Non_Wetland,Bareland
217,Wetland,Grassland,NULL,Non_Wetland,Water
218,Wetland,Grassland,NULL,Non_Wetland,Forest
219,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
220,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
221,Wetland,Grassland,Non_Water,Non_Wetland,Water
222,Wetland,Grassland,Non_Water,Non_Wetland,Forest
223,Wetland,Grassland,Water,Non_Wetland,Grassland
224,Wetland,Grassland,Water,Non_Wetland,Wetland
225,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
226,Wetland,Grassland,Water,Non_Wetland,Bareland
227,Wetland,Grassland,Water,Non_Wetland,Forest
228,Wetland,Cropland,NULL,Non_Wetland,NULL
229,Wetland,Cropland,NULL,Non_Wetland,Grassland
230,Wetland,Cropland,NULL,Non_Wetland,Wetland
231,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
232,Wetland,Cropland,NULL,Non_Wetland,Bareland
233,Wetland,Cropland,NULL,Non_Wetland,Built-up
234,Wetland,Cropland,NULL,Non_Wetland,Water
235,Wetland,Cropland,NULL,Non_Wetland,Forest
236,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
237,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
238,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
239,Wetland,Cropland,Non_Water,Non_Wetland,Water
240,Wetland,Cropland,Non_Water,Non_Wetland,Forest
241,Wetland,Cropland,Water,Non_Wetland,NULL
242,Wetland,Cropland,Water,Non_Wetland,Grassland
243,Wetland,Cropland,Water,Non_Wetland,Wetland
244,Wetland,Cropland,Water,Non_Wetland,Bareland
245,Wetland,Cropland,Water,Non_Wetland,Built-up
246,Wetland,Cropland,Water,Non_Wetland,Water
247,Wetland,Cropland,Water,Non_Wetland,Forest
248,Wetland,Wetland,NULL,Wetland,NULL
249,Wetland,Wetland,NULL,Wetland,Grassland
250,Wetland,Wetland,NULL,Wetland,Wetland
251,Wetland,Wetland,NULL,Wetland,Bareland
252,Wetland,Wetland,NULL,Wetland,Water
253,Wetland,Wetland,NULL,Wetland,Forest
254,Wetland,Wetland,Non_Water,Wetland,NULL
255,Wetland,Wetland,Non_Water,Wetland,Grassland
256,Wetland,Wetland,Non_Water,Wetland,Wetland
257,Wetland,Wetland,Non_Water,Wetland,Water
258,Wetland,Wetland,Non_Water,Wetland,Forest
259,Wetland,Wetland,Water,Wetland,NULL
260,Wetland,Wetland,Water,Wetland,Grassland
261,Wetland,Wetland,Water,Wetland,Wetland
262,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
263,Wetland,Wetland,Water,Wetland,Bareland
264,Wetland,Wetland,Water,Wetland,Built-up
265,Wetland,Wetland,Water,Wetland,Water
266,Wetland,Wetland,Water,Wetland,Forest
267,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
268,Wetland,Bareland,NULL,Non_Wetland,NULL
269,Wetland,Bareland,NULL,Non_Wetland,Grassland
270,Wetland,Bareland,NULL,Non_Wetland,Wetland
