Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VMM_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VMM_M_R,SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,SIBERIA_2024_WorldCover_2021_44VMM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
34,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,Cropland,NULL,Non_Wetland,Wetland
45,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
46,NULL,Cropland,NULL,Non_Wetland,Bareland
47,NULL,Cropland,NULL,Non_Wetland,Built-up
48,NULL,Cropland,NULL,Non_Wetland,Water
49,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,Cropland,Non_Water,Non_Wetland,Wetland
52,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
53,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,Cropland,Water,Non_Wetland,Wetland
56,NULL,Cropland,Water,Non_Wetland,Water
57,NULL,Cropland,Water,Non_Wetland,Forest
58,NULL,Wetland,NULL,Wetland,NULL
59,NULL,Wetland,NULL,Wetland,Grassland
60,NULL,Wetland,NULL,Wetland,Wetland
61,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
62,NULL,Wetland,NULL,Wetland,Bareland
63,NULL,Wetland,NULL,Wetland,Water
64,NULL,Wetland,NULL,Wetland,Forest
65,NULL,Wetland,Non_Water,Wetland,NULL
66,NULL,Wetland,Non_Water,Wetland,Grassland
67,NULL,Wetland,Non_Water,Wetland,Wetland
68,NULL,Wetland,Non_Water,Wetland,Water
69,NULL,Wetland,Non_Water,Wetland,Forest
70,NULL,Wetland,Water,Wetland,NULL
71,NULL,Wetland,Water,Wetland,Grassland
72,NULL,Wetland,Water,Wetland,Cropland
73,NULL,Wetland,Water,Wetland,Wetland
74,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
75,NULL,Wetland,Water,Wetland,Water
76,NULL,Wetland,Water,Wetland,Forest
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
87,NULL,Bareland,NULL,Non_Wetland,Bareland
88,NULL,Bareland,NULL,Non_Wetland,Built-up
89,NULL,Bareland,NULL,Non_Wetland,Water
90,NULL,Bareland,NULL,Non_Wetland,Forest
91,NULL,Bareland,Non_Water,Non_Wetland,Grassland
92,NULL,Bareland,Non_Water,Non_Wetland,Wetland
93,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,Bareland,Water,Non_Wetland,Forest
100,NULL,Built-up,NULL,Non_Wetland,NULL
101,NULL,Built-up,NULL,Non_Wetland,Grassland
102,NULL,Built-up,NULL,Non_Wetland,Wetland
103,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Built-up,NULL,Non_Wetland,Bareland
105,NULL,Built-up,NULL,Non_Wetland,Built-up
106,NULL,Built-up,NULL,Non_Wetland,Water
107,NULL,Built-up,NULL,Non_Wetland,Forest
108,NULL,Built-up,Non_Water,Non_Wetland,Grassland
109,NULL,Built-up,Non_Water,Non_Wetland,Wetland
110,NULL,Built-up,Non_Water,Non_Wetland,Forest
111,NULL,Built-up,Water,Non_Wetland,Grassland
112,NULL,Built-up,Water,Non_Wetland,Wetland
113,NULL,Built-up,Water,Non_Wetland,Forest
114,NULL,Water,NULL,Water,NULL
115,NULL,Water,NULL,Water,Grassland
116,NULL,Water,NULL,Water,Wetland
117,NULL,Water,NULL,Water,Lichens_and_Mosses
118,NULL,Water,NULL,Water,Water
119,NULL,Water,NULL,Water,Forest
120,NULL,Water,Non_Water,Water,Grassland
121,NULL,Water,Non_Water,Water,Wetland
122,NULL,Water,Non_Water,Water,Water
123,NULL,Water,Non_Water,Water,Forest
124,NULL,Water,Water,Water,NULL
125,NULL,Water,Water,Water,Grassland
126,NULL,Water,Water,Water,Wetland
127,NULL,Water,Water,Water,Water
128,NULL,Water,Water,Water,Forest
129,NULL,Forest,NULL,Non_Wetland,NULL
130,NULL,Forest,NULL,Non_Wetland,Grassland
131,NULL,Forest,NULL,Non_Wetland,Wetland
132,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
133,NULL,Forest,NULL,Non_Wetland,Bareland
134,NULL,Forest,NULL,Non_Wetland,Water
135,NULL,Forest,NULL,Non_Wetland,Forest
136,NULL,Forest,Non_Water,Non_Wetland,NULL
137,NULL,Forest,Non_Water,Non_Wetland,Grassland
138,NULL,Forest,Non_Water,Non_Wetland,Wetland
139,NULL,Forest,Non_Water,Non_Wetland,Water
140,NULL,Forest,Non_Water,Non_Wetland,Forest
141,NULL,Forest,Water,Non_Wetland,NULL
142,NULL,Forest,Water,Non_Wetland,Grassland
143,NULL,Forest,Water,Non_Wetland,Wetland
144,NULL,Forest,Water,Non_Wetland,Water
145,NULL,Forest,Water,Non_Wetland,Forest
146,Cropland,NULL,NULL,Non_Wetland,NULL
147,Cropland,NULL,NULL,Non_Wetland,Grassland
148,Cropland,NULL,NULL,Non_Wetland,Wetland
149,Cropland,NULL,NULL,Non_Wetland,Forest
150,Cropland,Shrubland,NULL,Non_Wetland,Grassland
151,Cropland,Shrubland,NULL,Non_Wetland,Wetland
152,Cropland,Shrubland,NULL,Non_Wetland,Forest
153,Cropland,Grassland,NULL,Non_Wetland,Grassland
154,Cropland,Cropland,NULL,Non_Wetland,Grassland
155,Cropland,Cropland,NULL,Non_Wetland,Wetland
156,Cropland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
157,Cropland,Cropland,NULL,Non_Wetland,Forest
158,Cropland,Wetland,NULL,Wetland,NULL
159,Cropland,Wetland,NULL,Wetland,Grassland
160,Cropland,Wetland,NULL,Wetland,Wetland
161,Cropland,Wetland,NULL,Wetland,Forest
162,Cropland,Wetland,Non_Water,Wetland,Wetland
163,Cropland,Wetland,Water,Wetland,Forest
164,Cropland,Bareland,NULL,Non_Wetland,NULL
165,Cropland,Bareland,NULL,Non_Wetland,Grassland
166,Cropland,Bareland,NULL,Non_Wetland,Wetland
167,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
168,Cropland,Bareland,NULL,Non_Wetland,Forest
169,Cropland,Built-up,NULL,Non_Wetland,Forest
170,Cropland,Forest,NULL,Non_Wetland,NULL
171,Cropland,Forest,NULL,Non_Wetland,Grassland
172,Cropland,Forest,NULL,Non_Wetland,Wetland
173,Cropland,Forest,NULL,Non_Wetland,Forest
174,Wetland,NULL,NULL,Non_Wetland,NULL
175,Wetland,NULL,NULL,Non_Wetland,Grassland
176,Wetland,NULL,NULL,Non_Wetland,Wetland
177,Wetland,NULL,NULL,Non_Wetland,Water
178,Wetland,NULL,NULL,Non_Wetland,Forest
179,Wetland,NULL,Non_Water,Non_Wetland,Grassland
180,Wetland,NULL,Non_Water,Non_Wetland,Wetland
181,Wetland,NULL,Non_Water,Non_Wetland,Water
182,Wetland,NULL,Non_Water,Non_Wetland,Forest
183,Wetland,NULL,Water,Non_Wetland,Grassland
184,Wetland,NULL,Water,Non_Wetland,Wetland
185,Wetland,NULL,Water,Non_Wetland,Water
186,Wetland,NULL,Water,Non_Wetland,Forest
187,Wetland,Shrubland,NULL,Non_Wetland,NULL
188,Wetland,Shrubland,NULL,Non_Wetland,Grassland
189,Wetland,Shrubland,NULL,Non_Wetland,Wetland
190,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
191,Wetland,Shrubland,NULL,Non_Wetland,Water
192,Wetland,Shrubland,NULL,Non_Wetland,Forest
193,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
194,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
195,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
196,Wetland,Shrubland,Water,Non_Wetland,NULL
197,Wetland,Shrubland,Water,Non_Wetland,Grassland
198,Wetland,Shrubland,Water,Non_Wetland,Wetland
199,Wetland,Shrubland,Water,Non_Wetland,Water
200,Wetland,Shrubland,Water,Non_Wetland,Forest
201,Wetland,Grassland,NULL,Non_Wetland,Grassland
202,Wetland,Grassland,NULL,Non_Wetland,Wetland
203,Wetland,Grassland,NULL,Non_Wetland,Bareland
204,Wetland,Grassland,NULL,Non_Wetland,Forest
205,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
206,Wetland,Grassland,Non_Water,Non_Wetland,Forest
207,Wetland,Grassland,Water,Non_Wetland,Grassland
208,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
209,Wetland,Grassland,Water,Non_Wetland,Forest
210,Wetland,Cropland,NULL,Non_Wetland,NULL
211,Wetland,Cropland,NULL,Non_Wetland,Grassland
212,Wetland,Cropland,NULL,Non_Wetland,Wetland
213,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
214,Wetland,Cropland,NULL,Non_Wetland,Built-up
215,Wetland,Cropland,NULL,Non_Wetland,Water
216,Wetland,Cropland,NULL,Non_Wetland,Forest
217,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
218,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
219,Wetland,Cropland,Non_Water,Non_Wetland,Water
220,Wetland,Cropland,Non_Water,Non_Wetland,Forest
221,Wetland,Cropland,Water,Non_Wetland,Grassland
222,Wetland,Cropland,Water,Non_Wetland,Wetland
223,Wetland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
224,Wetland,Cropland,Water,Non_Wetland,Bareland
225,Wetland,Cropland,Water,Non_Wetland,Water
226,Wetland,Cropland,Water,Non_Wetland,Forest
227,Wetland,Wetland,NULL,Wetland,NULL
228,Wetland,Wetland,NULL,Wetland,Grassland
229,Wetland,Wetland,NULL,Wetland,Cropland
230,Wetland,Wetland,NULL,Wetland,Wetland
231,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
232,Wetland,Wetland,NULL,Wetland,Bareland
233,Wetland,Wetland,NULL,Wetland,Water
234,Wetland,Wetland,NULL,Wetland,Forest
235,Wetland,Wetland,Non_Water,Wetland,NULL
236,Wetland,Wetland,Non_Water,Wetland,Grassland
237,Wetland,Wetland,Non_Water,Wetland,Wetland
238,Wetland,Wetland,Non_Water,Wetland,Water
239,Wetland,Wetland,Non_Water,Wetland,Forest
240,Wetland,Wetland,Water,Wetland,NULL
241,Wetland,Wetland,Water,Wetland,Grassland
242,Wetland,Wetland,Water,Wetland,Cropland
243,Wetland,Wetland,Water,Wetland,Wetland
244,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
245,Wetland,Wetland,Water,Wetland,Bareland
246,Wetland,Wetland,Water,Wetland,Water
247,Wetland,Wetland,Water,Wetland,Forest
248,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
249,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
250,Wetland,Bareland,NULL,Non_Wetland,NULL
251,Wetland,Bareland,NULL,Non_Wetland,Grassland
252,Wetland,Bareland,NULL,Non_Wetland,Wetland
253,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
254,Wetland,Bareland,NULL,Non_Wetland,Bareland
255,Wetland,Bareland,NULL,Non_Wetland,Water
256,Wetland,Bareland,NULL,Non_Wetland,Forest
257,Wetland,Bareland,Non_Water,Non_Wetland,NULL
258,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
259,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
260,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
261,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
262,Wetland,Bareland,Non_Water,Non_Wetland,Water
263,Wetland,Bareland,Non_Water,Non_Wetland,Forest
264,Wetland,Bareland,Water,Non_Wetland,NULL
