Value,SIBERIA_2024_ESA_CALU_2024_44WMD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44WMD_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WMD_M_R,SIBERIA_2024_GSW_Yearly_2021_44WMD_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WMD_M_R,SIBERIA_2024_WorldCover_2021_44WMD_M_R
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
112,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
113,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
114,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
115,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
116,NULL,NULL,Bareland,Water,Non_Wetland,Water
117,NULL,NULL,Bareland,Water,Non_Wetland,Forest
118,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
119,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
120,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
121,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
122,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
123,NULL,NULL,Built-up,NULL,Non_Wetland,Water
124,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
125,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
126,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
127,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
128,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
129,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
131,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
132,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
133,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
134,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
135,NULL,NULL,Built-up,Water,Non_Wetland,Water
136,NULL,NULL,Water,NULL,NULL,Wetland
137,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
138,NULL,NULL,Water,NULL,NULL,Water
139,NULL,NULL,Water,NULL,Water,Grassland
140,NULL,NULL,Water,NULL,Water,Wetland
141,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
142,NULL,NULL,Water,NULL,Water,Bareland
143,NULL,NULL,Water,NULL,Water,Water
144,NULL,NULL,Water,NULL,Water,Forest
145,NULL,NULL,Water,Non_Water,NULL,Water
146,NULL,NULL,Water,Non_Water,Water,Grassland
147,NULL,NULL,Water,Non_Water,Water,Wetland
148,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
149,NULL,NULL,Water,Non_Water,Water,Bareland
150,NULL,NULL,Water,Non_Water,Water,Water
151,NULL,NULL,Water,Non_Water,Water,Forest
152,NULL,NULL,Water,Water,NULL,Wetland
153,NULL,NULL,Water,Water,NULL,Lichens_and_Mosses
154,NULL,NULL,Water,Water,NULL,Bareland
155,NULL,NULL,Water,Water,NULL,Water
156,NULL,NULL,Water,Water,Water,Grassland
157,NULL,NULL,Water,Water,Water,Wetland
158,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
159,NULL,NULL,Water,Water,Water,Bareland
160,NULL,NULL,Water,Water,Water,Water
161,NULL,NULL,Water,Water,Water,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
163,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
164,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
165,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
166,NULL,NULL,Forest,NULL,Non_Wetland,Water
167,NULL,NULL,Forest,NULL,Non_Wetland,Forest
168,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
169,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
170,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
171,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
172,NULL,NULL,Forest,Water,Non_Wetland,Grassland
173,NULL,NULL,Forest,Water,Non_Wetland,Wetland
174,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
175,NULL,NULL,Forest,Water,Non_Wetland,Bareland
176,NULL,NULL,Forest,Water,Non_Wetland,Water
177,NULL,NULL,Forest,Water,Non_Wetland,Forest
