Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VPR_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VPR_M_R,SIBERIA_2024_GSW_Yearly_2021_44VPR_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VPR_M_R,SIBERIA_2024_WorldCover_2021_44VPR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,Grassland,Non_Water,Non_Wetland,Wetland
34,NULL,Grassland,Non_Water,Non_Wetland,Forest
35,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,Cropland,Non_Water,Non_Wetland,Grassland
41,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
42,NULL,Cropland,Non_Water,Non_Wetland,Forest
43,NULL,Cropland,Water,Non_Wetland,Forest
44,NULL,Wetland,NULL,Wetland,NULL
45,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,Wetland,NULL,Wetland,Wetland
47,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
48,NULL,Wetland,NULL,Wetland,Water
49,NULL,Wetland,NULL,Wetland,Forest
50,NULL,Wetland,Non_Water,Wetland,NULL
51,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,Wetland,Non_Water,Wetland,Water
54,NULL,Wetland,Non_Water,Wetland,Forest
55,NULL,Wetland,Water,Wetland,Grassland
56,NULL,Wetland,Water,Wetland,Wetland
57,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
58,NULL,Wetland,Water,Wetland,Bareland
59,NULL,Wetland,Water,Wetland,Water
60,NULL,Wetland,Water,Wetland,Forest
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
66,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
67,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
68,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
69,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
70,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,Bareland,NULL,Non_Wetland,Wetland
73,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,Bareland,NULL,Non_Wetland,Bareland
75,NULL,Bareland,NULL,Non_Wetland,Built-up
76,NULL,Bareland,NULL,Non_Wetland,Water
77,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,Bareland,Non_Water,Non_Wetland,Wetland
80,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
81,NULL,Bareland,Non_Water,Non_Wetland,Water
82,NULL,Bareland,Non_Water,Non_Wetland,Forest
83,NULL,Bareland,Water,Non_Wetland,Grassland
84,NULL,Bareland,Water,Non_Wetland,Wetland
85,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,Bareland,Water,Non_Wetland,Forest
89,NULL,Built-up,NULL,Non_Wetland,NULL
90,NULL,Built-up,NULL,Non_Wetland,Grassland
91,NULL,Built-up,NULL,Non_Wetland,Wetland
92,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,Built-up,NULL,Non_Wetland,Built-up
94,NULL,Built-up,NULL,Non_Wetland,Forest
95,NULL,Built-up,Non_Water,Non_Wetland,Grassland
96,NULL,Built-up,Non_Water,Non_Wetland,Wetland
97,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Built-up,Non_Water,Non_Wetland,Forest
99,NULL,Built-up,Water,Non_Wetland,Grassland
100,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Built-up,Water,Non_Wetland,Bareland
102,NULL,Built-up,Water,Non_Wetland,Forest
103,NULL,Water,NULL,Water,Grassland
104,NULL,Water,NULL,Water,Wetland
105,NULL,Water,NULL,Water,Lichens_and_Mosses
106,NULL,Water,NULL,Water,Water
107,NULL,Water,NULL,Water,Forest
108,NULL,Water,Non_Water,Water,Wetland
109,NULL,Water,Non_Water,Water,Water
110,NULL,Water,Non_Water,Water,Forest
111,NULL,Water,Water,Water,Grassland
112,NULL,Water,Water,Water,Wetland
113,NULL,Water,Water,Water,Water
114,NULL,Water,Water,Water,Forest
115,NULL,Forest,NULL,Non_Wetland,NULL
116,NULL,Forest,NULL,Non_Wetland,Grassland
117,NULL,Forest,NULL,Non_Wetland,Wetland
118,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
119,NULL,Forest,NULL,Non_Wetland,Water
120,NULL,Forest,NULL,Non_Wetland,Forest
121,NULL,Forest,Non_Water,Non_Wetland,NULL
122,NULL,Forest,Non_Water,Non_Wetland,Grassland
123,NULL,Forest,Non_Water,Non_Wetland,Wetland
124,NULL,Forest,Non_Water,Non_Wetland,Water
125,NULL,Forest,Non_Water,Non_Wetland,Forest
126,NULL,Forest,Water,Non_Wetland,NULL
127,NULL,Forest,Water,Non_Wetland,Grassland
128,NULL,Forest,Water,Non_Wetland,Wetland
129,NULL,Forest,Water,Non_Wetland,Water
130,NULL,Forest,Water,Non_Wetland,Forest
131,Cropland,NULL,NULL,Non_Wetland,Grassland
132,Cropland,NULL,NULL,Non_Wetland,Wetland
133,Cropland,NULL,NULL,Non_Wetland,Forest
134,Cropland,Shrubland,NULL,Non_Wetland,NULL
135,Cropland,Shrubland,NULL,Non_Wetland,Grassland
136,Cropland,Shrubland,NULL,Non_Wetland,Wetland
137,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
138,Cropland,Shrubland,NULL,Non_Wetland,Forest
139,Cropland,Grassland,NULL,Non_Wetland,Grassland
140,Cropland,Grassland,NULL,Non_Wetland,Forest
141,Cropland,Cropland,NULL,Non_Wetland,Forest
142,Cropland,Wetland,NULL,Wetland,NULL
143,Cropland,Wetland,NULL,Wetland,Grassland
144,Cropland,Wetland,NULL,Wetland,Wetland
145,Cropland,Wetland,NULL,Wetland,Forest
146,Cropland,Wetland,Non_Water,Wetland,Grassland
147,Cropland,Wetland,Non_Water,Wetland,Wetland
148,Cropland,Wetland,Non_Water,Wetland,Forest
149,Cropland,Bareland,NULL,Non_Wetland,NULL
150,Cropland,Bareland,NULL,Non_Wetland,Grassland
151,Cropland,Bareland,NULL,Non_Wetland,Wetland
152,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
153,Cropland,Bareland,NULL,Non_Wetland,Forest
154,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
155,Cropland,Bareland,Non_Water,Non_Wetland,Forest
156,Cropland,Bareland,Water,Non_Wetland,Forest
157,Cropland,Built-up,NULL,Non_Wetland,Wetland
158,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
159,Cropland,Built-up,NULL,Non_Wetland,Forest
160,Cropland,Water,NULL,Water,Forest
161,Cropland,Water,Water,Water,Wetland
162,Cropland,Forest,NULL,Non_Wetland,NULL
163,Cropland,Forest,NULL,Non_Wetland,Grassland
164,Cropland,Forest,NULL,Non_Wetland,Wetland
165,Cropland,Forest,NULL,Non_Wetland,Forest
166,Cropland,Forest,Non_Water,Non_Wetland,Forest
167,Wetland,NULL,NULL,Non_Wetland,NULL
168,Wetland,NULL,NULL,Non_Wetland,Grassland
169,Wetland,NULL,NULL,Non_Wetland,Wetland
170,Wetland,NULL,NULL,Non_Wetland,Water
171,Wetland,NULL,NULL,Non_Wetland,Forest
172,Wetland,NULL,Non_Water,Non_Wetland,Grassland
173,Wetland,NULL,Non_Water,Non_Wetland,Wetland
174,Wetland,NULL,Non_Water,Non_Wetland,Water
175,Wetland,NULL,Non_Water,Non_Wetland,Forest
176,Wetland,NULL,Water,Non_Wetland,Grassland
177,Wetland,NULL,Water,Non_Wetland,Wetland
178,Wetland,NULL,Water,Non_Wetland,Bareland
179,Wetland,NULL,Water,Non_Wetland,Water
180,Wetland,NULL,Water,Non_Wetland,Forest
181,Wetland,Shrubland,NULL,Non_Wetland,NULL
182,Wetland,Shrubland,NULL,Non_Wetland,Grassland
183,Wetland,Shrubland,NULL,Non_Wetland,Wetland
184,Wetland,Shrubland,NULL,Non_Wetland,Water
185,Wetland,Shrubland,NULL,Non_Wetland,Forest
186,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
187,Wetland,Shrubland,Non_Water,Non_Wetland,Water
188,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
189,Wetland,Shrubland,Water,Non_Wetland,Grassland
190,Wetland,Shrubland,Water,Non_Wetland,Wetland
191,Wetland,Shrubland,Water,Non_Wetland,Water
192,Wetland,Shrubland,Water,Non_Wetland,Forest
193,Wetland,Grassland,NULL,Non_Wetland,NULL
194,Wetland,Grassland,NULL,Non_Wetland,Grassland
195,Wetland,Grassland,NULL,Non_Wetland,Wetland
196,Wetland,Grassland,NULL,Non_Wetland,Forest
197,Wetland,Grassland,Non_Water,Non_Wetland,Forest
198,Wetland,Grassland,Water,Non_Wetland,Grassland
199,Wetland,Grassland,Water,Non_Wetland,Wetland
200,Wetland,Grassland,Water,Non_Wetland,Water
201,Wetland,Grassland,Water,Non_Wetland,Forest
202,Wetland,Cropland,NULL,Non_Wetland,Grassland
203,Wetland,Cropland,NULL,Non_Wetland,Forest
204,Wetland,Wetland,NULL,Wetland,NULL
205,Wetland,Wetland,NULL,Wetland,Grassland
206,Wetland,Wetland,NULL,Wetland,Wetland
207,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
208,Wetland,Wetland,NULL,Wetland,Water
209,Wetland,Wetland,NULL,Wetland,Forest
210,Wetland,Wetland,Non_Water,Wetland,Grassland
211,Wetland,Wetland,Non_Water,Wetland,Wetland
212,Wetland,Wetland,Non_Water,Wetland,Water
213,Wetland,Wetland,Non_Water,Wetland,Forest
214,Wetland,Wetland,Water,Wetland,Grassland
215,Wetland,Wetland,Water,Wetland,Wetland
216,Wetland,Wetland,Water,Wetland,Bareland
217,Wetland,Wetland,Water,Wetland,Water
218,Wetland,Wetland,Water,Wetland,Forest
219,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
220,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
221,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
222,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
223,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
224,Wetland,Bareland,NULL,Non_Wetland,NULL
225,Wetland,Bareland,NULL,Non_Wetland,Grassland
226,Wetland,Bareland,NULL,Non_Wetland,Wetland
227,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
228,Wetland,Bareland,NULL,Non_Wetland,Water
229,Wetland,Bareland,NULL,Non_Wetland,Forest
230,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
231,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
232,Wetland,Bareland,Non_Water,Non_Wetland,Water
233,Wetland,Bareland,Non_Water,Non_Wetland,Forest
234,Wetland,Bareland,Water,Non_Wetland,Grassland
235,Wetland,Bareland,Water,Non_Wetland,Wetland
236,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
237,Wetland,Bareland,Water,Non_Wetland,Bareland
238,Wetland,Bareland,Water,Non_Wetland,Water
239,Wetland,Bareland,Water,Non_Wetland,Forest
240,Wetland,Built-up,NULL,Non_Wetland,Grassland
241,Wetland,Built-up,NULL,Non_Wetland,Wetland
242,Wetland,Built-up,NULL,Non_Wetland,Forest
243,Wetland,Built-up,Water,Non_Wetland,Grassland
244,Wetland,Water,NULL,Water,Grassland
245,Wetland,Water,NULL,Water,Wetland
246,Wetland,Water,NULL,Water,Water
247,Wetland,Water,NULL,Water,Forest
248,Wetland,Water,Non_Water,Water,Wetland
249,Wetland,Water,Non_Water,Water,Water
250,Wetland,Water,Non_Water,Water,Forest
251,Wetland,Water,Water,Water,Grassland
252,Wetland,Water,Water,Water,Wetland
253,Wetland,Water,Water,Water,Water
254,Wetland,Water,Water,Water,Forest
255,Wetland,Forest,NULL,Non_Wetland,NULL
256,Wetland,Forest,NULL,Non_Wetland,Grassland
257,Wetland,Forest,NULL,Non_Wetland,Wetland
258,Wetland,Forest,NULL,Non_Wetland,Water
259,Wetland,Forest,NULL,Non_Wetland,Forest
260,Wetland,Forest,Non_Water,Non_Wetland,Grassland
261,Wetland,Forest,Non_Water,Non_Wetland,Wetland
262,Wetland,Forest,Non_Water,Non_Wetland,Water
263,Wetland,Forest,Non_Water,Non_Wetland,Forest
264,Wetland,Forest,Water,Non_Wetland,Grassland
