Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWT_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWT_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWT_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWT_M_R,SIBERIA_2024_WorldCover_2021_42WWT_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Built-up
33,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
45,NULL,Grassland,Water,Non_Wetland,Grassland
46,NULL,Grassland,Water,Non_Wetland,Wetland
47,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
50,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,Cropland,Non_Water,Non_Wetland,Grassland
52,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,Cropland,Water,Non_Wetland,Wetland
54,NULL,Wetland,NULL,Wetland,NULL
55,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
58,NULL,Wetland,NULL,Wetland,Bareland
59,NULL,Wetland,NULL,Wetland,Built-up
60,NULL,Wetland,NULL,Wetland,Water
61,NULL,Wetland,NULL,Wetland,Forest
62,NULL,Wetland,Non_Water,Wetland,NULL
63,NULL,Wetland,Non_Water,Wetland,Grassland
64,NULL,Wetland,Non_Water,Wetland,Wetland
65,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Non_Water,Wetland,Water
67,NULL,Wetland,Non_Water,Wetland,Forest
68,NULL,Wetland,Water,Wetland,NULL
69,NULL,Wetland,Water,Wetland,Grassland
70,NULL,Wetland,Water,Wetland,Wetland
71,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
72,NULL,Wetland,Water,Wetland,Water
73,NULL,Wetland,Water,Wetland,Forest
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
85,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
86,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
89,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
90,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
92,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
93,NULL,Bareland,NULL,Non_Wetland,NULL
94,NULL,Bareland,NULL,Non_Wetland,Grassland
95,NULL,Bareland,NULL,Non_Wetland,Wetland
96,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,NULL,Non_Wetland,Bareland
98,NULL,Bareland,NULL,Non_Wetland,Built-up
99,NULL,Bareland,NULL,Non_Wetland,Water
100,NULL,Bareland,NULL,Non_Wetland,Forest
101,NULL,Bareland,Non_Water,Non_Wetland,Grassland
102,NULL,Bareland,Non_Water,Non_Wetland,Wetland
103,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Bareland,Non_Water,Non_Wetland,Bareland
105,NULL,Bareland,Non_Water,Non_Wetland,Water
106,NULL,Bareland,Non_Water,Non_Wetland,Forest
107,NULL,Bareland,Water,Non_Wetland,Grassland
108,NULL,Bareland,Water,Non_Wetland,Wetland
109,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,Water,Non_Wetland,Bareland
111,NULL,Bareland,Water,Non_Wetland,Water
112,NULL,Bareland,Water,Non_Wetland,Forest
113,NULL,Built-up,NULL,Non_Wetland,NULL
114,NULL,Built-up,NULL,Non_Wetland,Grassland
115,NULL,Built-up,NULL,Non_Wetland,Wetland
116,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
117,NULL,Built-up,NULL,Non_Wetland,Bareland
118,NULL,Built-up,NULL,Non_Wetland,Built-up
119,NULL,Built-up,NULL,Non_Wetland,Forest
120,NULL,Built-up,Water,Non_Wetland,Wetland
121,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
122,NULL,Water,NULL,Water,NULL
123,NULL,Water,NULL,Water,Grassland
124,NULL,Water,NULL,Water,Wetland
125,NULL,Water,NULL,Water,Lichens_and_Mosses
126,NULL,Water,NULL,Water,Water
127,NULL,Water,NULL,Water,Forest
128,NULL,Water,Non_Water,Water,Grassland
129,NULL,Water,Non_Water,Water,Wetland
130,NULL,Water,Non_Water,Water,Lichens_and_Mosses
131,NULL,Water,Non_Water,Water,Water
132,NULL,Water,Non_Water,Water,Forest
133,NULL,Water,Water,Water,Grassland
134,NULL,Water,Water,Water,Wetland
135,NULL,Water,Water,Water,Lichens_and_Mosses
136,NULL,Water,Water,Water,Water
137,NULL,Water,Water,Water,Forest
138,NULL,Forest,NULL,Non_Wetland,NULL
139,NULL,Forest,NULL,Non_Wetland,Grassland
140,NULL,Forest,NULL,Non_Wetland,Wetland
141,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,NULL,Non_Wetland,Bareland
143,NULL,Forest,NULL,Non_Wetland,Built-up
144,NULL,Forest,NULL,Non_Wetland,Water
145,NULL,Forest,NULL,Non_Wetland,Forest
146,NULL,Forest,Non_Water,Non_Wetland,NULL
147,NULL,Forest,Non_Water,Non_Wetland,Grassland
148,NULL,Forest,Non_Water,Non_Wetland,Wetland
149,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
150,NULL,Forest,Non_Water,Non_Wetland,Water
151,NULL,Forest,Non_Water,Non_Wetland,Forest
152,NULL,Forest,Water,Non_Wetland,Grassland
153,NULL,Forest,Water,Non_Wetland,Wetland
154,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
155,NULL,Forest,Water,Non_Wetland,Bareland
156,NULL,Forest,Water,Non_Wetland,Built-up
157,NULL,Forest,Water,Non_Wetland,Water
158,NULL,Forest,Water,Non_Wetland,Forest
159,Cropland,NULL,NULL,Non_Wetland,Grassland
160,Cropland,NULL,NULL,Non_Wetland,Wetland
161,Cropland,NULL,NULL,Non_Wetland,Forest
162,Cropland,Shrubland,NULL,Non_Wetland,Grassland
163,Cropland,Shrubland,NULL,Non_Wetland,Wetland
164,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
165,Cropland,Shrubland,NULL,Non_Wetland,Forest
166,Cropland,Grassland,NULL,Non_Wetland,Grassland
167,Cropland,Grassland,NULL,Non_Wetland,Wetland
168,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
169,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
170,Cropland,Wetland,NULL,Wetland,Grassland
171,Cropland,Wetland,NULL,Wetland,Wetland
172,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
173,Cropland,Wetland,NULL,Wetland,Forest
174,Cropland,Wetland,Non_Water,Wetland,Grassland
175,Cropland,Wetland,Non_Water,Wetland,Wetland
176,Cropland,Wetland,Water,Wetland,Wetland
177,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
178,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
179,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
180,Cropland,Bareland,NULL,Non_Wetland,Grassland
181,Cropland,Bareland,NULL,Non_Wetland,Wetland
182,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
183,Cropland,Bareland,NULL,Non_Wetland,Forest
184,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
185,Cropland,Forest,NULL,Non_Wetland,Grassland
186,Cropland,Forest,NULL,Non_Wetland,Wetland
187,Cropland,Forest,NULL,Non_Wetland,Forest
188,Wetland,NULL,NULL,Non_Wetland,NULL
189,Wetland,NULL,NULL,Non_Wetland,Grassland
190,Wetland,NULL,NULL,Non_Wetland,Wetland
191,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
192,Wetland,NULL,NULL,Non_Wetland,Water
193,Wetland,NULL,NULL,Non_Wetland,Forest
194,Wetland,NULL,Non_Water,Non_Wetland,Grassland
195,Wetland,NULL,Non_Water,Non_Wetland,Wetland
196,Wetland,NULL,Non_Water,Non_Wetland,Water
197,Wetland,NULL,Non_Water,Non_Wetland,Forest
198,Wetland,NULL,Water,Non_Wetland,Grassland
199,Wetland,NULL,Water,Non_Wetland,Wetland
200,Wetland,NULL,Water,Non_Wetland,Water
201,Wetland,NULL,Water,Non_Wetland,Forest
202,Wetland,Shrubland,NULL,Non_Wetland,NULL
203,Wetland,Shrubland,NULL,Non_Wetland,Grassland
204,Wetland,Shrubland,NULL,Non_Wetland,Wetland
205,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
206,Wetland,Shrubland,NULL,Non_Wetland,Bareland
207,Wetland,Shrubland,NULL,Non_Wetland,Built-up
208,Wetland,Shrubland,NULL,Non_Wetland,Water
209,Wetland,Shrubland,NULL,Non_Wetland,Forest
210,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
211,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
212,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
213,Wetland,Shrubland,Non_Water,Non_Wetland,Water
214,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
215,Wetland,Shrubland,Water,Non_Wetland,Grassland
216,Wetland,Shrubland,Water,Non_Wetland,Wetland
217,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
218,Wetland,Shrubland,Water,Non_Wetland,Water
219,Wetland,Shrubland,Water,Non_Wetland,Forest
220,Wetland,Grassland,NULL,Non_Wetland,NULL
221,Wetland,Grassland,NULL,Non_Wetland,Grassland
222,Wetland,Grassland,NULL,Non_Wetland,Wetland
223,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
224,Wetland,Grassland,NULL,Non_Wetland,Built-up
225,Wetland,Grassland,NULL,Non_Wetland,Water
226,Wetland,Grassland,NULL,Non_Wetland,Forest
227,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
228,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
229,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
230,Wetland,Grassland,Non_Water,Non_Wetland,Water
231,Wetland,Grassland,Non_Water,Non_Wetland,Forest
232,Wetland,Grassland,Water,Non_Wetland,Grassland
233,Wetland,Grassland,Water,Non_Wetland,Wetland
234,Wetland,Grassland,Water,Non_Wetland,Water
235,Wetland,Grassland,Water,Non_Wetland,Forest
236,Wetland,Cropland,NULL,Non_Wetland,Grassland
237,Wetland,Cropland,NULL,Non_Wetland,Wetland
238,Wetland,Cropland,NULL,Non_Wetland,Forest
239,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
240,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
241,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
242,Wetland,Cropland,Water,Non_Wetland,Grassland
243,Wetland,Cropland,Water,Non_Wetland,Wetland
244,Wetland,Cropland,Water,Non_Wetland,Water
245,Wetland,Wetland,NULL,Wetland,NULL
246,Wetland,Wetland,NULL,Wetland,Grassland
247,Wetland,Wetland,NULL,Wetland,Wetland
248,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
249,Wetland,Wetland,NULL,Wetland,Bareland
250,Wetland,Wetland,NULL,Wetland,Water
251,Wetland,Wetland,NULL,Wetland,Forest
252,Wetland,Wetland,Non_Water,Wetland,NULL
253,Wetland,Wetland,Non_Water,Wetland,Grassland
254,Wetland,Wetland,Non_Water,Wetland,Wetland
255,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
256,Wetland,Wetland,Non_Water,Wetland,Bareland
