Value,SIBERIA_2024_ESA_CALU_2024_43WFP_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFP_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFP_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFP_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFP_M_R,SIBERIA_2024_WorldCover_2021_43WFP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Water,Non_Wetland,Water
9,NULL,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
26,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Water
28,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
44,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,NULL,Grassland,Water,Non_Wetland,Water
47,NULL,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Wetland
51,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
52,NULL,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,NULL,Wetland,NULL,Wetland,Built-up
54,NULL,NULL,Wetland,NULL,Wetland,Water
55,NULL,NULL,Wetland,NULL,Wetland,Forest
56,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
59,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
60,NULL,NULL,Wetland,Non_Water,Wetland,Water
61,NULL,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,NULL,Wetland,Water,Wetland,Grassland
63,NULL,NULL,Wetland,Water,Wetland,Wetland
64,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
65,NULL,NULL,Wetland,Water,Wetland,Bareland
66,NULL,NULL,Wetland,Water,Wetland,Built-up
67,NULL,NULL,Wetland,Water,Wetland,Water
68,NULL,NULL,Wetland,Water,Wetland,Forest
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
77,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
79,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
82,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
83,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
85,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
86,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
88,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
93,NULL,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
107,NULL,NULL,Bareland,Water,Non_Wetland,Water
