Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WMS_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WMS_M_R,SIBERIA_2024_GSW_Yearly_2021_44WMS_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WMS_M_R,SIBERIA_2024_WorldCover_2021_44WMS_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,Cropland,Non_Water,Non_Wetland,Grassland
49,NULL,Cropland,Non_Water,Non_Wetland,Forest
50,NULL,Cropland,Water,Non_Wetland,Wetland
51,NULL,Wetland,NULL,Wetland,NULL
52,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,Wetland,NULL,Wetland,Wetland
54,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
55,NULL,Wetland,NULL,Wetland,Bareland
56,NULL,Wetland,NULL,Wetland,Built-up
57,NULL,Wetland,NULL,Wetland,Water
58,NULL,Wetland,NULL,Wetland,Forest
59,NULL,Wetland,Non_Water,Wetland,NULL
60,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
63,NULL,Wetland,Non_Water,Wetland,Water
64,NULL,Wetland,Non_Water,Wetland,Forest
65,NULL,Wetland,Water,Wetland,Grassland
66,NULL,Wetland,Water,Wetland,Wetland
67,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
68,NULL,Wetland,Water,Wetland,Water
69,NULL,Wetland,Water,Wetland,Forest
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,Bareland,NULL,Non_Wetland,NULL
80,NULL,Bareland,NULL,Non_Wetland,Grassland
81,NULL,Bareland,NULL,Non_Wetland,Wetland
82,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
83,NULL,Bareland,NULL,Non_Wetland,Bareland
84,NULL,Bareland,NULL,Non_Wetland,Built-up
85,NULL,Bareland,NULL,Non_Wetland,Water
86,NULL,Bareland,NULL,Non_Wetland,Forest
87,NULL,Bareland,Non_Water,Non_Wetland,Grassland
88,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,Bareland,Non_Water,Non_Wetland,Water
92,NULL,Bareland,Non_Water,Non_Wetland,Forest
93,NULL,Bareland,Water,Non_Wetland,Grassland
94,NULL,Bareland,Water,Non_Wetland,Wetland
95,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
96,NULL,Bareland,Water,Non_Wetland,Bareland
97,NULL,Bareland,Water,Non_Wetland,Water
98,NULL,Bareland,Water,Non_Wetland,Forest
99,NULL,Built-up,NULL,Non_Wetland,Grassland
100,NULL,Built-up,NULL,Non_Wetland,Wetland
101,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,Built-up,NULL,Non_Wetland,Bareland
103,NULL,Built-up,NULL,Non_Wetland,Built-up
104,NULL,Built-up,NULL,Non_Wetland,Water
105,NULL,Built-up,NULL,Non_Wetland,Forest
106,NULL,Built-up,Non_Water,Non_Wetland,Grassland
107,NULL,Built-up,Non_Water,Non_Wetland,Wetland
108,NULL,Built-up,Non_Water,Non_Wetland,Bareland
109,NULL,Built-up,Non_Water,Non_Wetland,Forest
110,NULL,Water,NULL,Water,Grassland
111,NULL,Water,NULL,Water,Wetland
112,NULL,Water,NULL,Water,Lichens_and_Mosses
113,NULL,Water,NULL,Water,Water
114,NULL,Water,NULL,Water,Forest
115,NULL,Water,Non_Water,Water,Grassland
116,NULL,Water,Non_Water,Water,Wetland
117,NULL,Water,Non_Water,Water,Lichens_and_Mosses
118,NULL,Water,Non_Water,Water,Bareland
119,NULL,Water,Non_Water,Water,Water
120,NULL,Water,Non_Water,Water,Forest
121,NULL,Water,Water,Water,Grassland
122,NULL,Water,Water,Water,Wetland
123,NULL,Water,Water,Water,Lichens_and_Mosses
124,NULL,Water,Water,Water,Water
125,NULL,Water,Water,Water,Permanent_ice_and_snow
126,NULL,Water,Water,Water,Forest
127,NULL,Forest,NULL,Non_Wetland,NULL
128,NULL,Forest,NULL,Non_Wetland,Grassland
129,NULL,Forest,NULL,Non_Wetland,Wetland
130,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
131,NULL,Forest,NULL,Non_Wetland,Bareland
132,NULL,Forest,NULL,Non_Wetland,Built-up
133,NULL,Forest,NULL,Non_Wetland,Water
134,NULL,Forest,NULL,Non_Wetland,Forest
135,NULL,Forest,Non_Water,Non_Wetland,NULL
136,NULL,Forest,Non_Water,Non_Wetland,Grassland
137,NULL,Forest,Non_Water,Non_Wetland,Wetland
138,NULL,Forest,Non_Water,Non_Wetland,Water
139,NULL,Forest,Non_Water,Non_Wetland,Forest
140,NULL,Forest,Water,Non_Wetland,Grassland
141,NULL,Forest,Water,Non_Wetland,Wetland
142,NULL,Forest,Water,Non_Wetland,Water
143,NULL,Forest,Water,Non_Wetland,Forest
144,Cropland,NULL,NULL,Non_Wetland,NULL
145,Cropland,NULL,NULL,Non_Wetland,Grassland
146,Cropland,NULL,NULL,Non_Wetland,Wetland
147,Cropland,NULL,NULL,Non_Wetland,Forest
148,Cropland,NULL,Water,Non_Wetland,Wetland
149,Cropland,Shrubland,NULL,Non_Wetland,NULL
150,Cropland,Shrubland,NULL,Non_Wetland,Grassland
151,Cropland,Shrubland,NULL,Non_Wetland,Wetland
152,Cropland,Shrubland,NULL,Non_Wetland,Forest
153,Cropland,Grassland,NULL,Non_Wetland,Grassland
154,Cropland,Grassland,NULL,Non_Wetland,Wetland
155,Cropland,Grassland,NULL,Non_Wetland,Bareland
156,Cropland,Grassland,NULL,Non_Wetland,Forest
157,Cropland,Wetland,NULL,Wetland,NULL
158,Cropland,Wetland,NULL,Wetland,Grassland
159,Cropland,Wetland,NULL,Wetland,Wetland
160,Cropland,Wetland,NULL,Wetland,Bareland
161,Cropland,Wetland,NULL,Wetland,Built-up
162,Cropland,Wetland,NULL,Wetland,Forest
163,Cropland,Wetland,Non_Water,Wetland,Grassland
164,Cropland,Wetland,Non_Water,Wetland,Wetland
165,Cropland,Wetland,Water,Wetland,Wetland
166,Cropland,Bareland,NULL,Non_Wetland,NULL
167,Cropland,Bareland,NULL,Non_Wetland,Grassland
168,Cropland,Bareland,NULL,Non_Wetland,Wetland
169,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
170,Cropland,Bareland,NULL,Non_Wetland,Bareland
171,Cropland,Bareland,NULL,Non_Wetland,Built-up
172,Cropland,Bareland,NULL,Non_Wetland,Water
173,Cropland,Bareland,NULL,Non_Wetland,Forest
174,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
175,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
176,Cropland,Bareland,Water,Non_Wetland,Grassland
177,Cropland,Built-up,NULL,Non_Wetland,Grassland
178,Cropland,Built-up,NULL,Non_Wetland,Built-up
179,Cropland,Built-up,NULL,Non_Wetland,Forest
180,Cropland,Water,NULL,Water,Wetland
181,Cropland,Forest,NULL,Non_Wetland,NULL
182,Cropland,Forest,NULL,Non_Wetland,Grassland
183,Cropland,Forest,NULL,Non_Wetland,Wetland
184,Cropland,Forest,NULL,Non_Wetland,Built-up
185,Cropland,Forest,NULL,Non_Wetland,Water
186,Cropland,Forest,NULL,Non_Wetland,Forest
187,Cropland,Forest,Non_Water,Non_Wetland,Grassland
188,Cropland,Forest,Non_Water,Non_Wetland,Wetland
189,Cropland,Forest,Water,Non_Wetland,Wetland
190,Cropland,Forest,Water,Non_Wetland,Forest
191,Wetland,NULL,NULL,Non_Wetland,NULL
192,Wetland,NULL,NULL,Non_Wetland,Grassland
193,Wetland,NULL,NULL,Non_Wetland,Wetland
194,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
195,Wetland,NULL,NULL,Non_Wetland,Water
196,Wetland,NULL,NULL,Non_Wetland,Forest
197,Wetland,NULL,Non_Water,Non_Wetland,Grassland
198,Wetland,NULL,Non_Water,Non_Wetland,Wetland
199,Wetland,NULL,Non_Water,Non_Wetland,Water
200,Wetland,NULL,Non_Water,Non_Wetland,Forest
201,Wetland,NULL,Water,Non_Wetland,Grassland
202,Wetland,NULL,Water,Non_Wetland,Wetland
203,Wetland,NULL,Water,Non_Wetland,Water
204,Wetland,NULL,Water,Non_Wetland,Forest
205,Wetland,Shrubland,NULL,Non_Wetland,NULL
206,Wetland,Shrubland,NULL,Non_Wetland,Grassland
207,Wetland,Shrubland,NULL,Non_Wetland,Wetland
208,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
209,Wetland,Shrubland,NULL,Non_Wetland,Bareland
210,Wetland,Shrubland,NULL,Non_Wetland,Built-up
211,Wetland,Shrubland,NULL,Non_Wetland,Water
212,Wetland,Shrubland,NULL,Non_Wetland,Forest
213,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
214,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
215,Wetland,Shrubland,Non_Water,Non_Wetland,Water
216,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
217,Wetland,Shrubland,Water,Non_Wetland,Grassland
218,Wetland,Shrubland,Water,Non_Wetland,Wetland
219,Wetland,Shrubland,Water,Non_Wetland,Water
220,Wetland,Shrubland,Water,Non_Wetland,Forest
221,Wetland,Grassland,NULL,Non_Wetland,NULL
222,Wetland,Grassland,NULL,Non_Wetland,Grassland
223,Wetland,Grassland,NULL,Non_Wetland,Wetland
224,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
225,Wetland,Grassland,NULL,Non_Wetland,Bareland
226,Wetland,Grassland,NULL,Non_Wetland,Built-up
227,Wetland,Grassland,NULL,Non_Wetland,Forest
228,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
229,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
230,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
231,Wetland,Grassland,Non_Water,Non_Wetland,Forest
232,Wetland,Grassland,Water,Non_Wetland,Grassland
233,Wetland,Grassland,Water,Non_Wetland,Wetland
234,Wetland,Grassland,Water,Non_Wetland,Forest
235,Wetland,Cropland,NULL,Non_Wetland,Grassland
236,Wetland,Cropland,NULL,Non_Wetland,Wetland
237,Wetland,Cropland,NULL,Non_Wetland,Forest
238,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
239,Wetland,Wetland,NULL,Wetland,NULL
240,Wetland,Wetland,NULL,Wetland,Grassland
241,Wetland,Wetland,NULL,Wetland,Wetland
242,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
243,Wetland,Wetland,NULL,Wetland,Bareland
244,Wetland,Wetland,NULL,Wetland,Built-up
245,Wetland,Wetland,NULL,Wetland,Water
246,Wetland,Wetland,NULL,Wetland,Forest
247,Wetland,Wetland,Non_Water,Wetland,NULL
248,Wetland,Wetland,Non_Water,Wetland,Grassland
249,Wetland,Wetland,Non_Water,Wetland,Wetland
250,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
251,Wetland,Wetland,Non_Water,Wetland,Water
252,Wetland,Wetland,Non_Water,Wetland,Forest
253,Wetland,Wetland,Water,Wetland,Grassland
254,Wetland,Wetland,Water,Wetland,Wetland
255,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
256,Wetland,Wetland,Water,Wetland,Bareland
257,Wetland,Wetland,Water,Wetland,Water
258,Wetland,Wetland,Water,Wetland,Forest
259,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
260,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
261,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
262,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
