Value,SIBERIA_2024_ESA_CALU_2024_43WFN_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFN_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFN_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFN_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,SIBERIA_2024_WorldCover_2021_43WFN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
28,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,NULL,Grassland,Water,Non_Wetland,Water
46,NULL,NULL,Grassland,Water,Non_Wetland,Forest
47,NULL,NULL,Wetland,NULL,Wetland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
51,NULL,NULL,Wetland,NULL,Wetland,Bareland
52,NULL,NULL,Wetland,NULL,Wetland,Built-up
53,NULL,NULL,Wetland,NULL,Wetland,Water
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
56,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
57,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
58,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
59,NULL,NULL,Wetland,Non_Water,Wetland,Water
60,NULL,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,NULL,Wetland,Water,Wetland,NULL
62,NULL,NULL,Wetland,Water,Wetland,Grassland
63,NULL,NULL,Wetland,Water,Wetland,Wetland
64,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
65,NULL,NULL,Wetland,Water,Wetland,Bareland
66,NULL,NULL,Wetland,Water,Wetland,Water
67,NULL,NULL,Wetland,Water,Wetland,Forest
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
78,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
82,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
83,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
84,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
86,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
91,NULL,NULL,Bareland,NULL,Non_Wetland,Water
92,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
100,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
101,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
104,NULL,NULL,Bareland,Water,Non_Wetland,Water
105,NULL,NULL,Bareland,Water,Non_Wetland,Forest
106,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
109,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
111,NULL,NULL,Built-up,NULL,Non_Wetland,Water
112,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
