Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPL_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPL_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPL_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPL_M_R,SIBERIA_2024_WorldCover_2021_41VPL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Water
28,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,Grassland,NULL,Non_Wetland,NULL
30,NULL,Grassland,NULL,Non_Wetland,Grassland
31,NULL,Grassland,NULL,Non_Wetland,Wetland
32,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,Grassland,Non_Water,Non_Wetland,Wetland
36,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,Grassland,Water,Non_Wetland,Wetland
38,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
42,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,Cropland,Non_Water,Non_Wetland,Wetland
47,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,Cropland,Water,Non_Wetland,Wetland
49,NULL,Cropland,Water,Non_Wetland,Forest
50,NULL,Wetland,NULL,Wetland,NULL
51,NULL,Wetland,NULL,Wetland,Grassland
52,NULL,Wetland,NULL,Wetland,Cropland
53,NULL,Wetland,NULL,Wetland,Wetland
54,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
55,NULL,Wetland,NULL,Wetland,Bareland
56,NULL,Wetland,NULL,Wetland,Built-up
57,NULL,Wetland,NULL,Wetland,Water
58,NULL,Wetland,NULL,Wetland,Forest
59,NULL,Wetland,Non_Water,Wetland,NULL
60,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,Wetland,Non_Water,Wetland,Cropland
62,NULL,Wetland,Non_Water,Wetland,Wetland
63,NULL,Wetland,Non_Water,Wetland,Water
64,NULL,Wetland,Non_Water,Wetland,Forest
65,NULL,Wetland,Water,Wetland,NULL
66,NULL,Wetland,Water,Wetland,Grassland
67,NULL,Wetland,Water,Wetland,Wetland
68,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
69,NULL,Wetland,Water,Wetland,Bareland
70,NULL,Wetland,Water,Wetland,Water
71,NULL,Wetland,Water,Wetland,Forest
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
88,NULL,Bareland,NULL,Non_Wetland,NULL
89,NULL,Bareland,NULL,Non_Wetland,Grassland
90,NULL,Bareland,NULL,Non_Wetland,Wetland
91,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,NULL,Non_Wetland,Bareland
93,NULL,Bareland,NULL,Non_Wetland,Built-up
94,NULL,Bareland,NULL,Non_Wetland,Water
95,NULL,Bareland,NULL,Non_Wetland,Forest
96,NULL,Bareland,Non_Water,Non_Wetland,Grassland
97,NULL,Bareland,Non_Water,Non_Wetland,Wetland
98,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Non_Water,Non_Wetland,Bareland
100,NULL,Bareland,Non_Water,Non_Wetland,Built-up
101,NULL,Bareland,Non_Water,Non_Wetland,Water
102,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,Bareland,Water,Non_Wetland,Water
106,NULL,Bareland,Water,Non_Wetland,Forest
107,NULL,Built-up,NULL,Non_Wetland,Grassland
108,NULL,Built-up,NULL,Non_Wetland,Wetland
109,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,NULL,Non_Wetland,Bareland
111,NULL,Built-up,NULL,Non_Wetland,Built-up
112,NULL,Built-up,NULL,Non_Wetland,Water
113,NULL,Built-up,NULL,Non_Wetland,Forest
114,NULL,Built-up,Non_Water,Non_Wetland,Grassland
115,NULL,Built-up,Non_Water,Non_Wetland,Wetland
116,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
117,NULL,Built-up,Non_Water,Non_Wetland,Built-up
118,NULL,Built-up,Non_Water,Non_Wetland,Forest
119,NULL,Built-up,Water,Non_Wetland,Wetland
120,NULL,Built-up,Water,Non_Wetland,Bareland
121,NULL,Built-up,Water,Non_Wetland,Water
122,NULL,Water,NULL,Water,NULL
123,NULL,Water,NULL,Water,Grassland
124,NULL,Water,NULL,Water,Wetland
125,NULL,Water,NULL,Water,Lichens_and_Mosses
126,NULL,Water,NULL,Water,Bareland
127,NULL,Water,NULL,Water,Water
128,NULL,Water,NULL,Water,Forest
129,NULL,Water,Non_Water,Water,Grassland
130,NULL,Water,Non_Water,Water,Wetland
131,NULL,Water,Non_Water,Water,Water
132,NULL,Water,Non_Water,Water,Forest
133,NULL,Water,Water,Water,NULL
134,NULL,Water,Water,Water,Grassland
135,NULL,Water,Water,Water,Wetland
136,NULL,Water,Water,Water,Water
137,NULL,Water,Water,Water,Forest
138,NULL,Forest,NULL,Non_Wetland,NULL
139,NULL,Forest,NULL,Non_Wetland,Grassland
140,NULL,Forest,NULL,Non_Wetland,Cropland
141,NULL,Forest,NULL,Non_Wetland,Wetland
142,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
143,NULL,Forest,NULL,Non_Wetland,Bareland
144,NULL,Forest,NULL,Non_Wetland,Built-up
145,NULL,Forest,NULL,Non_Wetland,Water
146,NULL,Forest,NULL,Non_Wetland,Forest
147,NULL,Forest,Non_Water,Non_Wetland,NULL
148,NULL,Forest,Non_Water,Non_Wetland,Grassland
149,NULL,Forest,Non_Water,Non_Wetland,Wetland
150,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,Non_Water,Non_Wetland,Water
152,NULL,Forest,Non_Water,Non_Wetland,Forest
153,NULL,Forest,Water,Non_Wetland,Grassland
154,NULL,Forest,Water,Non_Wetland,Wetland
155,NULL,Forest,Water,Non_Wetland,Bareland
156,NULL,Forest,Water,Non_Wetland,Water
157,NULL,Forest,Water,Non_Wetland,Forest
158,Cropland,NULL,NULL,Non_Wetland,NULL
159,Cropland,NULL,NULL,Non_Wetland,Grassland
160,Cropland,NULL,NULL,Non_Wetland,Forest
161,Cropland,Shrubland,NULL,Non_Wetland,NULL
162,Cropland,Shrubland,NULL,Non_Wetland,Grassland
163,Cropland,Shrubland,NULL,Non_Wetland,Wetland
164,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
165,Cropland,Shrubland,NULL,Non_Wetland,Forest
166,Cropland,Grassland,NULL,Non_Wetland,Grassland
167,Cropland,Grassland,NULL,Non_Wetland,Wetland
168,Cropland,Grassland,NULL,Non_Wetland,Forest
169,Cropland,Cropland,NULL,Non_Wetland,Grassland
170,Cropland,Cropland,NULL,Non_Wetland,Wetland
171,Cropland,Cropland,NULL,Non_Wetland,Water
172,Cropland,Cropland,NULL,Non_Wetland,Forest
173,Cropland,Wetland,NULL,Wetland,NULL
174,Cropland,Wetland,NULL,Wetland,Grassland
175,Cropland,Wetland,NULL,Wetland,Wetland
176,Cropland,Wetland,NULL,Wetland,Water
177,Cropland,Wetland,NULL,Wetland,Forest
178,Cropland,Wetland,Non_Water,Wetland,Forest
179,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
180,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
181,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
182,Cropland,Bareland,NULL,Non_Wetland,NULL
183,Cropland,Bareland,NULL,Non_Wetland,Grassland
184,Cropland,Bareland,NULL,Non_Wetland,Wetland
185,Cropland,Bareland,NULL,Non_Wetland,Built-up
186,Cropland,Bareland,NULL,Non_Wetland,Forest
187,Cropland,Built-up,NULL,Non_Wetland,Grassland
188,Cropland,Built-up,NULL,Non_Wetland,Built-up
189,Cropland,Forest,NULL,Non_Wetland,NULL
190,Cropland,Forest,NULL,Non_Wetland,Grassland
191,Cropland,Forest,NULL,Non_Wetland,Wetland
192,Cropland,Forest,NULL,Non_Wetland,Water
193,Cropland,Forest,NULL,Non_Wetland,Forest
194,Cropland,Forest,Water,Non_Wetland,Water
195,Wetland,NULL,NULL,Non_Wetland,NULL
196,Wetland,NULL,NULL,Non_Wetland,Grassland
197,Wetland,NULL,NULL,Non_Wetland,Wetland
198,Wetland,NULL,NULL,Non_Wetland,Water
199,Wetland,NULL,NULL,Non_Wetland,Forest
200,Wetland,NULL,Non_Water,Non_Wetland,Grassland
201,Wetland,NULL,Non_Water,Non_Wetland,Wetland
202,Wetland,NULL,Non_Water,Non_Wetland,Water
203,Wetland,NULL,Non_Water,Non_Wetland,Forest
204,Wetland,NULL,Water,Non_Wetland,Grassland
205,Wetland,NULL,Water,Non_Wetland,Wetland
206,Wetland,NULL,Water,Non_Wetland,Bareland
207,Wetland,NULL,Water,Non_Wetland,Water
208,Wetland,NULL,Water,Non_Wetland,Forest
209,Wetland,Shrubland,NULL,Non_Wetland,NULL
210,Wetland,Shrubland,NULL,Non_Wetland,Grassland
211,Wetland,Shrubland,NULL,Non_Wetland,Cropland
212,Wetland,Shrubland,NULL,Non_Wetland,Wetland
213,Wetland,Shrubland,NULL,Non_Wetland,Built-up
214,Wetland,Shrubland,NULL,Non_Wetland,Water
215,Wetland,Shrubland,NULL,Non_Wetland,Forest
216,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
217,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
218,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
219,Wetland,Shrubland,Non_Water,Non_Wetland,Water
220,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
221,Wetland,Shrubland,Water,Non_Wetland,Grassland
222,Wetland,Shrubland,Water,Non_Wetland,Wetland
223,Wetland,Shrubland,Water,Non_Wetland,Water
224,Wetland,Shrubland,Water,Non_Wetland,Forest
225,Wetland,Grassland,NULL,Non_Wetland,Grassland
226,Wetland,Grassland,NULL,Non_Wetland,Cropland
227,Wetland,Grassland,NULL,Non_Wetland,Wetland
228,Wetland,Grassland,NULL,Non_Wetland,Built-up
229,Wetland,Grassland,NULL,Non_Wetland,Water
230,Wetland,Grassland,NULL,Non_Wetland,Forest
231,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
232,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
233,Wetland,Grassland,Non_Water,Non_Wetland,Forest
234,Wetland,Grassland,Water,Non_Wetland,Grassland
235,Wetland,Grassland,Water,Non_Wetland,Wetland
236,Wetland,Grassland,Water,Non_Wetland,Water
237,Wetland,Cropland,NULL,Non_Wetland,Grassland
238,Wetland,Cropland,NULL,Non_Wetland,Cropland
239,Wetland,Cropland,NULL,Non_Wetland,Wetland
240,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
241,Wetland,Cropland,NULL,Non_Wetland,Bareland
242,Wetland,Cropland,NULL,Non_Wetland,Built-up
243,Wetland,Cropland,NULL,Non_Wetland,Water
244,Wetland,Cropland,NULL,Non_Wetland,Forest
245,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
246,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
247,Wetland,Cropland,Non_Water,Non_Wetland,Water
248,Wetland,Cropland,Non_Water,Non_Wetland,Forest
249,Wetland,Cropland,Water,Non_Wetland,Grassland
250,Wetland,Cropland,Water,Non_Wetland,Wetland
251,Wetland,Cropland,Water,Non_Wetland,Bareland
252,Wetland,Cropland,Water,Non_Wetland,Water
253,Wetland,Cropland,Water,Non_Wetland,Forest
254,Wetland,Wetland,NULL,Wetland,NULL
255,Wetland,Wetland,NULL,Wetland,Grassland
256,Wetland,Wetland,NULL,Wetland,Cropland
257,Wetland,Wetland,NULL,Wetland,Wetland
258,Wetland,Wetland,NULL,Wetland,Built-up
259,Wetland,Wetland,NULL,Wetland,Water
260,Wetland,Wetland,NULL,Wetland,Forest
261,Wetland,Wetland,Non_Water,Wetland,NULL
262,Wetland,Wetland,Non_Water,Wetland,Grassland
