Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VMP_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VMP_M_R,SIBERIA_2024_GSW_Yearly_2021_44VMP_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VMP_M_R,SIBERIA_2024_WorldCover_2021_44VMP_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,NULL
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,NULL
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Water
32,NULL,Shrubland,Water,Non_Wetland,Forest
33,NULL,Grassland,NULL,Non_Wetland,NULL
34,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,Grassland,Water,Non_Wetland,Wetland
44,NULL,Grassland,Water,Non_Wetland,Forest
45,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,Cropland,NULL,Non_Wetland,Wetland
47,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
48,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,Cropland,Non_Water,Non_Wetland,Wetland
50,NULL,Cropland,Non_Water,Non_Wetland,Forest
51,NULL,Cropland,Water,Non_Wetland,Grassland
52,NULL,Cropland,Water,Non_Wetland,Wetland
53,NULL,Cropland,Water,Non_Wetland,Forest
54,NULL,Wetland,NULL,Wetland,NULL
55,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,Wetland,NULL,Wetland,Bareland
58,NULL,Wetland,NULL,Wetland,Built-up
59,NULL,Wetland,NULL,Wetland,Water
60,NULL,Wetland,NULL,Wetland,Forest
61,NULL,Wetland,Non_Water,Wetland,NULL
62,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,Wetland,Non_Water,Wetland,Forest
66,NULL,Wetland,Water,Wetland,NULL
67,NULL,Wetland,Water,Wetland,Grassland
68,NULL,Wetland,Water,Wetland,Wetland
69,NULL,Wetland,Water,Wetland,Bareland
70,NULL,Wetland,Water,Wetland,Water
71,NULL,Wetland,Water,Wetland,Forest
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
80,NULL,Bareland,NULL,Non_Wetland,NULL
81,NULL,Bareland,NULL,Non_Wetland,Grassland
82,NULL,Bareland,NULL,Non_Wetland,Cropland
83,NULL,Bareland,NULL,Non_Wetland,Wetland
84,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
85,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,Bareland,Non_Water,Non_Wetland,NULL
90,NULL,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,Non_Water,Non_Wetland,Bareland
94,NULL,Bareland,Non_Water,Non_Wetland,Built-up
95,NULL,Bareland,Non_Water,Non_Wetland,Water
96,NULL,Bareland,Non_Water,Non_Wetland,Forest
97,NULL,Bareland,Water,Non_Wetland,NULL
98,NULL,Bareland,Water,Non_Wetland,Grassland
99,NULL,Bareland,Water,Non_Wetland,Wetland
100,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Bareland,Water,Non_Wetland,Bareland
102,NULL,Bareland,Water,Non_Wetland,Water
103,NULL,Bareland,Water,Non_Wetland,Forest
104,NULL,Built-up,NULL,Non_Wetland,NULL
105,NULL,Built-up,NULL,Non_Wetland,Grassland
106,NULL,Built-up,NULL,Non_Wetland,Wetland
107,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
108,NULL,Built-up,NULL,Non_Wetland,Bareland
109,NULL,Built-up,NULL,Non_Wetland,Built-up
110,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,Built-up,Non_Water,Non_Wetland,NULL
112,NULL,Built-up,Non_Water,Non_Wetland,Wetland
113,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,Built-up,Non_Water,Non_Wetland,Forest
115,NULL,Built-up,Water,Non_Wetland,Grassland
116,NULL,Built-up,Water,Non_Wetland,Wetland
117,NULL,Built-up,Water,Non_Wetland,Water
118,NULL,Built-up,Water,Non_Wetland,Forest
119,NULL,Water,NULL,Water,NULL
120,NULL,Water,NULL,Water,Grassland
121,NULL,Water,NULL,Water,Wetland
122,NULL,Water,NULL,Water,Bareland
123,NULL,Water,NULL,Water,Water
124,NULL,Water,NULL,Water,Forest
125,NULL,Water,Non_Water,Water,Wetland
126,NULL,Water,Non_Water,Water,Water
127,NULL,Water,Non_Water,Water,Forest
128,NULL,Water,Water,Water,NULL
129,NULL,Water,Water,Water,Grassland
130,NULL,Water,Water,Water,Wetland
131,NULL,Water,Water,Water,Bareland
132,NULL,Water,Water,Water,Water
133,NULL,Water,Water,Water,Forest
134,NULL,Forest,NULL,Non_Wetland,NULL
135,NULL,Forest,NULL,Non_Wetland,Grassland
136,NULL,Forest,NULL,Non_Wetland,Wetland
137,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
138,NULL,Forest,NULL,Non_Wetland,Bareland
139,NULL,Forest,NULL,Non_Wetland,Built-up
140,NULL,Forest,NULL,Non_Wetland,Water
141,NULL,Forest,NULL,Non_Wetland,Forest
142,NULL,Forest,Non_Water,Non_Wetland,NULL
143,NULL,Forest,Non_Water,Non_Wetland,Grassland
144,NULL,Forest,Non_Water,Non_Wetland,Wetland
145,NULL,Forest,Non_Water,Non_Wetland,Water
146,NULL,Forest,Non_Water,Non_Wetland,Forest
147,NULL,Forest,Water,Non_Wetland,NULL
148,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,Forest,Water,Non_Wetland,Bareland
151,NULL,Forest,Water,Non_Wetland,Water
152,NULL,Forest,Water,Non_Wetland,Forest
153,Cropland,NULL,NULL,Non_Wetland,NULL
154,Cropland,NULL,NULL,Non_Wetland,Grassland
155,Cropland,NULL,NULL,Non_Wetland,Wetland
156,Cropland,NULL,NULL,Non_Wetland,Forest
157,Cropland,NULL,Water,Non_Wetland,Wetland
158,Cropland,Shrubland,NULL,Non_Wetland,NULL
159,Cropland,Shrubland,NULL,Non_Wetland,Grassland
160,Cropland,Shrubland,NULL,Non_Wetland,Wetland
161,Cropland,Shrubland,NULL,Non_Wetland,Forest
162,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
163,Cropland,Shrubland,Water,Non_Wetland,Wetland
164,Cropland,Grassland,NULL,Non_Wetland,Grassland
165,Cropland,Grassland,NULL,Non_Wetland,Wetland
166,Cropland,Grassland,NULL,Non_Wetland,Forest
167,Cropland,Grassland,Non_Water,Non_Wetland,Forest
168,Cropland,Grassland,Water,Non_Wetland,Wetland
169,Cropland,Wetland,NULL,Wetland,NULL
170,Cropland,Wetland,NULL,Wetland,Grassland
171,Cropland,Wetland,NULL,Wetland,Wetland
172,Cropland,Wetland,NULL,Wetland,Bareland
173,Cropland,Wetland,NULL,Wetland,Forest
174,Cropland,Wetland,Non_Water,Wetland,Grassland
175,Cropland,Wetland,Non_Water,Wetland,Wetland
176,Cropland,Wetland,Water,Wetland,Grassland
177,Cropland,Wetland,Water,Wetland,Wetland
178,Cropland,Wetland,Water,Wetland,Forest
179,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
180,Cropland,Bareland,NULL,Non_Wetland,NULL
181,Cropland,Bareland,NULL,Non_Wetland,Grassland
182,Cropland,Bareland,NULL,Non_Wetland,Wetland
183,Cropland,Bareland,NULL,Non_Wetland,Bareland
184,Cropland,Bareland,NULL,Non_Wetland,Built-up
185,Cropland,Bareland,NULL,Non_Wetland,Forest
186,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
187,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
188,Cropland,Bareland,Non_Water,Non_Wetland,Forest
189,Cropland,Bareland,Water,Non_Wetland,Wetland
190,Cropland,Built-up,NULL,Non_Wetland,Grassland
191,Cropland,Built-up,NULL,Non_Wetland,Wetland
192,Cropland,Built-up,NULL,Non_Wetland,Bareland
193,Cropland,Built-up,NULL,Non_Wetland,Forest
194,Cropland,Water,NULL,Water,Forest
195,Cropland,Forest,NULL,Non_Wetland,NULL
196,Cropland,Forest,NULL,Non_Wetland,Grassland
197,Cropland,Forest,NULL,Non_Wetland,Wetland
198,Cropland,Forest,NULL,Non_Wetland,Bareland
199,Cropland,Forest,NULL,Non_Wetland,Forest
200,Cropland,Forest,Non_Water,Non_Wetland,Grassland
201,Cropland,Forest,Non_Water,Non_Wetland,Wetland
202,Cropland,Forest,Water,Non_Wetland,Grassland
203,Cropland,Forest,Water,Non_Wetland,Wetland
204,Cropland,Forest,Water,Non_Wetland,Forest
205,Wetland,NULL,NULL,Non_Wetland,NULL
206,Wetland,NULL,NULL,Non_Wetland,Grassland
207,Wetland,NULL,NULL,Non_Wetland,Wetland
208,Wetland,NULL,NULL,Non_Wetland,Bareland
209,Wetland,NULL,NULL,Non_Wetland,Built-up
210,Wetland,NULL,NULL,Non_Wetland,Water
211,Wetland,NULL,NULL,Non_Wetland,Forest
212,Wetland,NULL,Non_Water,Non_Wetland,Grassland
213,Wetland,NULL,Non_Water,Non_Wetland,Wetland
214,Wetland,NULL,Non_Water,Non_Wetland,Water
215,Wetland,NULL,Non_Water,Non_Wetland,Forest
216,Wetland,NULL,Water,Non_Wetland,Grassland
217,Wetland,NULL,Water,Non_Wetland,Wetland
218,Wetland,NULL,Water,Non_Wetland,Water
219,Wetland,NULL,Water,Non_Wetland,Forest
220,Wetland,Shrubland,NULL,Non_Wetland,NULL
221,Wetland,Shrubland,NULL,Non_Wetland,Grassland
222,Wetland,Shrubland,NULL,Non_Wetland,Wetland
223,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
224,Wetland,Shrubland,NULL,Non_Wetland,Bareland
225,Wetland,Shrubland,NULL,Non_Wetland,Built-up
226,Wetland,Shrubland,NULL,Non_Wetland,Water
227,Wetland,Shrubland,NULL,Non_Wetland,Forest
228,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
229,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
230,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
231,Wetland,Shrubland,Non_Water,Non_Wetland,Water
232,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
233,Wetland,Shrubland,Water,Non_Wetland,NULL
234,Wetland,Shrubland,Water,Non_Wetland,Grassland
235,Wetland,Shrubland,Water,Non_Wetland,Wetland
236,Wetland,Shrubland,Water,Non_Wetland,Bareland
237,Wetland,Shrubland,Water,Non_Wetland,Water
238,Wetland,Shrubland,Water,Non_Wetland,Forest
239,Wetland,Grassland,NULL,Non_Wetland,NULL
240,Wetland,Grassland,NULL,Non_Wetland,Grassland
241,Wetland,Grassland,NULL,Non_Wetland,Wetland
242,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
243,Wetland,Grassland,NULL,Non_Wetland,Bareland
244,Wetland,Grassland,NULL,Non_Wetland,Built-up
245,Wetland,Grassland,NULL,Non_Wetland,Forest
246,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
247,Wetland,Grassland,Non_Water,Non_Wetland,Forest
248,Wetland,Grassland,Water,Non_Wetland,Grassland
249,Wetland,Grassland,Water,Non_Wetland,Wetland
250,Wetland,Grassland,Water,Non_Wetland,Forest
251,Wetland,Cropland,NULL,Non_Wetland,NULL
252,Wetland,Cropland,NULL,Non_Wetland,Grassland
253,Wetland,Cropland,NULL,Non_Wetland,Wetland
254,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
255,Wetland,Cropland,NULL,Non_Wetland,Forest
256,Wetland,Cropland,Non_Water,Non_Wetland,Forest
257,Wetland,Cropland,Water,Non_Wetland,Grassland
258,Wetland,Cropland,Water,Non_Wetland,Bareland
259,Wetland,Cropland,Water,Non_Wetland,Forest
260,Wetland,Wetland,NULL,Wetland,NULL
261,Wetland,Wetland,NULL,Wetland,Grassland
262,Wetland,Wetland,NULL,Wetland,Wetland
263,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
264,Wetland,Wetland,NULL,Wetland,Bareland
265,Wetland,Wetland,NULL,Wetland,Built-up
266,Wetland,Wetland,NULL,Wetland,Water
