Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VXM_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VXM_M_R,SIBERIA_2024_GSW_Yearly_2021_42VXM_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VXM_M_R,SIBERIA_2024_WorldCover_2021_42VXM_M_R
263,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
264,Wetland,Shrubland,Water,Non_Wetland,Grassland
265,Wetland,Shrubland,Water,Non_Wetland,Wetland
266,Wetland,Shrubland,Water,Non_Wetland,Water
267,Wetland,Shrubland,Water,Non_Wetland,Forest
268,Wetland,Grassland,NULL,Non_Wetland,NULL
269,Wetland,Grassland,NULL,Non_Wetland,Grassland
270,Wetland,Grassland,NULL,Non_Wetland,Wetland
271,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
272,Wetland,Grassland,NULL,Non_Wetland,Bareland
273,Wetland,Grassland,NULL,Non_Wetland,Built-up
274,Wetland,Grassland,NULL,Non_Wetland,Water
275,Wetland,Grassland,NULL,Non_Wetland,Forest
276,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
277,Wetland,Grassland,Non_Water,Non_Wetland,Forest
278,Wetland,Grassland,Water,Non_Wetland,Grassland
279,Wetland,Grassland,Water,Non_Wetland,Bareland
280,Wetland,Cropland,NULL,Non_Wetland,NULL
281,Wetland,Cropland,NULL,Non_Wetland,Grassland
282,Wetland,Cropland,NULL,Non_Wetland,Wetland
283,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
284,Wetland,Cropland,NULL,Non_Wetland,Bareland
285,Wetland,Cropland,NULL,Non_Wetland,Built-up
286,Wetland,Cropland,NULL,Non_Wetland,Water
287,Wetland,Cropland,NULL,Non_Wetland,Forest
288,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
289,Wetland,Cropland,Water,Non_Wetland,Grassland
290,Wetland,Cropland,Water,Non_Wetland,Bareland
291,Wetland,Cropland,Water,Non_Wetland,Water
292,Wetland,Cropland,Water,Non_Wetland,Forest
293,Wetland,Wetland,NULL,Wetland,NULL
294,Wetland,Wetland,NULL,Wetland,Grassland
295,Wetland,Wetland,NULL,Wetland,Wetland
296,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
297,Wetland,Wetland,NULL,Wetland,Bareland
298,Wetland,Wetland,NULL,Wetland,Built-up
299,Wetland,Wetland,NULL,Wetland,Water
300,Wetland,Wetland,NULL,Wetland,Forest
301,Wetland,Wetland,Non_Water,Wetland,NULL
302,Wetland,Wetland,Non_Water,Wetland,Grassland
303,Wetland,Wetland,Non_Water,Wetland,Wetland
304,Wetland,Wetland,Non_Water,Wetland,Water
305,Wetland,Wetland,Non_Water,Wetland,Forest
306,Wetland,Wetland,Water,Wetland,NULL
307,Wetland,Wetland,Water,Wetland,Grassland
308,Wetland,Wetland,Water,Wetland,Wetland
309,Wetland,Wetland,Water,Wetland,Water
310,Wetland,Wetland,Water,Wetland,Forest
311,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
312,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
313,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
314,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
315,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
316,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
317,Wetland,Bareland,NULL,Non_Wetland,NULL
318,Wetland,Bareland,NULL,Non_Wetland,Grassland
319,Wetland,Bareland,NULL,Non_Wetland,Cropland
320,Wetland,Bareland,NULL,Non_Wetland,Wetland
321,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
322,Wetland,Bareland,NULL,Non_Wetland,Bareland
323,Wetland,Bareland,NULL,Non_Wetland,Built-up
324,Wetland,Bareland,NULL,Non_Wetland,Water
325,Wetland,Bareland,NULL,Non_Wetland,Forest
326,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
327,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
328,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
329,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
330,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
331,Wetland,Bareland,Non_Water,Non_Wetland,Water
332,Wetland,Bareland,Non_Water,Non_Wetland,Forest
333,Wetland,Bareland,Water,Non_Wetland,Grassland
334,Wetland,Bareland,Water,Non_Wetland,Wetland
335,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
336,Wetland,Bareland,Water,Non_Wetland,Bareland
337,Wetland,Bareland,Water,Non_Wetland,Water
338,Wetland,Bareland,Water,Non_Wetland,Forest
339,Wetland,Built-up,NULL,Non_Wetland,NULL
340,Wetland,Built-up,NULL,Non_Wetland,Grassland
341,Wetland,Built-up,NULL,Non_Wetland,Wetland
342,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
343,Wetland,Built-up,NULL,Non_Wetland,Bareland
344,Wetland,Built-up,NULL,Non_Wetland,Built-up
345,Wetland,Built-up,NULL,Non_Wetland,Water
346,Wetland,Built-up,NULL,Non_Wetland,Forest
347,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
348,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
349,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
350,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
351,Wetland,Built-up,Non_Water,Non_Wetland,Water
352,Wetland,Built-up,Water,Non_Wetland,Water
353,Wetland,Water,NULL,Water,NULL
354,Wetland,Water,NULL,Water,Grassland
355,Wetland,Water,NULL,Water,Wetland
356,Wetland,Water,NULL,Water,Bareland
357,Wetland,Water,NULL,Water,Water
358,Wetland,Water,NULL,Water,Forest
359,Wetland,Water,Non_Water,Water,Grassland
360,Wetland,Water,Non_Water,Water,Wetland
361,Wetland,Water,Non_Water,Water,Bareland
362,Wetland,Water,Non_Water,Water,Water
363,Wetland,Water,Non_Water,Water,Forest
364,Wetland,Water,Water,Water,NULL
365,Wetland,Water,Water,Water,Grassland
366,Wetland,Water,Water,Water,Wetland
367,Wetland,Water,Water,Water,Water
368,Wetland,Water,Water,Water,Forest
369,Wetland,Forest,NULL,Non_Wetland,NULL
370,Wetland,Forest,NULL,Non_Wetland,Grassland
371,Wetland,Forest,NULL,Non_Wetland,Wetland
372,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
373,Wetland,Forest,NULL,Non_Wetland,Bareland
374,Wetland,Forest,NULL,Non_Wetland,Built-up
375,Wetland,Forest,NULL,Non_Wetland,Water
376,Wetland,Forest,NULL,Non_Wetland,Forest
377,Wetland,Forest,Non_Water,Non_Wetland,NULL
378,Wetland,Forest,Non_Water,Non_Wetland,Grassland
379,Wetland,Forest,Non_Water,Non_Wetland,Wetland
380,Wetland,Forest,Non_Water,Non_Wetland,Water
381,Wetland,Forest,Non_Water,Non_Wetland,Forest
382,Wetland,Forest,Water,Non_Wetland,NULL
383,Wetland,Forest,Water,Non_Wetland,Grassland
384,Wetland,Forest,Water,Non_Wetland,Wetland
385,Wetland,Forest,Water,Non_Wetland,Bareland
386,Wetland,Forest,Water,Non_Wetland,Water
387,Wetland,Forest,Water,Non_Wetland,Forest
388,Bareland,NULL,NULL,Non_Wetland,Bareland
389,Bareland,NULL,NULL,Non_Wetland,Forest
390,Bareland,Shrubland,NULL,Non_Wetland,Grassland
391,Bareland,Shrubland,NULL,Non_Wetland,Bareland
392,Bareland,Shrubland,NULL,Non_Wetland,Built-up
393,Bareland,Shrubland,NULL,Non_Wetland,Forest
394,Bareland,Grassland,NULL,Non_Wetland,Grassland
395,Bareland,Grassland,NULL,Non_Wetland,Wetland
396,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
397,Bareland,Grassland,NULL,Non_Wetland,Bareland
398,Bareland,Grassland,NULL,Non_Wetland,Water
399,Bareland,Grassland,NULL,Non_Wetland,Forest
400,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
401,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
402,Bareland,Grassland,Non_Water,Non_Wetland,Water
403,Bareland,Grassland,Water,Non_Wetland,Grassland
404,Bareland,Cropland,NULL,Non_Wetland,NULL
405,Bareland,Cropland,NULL,Non_Wetland,Grassland
406,Bareland,Cropland,NULL,Non_Wetland,Wetland
407,Bareland,Cropland,NULL,Non_Wetland,Bareland
408,Bareland,Cropland,NULL,Non_Wetland,Built-up
409,Bareland,Cropland,NULL,Non_Wetland,Water
410,Bareland,Cropland,NULL,Non_Wetland,Forest
411,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
412,Bareland,Cropland,Water,Non_Wetland,Bareland
413,Bareland,Wetland,NULL,Wetland,NULL
414,Bareland,Wetland,NULL,Wetland,Grassland
415,Bareland,Wetland,NULL,Wetland,Wetland
416,Bareland,Wetland,NULL,Wetland,Bareland
417,Bareland,Wetland,NULL,Wetland,Built-up
418,Bareland,Wetland,NULL,Wetland,Water
419,Bareland,Wetland,NULL,Wetland,Forest
420,Bareland,Wetland,Non_Water,Wetland,Bareland
421,Bareland,Wetland,Water,Wetland,Bareland
422,Bareland,Wetland,Water,Wetland,Forest
423,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
424,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
425,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
426,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
427,Bareland,Bareland,NULL,Non_Wetland,Grassland
428,Bareland,Bareland,NULL,Non_Wetland,Wetland
429,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
430,Bareland,Bareland,NULL,Non_Wetland,Bareland
431,Bareland,Bareland,NULL,Non_Wetland,Built-up
432,Bareland,Bareland,NULL,Non_Wetland,Water
433,Bareland,Bareland,NULL,Non_Wetland,Forest
434,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
435,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
436,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
437,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
438,Bareland,Bareland,Water,Non_Wetland,Grassland
439,Bareland,Bareland,Water,Non_Wetland,Bareland
440,Bareland,Bareland,Water,Non_Wetland,Water
441,Bareland,Built-up,NULL,Non_Wetland,Grassland
442,Bareland,Built-up,NULL,Non_Wetland,Wetland
443,Bareland,Built-up,NULL,Non_Wetland,Bareland
444,Bareland,Built-up,NULL,Non_Wetland,Built-up
445,Bareland,Built-up,NULL,Non_Wetland,Water
446,Bareland,Built-up,NULL,Non_Wetland,Forest
447,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
448,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
449,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
450,Bareland,Built-up,Non_Water,Non_Wetland,Water
451,Bareland,Built-up,Water,Non_Wetland,Bareland
452,Bareland,Built-up,Water,Non_Wetland,Built-up
453,Bareland,Built-up,Water,Non_Wetland,Forest
454,Bareland,Water,NULL,Water,NULL
455,Bareland,Water,NULL,Water,Wetland
456,Bareland,Water,NULL,Water,Bareland
457,Bareland,Water,NULL,Water,Water
458,Bareland,Water,Water,Water,Water
459,Bareland,Water,Water,Water,Forest
460,Bareland,Forest,NULL,Non_Wetland,Grassland
461,Bareland,Forest,NULL,Non_Wetland,Wetland
462,Bareland,Forest,NULL,Non_Wetland,Bareland
463,Bareland,Forest,NULL,Non_Wetland,Built-up
464,Bareland,Forest,NULL,Non_Wetland,Water
465,Bareland,Forest,NULL,Non_Wetland,Forest
466,Bareland,Forest,Water,Non_Wetland,Forest
467,Built-up,NULL,NULL,Non_Wetland,NULL
468,Built-up,NULL,NULL,Non_Wetland,Grassland
469,Built-up,NULL,NULL,Non_Wetland,Wetland
470,Built-up,NULL,NULL,Non_Wetland,Bareland
471,Built-up,NULL,NULL,Non_Wetland,Built-up
472,Built-up,NULL,NULL,Non_Wetland,Forest
473,Built-up,Shrubland,NULL,Non_Wetland,Grassland
474,Built-up,Shrubland,NULL,Non_Wetland,Cropland
475,Built-up,Shrubland,NULL,Non_Wetland,Bareland
476,Built-up,Shrubland,NULL,Non_Wetland,Built-up
477,Built-up,Shrubland,NULL,Non_Wetland,Forest
478,Built-up,Grassland,NULL,Non_Wetland,Grassland
479,Built-up,Grassland,NULL,Non_Wetland,Wetland
480,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
481,Built-up,Grassland,NULL,Non_Wetland,Bareland
482,Built-up,Grassland,NULL,Non_Wetland,Built-up
483,Built-up,Grassland,NULL,Non_Wetland,Water
