Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VCL_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VCL_M_R,SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,SIBERIA_2024_WorldCover_2021_43VCL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Non_Water,Non_Wetland,Water
12,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,Water,Non_Wetland,NULL
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,Water,Non_Wetland,Water
18,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
29,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
31,NULL,Shrubland,Non_Water,Non_Wetland,Water
32,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,Shrubland,Water,Non_Wetland,Grassland
34,NULL,Shrubland,Water,Non_Wetland,Wetland
35,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
36,NULL,Shrubland,Water,Non_Wetland,Bareland
37,NULL,Shrubland,Water,Non_Wetland,Water
38,NULL,Shrubland,Water,Non_Wetland,Forest
39,NULL,Grassland,NULL,Non_Wetland,NULL
40,NULL,Grassland,NULL,Non_Wetland,Grassland
41,NULL,Grassland,NULL,Non_Wetland,Wetland
42,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,Grassland,NULL,Non_Wetland,Bareland
44,NULL,Grassland,NULL,Non_Wetland,Built-up
45,NULL,Grassland,NULL,Non_Wetland,Water
46,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,Grassland,Non_Water,Non_Wetland,Grassland
48,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,Grassland,Non_Water,Non_Wetland,Water
50,NULL,Grassland,Non_Water,Non_Wetland,Forest
51,NULL,Grassland,Water,Non_Wetland,Grassland
52,NULL,Grassland,Water,Non_Wetland,Wetland
53,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,Cropland,NULL,Non_Wetland,NULL
55,NULL,Cropland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,NULL,Non_Wetland,Wetland
57,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
58,NULL,Cropland,NULL,Non_Wetland,Bareland
59,NULL,Cropland,NULL,Non_Wetland,Built-up
60,NULL,Cropland,NULL,Non_Wetland,Water
61,NULL,Cropland,NULL,Non_Wetland,Forest
62,NULL,Cropland,Non_Water,Non_Wetland,Grassland
63,NULL,Cropland,Non_Water,Non_Wetland,Wetland
64,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
65,NULL,Wetland,NULL,Wetland,NULL
66,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,Wetland,NULL,Wetland,Wetland
68,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
69,NULL,Wetland,NULL,Wetland,Bareland
70,NULL,Wetland,NULL,Wetland,Built-up
71,NULL,Wetland,NULL,Wetland,Water
72,NULL,Wetland,NULL,Wetland,Forest
73,NULL,Wetland,Non_Water,Wetland,NULL
74,NULL,Wetland,Non_Water,Wetland,Grassland
75,NULL,Wetland,Non_Water,Wetland,Wetland
76,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
77,NULL,Wetland,Non_Water,Wetland,Bareland
78,NULL,Wetland,Non_Water,Wetland,Water
79,NULL,Wetland,Non_Water,Wetland,Forest
80,NULL,Wetland,Water,Wetland,NULL
81,NULL,Wetland,Water,Wetland,Grassland
82,NULL,Wetland,Water,Wetland,Wetland
83,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
84,NULL,Wetland,Water,Wetland,Bareland
85,NULL,Wetland,Water,Wetland,Water
86,NULL,Wetland,Water,Wetland,Forest
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
95,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
96,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
97,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
99,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
100,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
101,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
102,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
103,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
105,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
106,NULL,Bareland,NULL,Non_Wetland,NULL
107,NULL,Bareland,NULL,Non_Wetland,Grassland
108,NULL,Bareland,NULL,Non_Wetland,Wetland
109,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Bareland,NULL,Non_Wetland,Built-up
112,NULL,Bareland,NULL,Non_Wetland,Water
113,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
114,NULL,Bareland,NULL,Non_Wetland,Forest
115,NULL,Bareland,Non_Water,Non_Wetland,Grassland
116,NULL,Bareland,Non_Water,Non_Wetland,Wetland
117,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Bareland,Non_Water,Non_Wetland,Bareland
119,NULL,Bareland,Non_Water,Non_Wetland,Built-up
120,NULL,Bareland,Non_Water,Non_Wetland,Water
121,NULL,Bareland,Non_Water,Non_Wetland,Forest
122,NULL,Bareland,Water,Non_Wetland,NULL
123,NULL,Bareland,Water,Non_Wetland,Grassland
124,NULL,Bareland,Water,Non_Wetland,Wetland
125,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
126,NULL,Bareland,Water,Non_Wetland,Bareland
127,NULL,Bareland,Water,Non_Wetland,Built-up
128,NULL,Bareland,Water,Non_Wetland,Water
129,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
130,NULL,Bareland,Water,Non_Wetland,Forest
131,NULL,Built-up,NULL,Non_Wetland,Grassland
132,NULL,Built-up,NULL,Non_Wetland,Wetland
133,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
134,NULL,Built-up,NULL,Non_Wetland,Bareland
135,NULL,Built-up,NULL,Non_Wetland,Built-up
136,NULL,Built-up,NULL,Non_Wetland,Water
137,NULL,Built-up,NULL,Non_Wetland,Forest
138,NULL,Built-up,Non_Water,Non_Wetland,Grassland
139,NULL,Built-up,Non_Water,Non_Wetland,Wetland
140,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
141,NULL,Built-up,Non_Water,Non_Wetland,Bareland
142,NULL,Built-up,Non_Water,Non_Wetland,Built-up
143,NULL,Built-up,Non_Water,Non_Wetland,Water
144,NULL,Built-up,Non_Water,Non_Wetland,Forest
145,NULL,Built-up,Water,Non_Wetland,Grassland
146,NULL,Built-up,Water,Non_Wetland,Wetland
147,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
148,NULL,Built-up,Water,Non_Wetland,Bareland
149,NULL,Built-up,Water,Non_Wetland,Built-up
150,NULL,Built-up,Water,Non_Wetland,Water
151,NULL,Built-up,Water,Non_Wetland,Permanent_ice_and_snow
152,NULL,Built-up,Water,Non_Wetland,Forest
153,NULL,Water,NULL,Water,NULL
154,NULL,Water,NULL,Water,Grassland
155,NULL,Water,NULL,Water,Wetland
156,NULL,Water,NULL,Water,Lichens_and_Mosses
157,NULL,Water,NULL,Water,Bareland
158,NULL,Water,NULL,Water,Water
159,NULL,Water,NULL,Water,Permanent_ice_and_snow
160,NULL,Water,NULL,Water,Forest
161,NULL,Water,Non_Water,Water,NULL
162,NULL,Water,Non_Water,Water,Grassland
163,NULL,Water,Non_Water,Water,Wetland
164,NULL,Water,Non_Water,Water,Lichens_and_Mosses
165,NULL,Water,Non_Water,Water,Bareland
166,NULL,Water,Non_Water,Water,Water
167,NULL,Water,Non_Water,Water,Forest
168,NULL,Water,Water,Water,NULL
169,NULL,Water,Water,Water,Grassland
170,NULL,Water,Water,Water,Wetland
171,NULL,Water,Water,Water,Lichens_and_Mosses
172,NULL,Water,Water,Water,Bareland
173,NULL,Water,Water,Water,Built-up
174,NULL,Water,Water,Water,Water
175,NULL,Water,Water,Water,Forest
176,NULL,Forest,NULL,Non_Wetland,NULL
177,NULL,Forest,NULL,Non_Wetland,Grassland
178,NULL,Forest,NULL,Non_Wetland,Wetland
179,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
180,NULL,Forest,NULL,Non_Wetland,Bareland
181,NULL,Forest,NULL,Non_Wetland,Built-up
182,NULL,Forest,NULL,Non_Wetland,Water
183,NULL,Forest,NULL,Non_Wetland,Forest
184,NULL,Forest,Non_Water,Non_Wetland,NULL
185,NULL,Forest,Non_Water,Non_Wetland,Grassland
186,NULL,Forest,Non_Water,Non_Wetland,Wetland
187,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
188,NULL,Forest,Non_Water,Non_Wetland,Bareland
189,NULL,Forest,Non_Water,Non_Wetland,Water
190,NULL,Forest,Non_Water,Non_Wetland,Forest
191,NULL,Forest,Water,Non_Wetland,NULL
192,NULL,Forest,Water,Non_Wetland,Grassland
193,NULL,Forest,Water,Non_Wetland,Wetland
194,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
195,NULL,Forest,Water,Non_Wetland,Bareland
196,NULL,Forest,Water,Non_Wetland,Water
197,NULL,Forest,Water,Non_Wetland,Forest
198,Cropland,Shrubland,NULL,Non_Wetland,Grassland
199,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
200,Cropland,Shrubland,NULL,Non_Wetland,Forest
201,Cropland,Grassland,NULL,Non_Wetland,Grassland
202,Cropland,Grassland,NULL,Non_Wetland,Wetland
203,Cropland,Wetland,NULL,Wetland,NULL
204,Cropland,Wetland,NULL,Wetland,Grassland
205,Cropland,Wetland,NULL,Wetland,Wetland
206,Cropland,Wetland,NULL,Wetland,Forest
207,Cropland,Wetland,Non_Water,Wetland,Grassland
208,Cropland,Wetland,Non_Water,Wetland,Wetland
209,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
210,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
211,Cropland,Bareland,NULL,Non_Wetland,NULL
212,Cropland,Bareland,NULL,Non_Wetland,Grassland
213,Cropland,Bareland,NULL,Non_Wetland,Wetland
214,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
215,Cropland,Bareland,NULL,Non_Wetland,Bareland
216,Cropland,Bareland,NULL,Non_Wetland,Built-up
217,Cropland,Bareland,NULL,Non_Wetland,Forest
218,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
219,Cropland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
220,Cropland,Built-up,NULL,Non_Wetland,Forest
221,Cropland,Forest,NULL,Non_Wetland,Grassland
222,Cropland,Forest,NULL,Non_Wetland,Wetland
223,Cropland,Forest,NULL,Non_Wetland,Forest
224,Wetland,NULL,NULL,Non_Wetland,NULL
225,Wetland,NULL,NULL,Non_Wetland,Grassland
226,Wetland,NULL,NULL,Non_Wetland,Wetland
227,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
228,Wetland,NULL,NULL,Non_Wetland,Water
229,Wetland,NULL,NULL,Non_Wetland,Forest
230,Wetland,NULL,Non_Water,Non_Wetland,Grassland
231,Wetland,NULL,Non_Water,Non_Wetland,Wetland
232,Wetland,NULL,Non_Water,Non_Wetland,Water
233,Wetland,NULL,Non_Water,Non_Wetland,Forest
234,Wetland,NULL,Water,Non_Wetland,NULL
235,Wetland,NULL,Water,Non_Wetland,Grassland
236,Wetland,NULL,Water,Non_Wetland,Wetland
237,Wetland,NULL,Water,Non_Wetland,Water
238,Wetland,NULL,Water,Non_Wetland,Forest
239,Wetland,Shrubland,NULL,Non_Wetland,NULL
240,Wetland,Shrubland,NULL,Non_Wetland,Grassland
241,Wetland,Shrubland,NULL,Non_Wetland,Wetland
242,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
243,Wetland,Shrubland,NULL,Non_Wetland,Bareland
244,Wetland,Shrubland,NULL,Non_Wetland,Water
245,Wetland,Shrubland,NULL,Non_Wetland,Forest
246,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
247,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
248,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
249,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
250,Wetland,Shrubland,Non_Water,Non_Wetland,Water
251,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
252,Wetland,Shrubland,Water,Non_Wetland,Grassland
253,Wetland,Shrubland,Water,Non_Wetland,Wetland
254,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
255,Wetland,Shrubland,Water,Non_Wetland,Bareland
256,Wetland,Shrubland,Water,Non_Wetland,Water
257,Wetland,Shrubland,Water,Non_Wetland,Forest
258,Wetland,Grassland,NULL,Non_Wetland,NULL
