Value,SIBERIA_2024_ESA_CALU_2024_45XVA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45XVA_M_R,SIBERIA_2024_GLC_FCS30D_2022_45XVA_M_R,SIBERIA_2024_GSW_Yearly_2021_45XVA_M_R,SIBERIA_2024_GWL_FCS30D_2022_45XVA_M_R,SIBERIA_2024_WorldCover_2021_45XVA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,NULL,Wetland,NULL,Wetland,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,Wetland
46,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
47,NULL,NULL,Wetland,NULL,Wetland,Bareland
48,NULL,NULL,Wetland,NULL,Wetland,Water
49,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
50,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
51,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
52,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
53,NULL,NULL,Wetland,Non_Water,Wetland,Water
54,NULL,NULL,Wetland,Water,Wetland,Grassland
55,NULL,NULL,Wetland,Water,Wetland,Wetland
56,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
57,NULL,NULL,Wetland,Water,Wetland,Bareland
58,NULL,NULL,Wetland,Water,Wetland,Water
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
65,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
67,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
68,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
69,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
70,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
71,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
72,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
73,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
74,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
75,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Water
80,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
87,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
88,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
89,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
90,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Water,Non_Wetland,Water
92,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Water
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
99,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
100,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
101,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
102,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
104,NULL,NULL,Built-up,Water,Non_Wetland,Water
105,NULL,NULL,Water,NULL,Water,Grassland
106,NULL,NULL,Water,NULL,Water,Wetland
