Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVN_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVN_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVN_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVN_M_R,SIBERIA_2024_WorldCover_2021_42VVN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Built-up
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
28,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
29,NULL,Shrubland,Non_Water,Non_Wetland,Forest
30,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,Shrubland,Water,Non_Wetland,Cropland
32,NULL,Shrubland,Water,Non_Wetland,Wetland
33,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Cropland
37,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,Grassland,Non_Water,Non_Wetland,Bareland
45,NULL,Grassland,Non_Water,Non_Wetland,Built-up
46,NULL,Grassland,Non_Water,Non_Wetland,Forest
47,NULL,Grassland,Water,Non_Wetland,Grassland
48,NULL,Grassland,Water,Non_Wetland,Wetland
49,NULL,Cropland,NULL,Non_Wetland,NULL
50,NULL,Cropland,NULL,Non_Wetland,Grassland
51,NULL,Cropland,NULL,Non_Wetland,Cropland
52,NULL,Cropland,NULL,Non_Wetland,Wetland
53,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
54,NULL,Cropland,NULL,Non_Wetland,Bareland
55,NULL,Cropland,NULL,Non_Wetland,Built-up
56,NULL,Cropland,NULL,Non_Wetland,Water
57,NULL,Cropland,NULL,Non_Wetland,Forest
58,NULL,Cropland,Non_Water,Non_Wetland,Grassland
59,NULL,Cropland,Non_Water,Non_Wetland,Wetland
60,NULL,Cropland,Non_Water,Non_Wetland,Bareland
61,NULL,Cropland,Non_Water,Non_Wetland,Built-up
62,NULL,Cropland,Non_Water,Non_Wetland,Forest
63,NULL,Cropland,Water,Non_Wetland,Grassland
64,NULL,Cropland,Water,Non_Wetland,Wetland
65,NULL,Cropland,Water,Non_Wetland,Bareland
66,NULL,Wetland,NULL,Wetland,NULL
67,NULL,Wetland,NULL,Wetland,Grassland
68,NULL,Wetland,NULL,Wetland,Cropland
69,NULL,Wetland,NULL,Wetland,Wetland
70,NULL,Wetland,NULL,Wetland,Bareland
71,NULL,Wetland,NULL,Wetland,Built-up
72,NULL,Wetland,NULL,Wetland,Water
73,NULL,Wetland,NULL,Wetland,Forest
74,NULL,Wetland,Non_Water,Wetland,NULL
75,NULL,Wetland,Non_Water,Wetland,Grassland
76,NULL,Wetland,Non_Water,Wetland,Cropland
77,NULL,Wetland,Non_Water,Wetland,Wetland
78,NULL,Wetland,Non_Water,Wetland,Bareland
79,NULL,Wetland,Non_Water,Wetland,Built-up
80,NULL,Wetland,Non_Water,Wetland,Water
81,NULL,Wetland,Non_Water,Wetland,Forest
82,NULL,Wetland,Water,Wetland,NULL
83,NULL,Wetland,Water,Wetland,Grassland
84,NULL,Wetland,Water,Wetland,Cropland
85,NULL,Wetland,Water,Wetland,Wetland
86,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
87,NULL,Wetland,Water,Wetland,Bareland
88,NULL,Wetland,Water,Wetland,Built-up
89,NULL,Wetland,Water,Wetland,Water
90,NULL,Wetland,Water,Wetland,Forest
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
95,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
96,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
97,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
98,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
99,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
100,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
101,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
102,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
104,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
105,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
106,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
107,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
108,NULL,Bareland,NULL,Non_Wetland,NULL
109,NULL,Bareland,NULL,Non_Wetland,Grassland
110,NULL,Bareland,NULL,Non_Wetland,Cropland
111,NULL,Bareland,NULL,Non_Wetland,Wetland
112,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,Bareland,NULL,Non_Wetland,Bareland
114,NULL,Bareland,NULL,Non_Wetland,Built-up
115,NULL,Bareland,NULL,Non_Wetland,Water
116,NULL,Bareland,NULL,Non_Wetland,Forest
117,NULL,Bareland,Non_Water,Non_Wetland,Grassland
118,NULL,Bareland,Non_Water,Non_Wetland,Wetland
119,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Bareland,Non_Water,Non_Wetland,Bareland
121,NULL,Bareland,Non_Water,Non_Wetland,Built-up
122,NULL,Bareland,Non_Water,Non_Wetland,Water
123,NULL,Bareland,Non_Water,Non_Wetland,Forest
124,NULL,Bareland,Water,Non_Wetland,Grassland
125,NULL,Bareland,Water,Non_Wetland,Wetland
126,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
127,NULL,Bareland,Water,Non_Wetland,Bareland
128,NULL,Bareland,Water,Non_Wetland,Built-up
129,NULL,Bareland,Water,Non_Wetland,Water
130,NULL,Bareland,Water,Non_Wetland,Forest
131,NULL,Built-up,NULL,Non_Wetland,NULL
132,NULL,Built-up,NULL,Non_Wetland,Grassland
133,NULL,Built-up,NULL,Non_Wetland,Cropland
134,NULL,Built-up,NULL,Non_Wetland,Wetland
135,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
136,NULL,Built-up,NULL,Non_Wetland,Bareland
137,NULL,Built-up,NULL,Non_Wetland,Built-up
138,NULL,Built-up,NULL,Non_Wetland,Forest
139,NULL,Built-up,Non_Water,Non_Wetland,Grassland
140,NULL,Built-up,Non_Water,Non_Wetland,Wetland
141,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
142,NULL,Built-up,Non_Water,Non_Wetland,Bareland
143,NULL,Built-up,Non_Water,Non_Wetland,Built-up
144,NULL,Built-up,Non_Water,Non_Wetland,Forest
145,NULL,Built-up,Water,Non_Wetland,Grassland
146,NULL,Built-up,Water,Non_Wetland,Wetland
147,NULL,Built-up,Water,Non_Wetland,Built-up
148,NULL,Built-up,Water,Non_Wetland,Water
149,NULL,Built-up,Water,Non_Wetland,Forest
150,NULL,Water,NULL,Water,NULL
151,NULL,Water,NULL,Water,Grassland
152,NULL,Water,NULL,Water,Wetland
153,NULL,Water,NULL,Water,Water
154,NULL,Water,NULL,Water,Forest
155,NULL,Water,Non_Water,Water,Grassland
156,NULL,Water,Non_Water,Water,Wetland
157,NULL,Water,Non_Water,Water,Bareland
158,NULL,Water,Non_Water,Water,Water
159,NULL,Water,Non_Water,Water,Forest
160,NULL,Water,Water,Water,NULL
161,NULL,Water,Water,Water,Grassland
162,NULL,Water,Water,Water,Wetland
163,NULL,Water,Water,Water,Lichens_and_Mosses
164,NULL,Water,Water,Water,Bareland
165,NULL,Water,Water,Water,Water
166,NULL,Water,Water,Water,Forest
167,NULL,Forest,NULL,Non_Wetland,NULL
168,NULL,Forest,NULL,Non_Wetland,Grassland
169,NULL,Forest,NULL,Non_Wetland,Cropland
170,NULL,Forest,NULL,Non_Wetland,Wetland
171,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
172,NULL,Forest,NULL,Non_Wetland,Bareland
173,NULL,Forest,NULL,Non_Wetland,Built-up
174,NULL,Forest,NULL,Non_Wetland,Water
175,NULL,Forest,NULL,Non_Wetland,Forest
176,NULL,Forest,Non_Water,Non_Wetland,NULL
177,NULL,Forest,Non_Water,Non_Wetland,Grassland
178,NULL,Forest,Non_Water,Non_Wetland,Cropland
179,NULL,Forest,Non_Water,Non_Wetland,Wetland
180,NULL,Forest,Non_Water,Non_Wetland,Bareland
181,NULL,Forest,Non_Water,Non_Wetland,Built-up
182,NULL,Forest,Non_Water,Non_Wetland,Water
183,NULL,Forest,Non_Water,Non_Wetland,Forest
184,NULL,Forest,Water,Non_Wetland,Grassland
185,NULL,Forest,Water,Non_Wetland,Wetland
186,NULL,Forest,Water,Non_Wetland,Bareland
187,NULL,Forest,Water,Non_Wetland,Water
188,NULL,Forest,Water,Non_Wetland,Forest
189,Cropland,NULL,NULL,Non_Wetland,NULL
190,Cropland,NULL,NULL,Non_Wetland,Grassland
191,Cropland,NULL,NULL,Non_Wetland,Wetland
192,Cropland,NULL,NULL,Non_Wetland,Forest
193,Cropland,Shrubland,NULL,Non_Wetland,Grassland
194,Cropland,Shrubland,NULL,Non_Wetland,Wetland
195,Cropland,Shrubland,NULL,Non_Wetland,Built-up
196,Cropland,Shrubland,NULL,Non_Wetland,Forest
197,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
198,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
199,Cropland,Grassland,NULL,Non_Wetland,Grassland
200,Cropland,Grassland,NULL,Non_Wetland,Wetland
201,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
202,Cropland,Grassland,NULL,Non_Wetland,Built-up
203,Cropland,Grassland,NULL,Non_Wetland,Forest
204,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
205,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
206,Cropland,Grassland,Water,Non_Wetland,Wetland
207,Cropland,Cropland,NULL,Non_Wetland,Grassland
208,Cropland,Cropland,NULL,Non_Wetland,Cropland
209,Cropland,Cropland,NULL,Non_Wetland,Wetland
210,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
211,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
212,Cropland,Wetland,NULL,Wetland,NULL
213,Cropland,Wetland,NULL,Wetland,Grassland
214,Cropland,Wetland,NULL,Wetland,Cropland
215,Cropland,Wetland,NULL,Wetland,Wetland
216,Cropland,Wetland,NULL,Wetland,Bareland
217,Cropland,Wetland,NULL,Wetland,Built-up
218,Cropland,Wetland,NULL,Wetland,Forest
219,Cropland,Wetland,Non_Water,Wetland,Grassland
220,Cropland,Wetland,Non_Water,Wetland,Wetland
221,Cropland,Wetland,Water,Wetland,Wetland
222,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
223,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
224,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
225,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
226,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
227,Cropland,Bareland,NULL,Non_Wetland,NULL
228,Cropland,Bareland,NULL,Non_Wetland,Grassland
229,Cropland,Bareland,NULL,Non_Wetland,Wetland
230,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
231,Cropland,Bareland,NULL,Non_Wetland,Bareland
232,Cropland,Bareland,NULL,Non_Wetland,Built-up
233,Cropland,Bareland,NULL,Non_Wetland,Forest
234,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
235,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
236,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
237,Cropland,Bareland,Water,Non_Wetland,Wetland
238,Cropland,Bareland,Water,Non_Wetland,Water
239,Cropland,Built-up,NULL,Non_Wetland,Grassland
240,Cropland,Built-up,NULL,Non_Wetland,Wetland
241,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
242,Cropland,Built-up,NULL,Non_Wetland,Built-up
243,Cropland,Built-up,NULL,Non_Wetland,Forest
244,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
245,Cropland,Water,NULL,Water,Grassland
246,Cropland,Water,NULL,Water,Wetland
247,Cropland,Water,Non_Water,Water,Wetland
248,Cropland,Water,Non_Water,Water,Bareland
249,Cropland,Water,Non_Water,Water,Water
250,Cropland,Water,Water,Water,Wetland
251,Cropland,Water,Water,Water,Water
252,Cropland,Forest,NULL,Non_Wetland,NULL
253,Cropland,Forest,NULL,Non_Wetland,Grassland
254,Cropland,Forest,NULL,Non_Wetland,Cropland
255,Cropland,Forest,NULL,Non_Wetland,Wetland
256,Cropland,Forest,NULL,Non_Wetland,Forest
257,Cropland,Forest,Non_Water,Non_Wetland,Grassland
258,Cropland,Forest,Non_Water,Non_Wetland,Wetland
259,Wetland,NULL,NULL,Non_Wetland,NULL
260,Wetland,NULL,NULL,Non_Wetland,Grassland
261,Wetland,NULL,NULL,Non_Wetland,Wetland
