Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWV_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWV_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,SIBERIA_2024_WorldCover_2021_42WWV_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Water
8,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Water
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,Shrubland,Non_Water,Non_Wetland,Water
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Water,Non_Wetland,Water
28,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
32,NULL,Grassland,NULL,Non_Wetland,Bareland
33,NULL,Grassland,NULL,Non_Wetland,Water
34,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,Grassland,Non_Water,Non_Wetland,Wetland
37,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,Non_Water,Non_Wetland,Bareland
39,NULL,Grassland,Non_Water,Non_Wetland,Water
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,Water,Non_Wetland,Water
45,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,Wetland,NULL,NULL,Grassland
47,NULL,Wetland,NULL,NULL,Wetland
48,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
49,NULL,Wetland,NULL,NULL,Forest
50,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
53,NULL,Wetland,NULL,Wetland,Bareland
54,NULL,Wetland,NULL,Wetland,Water
55,NULL,Wetland,NULL,Wetland,Forest
56,NULL,Wetland,Non_Water,NULL,Wetland
57,NULL,Wetland,Non_Water,Wetland,Grassland
58,NULL,Wetland,Non_Water,Wetland,Wetland
59,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
60,NULL,Wetland,Non_Water,Wetland,Bareland
61,NULL,Wetland,Non_Water,Wetland,Water
62,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,Wetland,Water,NULL,Grassland
64,NULL,Wetland,Water,NULL,Wetland
65,NULL,Wetland,Water,NULL,Forest
66,NULL,Wetland,Water,Wetland,Grassland
67,NULL,Wetland,Water,Wetland,Wetland
68,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
69,NULL,Wetland,Water,Wetland,Water
70,NULL,Wetland,Water,Wetland,Forest
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
87,NULL,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,NULL,Non_Wetland,Wetland
89,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,NULL,Non_Wetland,Bareland
91,NULL,Bareland,NULL,Non_Wetland,Water
92,NULL,Bareland,NULL,Non_Wetland,Forest
93,NULL,Bareland,Non_Water,Non_Wetland,Grassland
94,NULL,Bareland,Non_Water,Non_Wetland,Wetland
95,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
96,NULL,Bareland,Non_Water,Non_Wetland,Bareland
97,NULL,Bareland,Non_Water,Non_Wetland,Water
98,NULL,Bareland,Water,Non_Wetland,Grassland
99,NULL,Bareland,Water,Non_Wetland,Wetland
100,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Bareland,Water,Non_Wetland,Bareland
102,NULL,Bareland,Water,Non_Wetland,Water
103,NULL,Bareland,Water,Non_Wetland,Forest
104,NULL,Built-up,NULL,Non_Wetland,Grassland
105,NULL,Built-up,NULL,Non_Wetland,Wetland
106,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
107,NULL,Built-up,NULL,Non_Wetland,Bareland
108,NULL,Built-up,NULL,Non_Wetland,Built-up
109,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,Built-up,Water,Non_Wetland,Grassland
111,NULL,Built-up,Water,Non_Wetland,Water
112,NULL,Water,NULL,NULL,Wetland
113,NULL,Water,NULL,Water,Grassland
114,NULL,Water,NULL,Water,Wetland
115,NULL,Water,NULL,Water,Lichens_and_Mosses
116,NULL,Water,NULL,Water,Water
117,NULL,Water,NULL,Water,Forest
118,NULL,Water,Non_Water,Water,Grassland
119,NULL,Water,Non_Water,Water,Wetland
120,NULL,Water,Non_Water,Water,Lichens_and_Mosses
121,NULL,Water,Non_Water,Water,Water
122,NULL,Water,Water,Water,Grassland
123,NULL,Water,Water,Water,Wetland
124,NULL,Water,Water,Water,Lichens_and_Mosses
125,NULL,Water,Water,Water,Bareland
126,NULL,Water,Water,Water,Water
127,NULL,Water,Water,Water,Forest
128,NULL,Forest,NULL,Non_Wetland,Grassland
129,NULL,Forest,NULL,Non_Wetland,Wetland
130,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
131,NULL,Forest,NULL,Non_Wetland,Bareland
132,NULL,Forest,NULL,Non_Wetland,Built-up
133,NULL,Forest,NULL,Non_Wetland,Water
134,NULL,Forest,NULL,Non_Wetland,Forest
135,NULL,Forest,Non_Water,Non_Wetland,Grassland
136,NULL,Forest,Non_Water,Non_Wetland,Wetland
137,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
138,NULL,Forest,Non_Water,Non_Wetland,Bareland
139,NULL,Forest,Non_Water,Non_Wetland,Water
140,NULL,Forest,Non_Water,Non_Wetland,Forest
141,NULL,Forest,Water,Non_Wetland,Grassland
142,NULL,Forest,Water,Non_Wetland,Wetland
143,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
144,NULL,Forest,Water,Non_Wetland,Water
145,NULL,Forest,Water,Non_Wetland,Forest
146,Wetland,NULL,NULL,Non_Wetland,Grassland
147,Wetland,NULL,NULL,Non_Wetland,Wetland
148,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
149,Wetland,NULL,NULL,Non_Wetland,Bareland
150,Wetland,NULL,NULL,Non_Wetland,Water
151,Wetland,NULL,NULL,Non_Wetland,Forest
152,Wetland,NULL,Non_Water,Non_Wetland,Grassland
153,Wetland,NULL,Non_Water,Non_Wetland,Wetland
154,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
155,Wetland,NULL,Non_Water,Non_Wetland,Bareland
156,Wetland,NULL,Non_Water,Non_Wetland,Water
157,Wetland,NULL,Non_Water,Non_Wetland,Forest
158,Wetland,NULL,Water,Non_Wetland,Grassland
159,Wetland,NULL,Water,Non_Wetland,Wetland
160,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
161,Wetland,NULL,Water,Non_Wetland,Bareland
162,Wetland,NULL,Water,Non_Wetland,Water
163,Wetland,NULL,Water,Non_Wetland,Forest
164,Wetland,Shrubland,NULL,Non_Wetland,Grassland
165,Wetland,Shrubland,NULL,Non_Wetland,Wetland
166,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
167,Wetland,Shrubland,NULL,Non_Wetland,Bareland
168,Wetland,Shrubland,NULL,Non_Wetland,Water
169,Wetland,Shrubland,NULL,Non_Wetland,Forest
