Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEJ_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEJ_M_R,SIBERIA_2024_WorldCover_2021_43VEJ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
34,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,Grassland,Non_Water,Non_Wetland,Forest
40,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,Grassland,Water,Non_Wetland,Forest
43,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
45,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,NULL
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
50,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,Wetland,NULL,Wetland,Built-up
52,NULL,Wetland,NULL,Wetland,Water
53,NULL,Wetland,NULL,Wetland,Forest
54,NULL,Wetland,Non_Water,Wetland,NULL
55,NULL,Wetland,Non_Water,Wetland,Grassland
56,NULL,Wetland,Non_Water,Wetland,Wetland
57,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
58,NULL,Wetland,Non_Water,Wetland,Bareland
59,NULL,Wetland,Non_Water,Wetland,Built-up
60,NULL,Wetland,Non_Water,Wetland,Water
61,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,Wetland,Water,Wetland,NULL
63,NULL,Wetland,Water,Wetland,Grassland
64,NULL,Wetland,Water,Wetland,Wetland
65,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
86,NULL,Bareland,NULL,Non_Wetland,NULL
87,NULL,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,NULL,Non_Wetland,Cropland
89,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Bareland,NULL,Non_Wetland,Built-up
93,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,Bareland,NULL,Non_Wetland,Forest
95,NULL,Bareland,Non_Water,Non_Wetland,NULL
96,NULL,Bareland,Non_Water,Non_Wetland,Grassland
97,NULL,Bareland,Non_Water,Non_Wetland,Wetland
98,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Non_Water,Non_Wetland,Bareland
100,NULL,Bareland,Non_Water,Non_Wetland,Built-up
101,NULL,Bareland,Non_Water,Non_Wetland,Water
102,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,Water,Non_Wetland,Bareland
107,NULL,Bareland,Water,Non_Wetland,Built-up
108,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,Bareland,Water,Non_Wetland,Forest
110,NULL,Built-up,NULL,Non_Wetland,NULL
111,NULL,Built-up,NULL,Non_Wetland,Grassland
112,NULL,Built-up,NULL,Non_Wetland,Wetland
113,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
114,NULL,Built-up,NULL,Non_Wetland,Bareland
115,NULL,Built-up,NULL,Non_Wetland,Built-up
116,NULL,Built-up,NULL,Non_Wetland,Water
117,NULL,Built-up,NULL,Non_Wetland,Forest
118,NULL,Built-up,Non_Water,Non_Wetland,Grassland
119,NULL,Built-up,Non_Water,Non_Wetland,Wetland
120,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
121,NULL,Built-up,Non_Water,Non_Wetland,Bareland
122,NULL,Built-up,Non_Water,Non_Wetland,Built-up
123,NULL,Built-up,Non_Water,Non_Wetland,Water
124,NULL,Built-up,Non_Water,Non_Wetland,Forest
125,NULL,Built-up,Water,Non_Wetland,Grassland
126,NULL,Built-up,Water,Non_Wetland,Wetland
127,NULL,Built-up,Water,Non_Wetland,Bareland
128,NULL,Built-up,Water,Non_Wetland,Built-up
129,NULL,Built-up,Water,Non_Wetland,Water
130,NULL,Built-up,Water,Non_Wetland,Forest
131,NULL,Water,NULL,Water,NULL
132,NULL,Water,NULL,Water,Grassland
133,NULL,Water,NULL,Water,Wetland
134,NULL,Water,NULL,Water,Lichens_and_Mosses
135,NULL,Water,NULL,Water,Bareland
136,NULL,Water,NULL,Water,Water
137,NULL,Water,NULL,Water,Forest
138,NULL,Water,Non_Water,Water,Grassland
139,NULL,Water,Non_Water,Water,Wetland
140,NULL,Water,Non_Water,Water,Lichens_and_Mosses
141,NULL,Water,Non_Water,Water,Bareland
142,NULL,Water,Non_Water,Water,Built-up
143,NULL,Water,Non_Water,Water,Water
144,NULL,Water,Non_Water,Water,Forest
145,NULL,Water,Water,Water,NULL
146,NULL,Water,Water,Water,Grassland
147,NULL,Water,Water,Water,Wetland
148,NULL,Water,Water,Water,Lichens_and_Mosses
149,NULL,Water,Water,Water,Bareland
150,NULL,Water,Water,Water,Built-up
151,NULL,Water,Water,Water,Water
152,NULL,Water,Water,Water,Forest
153,NULL,Forest,NULL,Non_Wetland,NULL
154,NULL,Forest,NULL,Non_Wetland,Grassland
155,NULL,Forest,NULL,Non_Wetland,Wetland
156,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
157,NULL,Forest,NULL,Non_Wetland,Bareland
158,NULL,Forest,NULL,Non_Wetland,Built-up
159,NULL,Forest,NULL,Non_Wetland,Water
160,NULL,Forest,NULL,Non_Wetland,Forest
161,NULL,Forest,Non_Water,Non_Wetland,NULL
162,NULL,Forest,Non_Water,Non_Wetland,Grassland
163,NULL,Forest,Non_Water,Non_Wetland,Wetland
164,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
165,NULL,Forest,Non_Water,Non_Wetland,Bareland
166,NULL,Forest,Non_Water,Non_Wetland,Built-up
167,NULL,Forest,Non_Water,Non_Wetland,Water
168,NULL,Forest,Non_Water,Non_Wetland,Forest
169,NULL,Forest,Water,Non_Wetland,NULL
170,NULL,Forest,Water,Non_Wetland,Grassland
171,NULL,Forest,Water,Non_Wetland,Cropland
172,NULL,Forest,Water,Non_Wetland,Wetland
173,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
174,NULL,Forest,Water,Non_Wetland,Bareland
175,NULL,Forest,Water,Non_Wetland,Water
176,NULL,Forest,Water,Non_Wetland,Forest
177,Cropland,NULL,NULL,Non_Wetland,NULL
178,Cropland,NULL,NULL,Non_Wetland,Grassland
179,Cropland,NULL,NULL,Non_Wetland,Wetland
180,Cropland,NULL,NULL,Non_Wetland,Forest
181,Cropland,NULL,Water,Non_Wetland,Wetland
182,Cropland,NULL,Water,Non_Wetland,Forest
183,Cropland,Shrubland,NULL,Non_Wetland,NULL
184,Cropland,Shrubland,NULL,Non_Wetland,Grassland
185,Cropland,Shrubland,NULL,Non_Wetland,Wetland
186,Cropland,Shrubland,NULL,Non_Wetland,Bareland
187,Cropland,Shrubland,NULL,Non_Wetland,Built-up
188,Cropland,Shrubland,NULL,Non_Wetland,Forest
189,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
190,Cropland,Shrubland,Water,Non_Wetland,Wetland
191,Cropland,Shrubland,Water,Non_Wetland,Forest
192,Cropland,Grassland,NULL,Non_Wetland,NULL
193,Cropland,Grassland,NULL,Non_Wetland,Grassland
194,Cropland,Grassland,NULL,Non_Wetland,Wetland
195,Cropland,Grassland,NULL,Non_Wetland,Bareland
196,Cropland,Grassland,NULL,Non_Wetland,Built-up
197,Cropland,Grassland,NULL,Non_Wetland,Water
198,Cropland,Grassland,NULL,Non_Wetland,Forest
199,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
200,Cropland,Grassland,Water,Non_Wetland,Wetland
201,Cropland,Wetland,NULL,Wetland,NULL
202,Cropland,Wetland,NULL,Wetland,Grassland
203,Cropland,Wetland,NULL,Wetland,Wetland
204,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
205,Cropland,Wetland,NULL,Wetland,Bareland
206,Cropland,Wetland,NULL,Wetland,Built-up
207,Cropland,Wetland,NULL,Wetland,Water
208,Cropland,Wetland,NULL,Wetland,Forest
209,Cropland,Wetland,Non_Water,Wetland,Grassland
210,Cropland,Wetland,Non_Water,Wetland,Wetland
211,Cropland,Wetland,Non_Water,Wetland,Forest
212,Cropland,Wetland,Water,Wetland,Grassland
213,Cropland,Wetland,Water,Wetland,Wetland
214,Cropland,Wetland,Water,Wetland,Forest
215,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
216,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
217,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
218,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Forest
219,Cropland,Bareland,NULL,Non_Wetland,NULL
220,Cropland,Bareland,NULL,Non_Wetland,Grassland
221,Cropland,Bareland,NULL,Non_Wetland,Wetland
222,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
223,Cropland,Bareland,NULL,Non_Wetland,Bareland
224,Cropland,Bareland,NULL,Non_Wetland,Built-up
225,Cropland,Bareland,NULL,Non_Wetland,Water
226,Cropland,Bareland,NULL,Non_Wetland,Forest
227,Cropland,Bareland,Non_Water,Non_Wetland,NULL
228,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
229,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
230,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
231,Cropland,Bareland,Non_Water,Non_Wetland,Forest
232,Cropland,Bareland,Water,Non_Wetland,Grassland
233,Cropland,Bareland,Water,Non_Wetland,Wetland
234,Cropland,Bareland,Water,Non_Wetland,Bareland
235,Cropland,Bareland,Water,Non_Wetland,Water
236,Cropland,Bareland,Water,Non_Wetland,Forest
237,Cropland,Built-up,NULL,Non_Wetland,Grassland
238,Cropland,Built-up,NULL,Non_Wetland,Wetland
239,Cropland,Built-up,NULL,Non_Wetland,Bareland
240,Cropland,Built-up,NULL,Non_Wetland,Built-up
241,Cropland,Built-up,NULL,Non_Wetland,Forest
242,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
243,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
244,Cropland,Built-up,Non_Water,Non_Wetland,Forest
245,Cropland,Water,NULL,Water,Grassland
246,Cropland,Water,NULL,Water,Wetland
247,Cropland,Water,NULL,Water,Water
248,Cropland,Water,NULL,Water,Forest
249,Cropland,Water,Non_Water,Water,Wetland
250,Cropland,Water,Water,Water,Wetland
251,Cropland,Water,Water,Water,Water
252,Cropland,Water,Water,Water,Forest
253,Cropland,Forest,NULL,Non_Wetland,NULL
254,Cropland,Forest,NULL,Non_Wetland,Grassland
255,Cropland,Forest,NULL,Non_Wetland,Wetland
256,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
257,Cropland,Forest,NULL,Non_Wetland,Bareland
258,Cropland,Forest,NULL,Non_Wetland,Built-up
259,Cropland,Forest,NULL,Non_Wetland,Water
260,Cropland,Forest,NULL,Non_Wetland,Forest
261,Cropland,Forest,Non_Water,Non_Wetland,Grassland
262,Cropland,Forest,Non_Water,Non_Wetland,Wetland
263,Cropland,Forest,Non_Water,Non_Wetland,Forest
264,Cropland,Forest,Water,Non_Wetland,Wetland
