Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUM_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUM_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUM_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUM_M_R,SIBERIA_2024_WorldCover_2021_42VUM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Cropland
11,NULL,NULL,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Cropland
16,NULL,NULL,Water,Non_Wetland,Wetland
17,NULL,NULL,Water,Non_Wetland,Water
18,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,Shrubland,NULL,Non_Wetland,Cropland
22,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,NULL,Non_Wetland,Bareland
25,NULL,Shrubland,NULL,Non_Wetland,Built-up
26,NULL,Shrubland,NULL,Non_Wetland,Water
27,NULL,Shrubland,NULL,Non_Wetland,Forest
28,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
30,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Non_Water,Non_Wetland,Water
33,NULL,Shrubland,Non_Water,Non_Wetland,Forest
34,NULL,Shrubland,Water,Non_Wetland,Grassland
35,NULL,Shrubland,Water,Non_Wetland,Cropland
36,NULL,Shrubland,Water,Non_Wetland,Wetland
37,NULL,Shrubland,Water,Non_Wetland,Water
38,NULL,Shrubland,Water,Non_Wetland,Forest
39,NULL,Grassland,NULL,Non_Wetland,NULL
40,NULL,Grassland,NULL,Non_Wetland,Grassland
41,NULL,Grassland,NULL,Non_Wetland,Wetland
42,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,Grassland,NULL,Non_Wetland,Bareland
44,NULL,Grassland,NULL,Non_Wetland,Built-up
45,NULL,Grassland,NULL,Non_Wetland,Forest
46,NULL,Grassland,Non_Water,Non_Wetland,Grassland
47,NULL,Grassland,Non_Water,Non_Wetland,Cropland
48,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,Grassland,Non_Water,Non_Wetland,Forest
50,NULL,Grassland,Water,Non_Wetland,Wetland
51,NULL,Grassland,Water,Non_Wetland,Water
52,NULL,Cropland,NULL,Non_Wetland,NULL
53,NULL,Cropland,NULL,Non_Wetland,Grassland
54,NULL,Cropland,NULL,Non_Wetland,Cropland
55,NULL,Cropland,NULL,Non_Wetland,Wetland
56,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,Cropland,NULL,Non_Wetland,Bareland
58,NULL,Cropland,NULL,Non_Wetland,Built-up
59,NULL,Cropland,NULL,Non_Wetland,Water
60,NULL,Cropland,NULL,Non_Wetland,Forest
61,NULL,Cropland,Non_Water,Non_Wetland,Grassland
62,NULL,Cropland,Non_Water,Non_Wetland,Cropland
63,NULL,Cropland,Non_Water,Non_Wetland,Wetland
64,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
65,NULL,Cropland,Non_Water,Non_Wetland,Bareland
66,NULL,Cropland,Non_Water,Non_Wetland,Water
67,NULL,Cropland,Non_Water,Non_Wetland,Forest
68,NULL,Cropland,Water,Non_Wetland,Grassland
69,NULL,Cropland,Water,Non_Wetland,Cropland
70,NULL,Cropland,Water,Non_Wetland,Wetland
71,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
72,NULL,Cropland,Water,Non_Wetland,Built-up
73,NULL,Cropland,Water,Non_Wetland,Water
74,NULL,Cropland,Water,Non_Wetland,Forest
75,NULL,Wetland,NULL,Wetland,NULL
76,NULL,Wetland,NULL,Wetland,Grassland
77,NULL,Wetland,NULL,Wetland,Cropland
78,NULL,Wetland,NULL,Wetland,Wetland
79,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
80,NULL,Wetland,NULL,Wetland,Bareland
81,NULL,Wetland,NULL,Wetland,Built-up
82,NULL,Wetland,NULL,Wetland,Water
83,NULL,Wetland,NULL,Wetland,Forest
84,NULL,Wetland,Non_Water,Wetland,NULL
85,NULL,Wetland,Non_Water,Wetland,Grassland
86,NULL,Wetland,Non_Water,Wetland,Cropland
87,NULL,Wetland,Non_Water,Wetland,Wetland
88,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
89,NULL,Wetland,Non_Water,Wetland,Water
90,NULL,Wetland,Non_Water,Wetland,Forest
91,NULL,Wetland,Water,Wetland,NULL
92,NULL,Wetland,Water,Wetland,Grassland
93,NULL,Wetland,Water,Wetland,Cropland
94,NULL,Wetland,Water,Wetland,Wetland
95,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
96,NULL,Wetland,Water,Wetland,Bareland
97,NULL,Wetland,Water,Wetland,Built-up
98,NULL,Wetland,Water,Wetland,Water
99,NULL,Wetland,Water,Wetland,Forest
100,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
101,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
102,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
103,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
104,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
106,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
107,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
108,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
109,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
110,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
111,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
112,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
113,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
114,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
115,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
116,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
117,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
118,NULL,Bareland,NULL,Non_Wetland,NULL
119,NULL,Bareland,NULL,Non_Wetland,Grassland
120,NULL,Bareland,NULL,Non_Wetland,Cropland
121,NULL,Bareland,NULL,Non_Wetland,Wetland
122,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
123,NULL,Bareland,NULL,Non_Wetland,Bareland
124,NULL,Bareland,NULL,Non_Wetland,Built-up
125,NULL,Bareland,NULL,Non_Wetland,Water
126,NULL,Bareland,NULL,Non_Wetland,Forest
127,NULL,Bareland,Non_Water,Non_Wetland,NULL
128,NULL,Bareland,Non_Water,Non_Wetland,Grassland
129,NULL,Bareland,Non_Water,Non_Wetland,Cropland
130,NULL,Bareland,Non_Water,Non_Wetland,Wetland
131,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
132,NULL,Bareland,Non_Water,Non_Wetland,Bareland
133,NULL,Bareland,Non_Water,Non_Wetland,Built-up
134,NULL,Bareland,Non_Water,Non_Wetland,Water
135,NULL,Bareland,Non_Water,Non_Wetland,Forest
136,NULL,Bareland,Water,Non_Wetland,Grassland
137,NULL,Bareland,Water,Non_Wetland,Cropland
138,NULL,Bareland,Water,Non_Wetland,Wetland
139,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
140,NULL,Bareland,Water,Non_Wetland,Bareland
141,NULL,Bareland,Water,Non_Wetland,Water
142,NULL,Bareland,Water,Non_Wetland,Forest
143,NULL,Built-up,NULL,Non_Wetland,NULL
144,NULL,Built-up,NULL,Non_Wetland,Grassland
145,NULL,Built-up,NULL,Non_Wetland,Cropland
146,NULL,Built-up,NULL,Non_Wetland,Wetland
147,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Built-up,NULL,Non_Wetland,Bareland
149,NULL,Built-up,NULL,Non_Wetland,Built-up
150,NULL,Built-up,NULL,Non_Wetland,Forest
151,NULL,Built-up,Non_Water,Non_Wetland,Grassland
152,NULL,Built-up,Non_Water,Non_Wetland,Cropland
153,NULL,Built-up,Non_Water,Non_Wetland,Wetland
154,NULL,Built-up,Non_Water,Non_Wetland,Bareland
155,NULL,Built-up,Non_Water,Non_Wetland,Water
156,NULL,Built-up,Non_Water,Non_Wetland,Forest
157,NULL,Built-up,Water,Non_Wetland,Grassland
158,NULL,Built-up,Water,Non_Wetland,Cropland
159,NULL,Built-up,Water,Non_Wetland,Wetland
160,NULL,Built-up,Water,Non_Wetland,Water
161,NULL,Built-up,Water,Non_Wetland,Forest
162,NULL,Water,NULL,Water,NULL
163,NULL,Water,NULL,Water,Grassland
164,NULL,Water,NULL,Water,Cropland
165,NULL,Water,NULL,Water,Wetland
166,NULL,Water,NULL,Water,Lichens_and_Mosses
167,NULL,Water,NULL,Water,Bareland
168,NULL,Water,NULL,Water,Water
169,NULL,Water,NULL,Water,Forest
170,NULL,Water,Non_Water,Water,Grassland
171,NULL,Water,Non_Water,Water,Cropland
172,NULL,Water,Non_Water,Water,Wetland
173,NULL,Water,Non_Water,Water,Lichens_and_Mosses
174,NULL,Water,Non_Water,Water,Water
175,NULL,Water,Non_Water,Water,Forest
176,NULL,Water,Water,Water,NULL
177,NULL,Water,Water,Water,Grassland
178,NULL,Water,Water,Water,Cropland
179,NULL,Water,Water,Water,Wetland
180,NULL,Water,Water,Water,Lichens_and_Mosses
181,NULL,Water,Water,Water,Water
182,NULL,Water,Water,Water,Forest
183,NULL,Forest,NULL,Non_Wetland,NULL
184,NULL,Forest,NULL,Non_Wetland,Grassland
185,NULL,Forest,NULL,Non_Wetland,Cropland
186,NULL,Forest,NULL,Non_Wetland,Wetland
187,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
188,NULL,Forest,NULL,Non_Wetland,Bareland
189,NULL,Forest,NULL,Non_Wetland,Built-up
190,NULL,Forest,NULL,Non_Wetland,Water
191,NULL,Forest,NULL,Non_Wetland,Forest
192,NULL,Forest,Non_Water,Non_Wetland,NULL
193,NULL,Forest,Non_Water,Non_Wetland,Grassland
194,NULL,Forest,Non_Water,Non_Wetland,Cropland
195,NULL,Forest,Non_Water,Non_Wetland,Wetland
196,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
197,NULL,Forest,Non_Water,Non_Wetland,Water
198,NULL,Forest,Non_Water,Non_Wetland,Forest
199,NULL,Forest,Water,Non_Wetland,NULL
200,NULL,Forest,Water,Non_Wetland,Grassland
201,NULL,Forest,Water,Non_Wetland,Cropland
202,NULL,Forest,Water,Non_Wetland,Wetland
203,NULL,Forest,Water,Non_Wetland,Water
204,NULL,Forest,Water,Non_Wetland,Forest
205,Cropland,NULL,NULL,Non_Wetland,NULL
206,Cropland,NULL,NULL,Non_Wetland,Grassland
207,Cropland,NULL,NULL,Non_Wetland,Cropland
208,Cropland,NULL,NULL,Non_Wetland,Wetland
209,Cropland,NULL,NULL,Non_Wetland,Built-up
210,Cropland,NULL,NULL,Non_Wetland,Forest
211,Cropland,NULL,Non_Water,Non_Wetland,Grassland
212,Cropland,NULL,Non_Water,Non_Wetland,Cropland
213,Cropland,NULL,Non_Water,Non_Wetland,Wetland
214,Cropland,Shrubland,NULL,Non_Wetland,Grassland
215,Cropland,Shrubland,NULL,Non_Wetland,Cropland
216,Cropland,Shrubland,NULL,Non_Wetland,Forest
217,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
218,Cropland,Grassland,NULL,Non_Wetland,Grassland
219,Cropland,Grassland,NULL,Non_Wetland,Built-up
220,Cropland,Grassland,NULL,Non_Wetland,Forest
221,Cropland,Cropland,NULL,Non_Wetland,Grassland
222,Cropland,Cropland,NULL,Non_Wetland,Cropland
223,Cropland,Cropland,NULL,Non_Wetland,Wetland
224,Cropland,Cropland,NULL,Non_Wetland,Bareland
225,Cropland,Cropland,NULL,Non_Wetland,Built-up
226,Cropland,Cropland,NULL,Non_Wetland,Forest
227,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
228,Cropland,Cropland,Water,Non_Wetland,Grassland
229,Cropland,Cropland,Water,Non_Wetland,Cropland
230,Cropland,Cropland,Water,Non_Wetland,Wetland
231,Cropland,Wetland,NULL,Wetland,NULL
232,Cropland,Wetland,NULL,Wetland,Grassland
233,Cropland,Wetland,NULL,Wetland,Cropland
234,Cropland,Wetland,NULL,Wetland,Wetland
235,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
236,Cropland,Wetland,NULL,Wetland,Forest
237,Cropland,Wetland,Non_Water,Wetland,Grassland
238,Cropland,Wetland,Non_Water,Wetland,Wetland
239,Cropland,Wetland,Water,Wetland,Grassland
240,Cropland,Wetland,Water,Wetland,Wetland
241,Cropland,Bareland,NULL,Non_Wetland,NULL
242,Cropland,Bareland,NULL,Non_Wetland,Grassland
243,Cropland,Bareland,NULL,Non_Wetland,Cropland
244,Cropland,Bareland,NULL,Non_Wetland,Wetland
245,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
246,Cropland,Bareland,NULL,Non_Wetland,Built-up
247,Cropland,Bareland,NULL,Non_Wetland,Forest
248,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
249,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
250,Cropland,Built-up,NULL,Non_Wetland,Grassland
251,Cropland,Built-up,NULL,Non_Wetland,Cropland
252,Cropland,Built-up,NULL,Non_Wetland,Wetland
253,Cropland,Built-up,NULL,Non_Wetland,Built-up
254,Cropland,Built-up,NULL,Non_Wetland,Forest
255,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
256,Cropland,Built-up,Non_Water,Non_Wetland,Wetland
257,Cropland,Water,NULL,Water,Grassland
258,Cropland,Water,NULL,Water,Bareland
259,Cropland,Water,Non_Water,Water,Wetland
260,Cropland,Water,Water,Water,Wetland
261,Cropland,Forest,NULL,Non_Wetland,NULL
262,Cropland,Forest,NULL,Non_Wetland,Grassland
263,Cropland,Forest,NULL,Non_Wetland,Cropland
