Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPH_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPH_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPH_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPH_M_R,SIBERIA_2024_WorldCover_2021_41VPH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Cropland
20,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,Shrubland,NULL,Non_Wetland,Water
25,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,Shrubland,Non_Water,Non_Wetland,NULL
27,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
29,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
30,NULL,Shrubland,Non_Water,Non_Wetland,Water
31,NULL,Shrubland,Non_Water,Non_Wetland,Forest
32,NULL,Shrubland,Water,Non_Wetland,Grassland
33,NULL,Shrubland,Water,Non_Wetland,Wetland
34,NULL,Shrubland,Water,Non_Wetland,Water
35,NULL,Shrubland,Water,Non_Wetland,Forest
36,NULL,Grassland,NULL,Non_Wetland,NULL
37,NULL,Grassland,NULL,Non_Wetland,Grassland
38,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,Grassland,NULL,Non_Wetland,Forest
41,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,Cropland,NULL,Non_Wetland,Water
50,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,Cropland,Non_Water,Non_Wetland,Grassland
52,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,Cropland,Non_Water,Non_Wetland,Bareland
54,NULL,Cropland,Non_Water,Non_Wetland,Forest
55,NULL,Cropland,Water,Non_Wetland,Wetland
56,NULL,Cropland,Water,Non_Wetland,Bareland
57,NULL,Cropland,Water,Non_Wetland,Water
58,NULL,Wetland,NULL,Wetland,NULL
59,NULL,Wetland,NULL,Wetland,Grassland
60,NULL,Wetland,NULL,Wetland,Cropland
61,NULL,Wetland,NULL,Wetland,Wetland
62,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
63,NULL,Wetland,NULL,Wetland,Bareland
64,NULL,Wetland,NULL,Wetland,Built-up
65,NULL,Wetland,NULL,Wetland,Water
66,NULL,Wetland,NULL,Wetland,Forest
67,NULL,Wetland,Non_Water,Wetland,NULL
68,NULL,Wetland,Non_Water,Wetland,Grassland
69,NULL,Wetland,Non_Water,Wetland,Cropland
70,NULL,Wetland,Non_Water,Wetland,Wetland
71,NULL,Wetland,Non_Water,Wetland,Water
72,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,Wetland,Water,Wetland,NULL
74,NULL,Wetland,Water,Wetland,Grassland
75,NULL,Wetland,Water,Wetland,Cropland
76,NULL,Wetland,Water,Wetland,Wetland
77,NULL,Wetland,Water,Wetland,Water
78,NULL,Wetland,Water,Wetland,Forest
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
88,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
89,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
93,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
94,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
95,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
96,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
97,NULL,Bareland,NULL,Non_Wetland,NULL
98,NULL,Bareland,NULL,Non_Wetland,Grassland
99,NULL,Bareland,NULL,Non_Wetland,Cropland
100,NULL,Bareland,NULL,Non_Wetland,Wetland
101,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,Bareland,NULL,Non_Wetland,Bareland
103,NULL,Bareland,NULL,Non_Wetland,Built-up
104,NULL,Bareland,NULL,Non_Wetland,Water
105,NULL,Bareland,NULL,Non_Wetland,Forest
106,NULL,Bareland,Non_Water,Non_Wetland,Grassland
107,NULL,Bareland,Non_Water,Non_Wetland,Wetland
108,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
109,NULL,Bareland,Non_Water,Non_Wetland,Bareland
110,NULL,Bareland,Non_Water,Non_Wetland,Built-up
111,NULL,Bareland,Non_Water,Non_Wetland,Water
112,NULL,Bareland,Non_Water,Non_Wetland,Forest
113,NULL,Bareland,Water,Non_Wetland,Grassland
114,NULL,Bareland,Water,Non_Wetland,Wetland
115,NULL,Bareland,Water,Non_Wetland,Bareland
116,NULL,Bareland,Water,Non_Wetland,Built-up
117,NULL,Bareland,Water,Non_Wetland,Water
118,NULL,Bareland,Water,Non_Wetland,Forest
119,NULL,Built-up,NULL,Non_Wetland,NULL
120,NULL,Built-up,NULL,Non_Wetland,Grassland
121,NULL,Built-up,NULL,Non_Wetland,Cropland
122,NULL,Built-up,NULL,Non_Wetland,Wetland
123,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
124,NULL,Built-up,NULL,Non_Wetland,Bareland
125,NULL,Built-up,NULL,Non_Wetland,Built-up
126,NULL,Built-up,NULL,Non_Wetland,Water
127,NULL,Built-up,NULL,Non_Wetland,Forest
128,NULL,Built-up,Non_Water,Non_Wetland,Grassland
129,NULL,Built-up,Non_Water,Non_Wetland,Wetland
130,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
131,NULL,Built-up,Non_Water,Non_Wetland,Bareland
132,NULL,Built-up,Non_Water,Non_Wetland,Built-up
133,NULL,Built-up,Non_Water,Non_Wetland,Water
134,NULL,Built-up,Non_Water,Non_Wetland,Forest
135,NULL,Built-up,Water,Non_Wetland,Grassland
136,NULL,Built-up,Water,Non_Wetland,Wetland
137,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
138,NULL,Built-up,Water,Non_Wetland,Bareland
139,NULL,Built-up,Water,Non_Wetland,Built-up
140,NULL,Built-up,Water,Non_Wetland,Water
141,NULL,Built-up,Water,Non_Wetland,Forest
142,NULL,Water,NULL,Water,NULL
143,NULL,Water,NULL,Water,Grassland
144,NULL,Water,NULL,Water,Wetland
145,NULL,Water,NULL,Water,Bareland
146,NULL,Water,NULL,Water,Water
147,NULL,Water,NULL,Water,Forest
148,NULL,Water,Non_Water,Water,Grassland
149,NULL,Water,Non_Water,Water,Wetland
150,NULL,Water,Non_Water,Water,Lichens_and_Mosses
151,NULL,Water,Non_Water,Water,Water
152,NULL,Water,Non_Water,Water,Forest
153,NULL,Water,Water,Water,NULL
154,NULL,Water,Water,Water,Grassland
155,NULL,Water,Water,Water,Wetland
156,NULL,Water,Water,Water,Water
157,NULL,Water,Water,Water,Forest
158,NULL,Forest,NULL,Non_Wetland,NULL
159,NULL,Forest,NULL,Non_Wetland,Grassland
160,NULL,Forest,NULL,Non_Wetland,Cropland
161,NULL,Forest,NULL,Non_Wetland,Wetland
162,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
163,NULL,Forest,NULL,Non_Wetland,Bareland
164,NULL,Forest,NULL,Non_Wetland,Built-up
165,NULL,Forest,NULL,Non_Wetland,Water
166,NULL,Forest,NULL,Non_Wetland,Forest
167,NULL,Forest,Non_Water,Non_Wetland,NULL
168,NULL,Forest,Non_Water,Non_Wetland,Grassland
169,NULL,Forest,Non_Water,Non_Wetland,Wetland
170,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
171,NULL,Forest,Non_Water,Non_Wetland,Bareland
172,NULL,Forest,Non_Water,Non_Wetland,Water
173,NULL,Forest,Non_Water,Non_Wetland,Forest
174,NULL,Forest,Water,Non_Wetland,NULL
175,NULL,Forest,Water,Non_Wetland,Grassland
176,NULL,Forest,Water,Non_Wetland,Wetland
177,NULL,Forest,Water,Non_Wetland,Water
178,NULL,Forest,Water,Non_Wetland,Forest
179,Cropland,NULL,NULL,Non_Wetland,NULL
180,Cropland,NULL,NULL,Non_Wetland,Grassland
181,Cropland,NULL,NULL,Non_Wetland,Wetland
182,Cropland,NULL,NULL,Non_Wetland,Forest
183,Cropland,Shrubland,NULL,Non_Wetland,NULL
184,Cropland,Shrubland,NULL,Non_Wetland,Grassland
185,Cropland,Shrubland,NULL,Non_Wetland,Wetland
186,Cropland,Shrubland,NULL,Non_Wetland,Built-up
187,Cropland,Shrubland,NULL,Non_Wetland,Forest
188,Cropland,Cropland,NULL,Non_Wetland,NULL
189,Cropland,Cropland,NULL,Non_Wetland,Grassland
190,Cropland,Cropland,NULL,Non_Wetland,Wetland
191,Cropland,Cropland,NULL,Non_Wetland,Bareland
192,Cropland,Cropland,NULL,Non_Wetland,Forest
193,Cropland,Wetland,NULL,Wetland,NULL
194,Cropland,Wetland,NULL,Wetland,Grassland
195,Cropland,Wetland,NULL,Wetland,Wetland
196,Cropland,Wetland,NULL,Wetland,Bareland
197,Cropland,Wetland,NULL,Wetland,Forest
198,Cropland,Wetland,Non_Water,Wetland,Wetland
199,Cropland,Wetland,Water,Wetland,Wetland
200,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
201,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
202,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
203,Cropland,Bareland,NULL,Non_Wetland,NULL
204,Cropland,Bareland,NULL,Non_Wetland,Grassland
205,Cropland,Bareland,NULL,Non_Wetland,Wetland
206,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
207,Cropland,Bareland,NULL,Non_Wetland,Bareland
208,Cropland,Bareland,NULL,Non_Wetland,Built-up
209,Cropland,Bareland,NULL,Non_Wetland,Water
210,Cropland,Bareland,NULL,Non_Wetland,Forest
211,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
212,Cropland,Bareland,Water,Non_Wetland,NULL
213,Cropland,Built-up,NULL,Non_Wetland,NULL
214,Cropland,Built-up,NULL,Non_Wetland,Grassland
215,Cropland,Built-up,NULL,Non_Wetland,Wetland
216,Cropland,Built-up,NULL,Non_Wetland,Bareland
217,Cropland,Built-up,NULL,Non_Wetland,Built-up
218,Cropland,Built-up,NULL,Non_Wetland,Forest
219,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
220,Cropland,Water,NULL,Water,Wetland
221,Cropland,Forest,NULL,Non_Wetland,NULL
222,Cropland,Forest,NULL,Non_Wetland,Grassland
223,Cropland,Forest,NULL,Non_Wetland,Wetland
224,Cropland,Forest,NULL,Non_Wetland,Bareland
225,Cropland,Forest,NULL,Non_Wetland,Built-up
226,Cropland,Forest,NULL,Non_Wetland,Forest
227,Cropland,Forest,Non_Water,Non_Wetland,Wetland
228,Cropland,Forest,Non_Water,Non_Wetland,Forest
229,Wetland,NULL,NULL,Non_Wetland,NULL
230,Wetland,NULL,NULL,Non_Wetland,Grassland
231,Wetland,NULL,NULL,Non_Wetland,Wetland
232,Wetland,NULL,NULL,Non_Wetland,Water
233,Wetland,NULL,NULL,Non_Wetland,Forest
234,Wetland,NULL,Non_Water,Non_Wetland,Grassland
235,Wetland,NULL,Non_Water,Non_Wetland,Wetland
236,Wetland,NULL,Non_Water,Non_Wetland,Water
237,Wetland,NULL,Non_Water,Non_Wetland,Forest
238,Wetland,NULL,Water,Non_Wetland,Grassland
239,Wetland,NULL,Water,Non_Wetland,Wetland
240,Wetland,NULL,Water,Non_Wetland,Water
241,Wetland,NULL,Water,Non_Wetland,Forest
242,Wetland,Shrubland,NULL,Non_Wetland,NULL
243,Wetland,Shrubland,NULL,Non_Wetland,Grassland
244,Wetland,Shrubland,NULL,Non_Wetland,Wetland
245,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
246,Wetland,Shrubland,NULL,Non_Wetland,Bareland
247,Wetland,Shrubland,NULL,Non_Wetland,Built-up
248,Wetland,Shrubland,NULL,Non_Wetland,Water
249,Wetland,Shrubland,NULL,Non_Wetland,Forest
250,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
251,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
252,Wetland,Shrubland,Non_Water,Non_Wetland,Water
253,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
254,Wetland,Shrubland,Water,Non_Wetland,Grassland
255,Wetland,Shrubland,Water,Non_Wetland,Wetland
256,Wetland,Shrubland,Water,Non_Wetland,Water
257,Wetland,Shrubland,Water,Non_Wetland,Forest
258,Wetland,Grassland,NULL,Non_Wetland,NULL
259,Wetland,Grassland,NULL,Non_Wetland,Grassland
260,Wetland,Grassland,NULL,Non_Wetland,Wetland
261,Wetland,Grassland,NULL,Non_Wetland,Forest
