Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLP_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLP_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLP_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLP_M_R,SIBERIA_2024_WorldCover_2021_44VLP_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,Grassland,Water,Non_Wetland,Wetland
38,NULL,Grassland,Water,Non_Wetland,Forest
39,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,Wetland,NULL,Wetland,NULL
41,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,Wetland,NULL,Wetland,Wetland
43,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
44,NULL,Wetland,NULL,Wetland,Bareland
45,NULL,Wetland,NULL,Wetland,Built-up
46,NULL,Wetland,NULL,Wetland,Water
47,NULL,Wetland,NULL,Wetland,Forest
48,NULL,Wetland,Non_Water,Wetland,NULL
49,NULL,Wetland,Non_Water,Wetland,Grassland
50,NULL,Wetland,Non_Water,Wetland,Wetland
51,NULL,Wetland,Non_Water,Wetland,Water
52,NULL,Wetland,Non_Water,Wetland,Forest
53,NULL,Wetland,Water,Wetland,NULL
54,NULL,Wetland,Water,Wetland,Grassland
55,NULL,Wetland,Water,Wetland,Wetland
56,NULL,Wetland,Water,Wetland,Bareland
57,NULL,Wetland,Water,Wetland,Water
58,NULL,Wetland,Water,Wetland,Forest
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
64,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
65,NULL,Bareland,NULL,Non_Wetland,NULL
66,NULL,Bareland,NULL,Non_Wetland,Grassland
67,NULL,Bareland,NULL,Non_Wetland,Wetland
68,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Bareland,NULL,Non_Wetland,Bareland
70,NULL,Bareland,NULL,Non_Wetland,Built-up
71,NULL,Bareland,NULL,Non_Wetland,Water
72,NULL,Bareland,NULL,Non_Wetland,Forest
73,NULL,Bareland,Non_Water,Non_Wetland,Grassland
74,NULL,Bareland,Non_Water,Non_Wetland,Wetland
75,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Bareland,Non_Water,Non_Wetland,Bareland
77,NULL,Bareland,Non_Water,Non_Wetland,Built-up
78,NULL,Bareland,Non_Water,Non_Wetland,Water
79,NULL,Bareland,Non_Water,Non_Wetland,Forest
80,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,Bareland,Water,Non_Wetland,Wetland
82,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Bareland,Water,Non_Wetland,Bareland
84,NULL,Bareland,Water,Non_Wetland,Built-up
85,NULL,Bareland,Water,Non_Wetland,Water
86,NULL,Bareland,Water,Non_Wetland,Forest
87,NULL,Built-up,NULL,Non_Wetland,Grassland
88,NULL,Built-up,NULL,Non_Wetland,Wetland
89,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Built-up,NULL,Non_Wetland,Bareland
91,NULL,Built-up,NULL,Non_Wetland,Built-up
92,NULL,Built-up,NULL,Non_Wetland,Water
93,NULL,Built-up,NULL,Non_Wetland,Forest
94,NULL,Built-up,Non_Water,Non_Wetland,Grassland
95,NULL,Built-up,Non_Water,Non_Wetland,Wetland
96,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Built-up,Non_Water,Non_Wetland,Bareland
98,NULL,Built-up,Non_Water,Non_Wetland,Built-up
99,NULL,Built-up,Non_Water,Non_Wetland,Forest
100,NULL,Built-up,Water,Non_Wetland,Grassland
101,NULL,Built-up,Water,Non_Wetland,Wetland
102,NULL,Built-up,Water,Non_Wetland,Bareland
103,NULL,Built-up,Water,Non_Wetland,Built-up
104,NULL,Built-up,Water,Non_Wetland,Water
105,NULL,Built-up,Water,Non_Wetland,Forest
106,NULL,Water,NULL,Water,NULL
107,NULL,Water,NULL,Water,Grassland
108,NULL,Water,NULL,Water,Wetland
109,NULL,Water,NULL,Water,Bareland
110,NULL,Water,NULL,Water,Water
111,NULL,Water,NULL,Water,Forest
112,NULL,Water,Non_Water,Water,Grassland
113,NULL,Water,Non_Water,Water,Wetland
114,NULL,Water,Water,Water,NULL
115,NULL,Water,Water,Water,Grassland
116,NULL,Water,Water,Water,Wetland
117,NULL,Water,Water,Water,Bareland
118,NULL,Water,Water,Water,Water
119,NULL,Water,Water,Water,Forest
120,NULL,Forest,NULL,Non_Wetland,NULL
121,NULL,Forest,NULL,Non_Wetland,Grassland
122,NULL,Forest,NULL,Non_Wetland,Wetland
123,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
124,NULL,Forest,NULL,Non_Wetland,Bareland
125,NULL,Forest,NULL,Non_Wetland,Built-up
126,NULL,Forest,NULL,Non_Wetland,Water
127,NULL,Forest,NULL,Non_Wetland,Forest
128,NULL,Forest,Non_Water,Non_Wetland,NULL
129,NULL,Forest,Non_Water,Non_Wetland,Grassland
130,NULL,Forest,Non_Water,Non_Wetland,Wetland
131,NULL,Forest,Non_Water,Non_Wetland,Bareland
132,NULL,Forest,Non_Water,Non_Wetland,Forest
133,NULL,Forest,Water,Non_Wetland,NULL
134,NULL,Forest,Water,Non_Wetland,Grassland
135,NULL,Forest,Water,Non_Wetland,Wetland
136,NULL,Forest,Water,Non_Wetland,Bareland
137,NULL,Forest,Water,Non_Wetland,Water
138,NULL,Forest,Water,Non_Wetland,Forest
139,Cropland,NULL,NULL,Non_Wetland,NULL
140,Cropland,NULL,NULL,Non_Wetland,Grassland
141,Cropland,NULL,NULL,Non_Wetland,Wetland
142,Cropland,NULL,NULL,Non_Wetland,Forest
143,Cropland,Shrubland,NULL,Non_Wetland,NULL
144,Cropland,Shrubland,NULL,Non_Wetland,Grassland
145,Cropland,Shrubland,NULL,Non_Wetland,Wetland
146,Cropland,Shrubland,NULL,Non_Wetland,Bareland
147,Cropland,Shrubland,NULL,Non_Wetland,Built-up
148,Cropland,Shrubland,NULL,Non_Wetland,Forest
149,Cropland,Grassland,NULL,Non_Wetland,Grassland
150,Cropland,Grassland,NULL,Non_Wetland,Wetland
151,Cropland,Grassland,NULL,Non_Wetland,Bareland
152,Cropland,Grassland,NULL,Non_Wetland,Forest
153,Cropland,Grassland,Non_Water,Non_Wetland,Forest
154,Cropland,Grassland,Water,Non_Wetland,Forest
155,Cropland,Wetland,NULL,Wetland,NULL
156,Cropland,Wetland,NULL,Wetland,Grassland
157,Cropland,Wetland,NULL,Wetland,Wetland
158,Cropland,Wetland,NULL,Wetland,Built-up
159,Cropland,Wetland,NULL,Wetland,Forest
160,Cropland,Wetland,Non_Water,Wetland,Grassland
161,Cropland,Wetland,Non_Water,Wetland,Wetland
162,Cropland,Wetland,Non_Water,Wetland,Forest
163,Cropland,Wetland,Water,Wetland,Grassland
164,Cropland,Wetland,Water,Wetland,Wetland
165,Cropland,Wetland,Water,Wetland,Forest
166,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
167,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
168,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
169,Cropland,Bareland,NULL,Non_Wetland,NULL
170,Cropland,Bareland,NULL,Non_Wetland,Grassland
171,Cropland,Bareland,NULL,Non_Wetland,Wetland
172,Cropland,Bareland,NULL,Non_Wetland,Bareland
173,Cropland,Bareland,NULL,Non_Wetland,Built-up
174,Cropland,Bareland,NULL,Non_Wetland,Water
175,Cropland,Bareland,NULL,Non_Wetland,Forest
176,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
177,Cropland,Bareland,Non_Water,Non_Wetland,Forest
178,Cropland,Bareland,Water,Non_Wetland,Wetland
179,Cropland,Bareland,Water,Non_Wetland,Forest
180,Cropland,Built-up,NULL,Non_Wetland,NULL
181,Cropland,Built-up,NULL,Non_Wetland,Grassland
182,Cropland,Built-up,NULL,Non_Wetland,Wetland
183,Cropland,Built-up,NULL,Non_Wetland,Bareland
184,Cropland,Built-up,NULL,Non_Wetland,Built-up
185,Cropland,Built-up,NULL,Non_Wetland,Forest
186,Cropland,Water,NULL,Water,Grassland
187,Cropland,Water,NULL,Water,Wetland
188,Cropland,Water,NULL,Water,Water
189,Cropland,Water,NULL,Water,Forest
190,Cropland,Water,Water,Water,Wetland
191,Cropland,Forest,NULL,Non_Wetland,NULL
192,Cropland,Forest,NULL,Non_Wetland,Grassland
193,Cropland,Forest,NULL,Non_Wetland,Wetland
194,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
195,Cropland,Forest,NULL,Non_Wetland,Bareland
196,Cropland,Forest,NULL,Non_Wetland,Built-up
197,Cropland,Forest,NULL,Non_Wetland,Water
198,Cropland,Forest,NULL,Non_Wetland,Forest
199,Cropland,Forest,Non_Water,Non_Wetland,Grassland
200,Cropland,Forest,Non_Water,Non_Wetland,Wetland
201,Cropland,Forest,Non_Water,Non_Wetland,Forest
202,Cropland,Forest,Water,Non_Wetland,Wetland
203,Cropland,Forest,Water,Non_Wetland,Forest
204,Wetland,NULL,NULL,Non_Wetland,NULL
205,Wetland,NULL,NULL,Non_Wetland,Grassland
206,Wetland,NULL,NULL,Non_Wetland,Wetland
207,Wetland,NULL,NULL,Non_Wetland,Water
208,Wetland,NULL,NULL,Non_Wetland,Forest
209,Wetland,NULL,Non_Water,Non_Wetland,Grassland
210,Wetland,NULL,Non_Water,Non_Wetland,Wetland
211,Wetland,NULL,Non_Water,Non_Wetland,Water
212,Wetland,NULL,Non_Water,Non_Wetland,Forest
213,Wetland,NULL,Water,Non_Wetland,Grassland
214,Wetland,NULL,Water,Non_Wetland,Wetland
215,Wetland,NULL,Water,Non_Wetland,Water
216,Wetland,NULL,Water,Non_Wetland,Forest
217,Wetland,Shrubland,NULL,Non_Wetland,NULL
218,Wetland,Shrubland,NULL,Non_Wetland,Grassland
219,Wetland,Shrubland,NULL,Non_Wetland,Wetland
220,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
221,Wetland,Shrubland,NULL,Non_Wetland,Bareland
222,Wetland,Shrubland,NULL,Non_Wetland,Built-up
223,Wetland,Shrubland,NULL,Non_Wetland,Water
224,Wetland,Shrubland,NULL,Non_Wetland,Forest
225,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
226,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
227,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
228,Wetland,Shrubland,Non_Water,Non_Wetland,Water
229,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
230,Wetland,Shrubland,Water,Non_Wetland,NULL
231,Wetland,Shrubland,Water,Non_Wetland,Grassland
232,Wetland,Shrubland,Water,Non_Wetland,Wetland
233,Wetland,Shrubland,Water,Non_Wetland,Water
234,Wetland,Shrubland,Water,Non_Wetland,Forest
235,Wetland,Grassland,NULL,Non_Wetland,NULL
236,Wetland,Grassland,NULL,Non_Wetland,Grassland
237,Wetland,Grassland,NULL,Non_Wetland,Wetland
238,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
239,Wetland,Grassland,NULL,Non_Wetland,Bareland
240,Wetland,Grassland,NULL,Non_Wetland,Built-up
241,Wetland,Grassland,NULL,Non_Wetland,Forest
242,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
243,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
244,Wetland,Grassland,Non_Water,Non_Wetland,Forest
245,Wetland,Grassland,Water,Non_Wetland,Grassland
246,Wetland,Grassland,Water,Non_Wetland,Wetland
247,Wetland,Grassland,Water,Non_Wetland,Forest
248,Wetland,Cropland,NULL,Non_Wetland,Forest
249,Wetland,Wetland,NULL,Wetland,NULL
250,Wetland,Wetland,NULL,Wetland,Grassland
251,Wetland,Wetland,NULL,Wetland,Wetland
252,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
253,Wetland,Wetland,NULL,Wetland,Bareland
254,Wetland,Wetland,NULL,Wetland,Built-up
255,Wetland,Wetland,NULL,Wetland,Water
256,Wetland,Wetland,NULL,Wetland,Forest
257,Wetland,Wetland,Non_Water,Wetland,NULL
258,Wetland,Wetland,Non_Water,Wetland,Grassland
259,Wetland,Wetland,Non_Water,Wetland,Wetland
260,Wetland,Wetland,Non_Water,Wetland,Water
261,Wetland,Wetland,Non_Water,Wetland,Forest
262,Wetland,Wetland,Water,Wetland,NULL
263,Wetland,Wetland,Water,Wetland,Grassland
264,Wetland,Wetland,Water,Wetland,Wetland
265,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
266,Wetland,Wetland,Water,Wetland,Bareland
267,Wetland,Wetland,Water,Wetland,Built-up
