Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWQ_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,SIBERIA_2024_WorldCover_2021_45WWQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,Non_Water,Non_Wetland,Water
12,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,Water,Non_Wetland,Water
18,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Shrubland,NULL,Non_Wetland,Water
25,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
26,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
29,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
31,NULL,Shrubland,Non_Water,Non_Wetland,Water
32,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,Shrubland,Water,Non_Wetland,Grassland
34,NULL,Shrubland,Water,Non_Wetland,Wetland
35,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
36,NULL,Shrubland,Water,Non_Wetland,Bareland
37,NULL,Shrubland,Water,Non_Wetland,Water
38,NULL,Shrubland,Water,Non_Wetland,Forest
39,NULL,Grassland,NULL,Non_Wetland,NULL
40,NULL,Grassland,NULL,Non_Wetland,Grassland
41,NULL,Grassland,NULL,Non_Wetland,Wetland
42,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,Grassland,NULL,Non_Wetland,Bareland
44,NULL,Grassland,NULL,Non_Wetland,Built-up
45,NULL,Grassland,NULL,Non_Wetland,Water
46,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,Grassland,Non_Water,Non_Wetland,NULL
48,NULL,Grassland,Non_Water,Non_Wetland,Grassland
49,NULL,Grassland,Non_Water,Non_Wetland,Wetland
50,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
51,NULL,Grassland,Non_Water,Non_Wetland,Bareland
52,NULL,Grassland,Non_Water,Non_Wetland,Forest
53,NULL,Grassland,Water,Non_Wetland,Grassland
54,NULL,Grassland,Water,Non_Wetland,Wetland
55,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
56,NULL,Grassland,Water,Non_Wetland,Bareland
57,NULL,Grassland,Water,Non_Wetland,Water
58,NULL,Grassland,Water,Non_Wetland,Forest
59,NULL,Wetland,NULL,Wetland,Grassland
60,NULL,Wetland,NULL,Wetland,Wetland
61,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
62,NULL,Wetland,NULL,Wetland,Bareland
63,NULL,Wetland,NULL,Wetland,Water
64,NULL,Wetland,NULL,Wetland,Forest
65,NULL,Wetland,Non_Water,Wetland,Grassland
66,NULL,Wetland,Non_Water,Wetland,Wetland
67,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
68,NULL,Wetland,Non_Water,Wetland,Water
69,NULL,Wetland,Non_Water,Wetland,Forest
70,NULL,Wetland,Water,Wetland,Grassland
71,NULL,Wetland,Water,Wetland,Wetland
72,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
73,NULL,Wetland,Water,Wetland,Bareland
74,NULL,Wetland,Water,Wetland,Water
75,NULL,Wetland,Water,Wetland,Forest
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
88,NULL,Bareland,NULL,Non_Wetland,NULL
89,NULL,Bareland,NULL,Non_Wetland,Grassland
90,NULL,Bareland,NULL,Non_Wetland,Wetland
91,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,NULL,Non_Wetland,Bareland
93,NULL,Bareland,NULL,Non_Wetland,Built-up
94,NULL,Bareland,NULL,Non_Wetland,Water
95,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
96,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,Bareland,Non_Water,Non_Wetland,Grassland
98,NULL,Bareland,Non_Water,Non_Wetland,Wetland
99,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
100,NULL,Bareland,Non_Water,Non_Wetland,Bareland
101,NULL,Bareland,Non_Water,Non_Wetland,Water
102,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,Water,Non_Wetland,Bareland
107,NULL,Bareland,Water,Non_Wetland,Water
108,NULL,Bareland,Water,Non_Wetland,Forest
109,NULL,Built-up,NULL,Non_Wetland,NULL
110,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,Non_Wetland,Wetland
112,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Built-up,NULL,Non_Wetland,Water
116,NULL,Built-up,NULL,Non_Wetland,Forest
117,NULL,Built-up,Non_Water,Non_Wetland,Grassland
118,NULL,Built-up,Non_Water,Non_Wetland,Wetland
119,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Built-up,Non_Water,Non_Wetland,Bareland
121,NULL,Built-up,Non_Water,Non_Wetland,Water
122,NULL,Built-up,Non_Water,Non_Wetland,Forest
123,NULL,Built-up,Water,Non_Wetland,Grassland
124,NULL,Built-up,Water,Non_Wetland,Wetland
125,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
126,NULL,Built-up,Water,Non_Wetland,Bareland
127,NULL,Built-up,Water,Non_Wetland,Water
128,NULL,Built-up,Water,Non_Wetland,Forest
129,NULL,Water,NULL,Water,Grassland
130,NULL,Water,NULL,Water,Wetland
131,NULL,Water,NULL,Water,Lichens_and_Mosses
132,NULL,Water,NULL,Water,Bareland
133,NULL,Water,NULL,Water,Water
134,NULL,Water,NULL,Water,Forest
135,NULL,Water,Non_Water,Water,Grassland
136,NULL,Water,Non_Water,Water,Wetland
137,NULL,Water,Non_Water,Water,Lichens_and_Mosses
138,NULL,Water,Non_Water,Water,Bareland
139,NULL,Water,Non_Water,Water,Water
140,NULL,Water,Non_Water,Water,Forest
141,NULL,Water,Water,Water,Grassland
142,NULL,Water,Water,Water,Wetland
143,NULL,Water,Water,Water,Lichens_and_Mosses
144,NULL,Water,Water,Water,Bareland
145,NULL,Water,Water,Water,Water
146,NULL,Water,Water,Water,Forest
147,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
149,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
150,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Water
151,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Water
152,NULL,Forest,NULL,Non_Wetland,NULL
153,NULL,Forest,NULL,Non_Wetland,Grassland
154,NULL,Forest,NULL,Non_Wetland,Wetland
155,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
156,NULL,Forest,NULL,Non_Wetland,Bareland
157,NULL,Forest,NULL,Non_Wetland,Built-up
158,NULL,Forest,NULL,Non_Wetland,Water
159,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
160,NULL,Forest,NULL,Non_Wetland,Forest
161,NULL,Forest,Non_Water,Non_Wetland,NULL
162,NULL,Forest,Non_Water,Non_Wetland,Grassland
163,NULL,Forest,Non_Water,Non_Wetland,Wetland
164,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
165,NULL,Forest,Non_Water,Non_Wetland,Bareland
166,NULL,Forest,Non_Water,Non_Wetland,Water
167,NULL,Forest,Non_Water,Non_Wetland,Forest
168,NULL,Forest,Water,Non_Wetland,Grassland
169,NULL,Forest,Water,Non_Wetland,Wetland
170,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
171,NULL,Forest,Water,Non_Wetland,Bareland
172,NULL,Forest,Water,Non_Wetland,Water
173,NULL,Forest,Water,Non_Wetland,Forest
174,Cropland,NULL,NULL,Non_Wetland,Forest
175,Cropland,Shrubland,NULL,Non_Wetland,Grassland
176,Cropland,Grassland,NULL,Non_Wetland,Grassland
177,Cropland,Grassland,NULL,Non_Wetland,Forest
178,Cropland,Wetland,NULL,Wetland,Grassland
179,Cropland,Wetland,NULL,Wetland,Wetland
180,Cropland,Wetland,NULL,Wetland,Forest
181,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
182,Cropland,Bareland,NULL,Non_Wetland,Forest
183,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
184,Cropland,Forest,NULL,Non_Wetland,Grassland
185,Cropland,Forest,NULL,Non_Wetland,Wetland
186,Cropland,Forest,NULL,Non_Wetland,Forest
187,Wetland,NULL,NULL,Non_Wetland,Grassland
188,Wetland,NULL,NULL,Non_Wetland,Wetland
189,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
190,Wetland,NULL,NULL,Non_Wetland,Bareland
191,Wetland,NULL,NULL,Non_Wetland,Water
192,Wetland,NULL,NULL,Non_Wetland,Forest
193,Wetland,NULL,Non_Water,Non_Wetland,Grassland
194,Wetland,NULL,Non_Water,Non_Wetland,Wetland
195,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
196,Wetland,NULL,Non_Water,Non_Wetland,Water
197,Wetland,NULL,Non_Water,Non_Wetland,Forest
198,Wetland,NULL,Water,Non_Wetland,Grassland
199,Wetland,NULL,Water,Non_Wetland,Wetland
200,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,NULL,Water,Non_Wetland,Water
202,Wetland,NULL,Water,Non_Wetland,Forest
203,Wetland,Shrubland,NULL,Non_Wetland,Grassland
204,Wetland,Shrubland,NULL,Non_Wetland,Wetland
205,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
206,Wetland,Shrubland,NULL,Non_Wetland,Bareland
207,Wetland,Shrubland,NULL,Non_Wetland,Water
208,Wetland,Shrubland,NULL,Non_Wetland,Forest
209,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
210,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
211,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
212,Wetland,Shrubland,Non_Water,Non_Wetland,Water
213,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
214,Wetland,Shrubland,Water,Non_Wetland,Grassland
215,Wetland,Shrubland,Water,Non_Wetland,Wetland
216,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
217,Wetland,Shrubland,Water,Non_Wetland,Bareland
218,Wetland,Shrubland,Water,Non_Wetland,Water
219,Wetland,Shrubland,Water,Non_Wetland,Forest
220,Wetland,Grassland,NULL,Non_Wetland,NULL
221,Wetland,Grassland,NULL,Non_Wetland,Grassland
222,Wetland,Grassland,NULL,Non_Wetland,Wetland
223,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
224,Wetland,Grassland,NULL,Non_Wetland,Bareland
225,Wetland,Grassland,NULL,Non_Wetland,Water
226,Wetland,Grassland,NULL,Non_Wetland,Forest
227,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
228,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
229,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
230,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
231,Wetland,Grassland,Non_Water,Non_Wetland,Forest
232,Wetland,Grassland,Water,Non_Wetland,Grassland
233,Wetland,Grassland,Water,Non_Wetland,Wetland
234,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
235,Wetland,Grassland,Water,Non_Wetland,Bareland
236,Wetland,Grassland,Water,Non_Wetland,Water
237,Wetland,Grassland,Water,Non_Wetland,Forest
238,Wetland,Wetland,NULL,Wetland,Grassland
239,Wetland,Wetland,NULL,Wetland,Wetland
240,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
241,Wetland,Wetland,NULL,Wetland,Bareland
242,Wetland,Wetland,NULL,Wetland,Water
243,Wetland,Wetland,NULL,Wetland,Forest
244,Wetland,Wetland,Non_Water,Wetland,Grassland
245,Wetland,Wetland,Non_Water,Wetland,Wetland
246,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
247,Wetland,Wetland,Non_Water,Wetland,Bareland
248,Wetland,Wetland,Non_Water,Wetland,Water
249,Wetland,Wetland,Non_Water,Wetland,Forest
250,Wetland,Wetland,Water,Wetland,Grassland
251,Wetland,Wetland,Water,Wetland,Wetland
252,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
253,Wetland,Wetland,Water,Wetland,Bareland
254,Wetland,Wetland,Water,Wetland,Water
255,Wetland,Wetland,Water,Wetland,Forest
256,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
