Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPU_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPU_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPU_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPU_M_R,SIBERIA_2024_WorldCover_2021_44WPU_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Water
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Shrubland,Water,Non_Wetland,Water
32,NULL,Shrubland,Water,Non_Wetland,Forest
33,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
41,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,Grassland,Water,Non_Wetland,Wetland
44,NULL,Grassland,Water,Non_Wetland,Water
45,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
49,NULL,Wetland,NULL,Wetland,Water
50,NULL,Wetland,NULL,Wetland,Forest
51,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
54,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,Wetland,Non_Water,Wetland,Forest
56,NULL,Wetland,Water,Wetland,Grassland
57,NULL,Wetland,Water,Wetland,Wetland
58,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
59,NULL,Wetland,Water,Wetland,Water
60,NULL,Wetland,Water,Wetland,Forest
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
65,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
66,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
67,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
68,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
72,NULL,Bareland,NULL,Non_Wetland,Grassland
73,NULL,Bareland,NULL,Non_Wetland,Wetland
74,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,Bareland,NULL,Non_Wetland,Water
77,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,Bareland,Non_Water,Non_Wetland,Wetland
80,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
81,NULL,Bareland,Non_Water,Non_Wetland,Water
82,NULL,Bareland,Non_Water,Non_Wetland,Forest
83,NULL,Bareland,Water,Non_Wetland,Grassland
84,NULL,Bareland,Water,Non_Wetland,Wetland
85,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,Water,Non_Wetland,Water
87,NULL,Bareland,Water,Non_Wetland,Forest
88,NULL,Built-up,NULL,Non_Wetland,Grassland
89,NULL,Built-up,NULL,Non_Wetland,Wetland
90,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Built-up,NULL,Non_Wetland,Water
92,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,Built-up,Non_Water,Non_Wetland,Wetland
94,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
95,NULL,Built-up,Non_Water,Non_Wetland,Forest
96,NULL,Built-up,Water,Non_Wetland,Wetland
97,NULL,Built-up,Water,Non_Wetland,Water
98,NULL,Built-up,Water,Non_Wetland,Forest
99,NULL,Water,NULL,Water,Grassland
100,NULL,Water,NULL,Water,Wetland
101,NULL,Water,NULL,Water,Lichens_and_Mosses
102,NULL,Water,NULL,Water,Water
103,NULL,Water,NULL,Water,Forest
104,NULL,Water,Non_Water,Water,Grassland
105,NULL,Water,Non_Water,Water,Wetland
106,NULL,Water,Non_Water,Water,Lichens_and_Mosses
107,NULL,Water,Non_Water,Water,Water
108,NULL,Water,Non_Water,Water,Forest
109,NULL,Water,Water,Water,Grassland
110,NULL,Water,Water,Water,Wetland
111,NULL,Water,Water,Water,Lichens_and_Mosses
112,NULL,Water,Water,Water,Water
113,NULL,Water,Water,Water,Forest
114,NULL,Forest,NULL,Non_Wetland,NULL
115,NULL,Forest,NULL,Non_Wetland,Grassland
116,NULL,Forest,NULL,Non_Wetland,Wetland
117,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
118,NULL,Forest,NULL,Non_Wetland,Bareland
119,NULL,Forest,NULL,Non_Wetland,Water
120,NULL,Forest,NULL,Non_Wetland,Forest
121,NULL,Forest,Non_Water,Non_Wetland,Grassland
122,NULL,Forest,Non_Water,Non_Wetland,Wetland
123,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
124,NULL,Forest,Non_Water,Non_Wetland,Water
125,NULL,Forest,Non_Water,Non_Wetland,Forest
126,NULL,Forest,Water,Non_Wetland,Grassland
127,NULL,Forest,Water,Non_Wetland,Wetland
128,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
129,NULL,Forest,Water,Non_Wetland,Water
130,NULL,Forest,Water,Non_Wetland,Forest
131,Cropland,NULL,NULL,Non_Wetland,Grassland
132,Cropland,NULL,NULL,Non_Wetland,Wetland
133,Cropland,NULL,NULL,Non_Wetland,Forest
134,Cropland,Shrubland,NULL,Non_Wetland,Grassland
135,Cropland,Shrubland,NULL,Non_Wetland,Wetland
136,Cropland,Shrubland,NULL,Non_Wetland,Forest
137,Cropland,Grassland,NULL,Non_Wetland,Grassland
138,Cropland,Grassland,NULL,Non_Wetland,Wetland
139,Cropland,Wetland,NULL,Wetland,Grassland
140,Cropland,Wetland,NULL,Wetland,Wetland
141,Cropland,Wetland,Non_Water,Wetland,Grassland
142,Cropland,Wetland,Non_Water,Wetland,Wetland
143,Cropland,Wetland,Water,Wetland,Wetland
144,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
145,Cropland,Bareland,NULL,Non_Wetland,Grassland
146,Cropland,Bareland,NULL,Non_Wetland,Wetland
147,Cropland,Forest,NULL,Non_Wetland,Grassland
148,Cropland,Forest,NULL,Non_Wetland,Wetland
149,Cropland,Forest,NULL,Non_Wetland,Forest
150,Cropland,Forest,Water,Non_Wetland,Wetland
151,Cropland,Forest,Water,Non_Wetland,Forest
152,Wetland,NULL,NULL,Non_Wetland,Grassland
153,Wetland,NULL,NULL,Non_Wetland,Wetland
154,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
155,Wetland,NULL,NULL,Non_Wetland,Water
156,Wetland,NULL,NULL,Non_Wetland,Forest
157,Wetland,NULL,Non_Water,Non_Wetland,Grassland
158,Wetland,NULL,Non_Water,Non_Wetland,Wetland
159,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
160,Wetland,NULL,Non_Water,Non_Wetland,Water
161,Wetland,NULL,Non_Water,Non_Wetland,Forest
162,Wetland,NULL,Water,Non_Wetland,Grassland
163,Wetland,NULL,Water,Non_Wetland,Wetland
164,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
165,Wetland,NULL,Water,Non_Wetland,Bareland
166,Wetland,NULL,Water,Non_Wetland,Water
167,Wetland,NULL,Water,Non_Wetland,Forest
168,Wetland,Shrubland,NULL,Non_Wetland,NULL
169,Wetland,Shrubland,NULL,Non_Wetland,Grassland
170,Wetland,Shrubland,NULL,Non_Wetland,Wetland
