Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFR_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFR_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFR_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFR_M_R,SIBERIA_2024_WorldCover_2021_43WFR_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
7,NULL,NULL,Non_Water,Non_Wetland,Water
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,Shrubland,Non_Water,Non_Wetland,Water
24,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
34,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,Grassland,NULL,Non_Wetland,Water
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
40,NULL,Grassland,Non_Water,Non_Wetland,Bareland
41,NULL,Grassland,Non_Water,Non_Wetland,Water
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
46,NULL,Grassland,Water,Non_Wetland,Bareland
47,NULL,Grassland,Water,Non_Wetland,Water
48,NULL,Grassland,Water,Non_Wetland,Forest
49,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,Wetland,NULL,Wetland,Wetland
51,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
52,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,Wetland,NULL,Wetland,Water
54,NULL,Wetland,NULL,Wetland,Forest
55,NULL,Wetland,Non_Water,NULL,Wetland
56,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
59,NULL,Wetland,Non_Water,Wetland,Bareland
60,NULL,Wetland,Non_Water,Wetland,Water
61,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,Wetland,Water,NULL,Wetland
63,NULL,Wetland,Water,Wetland,Grassland
64,NULL,Wetland,Water,Wetland,Wetland
65,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
85,NULL,Bareland,NULL,Non_Wetland,Grassland
86,NULL,Bareland,NULL,Non_Wetland,Wetland
87,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,Bareland,NULL,Non_Wetland,Bareland
89,NULL,Bareland,NULL,Non_Wetland,Built-up
90,NULL,Bareland,NULL,Non_Wetland,Water
91,NULL,Bareland,NULL,Non_Wetland,Forest
92,NULL,Bareland,Non_Water,Non_Wetland,Grassland
93,NULL,Bareland,Non_Water,Non_Wetland,Wetland
94,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
95,NULL,Bareland,Non_Water,Non_Wetland,Bareland
96,NULL,Bareland,Non_Water,Non_Wetland,Water
97,NULL,Bareland,Non_Water,Non_Wetland,Forest
98,NULL,Bareland,Water,Non_Wetland,Grassland
99,NULL,Bareland,Water,Non_Wetland,Wetland
100,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Bareland,Water,Non_Wetland,Bareland
102,NULL,Bareland,Water,Non_Wetland,Water
103,NULL,Bareland,Water,Non_Wetland,Forest
104,NULL,Built-up,NULL,Non_Wetland,Grassland
105,NULL,Built-up,NULL,Non_Wetland,Wetland
106,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
107,NULL,Built-up,NULL,Non_Wetland,Bareland
108,NULL,Built-up,NULL,Non_Wetland,Built-up
109,NULL,Built-up,NULL,Non_Wetland,Water
110,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,Built-up,Non_Water,Non_Wetland,Wetland
112,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,Built-up,Non_Water,Non_Wetland,Built-up
115,NULL,Built-up,Water,Non_Wetland,Wetland
116,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
117,NULL,Built-up,Water,Non_Wetland,Bareland
118,NULL,Built-up,Water,Non_Wetland,Water
119,NULL,Water,NULL,Water,Grassland
120,NULL,Water,NULL,Water,Wetland
121,NULL,Water,NULL,Water,Lichens_and_Mosses
122,NULL,Water,NULL,Water,Water
123,NULL,Water,NULL,Water,Forest
124,NULL,Water,Non_Water,Water,Grassland
125,NULL,Water,Non_Water,Water,Wetland
126,NULL,Water,Non_Water,Water,Lichens_and_Mosses
127,NULL,Water,Non_Water,Water,Bareland
128,NULL,Water,Non_Water,Water,Water
129,NULL,Water,Water,NULL,Wetland
130,NULL,Water,Water,NULL,Water
131,NULL,Water,Water,Water,Grassland
132,NULL,Water,Water,Water,Wetland
133,NULL,Water,Water,Water,Lichens_and_Mosses
134,NULL,Water,Water,Water,Bareland
135,NULL,Water,Water,Water,Water
136,NULL,Water,Water,Water,Forest
137,NULL,Forest,NULL,Non_Wetland,Grassland
138,NULL,Forest,NULL,Non_Wetland,Wetland
139,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
140,NULL,Forest,NULL,Non_Wetland,Bareland
141,NULL,Forest,NULL,Non_Wetland,Water
142,NULL,Forest,NULL,Non_Wetland,Forest
143,NULL,Forest,Non_Water,Non_Wetland,Grassland
144,NULL,Forest,Non_Water,Non_Wetland,Wetland
145,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
146,NULL,Forest,Non_Water,Non_Wetland,Bareland
147,NULL,Forest,Non_Water,Non_Wetland,Water
148,NULL,Forest,Non_Water,Non_Wetland,Forest
149,NULL,Forest,Water,Non_Wetland,Grassland
150,NULL,Forest,Water,Non_Wetland,Wetland
151,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Forest,Water,Non_Wetland,Bareland
153,NULL,Forest,Water,Non_Wetland,Water
154,NULL,Forest,Water,Non_Wetland,Forest
155,Cropland,Grassland,NULL,Non_Wetland,Grassland
156,Cropland,Grassland,NULL,Non_Wetland,Forest
157,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
158,Cropland,Wetland,Non_Water,Wetland,Wetland
159,Wetland,NULL,NULL,Non_Wetland,Grassland
160,Wetland,NULL,NULL,Non_Wetland,Wetland
161,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
162,Wetland,NULL,NULL,Non_Wetland,Bareland
163,Wetland,NULL,NULL,Non_Wetland,Water
164,Wetland,NULL,NULL,Non_Wetland,Forest
165,Wetland,NULL,Non_Water,Non_Wetland,Grassland
166,Wetland,NULL,Non_Water,Non_Wetland,Wetland
167,Wetland,NULL,Non_Water,Non_Wetland,Water
168,Wetland,NULL,Non_Water,Non_Wetland,Forest
169,Wetland,NULL,Water,Non_Wetland,NULL
