Value,SIBERIA_2024_ESA_CALU_2024_41WPU_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPU_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,SIBERIA_2024_WorldCover_2021_41WPU_M_R
107,NULL,Water,Wetland,Non_Water,Wetland,NULL
108,NULL,Water,Wetland,Water,NULL,NULL
109,NULL,Water,Wetland,Water,Wetland,NULL
110,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
111,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
112,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
113,NULL,Water,Bareland,NULL,Non_Wetland,NULL
114,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
115,NULL,Water,Bareland,Water,Non_Wetland,NULL
116,NULL,Water,Built-up,NULL,Non_Wetland,NULL
117,NULL,Water,Built-up,Water,Non_Wetland,NULL
118,NULL,Water,Water,NULL,NULL,NULL
119,NULL,Water,Water,NULL,Water,NULL
120,NULL,Water,Water,Non_Water,NULL,NULL
121,NULL,Water,Water,Non_Water,Water,NULL
122,NULL,Water,Water,Water,NULL,NULL
123,NULL,Water,Water,Water,Water,NULL
124,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
125,NULL,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,NULL
126,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
127,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,NULL
128,NULL,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,NULL
129,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,NULL
130,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
131,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
132,NULL,Permanent_ice_and_snow,Wetland,Water,NULL,NULL
133,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
134,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
135,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
136,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
137,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
138,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
139,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
140,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
141,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,NULL
142,NULL,Permanent_ice_and_snow,Water,NULL,NULL,NULL
143,NULL,Permanent_ice_and_snow,Water,NULL,Water,NULL
144,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,NULL
145,NULL,Permanent_ice_and_snow,Water,Water,NULL,NULL
146,NULL,Permanent_ice_and_snow,Water,Water,Water,NULL
147,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
148,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
149,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
150,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
151,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
152,NULL,Forest,Wetland,NULL,Wetland,NULL
153,NULL,Forest,Wetland,Water,Wetland,NULL
154,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
155,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
156,NULL,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
157,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
158,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
159,NULL,Forest,Bareland,Water,Non_Wetland,NULL
160,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL
161,NULL,Forest,Water,Water,Water,NULL
162,Shrubland,NULL,Shrubland,NULL,Non_Wetland,NULL
163,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
164,Shrubland,NULL,Shrubland,Water,Non_Wetland,NULL
165,Shrubland,NULL,Grassland,NULL,Non_Wetland,NULL
166,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,NULL
167,Shrubland,NULL,Grassland,Water,Non_Wetland,NULL
168,Shrubland,NULL,Wetland,NULL,Wetland,NULL
169,Shrubland,NULL,Wetland,Non_Water,Wetland,NULL
170,Shrubland,NULL,Wetland,Water,Wetland,NULL
171,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
172,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
173,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
174,Shrubland,NULL,Bareland,NULL,Non_Wetland,NULL
175,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,NULL
176,Shrubland,NULL,Bareland,Water,Non_Wetland,NULL
177,Shrubland,NULL,Built-up,NULL,Non_Wetland,NULL
178,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,NULL
179,Shrubland,NULL,Built-up,Water,Non_Wetland,NULL
180,Shrubland,NULL,Water,NULL,Water,NULL
181,Shrubland,NULL,Water,Non_Water,Water,NULL
182,Shrubland,NULL,Water,Water,Water,NULL
183,Shrubland,NULL,Forest,NULL,Non_Wetland,NULL
184,Shrubland,NULL,Forest,Non_Water,Non_Wetland,NULL
185,Shrubland,NULL,Forest,Water,Non_Wetland,NULL
186,Shrubland,Cropland,Grassland,NULL,Non_Wetland,NULL
187,Shrubland,Cropland,Bareland,NULL,Non_Wetland,NULL
188,Shrubland,Cropland,Built-up,NULL,Non_Wetland,NULL
189,Shrubland,Wetland,Shrubland,NULL,Non_Wetland,NULL
190,Shrubland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
191,Shrubland,Wetland,Shrubland,Water,Non_Wetland,NULL
192,Shrubland,Wetland,Grassland,NULL,Non_Wetland,NULL
193,Shrubland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
194,Shrubland,Wetland,Grassland,Water,Non_Wetland,NULL
195,Shrubland,Wetland,Wetland,NULL,NULL,NULL
196,Shrubland,Wetland,Wetland,NULL,Wetland,NULL
197,Shrubland,Wetland,Wetland,Non_Water,Wetland,NULL
198,Shrubland,Wetland,Wetland,Water,NULL,NULL
199,Shrubland,Wetland,Wetland,Water,Wetland,NULL
200,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
201,Shrubland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
202,Shrubland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
203,Shrubland,Wetland,Bareland,NULL,Non_Wetland,NULL
204,Shrubland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
205,Shrubland,Wetland,Bareland,Water,Non_Wetland,NULL
206,Shrubland,Wetland,Built-up,NULL,Non_Wetland,NULL
207,Shrubland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
208,Shrubland,Wetland,Built-up,Water,Non_Wetland,NULL
209,Shrubland,Wetland,Water,NULL,NULL,NULL
210,Shrubland,Wetland,Water,NULL,Water,NULL
211,Shrubland,Wetland,Water,Non_Water,Water,NULL
212,Shrubland,Wetland,Water,Water,NULL,NULL
213,Shrubland,Wetland,Water,Water,Water,NULL
214,Shrubland,Wetland,Forest,NULL,Non_Wetland,NULL
215,Shrubland,Wetland,Forest,Non_Water,Non_Wetland,NULL
216,Shrubland,Wetland,Forest,Water,Non_Wetland,NULL
217,Shrubland,Bareland,Shrubland,NULL,Non_Wetland,NULL
218,Shrubland,Bareland,Shrubland,Water,Non_Wetland,NULL
219,Shrubland,Bareland,Grassland,NULL,Non_Wetland,NULL
220,Shrubland,Bareland,Wetland,Non_Water,Wetland,NULL
221,Shrubland,Bareland,Wetland,Water,Wetland,NULL
222,Shrubland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
223,Shrubland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
224,Shrubland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
225,Shrubland,Bareland,Bareland,NULL,Non_Wetland,NULL
226,Shrubland,Bareland,Bareland,Non_Water,Non_Wetland,NULL
227,Shrubland,Bareland,Bareland,Water,Non_Wetland,NULL
228,Shrubland,Bareland,Built-up,NULL,Non_Wetland,NULL
229,Shrubland,Bareland,Built-up,Non_Water,Non_Wetland,NULL
230,Shrubland,Bareland,Built-up,Water,Non_Wetland,NULL
231,Shrubland,Bareland,Water,Non_Water,Water,NULL
232,Shrubland,Bareland,Water,Water,Water,NULL
233,Shrubland,Built-up,Shrubland,NULL,Non_Wetland,NULL
234,Shrubland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
235,Shrubland,Built-up,Shrubland,Water,Non_Wetland,NULL
236,Shrubland,Built-up,Grassland,NULL,Non_Wetland,NULL
237,Shrubland,Built-up,Grassland,Non_Water,Non_Wetland,NULL
238,Shrubland,Built-up,Wetland,NULL,Wetland,NULL
239,Shrubland,Built-up,Wetland,Non_Water,Wetland,NULL
240,Shrubland,Built-up,Wetland,Water,Wetland,NULL
241,Shrubland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
242,Shrubland,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
243,Shrubland,Built-up,Lichens_and_Mosses,Water,Non_Wetland,NULL
244,Shrubland,Built-up,Bareland,NULL,Non_Wetland,NULL
245,Shrubland,Built-up,Bareland,Non_Water,Non_Wetland,NULL
246,Shrubland,Built-up,Bareland,Water,Non_Wetland,NULL
247,Shrubland,Built-up,Built-up,NULL,Non_Wetland,NULL
248,Shrubland,Built-up,Built-up,Non_Water,Non_Wetland,NULL
249,Shrubland,Built-up,Built-up,Water,Non_Wetland,NULL
250,Shrubland,Built-up,Water,Non_Water,Water,NULL
251,Shrubland,Built-up,Water,Water,Water,NULL
252,Shrubland,Water,Shrubland,NULL,Non_Wetland,NULL
253,Shrubland,Water,Shrubland,Non_Water,Non_Wetland,NULL
254,Shrubland,Water,Shrubland,Water,Non_Wetland,NULL
255,Shrubland,Water,Grassland,NULL,Non_Wetland,NULL
256,Shrubland,Water,Grassland,Non_Water,Non_Wetland,NULL
257,Shrubland,Water,Grassland,Water,Non_Wetland,NULL
258,Shrubland,Water,Wetland,NULL,NULL,NULL
259,Shrubland,Water,Wetland,NULL,Wetland,NULL
260,Shrubland,Water,Wetland,Non_Water,Wetland,NULL
261,Shrubland,Water,Wetland,Water,NULL,NULL
262,Shrubland,Water,Wetland,Water,Wetland,NULL
263,Shrubland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
264,Shrubland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
265,Shrubland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
266,Shrubland,Water,Bareland,NULL,Non_Wetland,NULL
267,Shrubland,Water,Bareland,Non_Water,Non_Wetland,NULL
268,Shrubland,Water,Bareland,Water,Non_Wetland,NULL
269,Shrubland,Water,Built-up,NULL,Non_Wetland,NULL
270,Shrubland,Water,Built-up,Non_Water,Non_Wetland,NULL
271,Shrubland,Water,Built-up,Water,Non_Wetland,NULL
272,Shrubland,Water,Water,NULL,Water,NULL
273,Shrubland,Water,Water,Non_Water,Water,NULL
274,Shrubland,Water,Water,Water,Water,NULL
275,Shrubland,Water,Forest,Non_Water,Non_Wetland,NULL
276,Shrubland,Water,Forest,Water,Non_Wetland,NULL
277,Shrubland,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
278,Shrubland,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,NULL
279,Shrubland,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,NULL
280,Shrubland,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
281,Shrubland,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,NULL
282,Shrubland,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
283,Shrubland,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
284,Shrubland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
285,Shrubland,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
286,Shrubland,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
287,Shrubland,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
288,Shrubland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
289,Shrubland,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
290,Shrubland,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
291,Shrubland,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
292,Shrubland,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,NULL
293,Shrubland,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,NULL
294,Shrubland,Permanent_ice_and_snow,Water,NULL,Water,NULL
295,Shrubland,Permanent_ice_and_snow,Water,Non_Water,Water,NULL
296,Shrubland,Permanent_ice_and_snow,Water,Water,Water,NULL
297,Shrubland,Forest,Shrubland,NULL,Non_Wetland,NULL
298,Shrubland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
299,Shrubland,Forest,Shrubland,Water,Non_Wetland,NULL
300,Shrubland,Forest,Grassland,NULL,Non_Wetland,NULL
301,Shrubland,Forest,Grassland,Non_Water,Non_Wetland,NULL
302,Shrubland,Forest,Grassland,Water,Non_Wetland,NULL
303,Shrubland,Forest,Wetland,NULL,Wetland,NULL
304,Shrubland,Forest,Wetland,Non_Water,Wetland,NULL
305,Shrubland,Forest,Wetland,Water,Wetland,NULL
306,Shrubland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
307,Shrubland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
308,Shrubland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
309,Shrubland,Forest,Bareland,NULL,Non_Wetland,NULL
310,Shrubland,Forest,Bareland,Non_Water,Non_Wetland,NULL
311,Shrubland,Forest,Bareland,Water,Non_Wetland,NULL
312,Shrubland,Forest,Built-up,NULL,Non_Wetland,NULL
313,Shrubland,Forest,Built-up,Non_Water,Non_Wetland,NULL
314,Shrubland,Forest,Built-up,Water,Non_Wetland,NULL
315,Shrubland,Forest,Water,NULL,Water,NULL
316,Shrubland,Forest,Water,Non_Water,Water,NULL
317,Shrubland,Forest,Water,Water,Water,NULL
318,Shrubland,Forest,Forest,NULL,Non_Wetland,NULL
319,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
320,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
321,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
322,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
323,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
324,Wetland,NULL,Grassland,Water,Non_Wetland,NULL
325,Wetland,NULL,Wetland,NULL,NULL,NULL
326,Wetland,NULL,Wetland,NULL,Wetland,NULL
327,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
328,Wetland,NULL,Wetland,Water,NULL,NULL
329,Wetland,NULL,Wetland,Water,Wetland,NULL
330,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
331,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
332,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
333,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
334,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL
335,Wetland,NULL,Bareland,Water,Non_Wetland,NULL
336,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
337,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL
338,Wetland,NULL,Built-up,Water,Non_Wetland,NULL
339,Wetland,NULL,Water,NULL,NULL,NULL
340,Wetland,NULL,Water,NULL,Water,NULL
341,Wetland,NULL,Water,Non_Water,Water,NULL
342,Wetland,NULL,Water,Water,Water,NULL
343,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
344,Wetland,Cropland,Grassland,NULL,Non_Wetland,NULL
345,Wetland,Cropland,Bareland,NULL,Non_Wetland,NULL
346,Wetland,Cropland,Built-up,NULL,Non_Wetland,NULL
347,Wetland,Cropland,Water,Water,Water,NULL
348,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
349,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
350,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL
351,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
352,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
353,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL
354,Wetland,Wetland,Wetland,NULL,NULL,NULL
355,Wetland,Wetland,Wetland,NULL,Wetland,NULL
356,Wetland,Wetland,Wetland,Non_Water,NULL,NULL
357,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
358,Wetland,Wetland,Wetland,Water,NULL,NULL
359,Wetland,Wetland,Wetland,Water,Wetland,NULL
360,Wetland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
361,Wetland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
362,Wetland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
363,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
364,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
365,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL
366,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL
367,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
368,Wetland,Wetland,Built-up,Water,Non_Wetland,NULL
369,Wetland,Wetland,Water,NULL,NULL,NULL
370,Wetland,Wetland,Water,NULL,Water,NULL
371,Wetland,Wetland,Water,Non_Water,Water,NULL
372,Wetland,Wetland,Water,Water,NULL,NULL
373,Wetland,Wetland,Water,Water,Water,NULL
374,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
375,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL
376,Wetland,Wetland,Forest,Water,Non_Wetland,NULL
377,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL
378,Wetland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL
379,Wetland,Bareland,Shrubland,Water,Non_Wetland,NULL
380,Wetland,Bareland,Grassland,NULL,Non_Wetland,NULL
381,Wetland,Bareland,Grassland,Water,Non_Wetland,NULL
382,Wetland,Bareland,Wetland,NULL,Wetland,NULL
383,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL
384,Wetland,Bareland,Wetland,Water,NULL,NULL
385,Wetland,Bareland,Wetland,Water,Wetland,NULL
386,Wetland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
387,Wetland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
388,Wetland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
389,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL
390,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,NULL
391,Wetland,Bareland,Bareland,Water,Non_Wetland,NULL
392,Wetland,Bareland,Built-up,NULL,Non_Wetland,NULL
393,Wetland,Bareland,Built-up,Non_Water,Non_Wetland,NULL
394,Wetland,Bareland,Built-up,Water,Non_Wetland,NULL
395,Wetland,Bareland,Water,NULL,Water,NULL
396,Wetland,Bareland,Water,Non_Water,Water,NULL
397,Wetland,Bareland,Water,Water,Water,NULL
398,Wetland,Built-up,Shrubland,NULL,Non_Wetland,NULL
399,Wetland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
400,Wetland,Built-up,Shrubland,Water,Non_Wetland,NULL
401,Wetland,Built-up,Grassland,NULL,Non_Wetland,NULL
402,Wetland,Built-up,Grassland,Non_Water,Non_Wetland,NULL
403,Wetland,Built-up,Grassland,Water,Non_Wetland,NULL
404,Wetland,Built-up,Wetland,NULL,Wetland,NULL
405,Wetland,Built-up,Wetland,Non_Water,Wetland,NULL
406,Wetland,Built-up,Wetland,Water,NULL,NULL
407,Wetland,Built-up,Wetland,Water,Wetland,NULL
408,Wetland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
409,Wetland,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
410,Wetland,Built-up,Lichens_and_Mosses,Water,Non_Wetland,NULL
411,Wetland,Built-up,Bareland,NULL,Non_Wetland,NULL
412,Wetland,Built-up,Bareland,Non_Water,Non_Wetland,NULL
