Value,SIBERIA_2024_ESA_CALU_2024_42WWD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWD_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWD_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWD_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWD_M_R,SIBERIA_2024_WorldCover_2021_42WWD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Water
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
31,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,Water
34,NULL,NULL,Wetland,NULL,Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,Wetland
36,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
37,NULL,NULL,Wetland,NULL,Wetland,Bareland
38,NULL,NULL,Wetland,NULL,Wetland,Water
39,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
40,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
41,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
42,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
43,NULL,NULL,Wetland,Non_Water,Wetland,Water
44,NULL,NULL,Wetland,Water,Wetland,Grassland
45,NULL,NULL,Wetland,Water,Wetland,Wetland
46,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
47,NULL,NULL,Wetland,Water,Wetland,Bareland
48,NULL,NULL,Wetland,Water,Wetland,Water
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
55,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
57,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
58,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
60,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
62,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
63,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
64,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
65,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
66,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
67,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
70,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
72,NULL,NULL,Bareland,NULL,Non_Wetland,Water
73,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
80,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
82,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
83,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
84,NULL,NULL,Bareland,Water,Non_Wetland,Water
85,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Water
90,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
96,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
97,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
98,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
99,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
100,NULL,NULL,Built-up,Water,Non_Wetland,Water
101,NULL,NULL,Water,NULL,Water,Grassland
102,NULL,NULL,Water,NULL,Water,Wetland
103,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
104,NULL,NULL,Water,NULL,Water,Bareland
105,NULL,NULL,Water,NULL,Water,Water
106,NULL,NULL,Water,Non_Water,Water,Grassland
107,NULL,NULL,Water,Non_Water,Water,Wetland
