Value,SIBERIA_2024_ESA_CALU_2024_43WET_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WET_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WET_M_R,SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,SIBERIA_2024_WorldCover_2021_43WET_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
29,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
44,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
46,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
47,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
48,NULL,NULL,Grassland,Water,Non_Wetland,Water
49,NULL,NULL,Grassland,Water,Non_Wetland,Forest
50,NULL,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
53,NULL,NULL,Wetland,NULL,Wetland,Bareland
54,NULL,NULL,Wetland,NULL,Wetland,Water
55,NULL,NULL,Wetland,NULL,Wetland,Forest
56,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
59,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
60,NULL,NULL,Wetland,Non_Water,Wetland,Water
61,NULL,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,NULL,Wetland,Water,Wetland,Grassland
63,NULL,NULL,Wetland,Water,Wetland,Wetland
64,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
65,NULL,NULL,Wetland,Water,Wetland,Bareland
66,NULL,NULL,Wetland,Water,Wetland,Water
67,NULL,NULL,Wetland,Water,Wetland,Forest
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
78,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
82,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
83,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
84,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
85,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
90,NULL,NULL,Bareland,NULL,Non_Wetland,Water
91,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
98,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
99,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
100,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
101,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
102,NULL,NULL,Bareland,Water,Non_Wetland,Water
103,NULL,NULL,Bareland,Water,Non_Wetland,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
