Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPM_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPM_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R,SIBERIA_2024_WorldCover_2021_41WPM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Water
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
30,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,Grassland,Non_Water,Non_Wetland,Wetland
34,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,Grassland,Water,Non_Wetland,Wetland
36,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Cropland,NULL,Non_Wetland,Water
40,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,Cropland,Non_Water,Non_Wetland,Wetland
43,NULL,Cropland,Non_Water,Non_Wetland,Forest
44,NULL,Cropland,Water,Non_Wetland,Wetland
45,NULL,Cropland,Water,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,NULL
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Cropland
49,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,Wetland,NULL,Wetland,Water
52,NULL,Wetland,NULL,Wetland,Forest
53,NULL,Wetland,Non_Water,Wetland,NULL
54,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,Wetland,Non_Water,Wetland,Cropland
56,NULL,Wetland,Non_Water,Wetland,Wetland
57,NULL,Wetland,Non_Water,Wetland,Water
58,NULL,Wetland,Non_Water,Wetland,Forest
59,NULL,Wetland,Water,Wetland,NULL
60,NULL,Wetland,Water,Wetland,Grassland
61,NULL,Wetland,Water,Wetland,Wetland
62,NULL,Wetland,Water,Wetland,Bareland
63,NULL,Wetland,Water,Wetland,Water
64,NULL,Wetland,Water,Wetland,Forest
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
72,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
74,NULL,Bareland,NULL,Non_Wetland,NULL
75,NULL,Bareland,NULL,Non_Wetland,Grassland
76,NULL,Bareland,NULL,Non_Wetland,Wetland
77,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Bareland,NULL,Non_Wetland,Bareland
79,NULL,Bareland,NULL,Non_Wetland,Water
80,NULL,Bareland,NULL,Non_Wetland,Forest
81,NULL,Bareland,Non_Water,Non_Wetland,Grassland
82,NULL,Bareland,Non_Water,Non_Wetland,Wetland
83,NULL,Bareland,Non_Water,Non_Wetland,Water
84,NULL,Bareland,Non_Water,Non_Wetland,Forest
85,NULL,Bareland,Water,Non_Wetland,Grassland
86,NULL,Bareland,Water,Non_Wetland,Wetland
87,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,Bareland,Water,Non_Wetland,Forest
89,NULL,Built-up,NULL,Non_Wetland,Grassland
90,NULL,Built-up,NULL,Non_Wetland,Wetland
91,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
92,NULL,Built-up,NULL,Non_Wetland,Built-up
93,NULL,Built-up,NULL,Non_Wetland,Forest
94,NULL,Built-up,Non_Water,Non_Wetland,Grassland
95,NULL,Water,NULL,Water,NULL
96,NULL,Water,NULL,Water,Grassland
97,NULL,Water,NULL,Water,Wetland
98,NULL,Water,NULL,Water,Water
99,NULL,Water,NULL,Water,Forest
100,NULL,Water,Non_Water,Water,Grassland
101,NULL,Water,Non_Water,Water,Wetland
102,NULL,Water,Water,Water,NULL
103,NULL,Water,Water,Water,Grassland
104,NULL,Water,Water,Water,Wetland
105,NULL,Water,Water,Water,Water
106,NULL,Water,Water,Water,Forest
107,NULL,Forest,NULL,Non_Wetland,NULL
108,NULL,Forest,NULL,Non_Wetland,Grassland
109,NULL,Forest,NULL,Non_Wetland,Cropland
110,NULL,Forest,NULL,Non_Wetland,Wetland
111,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
112,NULL,Forest,NULL,Non_Wetland,Water
113,NULL,Forest,NULL,Non_Wetland,Forest
114,NULL,Forest,Non_Water,Non_Wetland,Grassland
115,NULL,Forest,Non_Water,Non_Wetland,Wetland
116,NULL,Forest,Non_Water,Non_Wetland,Water
117,NULL,Forest,Non_Water,Non_Wetland,Forest
118,NULL,Forest,Water,Non_Wetland,NULL
119,NULL,Forest,Water,Non_Wetland,Grassland
120,NULL,Forest,Water,Non_Wetland,Wetland
121,NULL,Forest,Water,Non_Wetland,Water
122,NULL,Forest,Water,Non_Wetland,Forest
123,Cropland,NULL,NULL,Non_Wetland,Grassland
124,Cropland,NULL,NULL,Non_Wetland,Wetland
125,Cropland,NULL,NULL,Non_Wetland,Forest
126,Cropland,Shrubland,NULL,Non_Wetland,Grassland
127,Cropland,Shrubland,NULL,Non_Wetland,Wetland
128,Cropland,Shrubland,NULL,Non_Wetland,Forest
129,Cropland,Grassland,NULL,Non_Wetland,Grassland
130,Cropland,Cropland,NULL,Non_Wetland,Grassland
131,Cropland,Cropland,NULL,Non_Wetland,Wetland
132,Cropland,Cropland,NULL,Non_Wetland,Forest
133,Cropland,Wetland,NULL,Wetland,NULL
134,Cropland,Wetland,NULL,Wetland,Grassland
135,Cropland,Wetland,NULL,Wetland,Wetland
136,Cropland,Wetland,NULL,Wetland,Forest
137,Cropland,Wetland,Non_Water,Wetland,Grassland
138,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
139,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
140,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
141,Cropland,Bareland,NULL,Non_Wetland,Grassland
142,Cropland,Bareland,NULL,Non_Wetland,Wetland
143,Cropland,Bareland,NULL,Non_Wetland,Forest
144,Cropland,Forest,NULL,Non_Wetland,NULL
145,Cropland,Forest,NULL,Non_Wetland,Grassland
146,Cropland,Forest,NULL,Non_Wetland,Wetland
147,Cropland,Forest,NULL,Non_Wetland,Forest
148,Wetland,NULL,NULL,Non_Wetland,NULL
149,Wetland,NULL,NULL,Non_Wetland,Grassland
150,Wetland,NULL,NULL,Non_Wetland,Wetland
151,Wetland,NULL,NULL,Non_Wetland,Water
152,Wetland,NULL,NULL,Non_Wetland,Forest
153,Wetland,NULL,Non_Water,Non_Wetland,Grassland
154,Wetland,NULL,Non_Water,Non_Wetland,Wetland
155,Wetland,NULL,Non_Water,Non_Wetland,Water
156,Wetland,NULL,Non_Water,Non_Wetland,Forest
157,Wetland,NULL,Water,Non_Wetland,Grassland
158,Wetland,NULL,Water,Non_Wetland,Wetland
159,Wetland,NULL,Water,Non_Wetland,Water
160,Wetland,NULL,Water,Non_Wetland,Forest
161,Wetland,Shrubland,NULL,Non_Wetland,NULL
162,Wetland,Shrubland,NULL,Non_Wetland,Grassland
163,Wetland,Shrubland,NULL,Non_Wetland,Wetland
164,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
165,Wetland,Shrubland,NULL,Non_Wetland,Water
166,Wetland,Shrubland,NULL,Non_Wetland,Forest
167,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
168,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
169,Wetland,Shrubland,Non_Water,Non_Wetland,Water
170,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
171,Wetland,Shrubland,Water,Non_Wetland,Grassland
172,Wetland,Shrubland,Water,Non_Wetland,Wetland
173,Wetland,Shrubland,Water,Non_Wetland,Water
174,Wetland,Shrubland,Water,Non_Wetland,Forest
175,Wetland,Grassland,NULL,Non_Wetland,Grassland
176,Wetland,Grassland,NULL,Non_Wetland,Cropland
177,Wetland,Grassland,NULL,Non_Wetland,Wetland
178,Wetland,Grassland,NULL,Non_Wetland,Built-up
179,Wetland,Grassland,NULL,Non_Wetland,Water
180,Wetland,Grassland,NULL,Non_Wetland,Forest
181,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
182,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
183,Wetland,Grassland,Non_Water,Non_Wetland,Forest
184,Wetland,Grassland,Water,Non_Wetland,Grassland
185,Wetland,Grassland,Water,Non_Wetland,Wetland
186,Wetland,Grassland,Water,Non_Wetland,Forest
187,Wetland,Cropland,NULL,Non_Wetland,Grassland
188,Wetland,Cropland,NULL,Non_Wetland,Wetland
189,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
190,Wetland,Cropland,NULL,Non_Wetland,Built-up
191,Wetland,Cropland,NULL,Non_Wetland,Water
192,Wetland,Cropland,NULL,Non_Wetland,Forest
193,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
194,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
195,Wetland,Cropland,Non_Water,Non_Wetland,Forest
196,Wetland,Cropland,Water,Non_Wetland,Grassland
197,Wetland,Cropland,Water,Non_Wetland,Wetland
198,Wetland,Cropland,Water,Non_Wetland,Water
199,Wetland,Cropland,Water,Non_Wetland,Forest
200,Wetland,Wetland,NULL,Wetland,NULL
201,Wetland,Wetland,NULL,Wetland,Grassland
202,Wetland,Wetland,NULL,Wetland,Cropland
203,Wetland,Wetland,NULL,Wetland,Wetland
204,Wetland,Wetland,NULL,Wetland,Bareland
205,Wetland,Wetland,NULL,Wetland,Water
206,Wetland,Wetland,NULL,Wetland,Forest
207,Wetland,Wetland,Non_Water,Wetland,NULL
208,Wetland,Wetland,Non_Water,Wetland,Grassland
209,Wetland,Wetland,Non_Water,Wetland,Cropland
210,Wetland,Wetland,Non_Water,Wetland,Wetland
211,Wetland,Wetland,Non_Water,Wetland,Bareland
212,Wetland,Wetland,Non_Water,Wetland,Water
213,Wetland,Wetland,Non_Water,Wetland,Forest
214,Wetland,Wetland,Water,Wetland,NULL
215,Wetland,Wetland,Water,Wetland,Grassland
216,Wetland,Wetland,Water,Wetland,Cropland
217,Wetland,Wetland,Water,Wetland,Wetland
218,Wetland,Wetland,Water,Wetland,Water
219,Wetland,Wetland,Water,Wetland,Forest
220,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
221,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
222,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
223,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
224,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
225,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
226,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
227,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
228,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
229,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
230,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
231,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
232,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
233,Wetland,Bareland,NULL,Non_Wetland,NULL
234,Wetland,Bareland,NULL,Non_Wetland,Grassland
235,Wetland,Bareland,NULL,Non_Wetland,Cropland
236,Wetland,Bareland,NULL,Non_Wetland,Wetland
237,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
238,Wetland,Bareland,NULL,Non_Wetland,Bareland
239,Wetland,Bareland,NULL,Non_Wetland,Water
240,Wetland,Bareland,NULL,Non_Wetland,Forest
241,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
242,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
243,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
244,Wetland,Bareland,Non_Water,Non_Wetland,Water
245,Wetland,Bareland,Non_Water,Non_Wetland,Forest
246,Wetland,Bareland,Water,Non_Wetland,Grassland
247,Wetland,Bareland,Water,Non_Wetland,Wetland
248,Wetland,Bareland,Water,Non_Wetland,Bareland
249,Wetland,Bareland,Water,Non_Wetland,Water
250,Wetland,Bareland,Water,Non_Wetland,Forest
251,Wetland,Built-up,NULL,Non_Wetland,Grassland
252,Wetland,Built-up,NULL,Non_Wetland,Bareland
253,Wetland,Built-up,NULL,Non_Wetland,Built-up
254,Wetland,Built-up,NULL,Non_Wetland,Water
255,Wetland,Built-up,NULL,Non_Wetland,Forest
256,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
257,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
258,Wetland,Built-up,Non_Water,Non_Wetland,Forest
259,Wetland,Built-up,Water,Non_Wetland,Grassland
260,Wetland,Water,NULL,Water,NULL
261,Wetland,Water,NULL,Water,Grassland
