Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFJ_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFJ_M_R,SIBERIA_2024_WorldCover_2021_43VFJ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,Grassland,Water,Non_Wetland,Wetland
38,NULL,Grassland,Water,Non_Wetland,Forest
39,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,Wetland,NULL,Wetland,NULL
41,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,Wetland,NULL,Wetland,Wetland
43,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
44,NULL,Wetland,NULL,Wetland,Bareland
45,NULL,Wetland,NULL,Wetland,Built-up
46,NULL,Wetland,NULL,Wetland,Water
47,NULL,Wetland,NULL,Wetland,Forest
48,NULL,Wetland,Non_Water,Wetland,NULL
49,NULL,Wetland,Non_Water,Wetland,Grassland
50,NULL,Wetland,Non_Water,Wetland,Wetland
51,NULL,Wetland,Non_Water,Wetland,Water
52,NULL,Wetland,Non_Water,Wetland,Forest
53,NULL,Wetland,Water,Wetland,NULL
54,NULL,Wetland,Water,Wetland,Grassland
55,NULL,Wetland,Water,Wetland,Wetland
56,NULL,Wetland,Water,Wetland,Bareland
57,NULL,Wetland,Water,Wetland,Water
58,NULL,Wetland,Water,Wetland,Forest
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
65,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
66,NULL,Bareland,NULL,Non_Wetland,NULL
67,NULL,Bareland,NULL,Non_Wetland,Grassland
68,NULL,Bareland,NULL,Non_Wetland,Cropland
69,NULL,Bareland,NULL,Non_Wetland,Wetland
70,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,Bareland,NULL,Non_Wetland,Bareland
72,NULL,Bareland,NULL,Non_Wetland,Built-up
73,NULL,Bareland,NULL,Non_Wetland,Water
74,NULL,Bareland,NULL,Non_Wetland,Forest
75,NULL,Bareland,Non_Water,Non_Wetland,NULL
76,NULL,Bareland,Non_Water,Non_Wetland,Grassland
77,NULL,Bareland,Non_Water,Non_Wetland,Wetland
78,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
79,NULL,Bareland,Non_Water,Non_Wetland,Bareland
80,NULL,Bareland,Non_Water,Non_Wetland,Built-up
81,NULL,Bareland,Non_Water,Non_Wetland,Water
82,NULL,Bareland,Non_Water,Non_Wetland,Forest
83,NULL,Bareland,Water,Non_Wetland,Grassland
84,NULL,Bareland,Water,Non_Wetland,Wetland
85,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,Bareland,Water,Non_Wetland,Built-up
88,NULL,Bareland,Water,Non_Wetland,Water
89,NULL,Bareland,Water,Non_Wetland,Forest
90,NULL,Built-up,NULL,Non_Wetland,NULL
91,NULL,Built-up,NULL,Non_Wetland,Grassland
92,NULL,Built-up,NULL,Non_Wetland,Wetland
93,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
94,NULL,Built-up,NULL,Non_Wetland,Bareland
95,NULL,Built-up,NULL,Non_Wetland,Built-up
96,NULL,Built-up,NULL,Non_Wetland,Water
97,NULL,Built-up,NULL,Non_Wetland,Forest
98,NULL,Built-up,Non_Water,Non_Wetland,Grassland
99,NULL,Built-up,Non_Water,Non_Wetland,Bareland
100,NULL,Built-up,Non_Water,Non_Wetland,Built-up
101,NULL,Built-up,Non_Water,Non_Wetland,Forest
102,NULL,Built-up,Water,Non_Wetland,Grassland
103,NULL,Built-up,Water,Non_Wetland,Wetland
104,NULL,Built-up,Water,Non_Wetland,Bareland
105,NULL,Built-up,Water,Non_Wetland,Built-up
106,NULL,Built-up,Water,Non_Wetland,Forest
107,NULL,Water,NULL,Water,NULL
108,NULL,Water,NULL,Water,Grassland
109,NULL,Water,NULL,Water,Wetland
110,NULL,Water,NULL,Water,Bareland
111,NULL,Water,NULL,Water,Water
112,NULL,Water,NULL,Water,Forest
113,NULL,Water,Non_Water,Water,Grassland
114,NULL,Water,Non_Water,Water,Wetland
115,NULL,Water,Non_Water,Water,Water
116,NULL,Water,Water,Water,NULL
117,NULL,Water,Water,Water,Grassland
118,NULL,Water,Water,Water,Wetland
119,NULL,Water,Water,Water,Bareland
120,NULL,Water,Water,Water,Water
121,NULL,Water,Water,Water,Forest
122,NULL,Forest,NULL,Non_Wetland,NULL
123,NULL,Forest,NULL,Non_Wetland,Grassland
124,NULL,Forest,NULL,Non_Wetland,Wetland
125,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
126,NULL,Forest,NULL,Non_Wetland,Bareland
127,NULL,Forest,NULL,Non_Wetland,Built-up
128,NULL,Forest,NULL,Non_Wetland,Water
129,NULL,Forest,NULL,Non_Wetland,Forest
130,NULL,Forest,Non_Water,Non_Wetland,NULL
131,NULL,Forest,Non_Water,Non_Wetland,Grassland
132,NULL,Forest,Non_Water,Non_Wetland,Wetland
133,NULL,Forest,Non_Water,Non_Wetland,Bareland
134,NULL,Forest,Non_Water,Non_Wetland,Forest
135,NULL,Forest,Water,Non_Wetland,NULL
136,NULL,Forest,Water,Non_Wetland,Grassland
137,NULL,Forest,Water,Non_Wetland,Wetland
138,NULL,Forest,Water,Non_Wetland,Bareland
139,NULL,Forest,Water,Non_Wetland,Water
140,NULL,Forest,Water,Non_Wetland,Forest
141,Cropland,NULL,NULL,Non_Wetland,Grassland
142,Cropland,NULL,NULL,Non_Wetland,Wetland
143,Cropland,NULL,NULL,Non_Wetland,Forest
144,Cropland,Shrubland,NULL,Non_Wetland,NULL
145,Cropland,Shrubland,NULL,Non_Wetland,Grassland
146,Cropland,Shrubland,NULL,Non_Wetland,Wetland
147,Cropland,Shrubland,NULL,Non_Wetland,Built-up
148,Cropland,Shrubland,NULL,Non_Wetland,Forest
149,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
150,Cropland,Shrubland,Water,Non_Wetland,Forest
151,Cropland,Grassland,NULL,Non_Wetland,NULL
152,Cropland,Grassland,NULL,Non_Wetland,Grassland
153,Cropland,Grassland,NULL,Non_Wetland,Wetland
154,Cropland,Grassland,NULL,Non_Wetland,Bareland
155,Cropland,Grassland,NULL,Non_Wetland,Forest
156,Cropland,Grassland,Non_Water,Non_Wetland,Forest
157,Cropland,Wetland,NULL,Wetland,NULL
158,Cropland,Wetland,NULL,Wetland,Grassland
159,Cropland,Wetland,NULL,Wetland,Wetland
160,Cropland,Wetland,NULL,Wetland,Built-up
161,Cropland,Wetland,NULL,Wetland,Water
162,Cropland,Wetland,NULL,Wetland,Forest
163,Cropland,Wetland,Non_Water,Wetland,Grassland
164,Cropland,Wetland,Non_Water,Wetland,Wetland
165,Cropland,Wetland,Non_Water,Wetland,Forest
166,Cropland,Wetland,Water,Wetland,Grassland
167,Cropland,Wetland,Water,Wetland,Wetland
168,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
169,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
170,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
171,Cropland,Bareland,NULL,Non_Wetland,NULL
172,Cropland,Bareland,NULL,Non_Wetland,Grassland
173,Cropland,Bareland,NULL,Non_Wetland,Wetland
174,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
175,Cropland,Bareland,NULL,Non_Wetland,Bareland
176,Cropland,Bareland,NULL,Non_Wetland,Built-up
177,Cropland,Bareland,NULL,Non_Wetland,Water
178,Cropland,Bareland,NULL,Non_Wetland,Forest
179,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
180,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
181,Cropland,Bareland,Water,Non_Wetland,Wetland
182,Cropland,Bareland,Water,Non_Wetland,Forest
183,Cropland,Built-up,NULL,Non_Wetland,Grassland
184,Cropland,Built-up,NULL,Non_Wetland,Wetland
185,Cropland,Built-up,NULL,Non_Wetland,Bareland
186,Cropland,Built-up,NULL,Non_Wetland,Built-up
187,Cropland,Built-up,NULL,Non_Wetland,Forest
188,Cropland,Water,NULL,Water,Grassland
189,Cropland,Water,NULL,Water,Wetland
190,Cropland,Water,NULL,Water,Water
191,Cropland,Water,NULL,Water,Forest
192,Cropland,Water,Water,Water,Wetland
193,Cropland,Forest,NULL,Non_Wetland,NULL
194,Cropland,Forest,NULL,Non_Wetland,Grassland
195,Cropland,Forest,NULL,Non_Wetland,Wetland
196,Cropland,Forest,NULL,Non_Wetland,Bareland
197,Cropland,Forest,NULL,Non_Wetland,Built-up
198,Cropland,Forest,NULL,Non_Wetland,Water
199,Cropland,Forest,NULL,Non_Wetland,Forest
200,Cropland,Forest,Non_Water,Non_Wetland,Grassland
201,Cropland,Forest,Non_Water,Non_Wetland,Wetland
202,Cropland,Forest,Non_Water,Non_Wetland,Forest
203,Cropland,Forest,Water,Non_Wetland,Wetland
204,Cropland,Forest,Water,Non_Wetland,Forest
205,Wetland,NULL,NULL,Non_Wetland,NULL
206,Wetland,NULL,NULL,Non_Wetland,Grassland
207,Wetland,NULL,NULL,Non_Wetland,Wetland
208,Wetland,NULL,NULL,Non_Wetland,Water
209,Wetland,NULL,NULL,Non_Wetland,Forest
210,Wetland,NULL,Non_Water,Non_Wetland,Grassland
211,Wetland,NULL,Non_Water,Non_Wetland,Water
212,Wetland,NULL,Non_Water,Non_Wetland,Forest
213,Wetland,NULL,Water,Non_Wetland,Grassland
214,Wetland,NULL,Water,Non_Wetland,Wetland
215,Wetland,NULL,Water,Non_Wetland,Water
216,Wetland,NULL,Water,Non_Wetland,Forest
217,Wetland,Shrubland,NULL,Non_Wetland,NULL
218,Wetland,Shrubland,NULL,Non_Wetland,Grassland
219,Wetland,Shrubland,NULL,Non_Wetland,Wetland
220,Wetland,Shrubland,NULL,Non_Wetland,Bareland
221,Wetland,Shrubland,NULL,Non_Wetland,Built-up
222,Wetland,Shrubland,NULL,Non_Wetland,Water
223,Wetland,Shrubland,NULL,Non_Wetland,Forest
224,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
225,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
226,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
227,Wetland,Shrubland,Water,Non_Wetland,Grassland
228,Wetland,Shrubland,Water,Non_Wetland,Wetland
229,Wetland,Shrubland,Water,Non_Wetland,Water
230,Wetland,Shrubland,Water,Non_Wetland,Forest
231,Wetland,Grassland,NULL,Non_Wetland,NULL
232,Wetland,Grassland,NULL,Non_Wetland,Grassland
233,Wetland,Grassland,NULL,Non_Wetland,Wetland
234,Wetland,Grassland,NULL,Non_Wetland,Bareland
235,Wetland,Grassland,NULL,Non_Wetland,Built-up
236,Wetland,Grassland,NULL,Non_Wetland,Forest
237,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
238,Wetland,Grassland,Non_Water,Non_Wetland,Forest
239,Wetland,Grassland,Water,Non_Wetland,Grassland
240,Wetland,Grassland,Water,Non_Wetland,Wetland
241,Wetland,Grassland,Water,Non_Wetland,Forest
242,Wetland,Cropland,NULL,Non_Wetland,Forest
243,Wetland,Wetland,NULL,Wetland,NULL
244,Wetland,Wetland,NULL,Wetland,Grassland
245,Wetland,Wetland,NULL,Wetland,Wetland
246,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
247,Wetland,Wetland,NULL,Wetland,Bareland
248,Wetland,Wetland,NULL,Wetland,Built-up
249,Wetland,Wetland,NULL,Wetland,Water
250,Wetland,Wetland,NULL,Wetland,Forest
251,Wetland,Wetland,Non_Water,Wetland,NULL
252,Wetland,Wetland,Non_Water,Wetland,Grassland
253,Wetland,Wetland,Non_Water,Wetland,Wetland
254,Wetland,Wetland,Non_Water,Wetland,Bareland
255,Wetland,Wetland,Non_Water,Wetland,Built-up
256,Wetland,Wetland,Non_Water,Wetland,Water
257,Wetland,Wetland,Non_Water,Wetland,Forest
258,Wetland,Wetland,Water,Wetland,NULL
259,Wetland,Wetland,Water,Wetland,Grassland
260,Wetland,Wetland,Water,Wetland,Wetland
261,Wetland,Wetland,Water,Wetland,Bareland
262,Wetland,Wetland,Water,Wetland,Water
263,Wetland,Wetland,Water,Wetland,Forest
264,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
265,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
266,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
267,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
