Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,SIBERIA_2024_WorldCover_2021_43VFF_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,Grassland,NULL,Non_Wetland,Wetland
20,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,Grassland,NULL,Non_Wetland,Water
24,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,Grassland,Non_Water,Non_Wetland,Bareland
27,NULL,Grassland,Non_Water,Non_Wetland,Forest
28,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,Grassland,Water,Non_Wetland,Bareland
30,NULL,Grassland,Water,Non_Wetland,Forest
31,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,Cropland,NULL,Non_Wetland,Built-up
38,NULL,Cropland,NULL,Non_Wetland,Water
39,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,Cropland,Non_Water,Non_Wetland,Grassland
41,NULL,Cropland,Non_Water,Non_Wetland,Forest
42,NULL,Cropland,Water,Non_Wetland,Grassland
43,NULL,Cropland,Water,Non_Wetland,Wetland
44,NULL,Cropland,Water,Non_Wetland,Forest
45,NULL,Wetland,NULL,Wetland,NULL
46,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,Wetland,NULL,Wetland,Built-up
49,NULL,Wetland,NULL,Wetland,Water
50,NULL,Wetland,NULL,Wetland,Forest
51,NULL,Wetland,Non_Water,Wetland,NULL
52,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,Wetland,Non_Water,Wetland,Wetland
54,NULL,Wetland,Non_Water,Wetland,Forest
55,NULL,Wetland,Water,Wetland,NULL
56,NULL,Wetland,Water,Wetland,Grassland
57,NULL,Wetland,Water,Wetland,Wetland
58,NULL,Wetland,Water,Wetland,Forest
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
61,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,Bareland,NULL,Non_Wetland,Cropland
64,NULL,Bareland,NULL,Non_Wetland,Wetland
65,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
66,NULL,Bareland,NULL,Non_Wetland,Bareland
67,NULL,Bareland,NULL,Non_Wetland,Built-up
68,NULL,Bareland,NULL,Non_Wetland,Water
69,NULL,Bareland,NULL,Non_Wetland,Forest
70,NULL,Bareland,Non_Water,Non_Wetland,NULL
71,NULL,Bareland,Non_Water,Non_Wetland,Grassland
72,NULL,Bareland,Non_Water,Non_Wetland,Wetland
73,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
74,NULL,Bareland,Non_Water,Non_Wetland,Bareland
75,NULL,Bareland,Non_Water,Non_Wetland,Forest
76,NULL,Bareland,Water,Non_Wetland,Grassland
77,NULL,Bareland,Water,Non_Wetland,Wetland
78,NULL,Bareland,Water,Non_Wetland,Bareland
79,NULL,Bareland,Water,Non_Wetland,Water
80,NULL,Bareland,Water,Non_Wetland,Forest
81,NULL,Built-up,NULL,Non_Wetland,Grassland
82,NULL,Built-up,NULL,Non_Wetland,Cropland
83,NULL,Built-up,NULL,Non_Wetland,Wetland
84,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
85,NULL,Built-up,NULL,Non_Wetland,Bareland
86,NULL,Built-up,NULL,Non_Wetland,Built-up
87,NULL,Built-up,NULL,Non_Wetland,Forest
88,NULL,Built-up,Non_Water,Non_Wetland,Bareland
89,NULL,Built-up,Non_Water,Non_Wetland,Built-up
90,NULL,Built-up,Non_Water,Non_Wetland,Forest
91,NULL,Built-up,Water,Non_Wetland,Grassland
92,NULL,Built-up,Water,Non_Wetland,Built-up
93,NULL,Built-up,Water,Non_Wetland,Water
94,NULL,Built-up,Water,Non_Wetland,Forest
95,NULL,Water,NULL,Water,Grassland
96,NULL,Water,NULL,Water,Wetland
97,NULL,Water,NULL,Water,Water
98,NULL,Water,NULL,Water,Forest
99,NULL,Water,Non_Water,Water,Wetland
100,NULL,Water,Non_Water,Water,Forest
101,NULL,Water,Water,Water,Grassland
102,NULL,Water,Water,Water,Wetland
103,NULL,Water,Water,Water,Water
104,NULL,Water,Water,Water,Forest
105,NULL,Forest,NULL,Non_Wetland,NULL
106,NULL,Forest,NULL,Non_Wetland,Grassland
107,NULL,Forest,NULL,Non_Wetland,Cropland
108,NULL,Forest,NULL,Non_Wetland,Wetland
109,NULL,Forest,NULL,Non_Wetland,Bareland
110,NULL,Forest,NULL,Non_Wetland,Built-up
111,NULL,Forest,NULL,Non_Wetland,Water
112,NULL,Forest,NULL,Non_Wetland,Forest
113,NULL,Forest,Non_Water,Non_Wetland,NULL
114,NULL,Forest,Non_Water,Non_Wetland,Grassland
115,NULL,Forest,Non_Water,Non_Wetland,Cropland
116,NULL,Forest,Non_Water,Non_Wetland,Wetland
117,NULL,Forest,Non_Water,Non_Wetland,Forest
118,NULL,Forest,Water,Non_Wetland,NULL
119,NULL,Forest,Water,Non_Wetland,Grassland
120,NULL,Forest,Water,Non_Wetland,Cropland
121,NULL,Forest,Water,Non_Wetland,Wetland
122,NULL,Forest,Water,Non_Wetland,Water
123,NULL,Forest,Water,Non_Wetland,Forest
124,Cropland,NULL,NULL,Non_Wetland,Forest
125,Cropland,Cropland,NULL,Non_Wetland,Grassland
126,Cropland,Cropland,NULL,Non_Wetland,Wetland
127,Cropland,Wetland,NULL,Wetland,NULL
128,Cropland,Wetland,NULL,Wetland,Grassland
129,Cropland,Wetland,NULL,Wetland,Wetland
130,Cropland,Wetland,NULL,Wetland,Built-up
131,Cropland,Wetland,NULL,Wetland,Forest
132,Cropland,Bareland,NULL,Non_Wetland,Grassland
133,Cropland,Bareland,NULL,Non_Wetland,Wetland
134,Cropland,Bareland,NULL,Non_Wetland,Built-up
135,Cropland,Bareland,NULL,Non_Wetland,Forest
136,Cropland,Built-up,NULL,Non_Wetland,Grassland
137,Cropland,Built-up,NULL,Non_Wetland,Wetland
138,Cropland,Built-up,NULL,Non_Wetland,Built-up
139,Cropland,Built-up,NULL,Non_Wetland,Forest
140,Cropland,Forest,NULL,Non_Wetland,Grassland
141,Cropland,Forest,NULL,Non_Wetland,Wetland
142,Cropland,Forest,NULL,Non_Wetland,Built-up
143,Cropland,Forest,NULL,Non_Wetland,Forest
144,Wetland,NULL,NULL,Non_Wetland,Grassland
145,Wetland,NULL,NULL,Non_Wetland,Wetland
146,Wetland,NULL,NULL,Non_Wetland,Water
147,Wetland,NULL,NULL,Non_Wetland,Forest
148,Wetland,NULL,Non_Water,Non_Wetland,Grassland
149,Wetland,NULL,Non_Water,Non_Wetland,Wetland
150,Wetland,NULL,Non_Water,Non_Wetland,Water
151,Wetland,NULL,Non_Water,Non_Wetland,Forest
152,Wetland,NULL,Water,Non_Wetland,Grassland
153,Wetland,NULL,Water,Non_Wetland,Wetland
154,Wetland,NULL,Water,Non_Wetland,Water
155,Wetland,NULL,Water,Non_Wetland,Forest
156,Wetland,Shrubland,NULL,Non_Wetland,Grassland
157,Wetland,Shrubland,NULL,Non_Wetland,Forest
158,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
159,Wetland,Shrubland,Water,Non_Wetland,Forest
160,Wetland,Grassland,NULL,Non_Wetland,Grassland
161,Wetland,Grassland,NULL,Non_Wetland,Wetland
162,Wetland,Grassland,NULL,Non_Wetland,Bareland
163,Wetland,Grassland,NULL,Non_Wetland,Built-up
164,Wetland,Grassland,NULL,Non_Wetland,Forest
165,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
166,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
167,Wetland,Grassland,Non_Water,Non_Wetland,Forest
168,Wetland,Grassland,Water,Non_Wetland,Grassland
169,Wetland,Grassland,Water,Non_Wetland,Wetland
170,Wetland,Grassland,Water,Non_Wetland,Bareland
171,Wetland,Grassland,Water,Non_Wetland,Water
172,Wetland,Grassland,Water,Non_Wetland,Forest
173,Wetland,Cropland,NULL,Non_Wetland,Grassland
174,Wetland,Cropland,NULL,Non_Wetland,Wetland
175,Wetland,Cropland,NULL,Non_Wetland,Bareland
176,Wetland,Cropland,NULL,Non_Wetland,Built-up
177,Wetland,Cropland,NULL,Non_Wetland,Water
178,Wetland,Cropland,NULL,Non_Wetland,Forest
179,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
180,Wetland,Cropland,Non_Water,Non_Wetland,Water
181,Wetland,Cropland,Non_Water,Non_Wetland,Forest
182,Wetland,Cropland,Water,Non_Wetland,Grassland
183,Wetland,Cropland,Water,Non_Wetland,Wetland
184,Wetland,Cropland,Water,Non_Wetland,Water
185,Wetland,Cropland,Water,Non_Wetland,Forest
186,Wetland,Wetland,NULL,Wetland,NULL
187,Wetland,Wetland,NULL,Wetland,Grassland
188,Wetland,Wetland,NULL,Wetland,Wetland
189,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
190,Wetland,Wetland,NULL,Wetland,Bareland
191,Wetland,Wetland,NULL,Wetland,Built-up
192,Wetland,Wetland,NULL,Wetland,Water
193,Wetland,Wetland,NULL,Wetland,Forest
194,Wetland,Wetland,Non_Water,Wetland,NULL
195,Wetland,Wetland,Non_Water,Wetland,Grassland
196,Wetland,Wetland,Non_Water,Wetland,Wetland
197,Wetland,Wetland,Non_Water,Wetland,Water
198,Wetland,Wetland,Non_Water,Wetland,Forest
199,Wetland,Wetland,Water,Wetland,NULL
200,Wetland,Wetland,Water,Wetland,Grassland
201,Wetland,Wetland,Water,Wetland,Cropland
202,Wetland,Wetland,Water,Wetland,Wetland
203,Wetland,Wetland,Water,Wetland,Water
204,Wetland,Wetland,Water,Wetland,Forest
205,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
206,Wetland,Bareland,NULL,Non_Wetland,NULL
207,Wetland,Bareland,NULL,Non_Wetland,Grassland
208,Wetland,Bareland,NULL,Non_Wetland,Wetland
209,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
210,Wetland,Bareland,NULL,Non_Wetland,Bareland
211,Wetland,Bareland,NULL,Non_Wetland,Built-up
212,Wetland,Bareland,NULL,Non_Wetland,Water
213,Wetland,Bareland,NULL,Non_Wetland,Forest
214,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
215,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
216,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
217,Wetland,Bareland,Non_Water,Non_Wetland,Water
218,Wetland,Bareland,Non_Water,Non_Wetland,Forest
219,Wetland,Bareland,Water,Non_Wetland,Grassland
220,Wetland,Bareland,Water,Non_Wetland,Wetland
221,Wetland,Bareland,Water,Non_Wetland,Bareland
222,Wetland,Bareland,Water,Non_Wetland,Water
223,Wetland,Bareland,Water,Non_Wetland,Forest
224,Wetland,Built-up,NULL,Non_Wetland,Grassland
225,Wetland,Built-up,NULL,Non_Wetland,Wetland
226,Wetland,Built-up,NULL,Non_Wetland,Built-up
227,Wetland,Built-up,NULL,Non_Wetland,Forest
228,Wetland,Water,NULL,Water,NULL
229,Wetland,Water,NULL,Water,Grassland
230,Wetland,Water,NULL,Water,Wetland
231,Wetland,Water,NULL,Water,Water
232,Wetland,Water,NULL,Water,Forest
233,Wetland,Water,Non_Water,Water,Grassland
234,Wetland,Water,Non_Water,Water,Wetland
235,Wetland,Water,Non_Water,Water,Water
236,Wetland,Water,Non_Water,Water,Forest
237,Wetland,Water,Water,Water,Grassland
238,Wetland,Water,Water,Water,Wetland
239,Wetland,Water,Water,Water,Water
240,Wetland,Water,Water,Water,Forest
241,Wetland,Forest,NULL,Non_Wetland,NULL
242,Wetland,Forest,NULL,Non_Wetland,Grassland
243,Wetland,Forest,NULL,Non_Wetland,Cropland
244,Wetland,Forest,NULL,Non_Wetland,Wetland
245,Wetland,Forest,NULL,Non_Wetland,Bareland
246,Wetland,Forest,NULL,Non_Wetland,Water
247,Wetland,Forest,NULL,Non_Wetland,Forest
248,Wetland,Forest,Non_Water,Non_Wetland,Grassland
249,Wetland,Forest,Non_Water,Non_Wetland,Cropland
250,Wetland,Forest,Non_Water,Non_Wetland,Wetland
251,Wetland,Forest,Non_Water,Non_Wetland,Water
252,Wetland,Forest,Non_Water,Non_Wetland,Forest
253,Wetland,Forest,Water,Non_Wetland,Grassland
254,Wetland,Forest,Water,Non_Wetland,Cropland
255,Wetland,Forest,Water,Non_Wetland,Wetland
256,Wetland,Forest,Water,Non_Wetland,Water
257,Wetland,Forest,Water,Non_Wetland,Forest
258,Bareland,NULL,NULL,Non_Wetland,Water
259,Bareland,NULL,NULL,Non_Wetland,Forest
260,Bareland,NULL,Non_Water,Non_Wetland,Forest
261,Bareland,NULL,Water,Non_Wetland,Forest
262,Bareland,Grassland,NULL,Non_Wetland,Grassland
263,Bareland,Grassland,NULL,Non_Wetland,Water
264,Bareland,Grassland,NULL,Non_Wetland,Forest
265,Bareland,Cropland,NULL,Non_Wetland,Grassland
266,Bareland,Cropland,NULL,Non_Wetland,Built-up
267,Bareland,Cropland,NULL,Non_Wetland,Forest
268,Bareland,Wetland,NULL,Wetland,Wetland
269,Bareland,Wetland,NULL,Wetland,Water
270,Bareland,Wetland,NULL,Wetland,Forest
271,Bareland,Wetland,Water,Wetland,Water
272,Bareland,Bareland,NULL,Non_Wetland,Grassland
