Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUQ_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUQ_M_R,SIBERIA_2024_WorldCover_2021_42VUQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,Cropland,Non_Water,Non_Wetland,Wetland
52,NULL,Cropland,Non_Water,Non_Wetland,Bareland
53,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,Cropland,Water,Non_Wetland,Wetland
55,NULL,Cropland,Water,Non_Wetland,Bareland
56,NULL,Wetland,NULL,Wetland,NULL
57,NULL,Wetland,NULL,Wetland,Grassland
58,NULL,Wetland,NULL,Wetland,Cropland
59,NULL,Wetland,NULL,Wetland,Wetland
60,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
61,NULL,Wetland,NULL,Wetland,Bareland
62,NULL,Wetland,NULL,Wetland,Built-up
63,NULL,Wetland,NULL,Wetland,Water
64,NULL,Wetland,NULL,Wetland,Forest
65,NULL,Wetland,Non_Water,Wetland,NULL
66,NULL,Wetland,Non_Water,Wetland,Grassland
67,NULL,Wetland,Non_Water,Wetland,Cropland
68,NULL,Wetland,Non_Water,Wetland,Wetland
69,NULL,Wetland,Non_Water,Wetland,Water
70,NULL,Wetland,Non_Water,Wetland,Forest
71,NULL,Wetland,Water,Wetland,NULL
72,NULL,Wetland,Water,Wetland,Grassland
73,NULL,Wetland,Water,Wetland,Cropland
74,NULL,Wetland,Water,Wetland,Wetland
75,NULL,Wetland,Water,Wetland,Bareland
76,NULL,Wetland,Water,Wetland,Water
77,NULL,Wetland,Water,Wetland,Forest
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
85,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
89,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
90,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
91,NULL,Bareland,NULL,Non_Wetland,NULL
92,NULL,Bareland,NULL,Non_Wetland,Grassland
93,NULL,Bareland,NULL,Non_Wetland,Cropland
94,NULL,Bareland,NULL,Non_Wetland,Wetland
95,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
96,NULL,Bareland,NULL,Non_Wetland,Bareland
97,NULL,Bareland,NULL,Non_Wetland,Built-up
98,NULL,Bareland,NULL,Non_Wetland,Water
99,NULL,Bareland,NULL,Non_Wetland,Forest
100,NULL,Bareland,Non_Water,Non_Wetland,Grassland
101,NULL,Bareland,Non_Water,Non_Wetland,Wetland
102,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,Non_Water,Non_Wetland,Bareland
104,NULL,Bareland,Non_Water,Non_Wetland,Built-up
105,NULL,Bareland,Non_Water,Non_Wetland,Water
106,NULL,Bareland,Non_Water,Non_Wetland,Forest
107,NULL,Bareland,Water,Non_Wetland,Grassland
108,NULL,Bareland,Water,Non_Wetland,Wetland
109,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,Water,Non_Wetland,Bareland
111,NULL,Bareland,Water,Non_Wetland,Water
112,NULL,Bareland,Water,Non_Wetland,Forest
113,NULL,Built-up,NULL,Non_Wetland,NULL
114,NULL,Built-up,NULL,Non_Wetland,Grassland
115,NULL,Built-up,NULL,Non_Wetland,Wetland
116,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
117,NULL,Built-up,NULL,Non_Wetland,Bareland
118,NULL,Built-up,NULL,Non_Wetland,Built-up
119,NULL,Built-up,NULL,Non_Wetland,Water
120,NULL,Built-up,NULL,Non_Wetland,Forest
121,NULL,Built-up,Non_Water,Non_Wetland,Grassland
122,NULL,Built-up,Non_Water,Non_Wetland,Wetland
123,NULL,Built-up,Non_Water,Non_Wetland,Bareland
124,NULL,Built-up,Non_Water,Non_Wetland,Built-up
125,NULL,Built-up,Non_Water,Non_Wetland,Water
126,NULL,Built-up,Non_Water,Non_Wetland,Forest
127,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
128,NULL,Built-up,Water,Non_Wetland,Bareland
129,NULL,Built-up,Water,Non_Wetland,Built-up
130,NULL,Built-up,Water,Non_Wetland,Water
131,NULL,Water,NULL,Water,NULL
132,NULL,Water,NULL,Water,Grassland
133,NULL,Water,NULL,Water,Wetland
134,NULL,Water,NULL,Water,Lichens_and_Mosses
135,NULL,Water,NULL,Water,Bareland
136,NULL,Water,NULL,Water,Water
137,NULL,Water,NULL,Water,Forest
138,NULL,Water,Non_Water,Water,Grassland
139,NULL,Water,Non_Water,Water,Wetland
140,NULL,Water,Non_Water,Water,Bareland
141,NULL,Water,Non_Water,Water,Water
142,NULL,Water,Water,Water,NULL
143,NULL,Water,Water,Water,Grassland
144,NULL,Water,Water,Water,Wetland
145,NULL,Water,Water,Water,Bareland
146,NULL,Water,Water,Water,Water
147,NULL,Water,Water,Water,Forest
148,NULL,Forest,NULL,Non_Wetland,NULL
149,NULL,Forest,NULL,Non_Wetland,Grassland
150,NULL,Forest,NULL,Non_Wetland,Cropland
151,NULL,Forest,NULL,Non_Wetland,Wetland
152,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
153,NULL,Forest,NULL,Non_Wetland,Bareland
154,NULL,Forest,NULL,Non_Wetland,Built-up
155,NULL,Forest,NULL,Non_Wetland,Water
156,NULL,Forest,NULL,Non_Wetland,Forest
157,NULL,Forest,Non_Water,Non_Wetland,Grassland
158,NULL,Forest,Non_Water,Non_Wetland,Wetland
159,NULL,Forest,Non_Water,Non_Wetland,Water
160,NULL,Forest,Non_Water,Non_Wetland,Forest
161,NULL,Forest,Water,Non_Wetland,Grassland
162,NULL,Forest,Water,Non_Wetland,Wetland
163,NULL,Forest,Water,Non_Wetland,Bareland
164,NULL,Forest,Water,Non_Wetland,Water
165,NULL,Forest,Water,Non_Wetland,Forest
166,Cropland,NULL,NULL,Non_Wetland,NULL
167,Cropland,NULL,NULL,Non_Wetland,Grassland
168,Cropland,NULL,NULL,Non_Wetland,Wetland
169,Cropland,NULL,NULL,Non_Wetland,Forest
170,Cropland,Shrubland,NULL,Non_Wetland,NULL
171,Cropland,Shrubland,NULL,Non_Wetland,Grassland
172,Cropland,Shrubland,NULL,Non_Wetland,Wetland
173,Cropland,Shrubland,NULL,Non_Wetland,Built-up
174,Cropland,Shrubland,NULL,Non_Wetland,Forest
175,Cropland,Cropland,NULL,Non_Wetland,Grassland
176,Cropland,Cropland,NULL,Non_Wetland,Wetland
177,Cropland,Cropland,NULL,Non_Wetland,Bareland
178,Cropland,Cropland,NULL,Non_Wetland,Forest
179,Cropland,Wetland,NULL,Wetland,NULL
180,Cropland,Wetland,NULL,Wetland,Grassland
181,Cropland,Wetland,NULL,Wetland,Wetland
182,Cropland,Wetland,NULL,Wetland,Built-up
183,Cropland,Wetland,NULL,Wetland,Water
184,Cropland,Wetland,NULL,Wetland,Forest
185,Cropland,Wetland,Non_Water,Wetland,Grassland
186,Cropland,Wetland,Non_Water,Wetland,Wetland
187,Cropland,Wetland,Water,Wetland,Wetland
188,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
189,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
190,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
191,Cropland,Bareland,NULL,Non_Wetland,NULL
192,Cropland,Bareland,NULL,Non_Wetland,Grassland
193,Cropland,Bareland,NULL,Non_Wetland,Wetland
194,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
195,Cropland,Bareland,NULL,Non_Wetland,Bareland
196,Cropland,Bareland,NULL,Non_Wetland,Built-up
197,Cropland,Bareland,NULL,Non_Wetland,Forest
198,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
199,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
200,Cropland,Bareland,Non_Water,Non_Wetland,Forest
201,Cropland,Built-up,NULL,Non_Wetland,Grassland
202,Cropland,Built-up,NULL,Non_Wetland,Wetland
203,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
204,Cropland,Built-up,NULL,Non_Wetland,Bareland
205,Cropland,Built-up,NULL,Non_Wetland,Built-up
206,Cropland,Built-up,NULL,Non_Wetland,Forest
207,Cropland,Water,NULL,Water,Water
208,Cropland,Water,Water,Water,Water
209,Cropland,Forest,NULL,Non_Wetland,NULL
210,Cropland,Forest,NULL,Non_Wetland,Grassland
211,Cropland,Forest,NULL,Non_Wetland,Wetland
212,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
213,Cropland,Forest,NULL,Non_Wetland,Built-up
214,Cropland,Forest,NULL,Non_Wetland,Water
215,Cropland,Forest,NULL,Non_Wetland,Forest
216,Cropland,Forest,Non_Water,Non_Wetland,Grassland
217,Cropland,Forest,Non_Water,Non_Wetland,Wetland
218,Cropland,Forest,Non_Water,Non_Wetland,Forest
219,Wetland,NULL,NULL,Non_Wetland,NULL
220,Wetland,NULL,NULL,Non_Wetland,Grassland
221,Wetland,NULL,NULL,Non_Wetland,Wetland
222,Wetland,NULL,NULL,Non_Wetland,Water
223,Wetland,NULL,NULL,Non_Wetland,Forest
224,Wetland,NULL,Non_Water,Non_Wetland,Grassland
225,Wetland,NULL,Non_Water,Non_Wetland,Wetland
226,Wetland,NULL,Non_Water,Non_Wetland,Water
227,Wetland,NULL,Non_Water,Non_Wetland,Forest
228,Wetland,NULL,Water,Non_Wetland,Grassland
229,Wetland,NULL,Water,Non_Wetland,Wetland
230,Wetland,NULL,Water,Non_Wetland,Water
231,Wetland,NULL,Water,Non_Wetland,Forest
232,Wetland,Shrubland,NULL,Non_Wetland,NULL
233,Wetland,Shrubland,NULL,Non_Wetland,Grassland
234,Wetland,Shrubland,NULL,Non_Wetland,Wetland
235,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
236,Wetland,Shrubland,NULL,Non_Wetland,Built-up
237,Wetland,Shrubland,NULL,Non_Wetland,Water
238,Wetland,Shrubland,NULL,Non_Wetland,Forest
239,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
240,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
241,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
242,Wetland,Shrubland,Non_Water,Non_Wetland,Water
243,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
244,Wetland,Shrubland,Water,Non_Wetland,Grassland
245,Wetland,Shrubland,Water,Non_Wetland,Wetland
246,Wetland,Shrubland,Water,Non_Wetland,Water
247,Wetland,Shrubland,Water,Non_Wetland,Forest
248,Wetland,Grassland,NULL,Non_Wetland,Grassland
249,Wetland,Grassland,NULL,Non_Wetland,Wetland
250,Wetland,Grassland,NULL,Non_Wetland,Built-up
251,Wetland,Grassland,NULL,Non_Wetland,Water
252,Wetland,Grassland,NULL,Non_Wetland,Forest
253,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
254,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
255,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
256,Wetland,Grassland,Non_Water,Non_Wetland,Forest
257,Wetland,Grassland,Water,Non_Wetland,Grassland
258,Wetland,Grassland,Water,Non_Wetland,Wetland
259,Wetland,Grassland,Water,Non_Wetland,Bareland
260,Wetland,Grassland,Water,Non_Wetland,Water
261,Wetland,Cropland,NULL,Non_Wetland,Grassland
262,Wetland,Cropland,NULL,Non_Wetland,Cropland
