Value,SIBERIA_2024_ESA_CALU_2024_43WFQ_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFQ_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,SIBERIA_2024_WorldCover_2021_43WFQ_M_R
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
112,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
113,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
114,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
115,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
116,NULL,NULL,Built-up,Water,Non_Wetland,Water
117,NULL,NULL,Water,NULL,Water,Grassland
118,NULL,NULL,Water,NULL,Water,Wetland
119,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
120,NULL,NULL,Water,NULL,Water,Built-up
121,NULL,NULL,Water,NULL,Water,Water
122,NULL,NULL,Water,NULL,Water,Forest
123,NULL,NULL,Water,Non_Water,Water,Grassland
124,NULL,NULL,Water,Non_Water,Water,Wetland
125,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
126,NULL,NULL,Water,Non_Water,Water,Bareland
127,NULL,NULL,Water,Non_Water,Water,Water
128,NULL,NULL,Water,Non_Water,Water,Forest
129,NULL,NULL,Water,Water,NULL,Wetland
130,NULL,NULL,Water,Water,Water,Grassland
131,NULL,NULL,Water,Water,Water,Wetland
132,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
133,NULL,NULL,Water,Water,Water,Bareland
134,NULL,NULL,Water,Water,Water,Water
135,NULL,NULL,Water,Water,Water,Forest
136,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
137,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
138,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
139,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
140,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
141,NULL,NULL,Forest,NULL,Non_Wetland,Water
142,NULL,NULL,Forest,NULL,Non_Wetland,Forest
143,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
145,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
146,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
147,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
148,NULL,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
151,NULL,NULL,Forest,Water,Non_Wetland,Bareland
152,NULL,NULL,Forest,Water,Non_Wetland,Water
153,NULL,NULL,Forest,Water,Non_Wetland,Forest
154,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
155,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
156,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
157,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland
158,NULL,Wetland,NULL,NULL,Non_Wetland,Water
159,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
160,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
161,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
162,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
163,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland
164,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
165,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
166,NULL,Wetland,NULL,Water,Non_Wetland,NULL
167,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
168,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
169,NULL,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
170,NULL,Wetland,NULL,Water,Non_Wetland,Bareland
171,NULL,Wetland,NULL,Water,Non_Wetland,Water
172,NULL,Wetland,NULL,Water,Non_Wetland,Forest
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
174,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
175,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
176,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
177,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
178,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
179,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
180,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
181,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
182,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
183,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
184,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
185,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
186,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
187,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
188,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
189,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
190,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
191,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
192,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
193,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
194,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
195,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
196,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
197,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
198,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
199,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
200,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
201,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
202,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
203,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
204,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
205,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
206,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
207,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
208,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
209,NULL,Wetland,Grassland,Water,Non_Wetland,Water
210,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
211,NULL,Wetland,Wetland,NULL,NULL,Grassland
212,NULL,Wetland,Wetland,NULL,NULL,Wetland
213,NULL,Wetland,Wetland,NULL,NULL,Water
214,NULL,Wetland,Wetland,NULL,Wetland,NULL
215,NULL,Wetland,Wetland,NULL,Wetland,Grassland
216,NULL,Wetland,Wetland,NULL,Wetland,Wetland
217,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
218,NULL,Wetland,Wetland,NULL,Wetland,Bareland
219,NULL,Wetland,Wetland,NULL,Wetland,Water
220,NULL,Wetland,Wetland,NULL,Wetland,Forest
221,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
222,NULL,Wetland,Wetland,Non_Water,NULL,Water
223,NULL,Wetland,Wetland,Non_Water,NULL,Forest
224,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
225,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
226,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
227,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
228,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
229,NULL,Wetland,Wetland,Non_Water,Wetland,Water
230,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
231,NULL,Wetland,Wetland,Water,NULL,Wetland
232,NULL,Wetland,Wetland,Water,NULL,Water
233,NULL,Wetland,Wetland,Water,Wetland,NULL
234,NULL,Wetland,Wetland,Water,Wetland,Grassland
235,NULL,Wetland,Wetland,Water,Wetland,Wetland
236,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
237,NULL,Wetland,Wetland,Water,Wetland,Bareland
238,NULL,Wetland,Wetland,Water,Wetland,Water
239,NULL,Wetland,Wetland,Water,Wetland,Forest
240,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
241,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
242,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
243,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
244,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
245,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
246,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
247,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
248,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
249,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
250,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
251,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
252,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
253,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
254,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
255,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
256,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
257,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
258,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
259,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
260,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
261,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
262,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
263,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
264,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
265,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
266,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
267,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
268,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
269,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
270,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
271,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
272,NULL,Wetland,Bareland,Water,Non_Wetland,NULL
273,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
274,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
275,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
276,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
277,NULL,Wetland,Bareland,Water,Non_Wetland,Water
278,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
279,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
280,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
281,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
282,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
283,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
284,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
285,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
286,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
287,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
288,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
289,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
290,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
291,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
292,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
293,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
294,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
295,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
296,NULL,Wetland,Built-up,Water,Non_Wetland,Water
297,NULL,Wetland,Water,NULL,NULL,Wetland
298,NULL,Wetland,Water,NULL,Water,NULL
299,NULL,Wetland,Water,NULL,Water,Grassland
300,NULL,Wetland,Water,NULL,Water,Wetland
301,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
302,NULL,Wetland,Water,NULL,Water,Bareland
303,NULL,Wetland,Water,NULL,Water,Built-up
304,NULL,Wetland,Water,NULL,Water,Water
305,NULL,Wetland,Water,NULL,Water,Forest
306,NULL,Wetland,Water,Non_Water,NULL,Wetland
307,NULL,Wetland,Water,Non_Water,NULL,Water
308,NULL,Wetland,Water,Non_Water,Water,Grassland
309,NULL,Wetland,Water,Non_Water,Water,Wetland
310,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
311,NULL,Wetland,Water,Non_Water,Water,Bareland
312,NULL,Wetland,Water,Non_Water,Water,Water
313,NULL,Wetland,Water,Non_Water,Water,Forest
314,NULL,Wetland,Water,Water,NULL,Grassland
315,NULL,Wetland,Water,Water,NULL,Wetland
316,NULL,Wetland,Water,Water,NULL,Water
317,NULL,Wetland,Water,Water,NULL,Forest
318,NULL,Wetland,Water,Water,Water,NULL
319,NULL,Wetland,Water,Water,Water,Grassland
320,NULL,Wetland,Water,Water,Water,Wetland
321,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
322,NULL,Wetland,Water,Water,Water,Bareland
323,NULL,Wetland,Water,Water,Water,Water
324,NULL,Wetland,Water,Water,Water,Forest
325,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
326,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
327,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
328,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
329,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
330,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
331,NULL,Wetland,Forest,NULL,Non_Wetland,Water
332,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
333,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
334,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
335,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
336,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
337,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
338,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
339,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
340,NULL,Wetland,Forest,Water,Non_Wetland,NULL
341,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
342,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
343,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
344,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
345,NULL,Wetland,Forest,Water,Non_Wetland,Water
346,NULL,Wetland,Forest,Water,Non_Wetland,Forest
347,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
348,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
349,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
350,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
351,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
352,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
353,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
354,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
355,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
356,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
357,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
358,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
359,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
360,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
361,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
362,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
363,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
364,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Wetland
365,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
366,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
367,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
368,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland
369,NULL,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
370,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
371,NULL,Bareland,Grassland,Water,Non_Wetland,Water
372,NULL,Bareland,Wetland,NULL,Wetland,Grassland
373,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
374,NULL,Bareland,Wetland,NULL,Wetland,Bareland
375,NULL,Bareland,Wetland,NULL,Wetland,Water
376,NULL,Bareland,Wetland,NULL,Wetland,Forest
377,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
378,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
379,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
380,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
381,NULL,Bareland,Wetland,Non_Water,Wetland,Water
382,NULL,Bareland,Wetland,Water,Wetland,Grassland
383,NULL,Bareland,Wetland,Water,Wetland,Wetland
384,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
385,NULL,Bareland,Wetland,Water,Wetland,Bareland
386,NULL,Bareland,Wetland,Water,Wetland,Water
387,NULL,Bareland,Wetland,Water,Wetland,Forest
388,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
389,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
390,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
391,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
392,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
393,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
394,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
395,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
396,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
397,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
398,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
399,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
400,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
401,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
402,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
403,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
404,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
405,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
406,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
407,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
408,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
409,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
410,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
