Value,SIBERIA_2024_ESA_CALU_2024_43XDB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43XDB_M_R,SIBERIA_2024_GLC_FCS30D_2022_43XDB_M_R,SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,SIBERIA_2024_WorldCover_2021_43XDB_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
3,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
6,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
7,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Grassland,NULL,Non_Wetland,Water
11,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
13,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
14,NULL,NULL,Wetland,NULL,NULL,Grassland
15,NULL,NULL,Wetland,NULL,NULL,Wetland
16,NULL,NULL,Wetland,NULL,Wetland,Grassland
17,NULL,NULL,Wetland,NULL,Wetland,Wetland
18,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
19,NULL,NULL,Wetland,NULL,Wetland,Bareland
20,NULL,NULL,Wetland,NULL,Wetland,Water
21,NULL,NULL,Wetland,Non_Water,NULL,Grassland
22,NULL,NULL,Wetland,Non_Water,NULL,Water
23,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
24,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
25,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
26,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
27,NULL,NULL,Wetland,Non_Water,Wetland,Water
28,NULL,NULL,Wetland,Water,NULL,NULL
29,NULL,NULL,Wetland,Water,NULL,Grassland
30,NULL,NULL,Wetland,Water,NULL,Water
31,NULL,NULL,Wetland,Water,Wetland,Grassland
32,NULL,NULL,Wetland,Water,Wetland,Wetland
33,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
34,NULL,NULL,Wetland,Water,Wetland,Bareland
35,NULL,NULL,Wetland,Water,Wetland,Water
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
41,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
43,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
44,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
45,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
46,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
47,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
48,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
49,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
50,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Water
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
60,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
61,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
62,NULL,NULL,Bareland,Water,Non_Wetland,Water
63,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
66,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Water
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
70,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
71,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
72,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
73,NULL,NULL,Water,NULL,NULL,NULL
74,NULL,NULL,Water,NULL,NULL,Water
75,NULL,NULL,Water,NULL,Water,Grassland
76,NULL,NULL,Water,NULL,Water,Wetland
77,NULL,NULL,Water,NULL,Water,Bareland
78,NULL,NULL,Water,NULL,Water,Water
79,NULL,NULL,Water,Non_Water,NULL,Water
80,NULL,NULL,Water,Non_Water,Water,Wetland
81,NULL,NULL,Water,Non_Water,Water,Bareland
82,NULL,NULL,Water,Non_Water,Water,Water
83,NULL,NULL,Water,Water,NULL,NULL
84,NULL,NULL,Water,Water,NULL,Water
85,NULL,NULL,Water,Water,Water,Grassland
86,NULL,NULL,Water,Water,Water,Wetland
87,NULL,NULL,Water,Water,Water,Bareland
88,NULL,NULL,Water,Water,Water,Water
89,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
91,NULL,NULL,Forest,NULL,Non_Wetland,Water
92,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
94,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
95,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
96,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
97,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
98,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
99,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
100,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
101,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
102,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
103,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
104,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
106,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
107,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
108,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
109,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
110,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
111,NULL,Wetland,Grassland,Water,Non_Wetland,Water
112,NULL,Wetland,Wetland,NULL,NULL,Wetland
113,NULL,Wetland,Wetland,NULL,Wetland,Grassland
114,NULL,Wetland,Wetland,NULL,Wetland,Wetland
115,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
116,NULL,Wetland,Wetland,NULL,Wetland,Bareland
117,NULL,Wetland,Wetland,NULL,Wetland,Water
118,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
119,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
120,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
121,NULL,Wetland,Wetland,Non_Water,Wetland,Water
122,NULL,Wetland,Wetland,Water,Wetland,Grassland
123,NULL,Wetland,Wetland,Water,Wetland,Wetland
124,NULL,Wetland,Wetland,Water,Wetland,Bareland
125,NULL,Wetland,Wetland,Water,Wetland,Water
126,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
127,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
128,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
129,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
130,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
131,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
132,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
133,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
134,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
135,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
136,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
137,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
138,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
139,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
140,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
141,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
142,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
143,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
144,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
145,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
146,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
147,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
148,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
149,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
150,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
151,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
152,NULL,Wetland,Bareland,Water,Non_Wetland,Water
153,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
154,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
155,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
156,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
157,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
158,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
159,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
160,NULL,Wetland,Water,NULL,NULL,Wetland
161,NULL,Wetland,Water,NULL,Water,Wetland
162,NULL,Wetland,Water,NULL,Water,Bareland
163,NULL,Wetland,Water,NULL,Water,Water
164,NULL,Wetland,Water,Non_Water,Water,Wetland
165,NULL,Wetland,Water,Non_Water,Water,Water
166,NULL,Wetland,Water,Water,Water,Wetland
167,NULL,Wetland,Water,Water,Water,Bareland
168,NULL,Wetland,Water,Water,Water,Water
169,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
170,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
171,NULL,Wetland,Forest,NULL,Non_Wetland,Water
172,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
173,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
174,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
175,NULL,Wetland,Forest,Water,Non_Wetland,Water
176,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
177,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
178,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
179,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
180,NULL,Bareland,Wetland,NULL,NULL,Bareland
181,NULL,Bareland,Wetland,NULL,Wetland,Wetland
182,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
183,NULL,Bareland,Wetland,NULL,Wetland,Bareland
184,NULL,Bareland,Wetland,NULL,Wetland,Water
185,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
186,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
187,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
188,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
189,NULL,Bareland,Wetland,Non_Water,Wetland,Water
190,NULL,Bareland,Wetland,Water,NULL,Bareland
191,NULL,Bareland,Wetland,Water,Wetland,Grassland
