Value,SIBERIA_2024_ESA_CALU_2024_41WPS_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPS_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPS_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPS_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPS_M_R,SIBERIA_2024_WorldCover_2021_41WPS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,NULL,Water,Non_Wetland,Bareland
14,NULL,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
48,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
49,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
50,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
51,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
52,NULL,NULL,Grassland,Water,Non_Wetland,Water
53,NULL,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,NULL,Wetland,NULL,NULL,Water
55,NULL,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
58,NULL,NULL,Wetland,NULL,Wetland,Bareland
59,NULL,NULL,Wetland,NULL,Wetland,Water
60,NULL,NULL,Wetland,NULL,Wetland,Forest
61,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
62,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
63,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
64,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
65,NULL,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,NULL,Wetland,Water,NULL,Bareland
68,NULL,NULL,Wetland,Water,NULL,Water
69,NULL,NULL,Wetland,Water,Wetland,Grassland
70,NULL,NULL,Wetland,Water,Wetland,Wetland
71,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
72,NULL,NULL,Wetland,Water,Wetland,Bareland
73,NULL,NULL,Wetland,Water,Wetland,Water
74,NULL,NULL,Wetland,Water,Wetland,Forest
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
86,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
87,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
89,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
90,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
92,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
93,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
94,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
96,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
97,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
98,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
99,NULL,NULL,Bareland,NULL,Non_Wetland,Water
100,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
101,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
