Value,SIBERIA_2024_ESA_CALU_2024_44XNG_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44XNG_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XNG_M_R,SIBERIA_2024_GSW_Yearly_2021_44XNG_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XNG_M_R,SIBERIA_2024_WorldCover_2021_44XNG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
31,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,Water
34,NULL,NULL,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,NULL,NULL,Wetland
36,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
37,NULL,NULL,Wetland,NULL,NULL,Bareland
38,NULL,NULL,Wetland,NULL,NULL,Water
39,NULL,NULL,Wetland,NULL,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Wetland
41,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
42,NULL,NULL,Wetland,NULL,Wetland,Bareland
43,NULL,NULL,Wetland,NULL,Wetland,Water
44,NULL,NULL,Wetland,NULL,Wetland,Forest
45,NULL,NULL,Wetland,Non_Water,NULL,Grassland
46,NULL,NULL,Wetland,Non_Water,NULL,Wetland
47,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
48,NULL,NULL,Wetland,Non_Water,NULL,Bareland
49,NULL,NULL,Wetland,Non_Water,NULL,Water
50,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
51,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
52,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
53,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
54,NULL,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,NULL,Wetland,Water,NULL,Grassland
56,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
57,NULL,NULL,Wetland,Water,NULL,Bareland
58,NULL,NULL,Wetland,Water,NULL,Water
59,NULL,NULL,Wetland,Water,Wetland,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Wetland
61,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
62,NULL,NULL,Wetland,Water,Wetland,Bareland
63,NULL,NULL,Wetland,Water,Wetland,Water
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
70,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
73,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
76,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
81,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Water
86,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
92,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
96,NULL,NULL,Bareland,Water,Non_Wetland,Water
97,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
100,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Water
102,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
108,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
109,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
110,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
111,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
112,NULL,NULL,Built-up,Water,Non_Wetland,Water
113,NULL,NULL,Water,NULL,NULL,NULL
114,NULL,NULL,Water,NULL,NULL,Grassland
115,NULL,NULL,Water,NULL,NULL,Water
116,NULL,NULL,Water,NULL,Water,Grassland
117,NULL,NULL,Water,NULL,Water,Wetland
118,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
119,NULL,NULL,Water,NULL,Water,Bareland
120,NULL,NULL,Water,NULL,Water,Water
121,NULL,NULL,Water,NULL,Water,Forest
122,NULL,NULL,Water,Non_Water,Water,Grassland
123,NULL,NULL,Water,Non_Water,Water,Wetland
124,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
125,NULL,NULL,Water,Non_Water,Water,Bareland
