Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWU_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWU_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWU_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWU_M_R,SIBERIA_2024_WorldCover_2021_42WWU_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Water,Non_Wetland,Built-up
27,NULL,Shrubland,Water,Non_Wetland,Water
28,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
32,NULL,Grassland,NULL,Non_Wetland,Bareland
33,NULL,Grassland,NULL,Non_Wetland,Built-up
34,NULL,Grassland,NULL,Non_Wetland,Water
35,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,Non_Water,Non_Wetland,Water
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,Wetland,NULL,NULL,Grassland
45,NULL,Wetland,NULL,NULL,Wetland
46,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
47,NULL,Wetland,NULL,NULL,Forest
48,NULL,Wetland,NULL,Wetland,NULL
49,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,Wetland,NULL,Wetland,Wetland
51,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
52,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,Wetland,NULL,Wetland,Built-up
54,NULL,Wetland,NULL,Wetland,Water
55,NULL,Wetland,NULL,Wetland,Forest
56,NULL,Wetland,Non_Water,NULL,Wetland
57,NULL,Wetland,Non_Water,Wetland,NULL
58,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,Wetland,Non_Water,Wetland,Wetland
60,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
61,NULL,Wetland,Non_Water,Wetland,Water
62,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,Wetland,Water,NULL,Grassland
64,NULL,Wetland,Water,NULL,Forest
65,NULL,Wetland,Water,Wetland,Grassland
66,NULL,Wetland,Water,Wetland,Wetland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
87,NULL,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,NULL,Non_Wetland,Wetland
89,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,NULL,Non_Wetland,Bareland
91,NULL,Bareland,NULL,Non_Wetland,Built-up
92,NULL,Bareland,NULL,Non_Wetland,Water
93,NULL,Bareland,NULL,Non_Wetland,Forest
94,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,Bareland,Non_Water,Non_Wetland,Wetland
96,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Non_Water,Non_Wetland,Bareland
98,NULL,Bareland,Non_Water,Non_Wetland,Water
99,NULL,Bareland,Non_Water,Non_Wetland,Forest
100,NULL,Bareland,Water,Non_Wetland,Grassland
101,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,Water,Non_Wetland,Bareland
104,NULL,Bareland,Water,Non_Wetland,Water
105,NULL,Built-up,NULL,Non_Wetland,Grassland
106,NULL,Built-up,NULL,Non_Wetland,Wetland
107,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
108,NULL,Built-up,NULL,Non_Wetland,Bareland
109,NULL,Built-up,NULL,Non_Wetland,Built-up
110,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,Built-up,Non_Water,Non_Wetland,Forest
112,NULL,Water,NULL,Water,Grassland
113,NULL,Water,NULL,Water,Wetland
114,NULL,Water,NULL,Water,Lichens_and_Mosses
115,NULL,Water,NULL,Water,Water
116,NULL,Water,NULL,Water,Forest
117,NULL,Water,Non_Water,Water,Grassland
118,NULL,Water,Non_Water,Water,Wetland
119,NULL,Water,Non_Water,Water,Bareland
120,NULL,Water,Non_Water,Water,Water
121,NULL,Water,Water,Water,Grassland
122,NULL,Water,Water,Water,Wetland
123,NULL,Water,Water,Water,Water
124,NULL,Water,Water,Water,Forest
125,NULL,Forest,NULL,Non_Wetland,NULL
126,NULL,Forest,NULL,Non_Wetland,Grassland
127,NULL,Forest,NULL,Non_Wetland,Wetland
128,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
129,NULL,Forest,NULL,Non_Wetland,Bareland
130,NULL,Forest,NULL,Non_Wetland,Built-up
131,NULL,Forest,NULL,Non_Wetland,Water
132,NULL,Forest,NULL,Non_Wetland,Forest
133,NULL,Forest,Non_Water,Non_Wetland,NULL
134,NULL,Forest,Non_Water,Non_Wetland,Grassland
135,NULL,Forest,Non_Water,Non_Wetland,Wetland
136,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
137,NULL,Forest,Non_Water,Non_Wetland,Water
138,NULL,Forest,Non_Water,Non_Wetland,Forest
139,NULL,Forest,Water,Non_Wetland,Grassland
140,NULL,Forest,Water,Non_Wetland,Wetland
141,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,Water,Non_Wetland,Bareland
143,NULL,Forest,Water,Non_Wetland,Built-up
144,NULL,Forest,Water,Non_Wetland,Water
145,NULL,Forest,Water,Non_Wetland,Forest
146,Cropland,Shrubland,NULL,Non_Wetland,Wetland
147,Cropland,Shrubland,NULL,Non_Wetland,Forest
148,Cropland,Grassland,NULL,Non_Wetland,Grassland
149,Cropland,Grassland,NULL,Non_Wetland,Wetland
150,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
151,Cropland,Grassland,NULL,Non_Wetland,Forest
152,Cropland,Wetland,NULL,Wetland,Grassland
153,Cropland,Wetland,NULL,Wetland,Wetland
154,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
155,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
156,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
157,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
158,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
159,Cropland,Bareland,NULL,Non_Wetland,Grassland
160,Cropland,Bareland,NULL,Non_Wetland,Wetland
161,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
162,Cropland,Bareland,NULL,Non_Wetland,Bareland
163,Cropland,Bareland,NULL,Non_Wetland,Forest
164,Cropland,Built-up,NULL,Non_Wetland,Grassland
165,Cropland,Built-up,NULL,Non_Wetland,Forest
166,Cropland,Forest,NULL,Non_Wetland,Grassland
167,Cropland,Forest,NULL,Non_Wetland,Wetland
168,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
169,Cropland,Forest,NULL,Non_Wetland,Forest
170,Wetland,NULL,NULL,Non_Wetland,Grassland
171,Wetland,NULL,NULL,Non_Wetland,Wetland
172,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
173,Wetland,NULL,NULL,Non_Wetland,Water
174,Wetland,NULL,NULL,Non_Wetland,Forest
175,Wetland,NULL,Non_Water,Non_Wetland,Grassland
176,Wetland,NULL,Non_Water,Non_Wetland,Wetland
177,Wetland,NULL,Non_Water,Non_Wetland,Water
178,Wetland,NULL,Non_Water,Non_Wetland,Forest
179,Wetland,NULL,Water,Non_Wetland,Grassland
180,Wetland,NULL,Water,Non_Wetland,Wetland
181,Wetland,NULL,Water,Non_Wetland,Water
182,Wetland,NULL,Water,Non_Wetland,Forest
183,Wetland,Shrubland,NULL,Non_Wetland,NULL
184,Wetland,Shrubland,NULL,Non_Wetland,Grassland
185,Wetland,Shrubland,NULL,Non_Wetland,Wetland
186,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
187,Wetland,Shrubland,NULL,Non_Wetland,Bareland
188,Wetland,Shrubland,NULL,Non_Wetland,Built-up
189,Wetland,Shrubland,NULL,Non_Wetland,Water
190,Wetland,Shrubland,NULL,Non_Wetland,Forest
191,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
192,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
193,Wetland,Shrubland,Non_Water,Non_Wetland,Water
194,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
195,Wetland,Shrubland,Water,Non_Wetland,Grassland
196,Wetland,Shrubland,Water,Non_Wetland,Wetland
197,Wetland,Shrubland,Water,Non_Wetland,Water
198,Wetland,Shrubland,Water,Non_Wetland,Forest
199,Wetland,Grassland,NULL,Non_Wetland,Grassland
200,Wetland,Grassland,NULL,Non_Wetland,Wetland
201,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
202,Wetland,Grassland,NULL,Non_Wetland,Bareland
203,Wetland,Grassland,NULL,Non_Wetland,Built-up
204,Wetland,Grassland,NULL,Non_Wetland,Water
205,Wetland,Grassland,NULL,Non_Wetland,Forest
206,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
207,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
208,Wetland,Grassland,Non_Water,Non_Wetland,Water
209,Wetland,Grassland,Non_Water,Non_Wetland,Forest
210,Wetland,Grassland,Water,Non_Wetland,Grassland
211,Wetland,Grassland,Water,Non_Wetland,Wetland
212,Wetland,Grassland,Water,Non_Wetland,Water
213,Wetland,Grassland,Water,Non_Wetland,Forest
214,Wetland,Wetland,NULL,NULL,Grassland
215,Wetland,Wetland,NULL,NULL,Wetland
216,Wetland,Wetland,NULL,NULL,Water
217,Wetland,Wetland,NULL,NULL,Forest
218,Wetland,Wetland,NULL,Wetland,NULL
219,Wetland,Wetland,NULL,Wetland,Grassland
220,Wetland,Wetland,NULL,Wetland,Wetland
221,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
222,Wetland,Wetland,NULL,Wetland,Bareland
223,Wetland,Wetland,NULL,Wetland,Built-up
224,Wetland,Wetland,NULL,Wetland,Water
225,Wetland,Wetland,NULL,Wetland,Forest
226,Wetland,Wetland,Non_Water,NULL,Grassland
227,Wetland,Wetland,Non_Water,NULL,Wetland
228,Wetland,Wetland,Non_Water,NULL,Water
229,Wetland,Wetland,Non_Water,NULL,Forest
230,Wetland,Wetland,Non_Water,Wetland,NULL
231,Wetland,Wetland,Non_Water,Wetland,Grassland
232,Wetland,Wetland,Non_Water,Wetland,Wetland
233,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
234,Wetland,Wetland,Non_Water,Wetland,Water
235,Wetland,Wetland,Non_Water,Wetland,Forest
236,Wetland,Wetland,Water,NULL,Grassland
237,Wetland,Wetland,Water,NULL,Wetland
238,Wetland,Wetland,Water,NULL,Water
239,Wetland,Wetland,Water,NULL,Forest
240,Wetland,Wetland,Water,Wetland,Grassland
241,Wetland,Wetland,Water,Wetland,Wetland
242,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
243,Wetland,Wetland,Water,Wetland,Bareland
244,Wetland,Wetland,Water,Wetland,Water
245,Wetland,Wetland,Water,Wetland,Forest
246,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
247,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
248,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
249,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
250,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
251,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
252,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
253,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
254,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
255,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
256,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
