Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDJ_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDJ_M_R,SIBERIA_2024_WorldCover_2021_43VDJ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Cropland
20,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,Shrubland,NULL,Non_Wetland,Water
25,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
30,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
31,NULL,Shrubland,Non_Water,Non_Wetland,Water
32,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,Shrubland,Water,Non_Wetland,Grassland
34,NULL,Shrubland,Water,Non_Wetland,Wetland
35,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
36,NULL,Shrubland,Water,Non_Wetland,Bareland
37,NULL,Shrubland,Water,Non_Wetland,Built-up
38,NULL,Shrubland,Water,Non_Wetland,Water
39,NULL,Shrubland,Water,Non_Wetland,Forest
40,NULL,Grassland,NULL,Non_Wetland,NULL
41,NULL,Grassland,NULL,Non_Wetland,Grassland
42,NULL,Grassland,NULL,Non_Wetland,Wetland
43,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,Grassland,NULL,Non_Wetland,Built-up
46,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,Grassland,Non_Water,Non_Wetland,Grassland
48,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,Grassland,Non_Water,Non_Wetland,Bareland
50,NULL,Grassland,Non_Water,Non_Wetland,Forest
51,NULL,Grassland,Water,Non_Wetland,Grassland
52,NULL,Grassland,Water,Non_Wetland,Wetland
53,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,Cropland,NULL,Non_Wetland,NULL
55,NULL,Cropland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,NULL,Non_Wetland,Wetland
57,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
58,NULL,Cropland,NULL,Non_Wetland,Bareland
59,NULL,Cropland,NULL,Non_Wetland,Built-up
60,NULL,Cropland,NULL,Non_Wetland,Forest
61,NULL,Cropland,Non_Water,Non_Wetland,Grassland
62,NULL,Cropland,Non_Water,Non_Wetland,Wetland
63,NULL,Wetland,NULL,Wetland,NULL
64,NULL,Wetland,NULL,Wetland,Grassland
65,NULL,Wetland,NULL,Wetland,Wetland
66,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
67,NULL,Wetland,NULL,Wetland,Bareland
68,NULL,Wetland,NULL,Wetland,Built-up
69,NULL,Wetland,NULL,Wetland,Water
70,NULL,Wetland,NULL,Wetland,Forest
71,NULL,Wetland,Non_Water,Wetland,NULL
72,NULL,Wetland,Non_Water,Wetland,Grassland
73,NULL,Wetland,Non_Water,Wetland,Wetland
74,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
75,NULL,Wetland,Non_Water,Wetland,Built-up
76,NULL,Wetland,Non_Water,Wetland,Water
77,NULL,Wetland,Non_Water,Wetland,Forest
78,NULL,Wetland,Water,Wetland,NULL
79,NULL,Wetland,Water,Wetland,Grassland
80,NULL,Wetland,Water,Wetland,Wetland
81,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
82,NULL,Wetland,Water,Wetland,Bareland
83,NULL,Wetland,Water,Wetland,Built-up
84,NULL,Wetland,Water,Wetland,Water
85,NULL,Wetland,Water,Wetland,Forest
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
95,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
96,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
97,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
99,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
100,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
101,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
102,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
103,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
105,NULL,Bareland,NULL,Non_Wetland,NULL
106,NULL,Bareland,NULL,Non_Wetland,Grassland
107,NULL,Bareland,NULL,Non_Wetland,Cropland
108,NULL,Bareland,NULL,Non_Wetland,Wetland
109,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Bareland,NULL,Non_Wetland,Built-up
112,NULL,Bareland,NULL,Non_Wetland,Water
113,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
114,NULL,Bareland,NULL,Non_Wetland,Forest
115,NULL,Bareland,Non_Water,Non_Wetland,NULL
116,NULL,Bareland,Non_Water,Non_Wetland,Grassland
117,NULL,Bareland,Non_Water,Non_Wetland,Wetland
118,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
119,NULL,Bareland,Non_Water,Non_Wetland,Bareland
120,NULL,Bareland,Non_Water,Non_Wetland,Built-up
121,NULL,Bareland,Non_Water,Non_Wetland,Water
122,NULL,Bareland,Non_Water,Non_Wetland,Forest
123,NULL,Bareland,Water,Non_Wetland,Grassland
124,NULL,Bareland,Water,Non_Wetland,Wetland
125,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
126,NULL,Bareland,Water,Non_Wetland,Bareland
127,NULL,Bareland,Water,Non_Wetland,Built-up
128,NULL,Bareland,Water,Non_Wetland,Water
129,NULL,Bareland,Water,Non_Wetland,Forest
130,NULL,Built-up,NULL,Non_Wetland,NULL
131,NULL,Built-up,NULL,Non_Wetland,Grassland
132,NULL,Built-up,NULL,Non_Wetland,Cropland
133,NULL,Built-up,NULL,Non_Wetland,Wetland
134,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
135,NULL,Built-up,NULL,Non_Wetland,Bareland
136,NULL,Built-up,NULL,Non_Wetland,Built-up
137,NULL,Built-up,NULL,Non_Wetland,Water
138,NULL,Built-up,NULL,Non_Wetland,Forest
139,NULL,Built-up,Non_Water,Non_Wetland,Grassland
140,NULL,Built-up,Non_Water,Non_Wetland,Wetland
141,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
142,NULL,Built-up,Non_Water,Non_Wetland,Bareland
143,NULL,Built-up,Non_Water,Non_Wetland,Built-up
144,NULL,Built-up,Non_Water,Non_Wetland,Water
145,NULL,Built-up,Non_Water,Non_Wetland,Forest
146,NULL,Built-up,Water,Non_Wetland,Grassland
147,NULL,Built-up,Water,Non_Wetland,Wetland
148,NULL,Built-up,Water,Non_Wetland,Bareland
149,NULL,Built-up,Water,Non_Wetland,Built-up
150,NULL,Built-up,Water,Non_Wetland,Water
151,NULL,Built-up,Water,Non_Wetland,Forest
152,NULL,Water,NULL,Water,NULL
153,NULL,Water,NULL,Water,Grassland
154,NULL,Water,NULL,Water,Wetland
155,NULL,Water,NULL,Water,Lichens_and_Mosses
156,NULL,Water,NULL,Water,Bareland
157,NULL,Water,NULL,Water,Built-up
158,NULL,Water,NULL,Water,Water
159,NULL,Water,NULL,Water,Forest
160,NULL,Water,Non_Water,Water,Grassland
161,NULL,Water,Non_Water,Water,Wetland
162,NULL,Water,Non_Water,Water,Lichens_and_Mosses
163,NULL,Water,Non_Water,Water,Bareland
164,NULL,Water,Non_Water,Water,Built-up
165,NULL,Water,Non_Water,Water,Water
166,NULL,Water,Non_Water,Water,Forest
167,NULL,Water,Water,Water,Grassland
168,NULL,Water,Water,Water,Wetland
169,NULL,Water,Water,Water,Lichens_and_Mosses
170,NULL,Water,Water,Water,Bareland
171,NULL,Water,Water,Water,Water
172,NULL,Water,Water,Water,Forest
173,NULL,Forest,NULL,Non_Wetland,NULL
174,NULL,Forest,NULL,Non_Wetland,Grassland
175,NULL,Forest,NULL,Non_Wetland,Wetland
176,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
177,NULL,Forest,NULL,Non_Wetland,Bareland
178,NULL,Forest,NULL,Non_Wetland,Built-up
179,NULL,Forest,NULL,Non_Wetland,Water
180,NULL,Forest,NULL,Non_Wetland,Forest
181,NULL,Forest,Non_Water,Non_Wetland,NULL
182,NULL,Forest,Non_Water,Non_Wetland,Grassland
183,NULL,Forest,Non_Water,Non_Wetland,Wetland
184,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
185,NULL,Forest,Non_Water,Non_Wetland,Bareland
186,NULL,Forest,Non_Water,Non_Wetland,Built-up
187,NULL,Forest,Non_Water,Non_Wetland,Water
188,NULL,Forest,Non_Water,Non_Wetland,Forest
189,NULL,Forest,Water,Non_Wetland,NULL
190,NULL,Forest,Water,Non_Wetland,Grassland
191,NULL,Forest,Water,Non_Wetland,Wetland
192,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
193,NULL,Forest,Water,Non_Wetland,Bareland
194,NULL,Forest,Water,Non_Wetland,Built-up
195,NULL,Forest,Water,Non_Wetland,Water
196,NULL,Forest,Water,Non_Wetland,Forest
197,Cropland,NULL,NULL,Non_Wetland,NULL
198,Cropland,NULL,NULL,Non_Wetland,Grassland
199,Cropland,NULL,NULL,Non_Wetland,Wetland
200,Cropland,NULL,NULL,Non_Wetland,Forest
201,Cropland,Shrubland,NULL,Non_Wetland,NULL
202,Cropland,Shrubland,NULL,Non_Wetland,Grassland
203,Cropland,Shrubland,NULL,Non_Wetland,Wetland
204,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
205,Cropland,Shrubland,NULL,Non_Wetland,Bareland
206,Cropland,Shrubland,NULL,Non_Wetland,Built-up
207,Cropland,Shrubland,NULL,Non_Wetland,Forest
208,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
209,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
210,Cropland,Shrubland,Non_Water,Non_Wetland,Built-up
211,Cropland,Shrubland,Water,Non_Wetland,Wetland
212,Cropland,Grassland,NULL,Non_Wetland,NULL
213,Cropland,Grassland,NULL,Non_Wetland,Grassland
214,Cropland,Grassland,NULL,Non_Wetland,Wetland
215,Cropland,Grassland,NULL,Non_Wetland,Water
216,Cropland,Grassland,NULL,Non_Wetland,Forest
217,Cropland,Cropland,NULL,Non_Wetland,Grassland
218,Cropland,Cropland,NULL,Non_Wetland,Wetland
219,Cropland,Cropland,NULL,Non_Wetland,Forest
220,Cropland,Wetland,NULL,Wetland,NULL
221,Cropland,Wetland,NULL,Wetland,Grassland
222,Cropland,Wetland,NULL,Wetland,Wetland
223,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
224,Cropland,Wetland,NULL,Wetland,Bareland
225,Cropland,Wetland,NULL,Wetland,Built-up
226,Cropland,Wetland,NULL,Wetland,Water
227,Cropland,Wetland,NULL,Wetland,Forest
228,Cropland,Wetland,Non_Water,Wetland,Grassland
229,Cropland,Wetland,Non_Water,Wetland,Wetland
230,Cropland,Wetland,Non_Water,Wetland,Forest
231,Cropland,Wetland,Water,Wetland,Grassland
232,Cropland,Wetland,Water,Wetland,Wetland
233,Cropland,Wetland,Water,Wetland,Water
234,Cropland,Wetland,Water,Wetland,Forest
235,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
236,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
237,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
238,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
239,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
240,Cropland,Bareland,NULL,Non_Wetland,NULL
241,Cropland,Bareland,NULL,Non_Wetland,Grassland
242,Cropland,Bareland,NULL,Non_Wetland,Cropland
243,Cropland,Bareland,NULL,Non_Wetland,Wetland
244,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
245,Cropland,Bareland,NULL,Non_Wetland,Bareland
246,Cropland,Bareland,NULL,Non_Wetland,Built-up
247,Cropland,Bareland,NULL,Non_Wetland,Water
248,Cropland,Bareland,NULL,Non_Wetland,Forest
249,Cropland,Bareland,Non_Water,Non_Wetland,NULL
250,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
251,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
252,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
253,Cropland,Bareland,Non_Water,Non_Wetland,Water
254,Cropland,Bareland,Non_Water,Non_Wetland,Forest
255,Cropland,Bareland,Water,Non_Wetland,Grassland
256,Cropland,Bareland,Water,Non_Wetland,Wetland
257,Cropland,Bareland,Water,Non_Wetland,Built-up
258,Cropland,Bareland,Water,Non_Wetland,Forest
259,Cropland,Built-up,NULL,Non_Wetland,NULL
