Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VWR_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VWR_M_R,SIBERIA_2024_GSW_Yearly_2021_42VWR_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VWR_M_R,SIBERIA_2024_WorldCover_2021_42VWR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Non_Water,Non_Wetland,Water
12,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,Grassland,Non_Water,Non_Wetland,NULL
41,NULL,Grassland,Non_Water,Non_Wetland,Grassland
42,NULL,Grassland,Non_Water,Non_Wetland,Wetland
43,NULL,Grassland,Non_Water,Non_Wetland,Forest
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
49,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,Cropland,NULL,Non_Wetland,Built-up
51,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,Cropland,Non_Water,Non_Wetland,Wetland
54,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
55,NULL,Cropland,Non_Water,Non_Wetland,Forest
56,NULL,Cropland,Water,Non_Wetland,Grassland
57,NULL,Cropland,Water,Non_Wetland,Wetland
58,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
59,NULL,Cropland,Water,Non_Wetland,Forest
60,NULL,Wetland,NULL,Wetland,NULL
61,NULL,Wetland,NULL,Wetland,Grassland
62,NULL,Wetland,NULL,Wetland,Cropland
63,NULL,Wetland,NULL,Wetland,Wetland
64,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
65,NULL,Wetland,NULL,Wetland,Bareland
66,NULL,Wetland,NULL,Wetland,Water
67,NULL,Wetland,NULL,Wetland,Forest
68,NULL,Wetland,Non_Water,Wetland,NULL
69,NULL,Wetland,Non_Water,Wetland,Grassland
70,NULL,Wetland,Non_Water,Wetland,Wetland
71,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
72,NULL,Wetland,Non_Water,Wetland,Bareland
73,NULL,Wetland,Non_Water,Wetland,Water
74,NULL,Wetland,Non_Water,Wetland,Forest
75,NULL,Wetland,Water,Wetland,NULL
76,NULL,Wetland,Water,Wetland,Grassland
77,NULL,Wetland,Water,Wetland,Wetland
78,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
79,NULL,Wetland,Water,Wetland,Bareland
80,NULL,Wetland,Water,Wetland,Water
81,NULL,Wetland,Water,Wetland,Forest
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
91,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
94,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
95,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
96,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
97,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
98,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
100,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
101,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
102,NULL,Bareland,NULL,Non_Wetland,NULL
103,NULL,Bareland,NULL,Non_Wetland,Grassland
104,NULL,Bareland,NULL,Non_Wetland,Wetland
105,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,NULL,Non_Wetland,Bareland
107,NULL,Bareland,NULL,Non_Wetland,Built-up
108,NULL,Bareland,NULL,Non_Wetland,Water
109,NULL,Bareland,NULL,Non_Wetland,Forest
110,NULL,Bareland,Non_Water,Non_Wetland,NULL
111,NULL,Bareland,Non_Water,Non_Wetland,Grassland
112,NULL,Bareland,Non_Water,Non_Wetland,Wetland
113,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
114,NULL,Bareland,Non_Water,Non_Wetland,Bareland
115,NULL,Bareland,Non_Water,Non_Wetland,Water
116,NULL,Bareland,Non_Water,Non_Wetland,Forest
117,NULL,Bareland,Water,Non_Wetland,Grassland
118,NULL,Bareland,Water,Non_Wetland,Wetland
119,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Bareland,Water,Non_Wetland,Bareland
121,NULL,Bareland,Water,Non_Wetland,Water
122,NULL,Bareland,Water,Non_Wetland,Forest
123,NULL,Built-up,NULL,Non_Wetland,NULL
124,NULL,Built-up,NULL,Non_Wetland,Grassland
125,NULL,Built-up,NULL,Non_Wetland,Wetland
126,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
127,NULL,Built-up,NULL,Non_Wetland,Bareland
128,NULL,Built-up,NULL,Non_Wetland,Built-up
129,NULL,Built-up,NULL,Non_Wetland,Water
130,NULL,Built-up,NULL,Non_Wetland,Forest
131,NULL,Built-up,Non_Water,Non_Wetland,Grassland
132,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
133,NULL,Built-up,Non_Water,Non_Wetland,Bareland
134,NULL,Built-up,Non_Water,Non_Wetland,Forest
135,NULL,Built-up,Water,Non_Wetland,Wetland
136,NULL,Built-up,Water,Non_Wetland,Bareland
137,NULL,Built-up,Water,Non_Wetland,Water
138,NULL,Built-up,Water,Non_Wetland,Forest
139,NULL,Water,NULL,Water,NULL
140,NULL,Water,NULL,Water,Grassland
141,NULL,Water,NULL,Water,Wetland
142,NULL,Water,NULL,Water,Lichens_and_Mosses
143,NULL,Water,NULL,Water,Bareland
144,NULL,Water,NULL,Water,Water
145,NULL,Water,NULL,Water,Forest
146,NULL,Water,Non_Water,Water,Grassland
147,NULL,Water,Non_Water,Water,Wetland
148,NULL,Water,Non_Water,Water,Lichens_and_Mosses
149,NULL,Water,Non_Water,Water,Water
150,NULL,Water,Non_Water,Water,Forest
151,NULL,Water,Water,Water,NULL
152,NULL,Water,Water,Water,Grassland
153,NULL,Water,Water,Water,Wetland
154,NULL,Water,Water,Water,Lichens_and_Mosses
155,NULL,Water,Water,Water,Bareland
156,NULL,Water,Water,Water,Water
157,NULL,Water,Water,Water,Forest
158,NULL,Forest,NULL,Non_Wetland,NULL
159,NULL,Forest,NULL,Non_Wetland,Grassland
160,NULL,Forest,NULL,Non_Wetland,Wetland
161,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
162,NULL,Forest,NULL,Non_Wetland,Bareland
163,NULL,Forest,NULL,Non_Wetland,Built-up
164,NULL,Forest,NULL,Non_Wetland,Water
165,NULL,Forest,NULL,Non_Wetland,Forest
166,NULL,Forest,Non_Water,Non_Wetland,NULL
167,NULL,Forest,Non_Water,Non_Wetland,Grassland
168,NULL,Forest,Non_Water,Non_Wetland,Wetland
169,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
170,NULL,Forest,Non_Water,Non_Wetland,Water
171,NULL,Forest,Non_Water,Non_Wetland,Forest
172,NULL,Forest,Water,Non_Wetland,NULL
173,NULL,Forest,Water,Non_Wetland,Grassland
174,NULL,Forest,Water,Non_Wetland,Wetland
175,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Forest,Water,Non_Wetland,Water
177,NULL,Forest,Water,Non_Wetland,Forest
178,Cropland,Shrubland,NULL,Non_Wetland,Grassland
179,Cropland,Shrubland,NULL,Non_Wetland,Forest
180,Cropland,Cropland,NULL,Non_Wetland,Forest
181,Cropland,Wetland,NULL,Wetland,Grassland
182,Cropland,Wetland,NULL,Wetland,Wetland
183,Cropland,Wetland,NULL,Wetland,Forest
184,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
185,Cropland,Bareland,NULL,Non_Wetland,NULL
186,Cropland,Bareland,NULL,Non_Wetland,Grassland
187,Cropland,Bareland,NULL,Non_Wetland,Wetland
188,Cropland,Bareland,NULL,Non_Wetland,Bareland
189,Cropland,Bareland,NULL,Non_Wetland,Forest
190,Cropland,Forest,NULL,Non_Wetland,NULL
191,Cropland,Forest,NULL,Non_Wetland,Grassland
192,Cropland,Forest,NULL,Non_Wetland,Wetland
193,Cropland,Forest,NULL,Non_Wetland,Forest
194,Wetland,NULL,NULL,Non_Wetland,NULL
195,Wetland,NULL,NULL,Non_Wetland,Grassland
196,Wetland,NULL,NULL,Non_Wetland,Wetland
197,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
198,Wetland,NULL,NULL,Non_Wetland,Bareland
199,Wetland,NULL,NULL,Non_Wetland,Water
200,Wetland,NULL,NULL,Non_Wetland,Forest
201,Wetland,NULL,Non_Water,Non_Wetland,NULL
202,Wetland,NULL,Non_Water,Non_Wetland,Grassland
203,Wetland,NULL,Non_Water,Non_Wetland,Wetland
204,Wetland,NULL,Non_Water,Non_Wetland,Bareland
205,Wetland,NULL,Non_Water,Non_Wetland,Water
206,Wetland,NULL,Non_Water,Non_Wetland,Forest
207,Wetland,NULL,Water,Non_Wetland,NULL
208,Wetland,NULL,Water,Non_Wetland,Grassland
209,Wetland,NULL,Water,Non_Wetland,Wetland
210,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
211,Wetland,NULL,Water,Non_Wetland,Bareland
212,Wetland,NULL,Water,Non_Wetland,Water
213,Wetland,NULL,Water,Non_Wetland,Forest
214,Wetland,Shrubland,NULL,Non_Wetland,NULL
215,Wetland,Shrubland,NULL,Non_Wetland,Grassland
216,Wetland,Shrubland,NULL,Non_Wetland,Wetland
217,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
218,Wetland,Shrubland,NULL,Non_Wetland,Bareland
219,Wetland,Shrubland,NULL,Non_Wetland,Built-up
220,Wetland,Shrubland,NULL,Non_Wetland,Water
221,Wetland,Shrubland,NULL,Non_Wetland,Forest
222,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
223,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
224,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
225,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
226,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
227,Wetland,Shrubland,Non_Water,Non_Wetland,Water
228,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
229,Wetland,Shrubland,Water,Non_Wetland,Grassland
230,Wetland,Shrubland,Water,Non_Wetland,Wetland
231,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
232,Wetland,Shrubland,Water,Non_Wetland,Bareland
233,Wetland,Shrubland,Water,Non_Wetland,Water
234,Wetland,Shrubland,Water,Non_Wetland,Forest
235,Wetland,Grassland,NULL,Non_Wetland,NULL
236,Wetland,Grassland,NULL,Non_Wetland,Grassland
237,Wetland,Grassland,NULL,Non_Wetland,Wetland
238,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
239,Wetland,Grassland,NULL,Non_Wetland,Bareland
240,Wetland,Grassland,NULL,Non_Wetland,Water
241,Wetland,Grassland,NULL,Non_Wetland,Forest
242,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
243,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
244,Wetland,Grassland,Non_Water,Non_Wetland,Forest
245,Wetland,Grassland,Water,Non_Wetland,Grassland
246,Wetland,Grassland,Water,Non_Wetland,Wetland
247,Wetland,Grassland,Water,Non_Wetland,Water
248,Wetland,Cropland,NULL,Non_Wetland,NULL
249,Wetland,Cropland,NULL,Non_Wetland,Grassland
250,Wetland,Cropland,NULL,Non_Wetland,Wetland
251,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
252,Wetland,Cropland,NULL,Non_Wetland,Bareland
253,Wetland,Cropland,NULL,Non_Wetland,Water
254,Wetland,Cropland,NULL,Non_Wetland,Forest
255,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
256,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
257,Wetland,Cropland,Water,Non_Wetland,Wetland
258,Wetland,Wetland,NULL,Wetland,NULL
