Value,SIBERIA_2024_ESA_CALU_2024_43XFA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43XFA_M_R,SIBERIA_2024_GLC_FCS30D_2022_43XFA_M_R,SIBERIA_2024_GSW_Yearly_2021_43XFA_M_R,SIBERIA_2024_GWL_FCS30D_2022_43XFA_M_R,SIBERIA_2024_WorldCover_2021_43XFA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,NULL,Water,Non_Wetland,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Water
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Water
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
33,NULL,NULL,Grassland,Water,Non_Wetland,Water
34,NULL,NULL,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,NULL,NULL,Wetland
36,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
37,NULL,NULL,Wetland,NULL,NULL,Bareland
38,NULL,NULL,Wetland,NULL,NULL,Water
39,NULL,NULL,Wetland,NULL,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Wetland
41,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
42,NULL,NULL,Wetland,NULL,Wetland,Bareland
43,NULL,NULL,Wetland,NULL,Wetland,Built-up
44,NULL,NULL,Wetland,NULL,Wetland,Water
45,NULL,NULL,Wetland,NULL,Wetland,Forest
46,NULL,NULL,Wetland,Non_Water,NULL,Grassland
47,NULL,NULL,Wetland,Non_Water,NULL,Wetland
48,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
49,NULL,NULL,Wetland,Non_Water,NULL,Bareland
50,NULL,NULL,Wetland,Non_Water,NULL,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
54,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
55,NULL,NULL,Wetland,Non_Water,Wetland,Water
56,NULL,NULL,Wetland,Water,NULL,Grassland
57,NULL,NULL,Wetland,Water,NULL,Wetland
58,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
59,NULL,NULL,Wetland,Water,NULL,Bareland
60,NULL,NULL,Wetland,Water,NULL,Water
61,NULL,NULL,Wetland,Water,Wetland,Grassland
62,NULL,NULL,Wetland,Water,Wetland,Wetland
63,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
64,NULL,NULL,Wetland,Water,Wetland,Bareland
65,NULL,NULL,Wetland,Water,Wetland,Water
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Water
87,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
93,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
94,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
95,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
96,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
97,NULL,NULL,Bareland,Water,Non_Wetland,Water
98,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
101,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Water
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
108,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
109,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
110,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
111,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
112,NULL,NULL,Built-up,Water,Non_Wetland,Water
113,NULL,NULL,Water,NULL,NULL,NULL
114,NULL,NULL,Water,NULL,NULL,Grassland
115,NULL,NULL,Water,NULL,NULL,Wetland
