Value,SIBERIA_2024_ESA_CALU_2024_43WFV_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFV_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFV_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFV_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFV_M_R,SIBERIA_2024_WorldCover_2021_43WFV_M_R
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
109,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
110,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
111,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
112,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
113,NULL,NULL,Built-up,Water,Non_Wetland,Water
114,NULL,NULL,Water,NULL,NULL,Wetland
115,NULL,NULL,Water,NULL,Water,Grassland
116,NULL,NULL,Water,NULL,Water,Wetland
117,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
118,NULL,NULL,Water,NULL,Water,Bareland
119,NULL,NULL,Water,NULL,Water,Water
120,NULL,NULL,Water,Non_Water,Water,Grassland
121,NULL,NULL,Water,Non_Water,Water,Wetland
122,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
123,NULL,NULL,Water,Non_Water,Water,Water
124,NULL,NULL,Water,Water,NULL,Water
125,NULL,NULL,Water,Water,Water,Grassland
126,NULL,NULL,Water,Water,Water,Wetland
127,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
128,NULL,NULL,Water,Water,Water,Water
129,NULL,NULL,Water,Water,Water,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
132,NULL,NULL,Forest,NULL,Non_Wetland,Water
133,NULL,NULL,Forest,NULL,Non_Wetland,Forest
134,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
135,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
136,NULL,NULL,Forest,Water,Non_Wetland,Grassland
137,NULL,NULL,Forest,Water,Non_Wetland,Wetland
138,NULL,NULL,Forest,Water,Non_Wetland,Water
139,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
140,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
141,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
142,NULL,Wetland,NULL,NULL,Non_Wetland,Water
143,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
144,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
145,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
146,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
147,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
148,NULL,Wetland,NULL,Water,Non_Wetland,Water
149,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
151,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
152,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
153,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
154,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
155,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
156,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
157,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
158,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
159,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
160,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
161,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
162,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
163,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
164,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
165,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
166,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
167,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
169,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
170,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
171,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
172,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
173,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
174,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
175,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
177,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
178,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
179,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
180,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
181,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
182,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
183,NULL,Wetland,Grassland,Water,Non_Wetland,Water
184,NULL,Wetland,Wetland,NULL,NULL,Grassland
185,NULL,Wetland,Wetland,NULL,NULL,Wetland
186,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
187,NULL,Wetland,Wetland,NULL,NULL,Water
188,NULL,Wetland,Wetland,NULL,Wetland,Grassland
189,NULL,Wetland,Wetland,NULL,Wetland,Wetland
190,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
191,NULL,Wetland,Wetland,NULL,Wetland,Bareland
192,NULL,Wetland,Wetland,NULL,Wetland,Water
193,NULL,Wetland,Wetland,NULL,Wetland,Forest
194,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
195,NULL,Wetland,Wetland,Non_Water,NULL,Water
196,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
197,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
198,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
199,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
200,NULL,Wetland,Wetland,Non_Water,Wetland,Water
201,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
202,NULL,Wetland,Wetland,Water,NULL,Wetland
203,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
204,NULL,Wetland,Wetland,Water,NULL,Water
205,NULL,Wetland,Wetland,Water,Wetland,Grassland
206,NULL,Wetland,Wetland,Water,Wetland,Wetland
207,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
208,NULL,Wetland,Wetland,Water,Wetland,Bareland
209,NULL,Wetland,Wetland,Water,Wetland,Water
210,NULL,Wetland,Wetland,Water,Wetland,Forest
211,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
212,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
213,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
214,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
215,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
216,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
217,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
218,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
219,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
220,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
221,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
222,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
223,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
224,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
225,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
226,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
227,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
228,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
229,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
230,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
231,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
232,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
233,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
234,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
235,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
236,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
237,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
238,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
239,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
240,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
241,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
242,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
243,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
244,NULL,Wetland,Bareland,Water,Non_Wetland,Water
245,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
246,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
247,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
248,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
249,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
250,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
251,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
252,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
253,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
254,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
255,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
256,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
257,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
258,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
259,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
260,NULL,Wetland,Built-up,Water,Non_Wetland,Water
261,NULL,Wetland,Water,NULL,NULL,Wetland
262,NULL,Wetland,Water,NULL,NULL,Water
263,NULL,Wetland,Water,NULL,Water,Grassland
264,NULL,Wetland,Water,NULL,Water,Wetland
265,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
266,NULL,Wetland,Water,NULL,Water,Bareland
267,NULL,Wetland,Water,NULL,Water,Water
268,NULL,Wetland,Water,NULL,Water,Forest
269,NULL,Wetland,Water,Non_Water,NULL,Water
270,NULL,Wetland,Water,Non_Water,Water,Grassland
271,NULL,Wetland,Water,Non_Water,Water,Wetland
272,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
273,NULL,Wetland,Water,Non_Water,Water,Bareland
274,NULL,Wetland,Water,Non_Water,Water,Water
275,NULL,Wetland,Water,Non_Water,Water,Permanent_ice_and_snow
276,NULL,Wetland,Water,Water,NULL,Wetland
277,NULL,Wetland,Water,Water,NULL,Water
278,NULL,Wetland,Water,Water,Water,Grassland
279,NULL,Wetland,Water,Water,Water,Wetland
280,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
281,NULL,Wetland,Water,Water,Water,Bareland
282,NULL,Wetland,Water,Water,Water,Water
283,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
284,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
285,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
286,NULL,Wetland,Forest,NULL,Non_Wetland,Water
287,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
288,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
289,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
290,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
291,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
292,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
293,NULL,Wetland,Forest,Water,Non_Wetland,Water
294,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
295,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
296,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
297,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
298,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
299,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
300,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
301,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
302,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
303,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
304,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
305,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
306,NULL,Bareland,Wetland,NULL,Wetland,Wetland
307,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
308,NULL,Bareland,Wetland,NULL,Wetland,Bareland
309,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
310,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
311,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
312,NULL,Bareland,Wetland,Non_Water,Wetland,Water
313,NULL,Bareland,Wetland,Water,NULL,Wetland
314,NULL,Bareland,Wetland,Water,Wetland,Wetland
315,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
316,NULL,Bareland,Wetland,Water,Wetland,Bareland
317,NULL,Bareland,Wetland,Water,Wetland,Water
318,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
319,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
320,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
321,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
322,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
323,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
324,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
325,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
326,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
327,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
328,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
329,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
330,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
331,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
332,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
333,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
334,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
335,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
336,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
337,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
338,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
339,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
340,NULL,Bareland,Bareland,Water,Non_Wetland,Water
341,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
342,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
343,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
344,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
345,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
346,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
347,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
348,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
349,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
350,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
351,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
352,NULL,Bareland,Water,Non_Water,Water,Water
353,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
354,NULL,Bareland,Water,Water,Water,Water
355,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
356,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
357,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Wetland
358,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
359,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
360,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
361,NULL,Water,NULL,NULL,Non_Wetland,Grassland
362,NULL,Water,NULL,NULL,Non_Wetland,Wetland
363,NULL,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
364,NULL,Water,NULL,NULL,Non_Wetland,Water
365,NULL,Water,NULL,Non_Water,Non_Wetland,Water
366,NULL,Water,NULL,Water,Non_Wetland,Water
367,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
368,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
369,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
370,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
371,NULL,Water,Shrubland,NULL,Non_Wetland,Water
372,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
373,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
374,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
375,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
376,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
377,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
378,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
379,NULL,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
380,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
381,NULL,Water,Shrubland,Water,Non_Wetland,Water
382,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
383,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
384,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
385,NULL,Water,Grassland,NULL,Non_Wetland,Water
386,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
387,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
388,NULL,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
389,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
390,NULL,Water,Grassland,Water,Non_Wetland,Grassland
391,NULL,Water,Grassland,Water,Non_Wetland,Wetland
392,NULL,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
393,NULL,Water,Grassland,Water,Non_Wetland,Water
394,NULL,Water,Wetland,NULL,NULL,Wetland
395,NULL,Water,Wetland,NULL,NULL,Lichens_and_Mosses
396,NULL,Water,Wetland,NULL,NULL,Bareland
397,NULL,Water,Wetland,NULL,NULL,Water
398,NULL,Water,Wetland,NULL,Wetland,Grassland
399,NULL,Water,Wetland,NULL,Wetland,Wetland
400,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
401,NULL,Water,Wetland,NULL,Wetland,Bareland
402,NULL,Water,Wetland,NULL,Wetland,Water
403,NULL,Water,Wetland,Non_Water,NULL,Wetland
404,NULL,Water,Wetland,Non_Water,NULL,Lichens_and_Mosses
405,NULL,Water,Wetland,Non_Water,NULL,Bareland
406,NULL,Water,Wetland,Non_Water,NULL,Water
407,NULL,Water,Wetland,Non_Water,Wetland,Grassland
408,NULL,Water,Wetland,Non_Water,Wetland,Wetland
409,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
