Value,SIBERIA_2024_ESA_CALU_2024_44WPD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPD_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPD_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPD_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPD_M_R,SIBERIA_2024_WorldCover_2021_44WPD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
44,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,NULL,Grassland,Water,Non_Wetland,Water
47,NULL,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,NULL,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,NULL,NULL,Wetland
50,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
51,NULL,NULL,Wetland,NULL,Wetland,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,Wetland
53,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
54,NULL,NULL,Wetland,NULL,Wetland,Bareland
55,NULL,NULL,Wetland,NULL,Wetland,Water
56,NULL,NULL,Wetland,NULL,Wetland,Forest
57,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
58,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
59,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
60,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
61,NULL,NULL,Wetland,Non_Water,Wetland,Water
62,NULL,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,NULL,Wetland,Water,NULL,Grassland
64,NULL,NULL,Wetland,Water,NULL,Wetland
65,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
66,NULL,NULL,Wetland,Water,NULL,Bareland
67,NULL,NULL,Wetland,Water,NULL,Water
68,NULL,NULL,Wetland,Water,Wetland,Grassland
69,NULL,NULL,Wetland,Water,Wetland,Wetland
70,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
71,NULL,NULL,Wetland,Water,Wetland,Bareland
72,NULL,NULL,Wetland,Water,Wetland,Water
73,NULL,NULL,Wetland,Water,Wetland,Forest
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
86,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
87,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
89,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
90,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
91,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
92,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
96,NULL,NULL,Bareland,NULL,Non_Wetland,Water
97,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
104,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
105,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
106,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
107,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
